"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.19,1.2,0.967639,1.08,"307,891","28,261,600","CURE",-0.0924369747899159
"2018-01-09",1.09,1.22,1.02,1.18,"504,555","25,986,300","CURE",0.0825688073394494
"2018-01-08",1.22,1.28,1.02,1.06,"320,113","29,098,100","CURE",-0.131147540983606
"2018-01-07",1.13,1.39,1.09,1.22,"811,758","26,871,700","CURE",0.0796460176991151
"2018-01-06",1.1,1.23,1.07,1.13,"395,266","26,288,800","CURE",0.0272727272727271
"2018-01-05",0.975401,1.31,0.89345,1.1,"2,785,900","23,244,200","CURE",0.127741308446475
"2018-01-04",0.853105,1.03,0.811648,0.956595,"861,214","20,329,700","CURE",0.121309803599791
"2018-01-03",0.755774,0.922604,0.744247,0.861021,"421,257","18,010,000","CURE",0.139257238274934
"2018-01-02",0.739419,0.858555,0.716519,0.778056,"280,869","17,619,600","CURE",0.0522531879759648
"2018-01-01",0.782871,0.782871,0.704632,0.737219,"150,658","18,654,500","CURE",-0.058313566347457
"2017-12-31",0.667407,0.824841,0.653874,0.781468,"279,629","15,902,300","CURE",0.170901713646995
"2017-12-30",0.773595,0.775404,0.631222,0.675152,"144,134","18,431,300","CURE",-0.127253924857322
"2017-12-29",0.789506,0.832867,0.705453,0.777235,"379,162","18,809,800","CURE",-0.0155426304549934
"2017-12-28",0.876869,0.887343,0.679023,0.780564,"362,642","20,890,500","CURE",-0.109828263971015
"2017-12-27",0.698452,0.900879,0.664323,0.900253,"761,929","16,639,400","CURE",0.288926082250462
"2017-12-26",0.789087,0.86489,0.664597,0.690767,"528,904","18,798,100","CURE",-0.12459969559757
"2017-12-25",0.631606,0.870398,0.592956,0.793575,"1,176,050","15,045,200","CURE",0.256439932489558
"2017-12-24",0.530368,0.626087,0.488051,0.626087,"320,036","12,633,100","CURE",0.180476574755641
"2017-12-23",0.481678,0.570493,0.442892,0.524405,"151,590","11,473,000","CURE",0.0887044872300583
"2017-12-22",0.605421,0.611009,0.38896,0.476993,"154,580","14,420,100","CURE",-0.212130071470927
"2017-12-21",0.58926,0.645488,0.572395,0.603334,"354,896","14,034,600","CURE",0.0238841937345145
