"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.00073,0.000743,0.000416,6e-04,"2,433","1,722,460","CV2",-0.178082191780822
"2018-01-09",0.000753,0.000923,0.000432,0.000729,"4,640","1,776,170","CV2",-0.0318725099601593
"2018-01-08",0.000651,0.000946,0.00059,0.000755,"7,838","1,536,530","CV2",0.159754224270353
"2018-01-07",0.000516,0.000844,0.000498,0.000652,"9,997","1,217,330","CV2",0.263565891472868
"2018-01-06",0.00051,0.000863,0.000494,0.000516,"7,252","1,201,860","CV2",0.0117647058823528
"2018-01-05",0.000607,0.000677,0.000449,0.000509,"4,050","1,432,380","CV2",-0.161449752883031
"2018-01-04",0.000913,0.000914,0.000446,0.000607,"5,505","20,969,900","CV2",-0.335158817086528
"2018-01-03",0.000593,0.000909,0.000587,0.000908,"6,393","13,633,100","CV2",0.531197301854975
"2018-01-02",0.000675,0.000962,0.000596,0.000596,"5,653","15,506,200","CV2",-0.117037037037037
"2018-01-01",0.000979,0.001096,0.000652,0.000675,"6,863","22,476,700","CV2",-0.310520939734423
"2017-12-31",0.001017,0.001186,0.000769,0.000975,"10,335","23,356,400","CV2",-0.0412979351032448
"2017-12-30",0.00145,0.001728,0.000814,0.001028,"26,775","33,280,500","CV2",-0.291034482758621
"2017-12-29",0.000868,0.00191,0.000565,0.001453,"52,516","19,926,100","CV2",0.673963133640553
"2017-12-28",0.001862,0.002972,0.000695,0.000859,"158,767","42,733,100","CV2",-0.538668098818475
"2017-12-27",0.001109,0.001867,0.000944,0.001555,"180,823","25,439,300","CV2",0.402164111812444
"2017-12-26",0.000277,0.001111,0.000277,0.001108,"196,886","6,353,570","CV2",3
"2017-12-25",0.000273,0.00042,0.000138,0.000277,"26,223","6,266,760","CV2",0.0146520146520146
"2017-12-24",0.000145,4e-04,0.000126,0.00027,"23,212","3,333,500","CV2",0.862068965517241
"2017-12-23",0.000135,0.000157,0.000134,0.000144,"175","3,088,640","CV2",0.0666666666666667
"2017-12-22",0.000155,0.000157,0.000111,0.000133,"1,499","3,556,860","CV2",-0.141935483870968
"2017-12-21",0.000165,0.000169,0.000147,0.000155,"2,507","3,778,810","CV2",-0.0606060606060606
"2017-12-20",6.1e-05,0.000169,4.8e-05,0.000164,"101","1,393,710","CV2",1.68852459016393
"2017-12-19",0.000144,0.000145,5.9e-05,6.1e-05,"40","3,293,510","CV2",-0.576388888888889
"2017-12-18",0.000167,0.000193,0.000146,0.000147,"41","3,831,780","CV2",-0.119760479041916
"2017-12-17",0.000193,0.000197,0.000166,0.000167,"109","4,414,810","CV2",-0.134715025906736
"2017-12-16",2.7e-05,0.000194,2.7e-05,0.000193,"3,447","626,458","CV2",6.14814814814815
"2017-12-15",0.000163,0.000235,2.7e-05,2.7e-05,"4,098","3,733,950","CV2",-0.834355828220859
"2017-12-14",2.8e-05,0.00017,2.8e-05,0.000163,"277","642,285","CV2",4.82142857142857
"2017-12-13",0.000247,0.000261,2.8e-05,2.8e-05,"2","5,663,410","CV2",-0.88663967611336
"2017-12-12",0.000122,0.00026,0.000107,0.000246,"270","2,804,260","CV2",1.01639344262295
"2017-12-11",3.4e-05,0.000129,1.9e-05,0.000122,"25","766,890","CV2",2.58823529411765
"2017-12-10",6.5e-05,0.000109,3.3e-05,3.4e-05,"28","1,478,590","CV2",-0.476923076923077
"2017-12-09",0.00012,0.000135,5.6e-05,6.4e-05,"691","2,749,100","CV2",-0.466666666666667
"2017-12-08",2.7e-05,0.000124,2.5e-05,0.00012,"31","613,506","CV2",3.44444444444445
"2017-12-07",4.8e-05,4.8e-05,2.6e-05,2.7e-05,"560","1,107,590","CV2",-0.4375
"2017-12-06",7.4e-05,0.000114,4.3e-05,4.9e-05,"6","1,693,230","CV2",-0.337837837837838
"2017-12-05",4.1e-05,0.000113,2.9e-05,7.4e-05,"36","926,507","CV2",0.804878048780488
"2017-12-04",4.4e-05,9.3e-05,3.3e-05,4e-05,"7","1,001,240","CV2",-0.0909090909090908
"2017-12-03",8.6e-05,8.7e-05,4.2e-05,4.4e-05,"164","1,969,120","CV2",-0.488372093023256
"2017-12-02",7.1e-05,8.9e-05,5e-05,8.6e-05,"49","1,624,350","CV2",0.211267605633803
"2017-12-01",4e-05,7.1e-05,1e-05,7.1e-05,"318","914,645","CV2",0.775
"2017-11-30",4.5e-05,4.7e-05,3.1e-05,4e-05,"76","1,019,000","CV2",-0.111111111111111
