"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.11,1.11,0.953113,1,"26,788,600","380,067,000","CVC",-0.0990990990990992
"2018-01-09",1.09,1.18,1.03,1.12,"26,552,100","373,317,000","CVC",0.0275229357798165
"2018-01-08",1.17,1.17,0.928927,1.09,"26,106,300","399,500,000","CVC",-0.0683760683760683
"2018-01-07",1.21,1.25,1.15,1.17,"36,934,200","414,068,000","CVC",-0.0330578512396695
"2018-01-06",1.1,1.29,1.02,1.21,"40,530,500","375,608,000","CVC",0.0999999999999999
"2018-01-05",1.19,1.24,1,1.1,"45,443,400","408,358,000","CVC",-0.0756302521008402
"2018-01-04",1.35,1.38,1.19,1.19,"55,528,600","463,520,000","CVC",-0.118518518518519
"2018-01-03",1.08,1.41,1.03,1.35,"80,342,300","369,319,000","CVC",0.25
"2018-01-02",0.903977,1.09,0.840865,1.08,"47,442,300","309,793,000","CVC",0.19472066214074
"2018-01-01",0.865682,0.934969,0.824671,0.906649,"19,144,800","296,669,000","CVC",0.0473233820271186
"2017-12-31",0.788619,0.895732,0.772372,0.864755,"17,690,000","270,260,000","CVC",0.0965434512736823
"2017-12-30",0.939545,0.939545,0.74284,0.793762,"18,738,300","321,982,000","CVC",-0.155163403562363
"2017-12-29",0.89866,1.02,0.871508,0.948419,"37,251,600","307,971,000","CVC",0.0553702178799546
"2017-12-28",0.965652,0.982528,0.789157,0.897079,"24,238,700","330,929,000","CVC",-0.0710121244506303
"2017-12-27",0.999154,1,0.896314,0.969022,"27,191,100","342,410,000","CVC",-0.0301575132562147
"2017-12-26",0.961482,1.02,0.8187,1.01,"49,257,800","329,500,000","CVC",0.0504616831100323
"2017-12-25",0.819694,1.66,0.817009,0.961668,"165,316,000","280,909,000","CVC",0.17320365892638
"2017-12-24",0.675335,0.810945,0.579244,0.788419,"16,964,500","231,437,000","CVC",0.167448747658569
"2017-12-23",0.548722,0.775641,0.547374,0.666228,"16,799,800","188,047,000","CVC",0.214144867528548
"2017-12-22",0.706919,0.71367,0.373138,0.537883,"14,321,700","242,261,000","CVC",-0.239116504153941
"2017-12-21",0.63821,0.785696,0.632031,0.705089,"22,480,900","218,715,000","CVC",0.104791526300121
"2017-12-20",0.587326,0.642976,0.507477,0.637924,"14,772,900","201,277,000","CVC",0.0861497703149529
"2017-12-19",0.573156,0.672315,0.549386,0.587545,"21,439,800","196,421,000","CVC",0.025104858014223
"2017-12-18",0.458626,0.587916,0.438721,0.578776,"16,799,500","157,171,000","CVC",0.261978169576082
"2017-12-17",0.417595,0.496186,0.413397,0.45739,"11,491,700","143,110,000","CVC",0.0952956812222369
"2017-12-16",0.424169,0.446976,0.406698,0.420824,"10,484,400","145,363,000","CVC",-0.00788600769976128
"2017-12-15",0.468846,0.480494,0.393673,0.41998,"16,070,000","160,674,000","CVC",-0.104226121157054
"2017-12-14",0.357083,0.484899,0.355559,0.463335,"19,093,400","122,372,000","CVC",0.297555470296822
"2017-12-13",0.355504,0.373806,0.324626,0.35915,"5,153,920","121,831,000","CVC",0.0102558621000046
"2017-12-12",0.332006,0.409999,0.307992,0.359601,"13,456,200","113,778,000","CVC",0.0831159677837147
"2017-12-11",0.283179,0.350795,0.276249,0.326224,"4,467,000","97,045,500","CVC",0.152006328152864
"2017-12-10",0.302601,0.316687,0.259953,0.285519,"2,726,510","103,701,000","CVC",-0.0564505735275164
"2017-12-09",0.297494,0.344875,0.292202,0.304354,"3,315,750","101,951,000","CVC",0.0230592885906944
"2017-12-08",0.29648,0.325793,0.262284,0.292517,"4,057,130","101,604,000","CVC",-0.0133668375607123
"2017-12-07",0.349078,0.357551,0.292283,0.297476,"5,701,890","119,629,000","CVC",-0.147823695563742
"2017-12-06",0.395485,0.397278,0.348814,0.349948,"6,745,530","135,533,000","CVC",-0.11514216721241
"2017-12-05",0.409976,0.437009,0.374391,0.398387,"11,119,400","140,499,000","CVC",-0.0282675083419518
"2017-12-04",0.32982,0.403761,0.325028,0.403178,"7,555,250","113,029,000","CVC",0.222418288763568
"2017-12-03",0.305793,0.375721,0.305793,0.326767,"6,129,390","104,795,000","CVC",0.0685888820214982
"2017-12-02",0.311373,0.321606,0.291447,0.306496,"2,191,650","106,707,000","CVC",-0.0156628866343582
"2017-12-01",0.293388,0.325244,0.287164,0.309329,"1,923,460","100,544,000","CVC",0.0543341922641691
"2017-11-30",0.26996,0.306309,0.257033,0.293578,"2,299,640","92,515,400","CVC",0.0874870351163136
"2017-11-29",0.342766,0.350417,0.267354,0.268847,"3,906,220","117,466,000","CVC",-0.215654411464381
"2017-11-28",0.354985,0.361698,0.336991,0.345966,"3,991,740","121,653,000","CVC",-0.0254067073256616
"2017-11-27",0.345937,0.359256,0.338723,0.356117,"2,737,270","118,553,000","CVC",0.029427323472193
"2017-11-26",0.33977,0.35388,0.324537,0.345944,"3,359,780","116,439,000","CVC",0.0181711157547752
"2017-11-25",0.324297,0.341915,0.318606,0.339592,"2,663,010","111,137,000","CVC",0.047163556862999
"2017-11-24",0.313771,0.324429,0.304104,0.324429,"2,354,040","107,529,000","CVC",0.0339674475971329
"2017-11-23",0.305888,0.320612,0.295083,0.314825,"2,814,990","104,828,000","CVC",0.0292165760016739
"2017-11-22",0.305325,0.317753,0.298725,0.305603,"2,358,700","104,635,000","CVC",0.000910505199377714
"2017-11-21",0.310705,0.323013,0.287176,0.304136,"2,540,700","106,479,000","CVC",-0.0211422410324906
"2017-11-20",0.298342,0.374968,0.288624,0.314852,"16,029,800","102,242,000","CVC",0.0553391745044279
"2017-11-19",0.281262,0.298522,0.271398,0.295572,"2,102,940","96,388,600","CVC",0.0508778292126202
"2017-11-18",0.272222,0.285648,0.267477,0.281262,"1,249,320","93,290,400","CVC",0.0332081903740329
"2017-11-17",0.281456,0.292527,0.262846,0.273207,"2,245,460","96,455,000","CVC",-0.0293083110681599
"2017-11-16",0.291409,0.348379,0.280764,0.283301,"4,720,710","99,865,800","CVC",-0.0278234371622014
"2017-11-15",0.285983,0.302295,0.283403,0.291401,"1,824,740","98,006,400","CVC",0.0189451820562762
"2017-11-14",0.282243,0.290839,0.277974,0.286186,"1,310,850","96,724,600","CVC",0.0139702313254889
"2017-11-13",0.270187,0.297666,0.267984,0.28214,"2,218,070","92,593,200","CVC",0.0442397302608933
"2017-11-12",0.275174,0.295561,0.225126,0.268403,"3,091,960","94,302,300","CVC",-0.0246062491369096
"2017-11-11",0.280276,0.293352,0.268394,0.275242,"1,422,900","96,050,500","CVC",-0.0179608671452427
"2017-11-10",0.316116,0.322461,0.27101,0.283352,"1,598,880","108,333,000","CVC",-0.103645497222539
"2017-11-09",0.311665,0.328754,0.307893,0.315095,"2,248,450","106,808,000","CVC",0.0110054064460237
"2017-11-08",0.288279,0.333946,0.259964,0.309467,"4,968,840","98,793,200","CVC",0.0734982430215173
"2017-11-07",0.29017,0.2972,0.281077,0.28918,"1,069,900","99,441,200","CVC",-0.00341179308681115
"2017-11-06",0.293249,0.298889,0.281214,0.290517,"1,727,980","100,496,000","CVC",-0.00931631480414241
"2017-11-05",0.291049,0.297814,0.284368,0.29326,"864,493","99,742,500","CVC",0.00759665898182099
"2017-11-04",0.29209,0.306938,0.284665,0.294734,"1,133,490","100,099,000","CVC",0.00905200451915499
