"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.043813,0.043813,0.018771,0.032996,"170,043","-","CYDER",-0.246890192408646
"2018-01-09",0.006476,0.066303,0.005871,0.043756,"876,452","-","CYDER",5.75663990117356
"2018-01-08",0.001466,0.00635,0.001437,0.006342,"65,310","-","CYDER",3.32605729877217
"2018-01-07",0.00172,0.001776,0.001,0.001468,"2,821","-","CYDER",-0.146511627906977
"2018-01-06",0.001019,0.001725,0.000982,0.001722,"2,209","-","CYDER",0.689892051030422
"2018-01-05",0.000911,0.001192,0.000597,0.001018,"1,183","-","CYDER",0.117453347969265
"2018-01-04",0.000913,0.000927,0.000718,0.000911,"674","-","CYDER",-0.00219058050383345
"2018-01-03",0.00089,0.000923,0.000734,0.000756,"1,859","-","CYDER",-0.150561797752809
"2018-01-02",0.000675,0.000912,0.000652,0.000893,"1,119","-","CYDER",0.322962962962963
"2018-01-01",0.000559,0.000687,0.000516,0.000675,"805","-","CYDER",0.207513416815742
"2017-12-31",0.000509,0.00057,0.000253,0.000557,"1,006","-","CYDER",0.0943025540275049
"2017-12-30",0.00058,0.00058,0.000249,0.000514,"368","-","CYDER",-0.113793103448276
"2017-12-29",0.000579,0.000592,0.000285,0.000581,"233","-","CYDER",0.00345423143350613
"2017-12-28",0.000621,0.000623,0.000273,0.000573,"120","-","CYDER",-0.0772946859903381
"2017-12-27",0.000317,0.00064,0.000309,0.000622,"41","-","CYDER",0.962145110410095
"2017-12-26",0.000279,0.000646,0.000277,0.000317,"163","-","CYDER",0.136200716845878
"2017-12-25",0.000563,0.000569,0.000273,0.000279,"265","-","CYDER",-0.504440497335702
"2017-12-24",0.00073,0.00073,0.000508,0.000558,"67","-","CYDER",-0.235616438356164
"2017-12-23",0.000552,0.000776,0.000544,0.000722,"205","-","CYDER",0.307971014492754
"2017-12-22",0.000471,0.000593,0.000229,0.000546,"215","-","CYDER",0.159235668789809
"2017-12-21",0.00033,0.000506,0.000322,0.00047,"62","-","CYDER",0.424242424242424
"2017-12-20",0.000352,0.000357,0.000315,0.000329,"20","-","CYDER",-0.0653409090909091
"2017-12-19",0.000574,0.000576,0.000341,0.000353,"106","-","CYDER",-0.385017421602787
"2017-12-18",0.000383,0.000579,0.000365,0.000574,"65","-","CYDER",0.498694516971279
"2017-12-17",0.00039,0.000399,0.000377,0.000381,"49","-","CYDER",-0.0230769230769231
"2017-12-16",0.000529,0.000532,0.000352,0.000389,"420","-","CYDER",-0.264650283553875
"2017-12-15",0.000332,0.000537,0.000332,0.000529,"362","-","CYDER",0.593373493975904
"2017-12-14",0.000328,0.000341,0.000324,0.000331,"13","-","CYDER",0.00914634146341469
"2017-12-13",0.000346,0.00035,0.000319,0.000329,"382","-","CYDER",-0.0491329479768787
"2017-12-12",0.000337,0.000355,0.000329,0.000345,"79","-","CYDER",0.0237388724035608
"2017-12-11",0.000305,0.00035,0.000304,0.000336,"162","-","CYDER",0.101639344262295
"2017-12-10",0.000301,0.000315,0.000265,0.000307,"62","-","CYDER",0.0199335548172757
"2017-12-09",0.000325,0.00033,0.000271,3e-04,"26","-","CYDER",-0.076923076923077
"2017-12-08",0.000174,0.000326,0.000152,0.000326,"425","-","CYDER",0.873563218390805
"2017-12-07",0.000275,0.000302,0.000148,0.000173,"234","-","CYDER",-0.370909090909091
"2017-12-06",0.000234,0.000276,0.000234,0.000275,"26","-","CYDER",0.175213675213675
"2017-12-05",0.000233,0.000354,0.000117,0.000235,"213","-","CYDER",0.00858369098712444
"2017-12-04",0.000225,0.000233,0.000218,0.000233,"218","-","CYDER",0.0355555555555556
"2017-12-03",0.000219,0.000237,0.000212,0.000224,"23","-","CYDER",0.0228310502283104
"2017-12-02",0.000218,0.000224,0.000215,0.000218,"86","-","CYDER",0
"2017-12-01",2e-04,0.000219,0.000189,0.000218,"1","-","CYDER",0.09
"2017-11-30",0.000197,0.000214,0.00018,0.000201,"191","-","CYDER",0.0203045685279189
"2017-11-29",0.000397,0.000446,0.000193,0.000194,"247","-","CYDER",-0.511335012594458
"2017-11-28",0.000293,0.000399,0.000198,0.000398,"139","-","CYDER",0.358361774744027
"2017-11-27",0.00028,0.000389,0.00028,0.000292,"140","-","CYDER",0.0428571428571429
"2017-11-26",0.00035,0.000455,0.000265,0.000279,"306","-","CYDER",-0.202857142857143
"2017-11-25",0.000328,0.000493,0.000173,0.00035,"1,656","-","CYDER",0.0670731707317073
"2017-11-24",0.000161,0.000334,0.000158,0.000329,"363","-","CYDER",1.04347826086956
"2017-11-23",0.000247,0.000327,0.000161,0.000161,"1,073","-","CYDER",-0.348178137651822
"2017-11-22",0.000243,0.000331,0.000242,0.000247,"110","-","CYDER",0.0164609053497942
"2017-11-21",0.00033,0.00033,0.000234,0.000243,"482","-","CYDER",-0.263636363636364
