"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",23.44,31.88,22.79,31.88,"3,533,340","43,062,000","DBIX",0.360068259385665
"2018-01-09",20.88,26.12,17.64,23.29,"3,058,430","38,230,800","DBIX",0.115421455938697
"2018-01-08",11.94,20.54,11.78,20.54,"3,131,470","21,781,700","DBIX",0.720268006700168
"2018-01-07",11.27,13.08,10.63,12.32,"799,855","20,486,600","DBIX",0.0931677018633541
"2018-01-06",8.83,11.29,8.37,11.23,"535,579","15,995,800","DBIX",0.271800679501699
"2018-01-05",9.98,10.43,8.61,8.92,"447,989","18,018,400","DBIX",-0.106212424849699
"2018-01-04",10.24,10.61,9.52,10.02,"339,378","18,424,800","DBIX",-0.0214843750000001
"2018-01-03",9.47,10.54,8.74,10.17,"361,493","16,978,600","DBIX",0.0739176346356916
"2018-01-02",8.46,16.94,7.94,9.53,"1,153,770","15,129,500","DBIX",0.126477541371158
"2018-01-01",6.7,8.43,6.33,8.43,"318,663","11,933,100","DBIX",0.258208955223881
"2017-12-31",6.2,7.28,6.1,6.69,"155,383","11,005,700","DBIX",0.0790322580645162
"2017-12-30",6.84,7.96,5.83,6.24,"305,497","12,100,800","DBIX",-0.087719298245614
"2017-12-29",6.09,9.89,6.09,7.52,"799,327","10,735,800","DBIX",0.234811165845649
"2017-12-28",5.5,6.36,4.79,6.36,"262,962","9,656,200","DBIX",0.156363636363636
"2017-12-27",5.96,6.17,5.07,5.55,"170,543","10,433,600","DBIX",-0.0687919463087249
"2017-12-26",5.72,6.24,5.4,5.98,"239,063","9,971,070","DBIX",0.0454545454545456
"2017-12-25",5.66,6.19,5.08,5.78,"217,231","9,843,200","DBIX",0.0212014134275619
"2017-12-24",6.5,7.42,5.16,5.61,"190,308","11,255,900","DBIX",-0.136923076923077
"2017-12-23",5.01,6.82,4.63,6.36,"337,583","8,644,230","DBIX",0.269461077844312
"2017-12-22",4.9,5.18,3.51,4.58,"120,861","8,422,460","DBIX",-0.0653061224489796
"2017-12-21",4.89,5.43,4.71,4.87,"174,214","8,382,850","DBIX",-0.00408997955010216
"2017-12-20",5.07,5.73,4.51,4.88,"141,548","8,662,140","DBIX",-0.0374753451676529
"2017-12-19",5.84,6.31,4.85,5.25,"214,452","9,928,070","DBIX",-0.101027397260274
"2017-12-18",5.53,6.49,4.86,6.17,"189,147","9,372,840","DBIX",0.115732368896926
"2017-12-17",5.92,6.25,5.43,5.52,"107,361","9,998,170","DBIX",-0.0675675675675676
"2017-12-16",5.82,6.39,5.57,5.71,"144,546","9,794,990","DBIX",-0.0189003436426117
"2017-12-15",5.06,6.23,5.06,6.05,"165,047","8,481,150","DBIX",0.195652173913044
"2017-12-14",4.74,5.3,4.61,4.98,"122,209","7,918,260","DBIX",0.0506329113924051
"2017-12-13",5.15,5.6,4.56,4.76,"116,068","8,565,390","DBIX",-0.0757281553398059
"2017-12-12",6.35,6.35,4.9,5.14,"184,649","10,508,200","DBIX",-0.190551181102362
"2017-12-11",6.25,6.86,6.11,6.25,"129,714","10,322,900","DBIX",0
"2017-12-10",6.1,6.97,5.37,6.29,"150,272","10,045,500","DBIX",0.0311475409836066
"2017-12-09",6.8,6.86,5.52,6.16,"134,263","11,143,100","DBIX",-0.0941176470588235
"2017-12-08",6.89,7.75,6.05,6.69,"155,705","11,249,500","DBIX",-0.0290275761973874
"2017-12-07",8.13,8.42,5.51,7.05,"284,295","13,231,400","DBIX",-0.132841328413284
"2017-12-06",11.34,11.51,7.47,8.28,"452,664","18,397,900","DBIX",-0.26984126984127
"2017-12-05",7.42,11.24,7.12,11.19,"623,172","11,990,500","DBIX",0.508086253369272
"2017-12-04",7.83,8.01,6.9,7.5,"181,939","12,598,800","DBIX",-0.0421455938697318
"2017-12-03",7.56,9.03,7.22,7.74,"188,768","12,122,400","DBIX",0.0238095238095239
"2017-12-02",7.3,7.62,6.94,7.57,"136,563","11,665,800","DBIX",0.0369863013698631
"2017-12-01",6.77,7.59,6.58,7.13,"134,177","10,772,900","DBIX",0.0531757754800591
"2017-11-30",6.69,8.16,5.94,6.84,"139,908","10,611,800","DBIX",0.022421524663677
"2017-11-29",7.89,8.62,6,6.5,"198,324","12,459,800","DBIX",-0.17617237008872
"2017-11-28",8.42,9.77,7.73,7.86,"167,644","13,258,900","DBIX",-0.0665083135391924
"2017-11-27",8.15,8.9,6.74,8.46,"278,260","12,777,400","DBIX",0.038036809815951
"2017-11-26",8.53,9.07,7.63,8.14,"242,191","13,324,400","DBIX",-0.0457209847596716
"2017-11-25",8.34,9.19,8.08,8.56,"135,953","12,984,400","DBIX",0.0263788968824941
"2017-11-24",8.21,9.35,7.92,8.32,"167,872","12,731,900","DBIX",0.0133982947624847
"2017-11-23",8.98,9.12,7.59,8.18,"250,147","13,881,800","DBIX",-0.0890868596881961
"2017-11-22",9.71,9.84,8.67,8.92,"148,720","14,956,000","DBIX",-0.0813594232749743
"2017-11-21",9.28,10.99,9,9.67,"191,524","14,236,000","DBIX",0.0420258620689656
"2017-11-20",10.47,10.77,9.45,9.45,"240,089","15,996,100","DBIX",-0.0974212034383955
"2017-11-19",10.23,10.46,9.53,10.27,"222,860","15,554,800","DBIX",0.00391006842619738
"2017-11-18",10.23,10.64,9.9,10.25,"189,195","15,503,900","DBIX",0.00195503421309869
"2017-11-17",11.35,11.64,10.22,10.35,"240,443","17,127,300","DBIX",-0.0881057268722467
"2017-11-16",9.97,12.23,9.28,11.69,"553,870","14,984,200","DBIX",0.172517552657974
"2017-11-15",8.97,9.91,8.72,9.91,"237,229","13,420,100","DBIX",0.10479375696767
"2017-11-14",8.49,9.07,8.3,8.96,"162,991","12,650,200","DBIX",0.0553592461719671
"2017-11-13",7.09,9.51,7.05,8.6,"168,577","10,527,800","DBIX",0.212976022566996
"2017-11-12",8.51,8.51,6.92,7.08,"158,037","12,584,400","DBIX",-0.168037602820211
"2017-11-11",9.24,9.84,8.45,8.5,"133,164","13,610,100","DBIX",-0.0800865800865801
"2017-11-10",10.48,10.7,8.92,9.26,"167,453","15,369,900","DBIX",-0.116412213740458
"2017-11-09",10.93,11.59,10.08,10.53,"247,379","15,962,700","DBIX",-0.0365965233302837
"2017-11-08",9.44,11.79,9.37,10.98,"289,184","13,722,200","DBIX",0.163135593220339
"2017-11-07",9.91,10.29,9.19,9.47,"197,877","14,354,500","DBIX",-0.0443995963673057
"2017-11-06",8.89,10.6,8.74,9.81,"355,269","12,822,500","DBIX",0.103487064116985
"2017-11-05",9.48,10.36,8.57,8.89,"183,421","13,619,200","DBIX",-0.0622362869198312
"2017-11-04",9.83,11.4,7.74,9.44,"240,223","14,052,900","DBIX",-0.0396744659206511
"2017-11-03",11.44,12.28,9.47,9.76,"259,015","16,297,300","DBIX",-0.146853146853147
"2017-11-02",12.17,13.56,10.89,11.25,"398,426","17,265,500","DBIX",-0.0755957271980279
"2017-11-01",11.87,12.87,8.05,12.16,"842,386","16,757,900","DBIX",0.0244313395113733
"2017-10-31",14.32,19.75,11.39,11.44,"1,084,540","20,137,700","DBIX",-0.201117318435754
"2017-10-30",8.97,14.77,8.81,14.77,"1,012,850","12,564,200","DBIX",0.64659977703456
"2017-10-29",6.89,9.26,6.76,9.19,"430,317","9,606,970","DBIX",0.333817126269956
"2017-10-28",7.01,7.28,6.64,6.9,"116,799","9,732,730","DBIX",-0.0156918687589158
"2017-10-27",6.16,7.21,5.38,6.98,"281,606","8,518,740","DBIX",0.133116883116883
"2017-10-26",5.68,7.47,5.6,6.2,"374,568","7,815,480","DBIX",0.091549295774648
"2017-10-25",4.15,7.12,4.08,5.73,"326,803","5,687,360","DBIX",0.380722891566265
"2017-10-24",3.97,4.23,3.61,4.1,"172,231","5,420,340","DBIX",0.0327455919395465
"2017-10-23",4.26,4.48,3.8,3.95,"70,393","5,785,400","DBIX",-0.0727699530516431
"2017-10-22",4.24,4.4,4.07,4.25,"55,426","5,747,690","DBIX",0.00235849056603769
"2017-10-21",4.53,4.62,4.25,4.25,"39,546","6,107,630","DBIX",-0.0618101545253864
"2017-10-20",4.11,5.09,4.02,4.51,"122,164","5,514,250","DBIX",0.0973236009732359
"2017-10-19",4.01,4.2,3.83,4.11,"53,712","5,363,080","DBIX",0.0249376558603493
