"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.004938,0.006114,0.003731,0.004117,"13,056,200","1,605,690,000","DCN",-0.166261644390441
"2018-01-09",0.005276,0.005757,0.003269,0.004998,"15,264,000","1,715,590,000","DCN",-0.052691432903715
"2018-01-08",0.005874,0.007548,0.004793,0.005521,"30,099,500","1,910,300,000","DCN",-0.0600953353762343
"2018-01-07",0.002278,0.008267,0.00219,0.005839,"40,995,900","740,731,000","DCN",1.56321334503951
"2018-01-06",0.001119,0.002676,0.001042,0.002274,"11,924,100","364,003,000","DCN",1.03217158176944
"2018-01-05",0.000728,0.001109,0.000693,0.001099,"2,456,540","236,748,000","DCN",0.509615384615384
"2018-01-04",5e-04,8e-04,5e-04,0.00073,"1,770,230","162,446,000","DCN",0.46
"2018-01-03",0.000476,0.000501,0.000416,0.000475,"579,742","154,777,000","DCN",-0.0021008403361345
"2018-01-02",0.000528,0.00057,0.000471,0.000471,"804,178","171,816,000","DCN",-0.107954545454545
"2018-01-01",0.00056,0.000608,0.000525,0.000528,"493,210","182,138,000","DCN",-0.057142857142857
"2017-12-31",0.000531,0.000592,0.000464,0.000586,"606,470","172,648,000","DCN",0.103578154425612
"2017-12-30",0.000644,0.000644,0.00052,0.000523,"664,815","209,502,000","DCN",-0.187888198757764
"2017-12-29",0.000611,0.000709,0.000553,0.000641,"1,098,690","198,628,000","DCN",0.0490998363338788
"2017-12-28",0.000624,0.000654,0.000458,0.00061,"1,444,950","203,071,000","DCN",-0.0224358974358975
"2017-12-27",0.000759,0.000945,0.00059,0.00064,"5,431,970","246,726,000","DCN",-0.156785243741765
"2017-12-26",0.000279,0.00085,0.000273,0.000726,"3,774,460","90,625,200","DCN",1.60215053763441
"2017-12-25",0.000173,0.000283,0.000173,0.000279,"468,315","56,187,600","DCN",0.61271676300578
"2017-12-24",0.000163,0.000181,0.00014,0.00017,"104,554","52,850,600","DCN",0.0429447852760737
"2017-12-23",0.000138,0.000187,0.000138,0.000163,"122,912","44,988,600","DCN",0.181159420289855
"2017-12-22",0.000162,0.000198,0.000118,0.000145,"132,949","52,658,300","DCN",-0.104938271604938
"2017-12-21",0.000153,0.000195,0.000153,0.000162,"177,988","49,677,800","DCN",0.0588235294117647
"2017-12-20",0.000198,0.000198,0.000145,0.000153,"141,191","64,298,000","DCN",-0.227272727272727
"2017-12-19",0.000152,0.000219,0.000152,0.000198,"374,087","49,430,900","DCN",0.302631578947368
"2017-12-18",9e-05,0.000207,8.3e-05,0.000161,"266,295","29,249,200","DCN",0.788888888888889
"2017-12-17",9.2e-05,0.000101,7.6e-05,8.9e-05,"152,490","30,034,100","DCN",-0.032608695652174
"2017-12-16",0.000126,0.00013,8.1e-05,9e-05,"49,701","40,819,700","DCN",-0.285714285714286
"2017-12-15",0.000146,0.000154,8.7e-05,0.000125,"52,916","47,559,000","DCN",-0.143835616438356
"2017-12-14",0.00011,0.000151,0.000104,0.000146,"121,131","35,627,200","DCN",0.327272727272727
"2017-12-13",0.000134,0.000155,1e-04,0.00011,"45,628","43,669,400","DCN",-0.17910447761194
"2017-12-12",9.3e-05,0.000139,8e-05,0.000134,"127,492","30,385,500","DCN",0.440860215053764
"2017-12-11",7.5e-05,9.4e-05,6.2e-05,8.3e-05,"23,853","24,415,700","DCN",0.106666666666667
"2017-12-10",8.7e-05,9e-05,6.4e-05,7.6e-05,"28,612","28,356,000","DCN",-0.126436781609195
"2017-12-09",0.000103,0.000105,7.9e-05,8.5e-05,"15,137","33,477,700","DCN",-0.174757281553398
"2017-12-08",0.000109,0.000111,8.3e-05,0.000102,"25,012","35,371,300","DCN",-0.0642201834862386
"2017-12-07",7e-05,0.000109,6.9e-05,0.000109,"65,755","22,643,200","DCN",0.557142857142857
"2017-12-06",7.3e-05,7.7e-05,6.3e-05,7e-05,"35,523","23,627,900","DCN",-0.041095890410959
"2017-12-05",6.6e-05,8.1e-05,5.6e-05,7.2e-05,"26,049","21,351,200","DCN",0.0909090909090909
"2017-12-04",7.2e-05,8e-05,6.2e-05,6.6e-05,"23,717","23,348,900","DCN",-0.0833333333333333
"2017-12-03",7.7e-05,8.2e-05,6.1e-05,7.2e-05,"25,235","25,144,100","DCN",-0.0649350649350649
"2017-12-02",7.1e-05,9.1e-05,7e-05,7.7e-05,"22,730","23,148,100","DCN",0.0845070422535211
"2017-12-01",6.5e-05,7.8e-05,6.2e-05,7.1e-05,"7,376","21,111,800","DCN",0.0923076923076925
"2017-11-30",6.2e-05,6.8e-05,5.1e-05,6.5e-05,"12,433","20,212,000","DCN",0.0483870967741934
"2017-11-29",7.2e-05,7.5e-05,5.1e-05,6e-05,"19,596","23,311,000","DCN",-0.166666666666667
"2017-11-28",7.3e-05,7.9e-05,6.6e-05,7.2e-05,"11,381","23,732,400","DCN",-0.0136986301369863
"2017-11-27",7.3e-05,7.9e-05,6.7e-05,7.3e-05,"8,789","23,814,200","DCN",0
"2017-11-26",6.6e-05,8.5e-05,5.1e-05,7.3e-05,"47,434","21,294,100","DCN",0.106060606060606
"2017-11-25",6.9e-05,7.7e-05,5.9e-05,6.6e-05,"23,054","22,324,500","DCN",-0.0434782608695651
"2017-11-24",7.1e-05,7.7e-05,6.8e-05,6.9e-05,"24,039","22,896,300","DCN",-0.0281690140845072
"2017-11-23",7.6e-05,8.2e-05,6.7e-05,7.1e-05,"15,309","24,540,400","DCN",-0.0657894736842105
"2017-11-22",7.7e-05,8e-05,6.7e-05,7.6e-05,"19,395","24,815,100","DCN",-0.0129870129870129
"2017-11-21",7.6e-05,7.9e-05,7e-05,7.7e-05,"23,477","24,502,800","DCN",0.0131578947368421
"2017-11-20",0.000123,0.000134,7.2e-05,7.6e-05,"30,222","39,724,400","DCN",-0.382113821138211
"2017-11-19",0.000132,0.000132,7.4e-05,0.000123,"43,911","42,810,900","DCN",-0.0681818181818182
