"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.028855,0.038194,0.01921,0.030717,"1,333,660","-","DIM",0.0645295442730897
"2018-01-09",0.030529,0.038952,0.02239,0.028588,"1,237,060","-","DIM",-0.0635788922008583
"2018-01-08",0.036494,0.045516,0.021985,0.037124,"1,995,670","-","DIM",0.0172631117443963
"2018-01-07",0.058104,0.059618,0.033518,0.038518,"1,323,500","-","DIM",-0.337085226490431
"2018-01-06",0.042962,0.063087,0.041372,0.058817,"1,023,860","-","DIM",0.369047064848005
"2018-01-05",0.053922,0.057018,0.042816,0.04961,"835,683","-","DIM",-0.0799673602611179
"2018-01-04",0.054761,0.065964,0.046466,0.05393,"1,738,070","-","DIM",-0.0151750333266375
"2018-01-03",0.051137,0.071698,0.036295,0.053379,"4,214,440","-","DIM",0.0438430099536539
"2018-01-02",0.153134,0.163136,0.038436,0.051776,"3,425,530","-","DIM",-0.661890892943435
"2018-01-01",0.140301,0.164825,0.132784,0.152831,"87,240","-","DIM",0.0893079878261736
"2017-12-31",0.117709,0.187679,0.117474,0.140007,"261,434","-","DIM",0.189433263386827
"2017-12-30",0.147987,0.189604,0.098579,0.115629,"203,620","-","DIM",-0.218654341259705
"2017-12-29",0.206035,0.213884,0.130285,0.156489,"286,003","-","DIM",-0.240473705923751
"2017-12-28",0.254242,0.302715,0.185938,0.201876,"462,781","-","DIM",-0.205969116039049
"2017-12-27",0.251228,0.35336,0.23649,0.245616,"1,409,400","-","DIM",-0.0223382743961661
