"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",10.49,11.23,9.07,10.22,"321,638","53,941,900","DIVX",-0.0257387988560533
"2018-01-09",10.49,11.43,8.94,10.48,"413,506","53,968,500","DIVX",-0.000953288846520475
"2018-01-08",9.14,13.39,8.32,10.52,"731,426","47,009,700","DIVX",0.150984682713348
"2018-01-07",7.71,9.88,7.13,9.44,"555,711","39,642,200","DIVX",0.224383916990921
"2018-01-06",5.33,7.72,4.7,7.71,"395,799","27,410,200","DIVX",0.446529080675422
"2018-01-05",4.69,5.55,4.14,5.33,"234,907","24,123,000","DIVX",0.136460554371002
"2018-01-04",4.11,4.97,3.93,4.69,"249,119","21,123,100","DIVX",0.141119221411192
"2018-01-03",3.41,4.96,2.74,4.08,"477,770","17,552,100","DIVX",0.196480938416422
"2018-01-02",2.04,3.15,2.04,2.98,"158,455","10,481,600","DIVX",0.46078431372549
"2018-01-01",1.98,2.58,1.89,1.89,"67,655","10,163,900","DIVX",-0.0454545454545455
"2017-12-31",1.9,2.23,1.47,1.97,"62,697","9,795,850","DIVX",0.0368421052631579
"2017-12-30",1.74,1.95,1.46,1.48,"57,356","8,940,740","DIVX",-0.149425287356322
"2017-12-29",1.47,2.23,1.39,1.74,"152,667","7,552,800","DIVX",0.183673469387755
"2017-12-28",1.36,1.83,1.21,1.45,"189,493","6,991,180","DIVX",0.0661764705882352
"2017-12-27",1.26,1.48,1.25,1.36,"63,631","6,499,720","DIVX",0.0793650793650794
"2017-12-26",1.46,1.57,1.24,1.24,"52,794","7,522,120","DIVX",-0.150684931506849
"2017-12-25",1.27,1.76,1.11,1.46,"65,175","6,526,580","DIVX",0.149606299212598
"2017-12-24",1.29,1.39,1.04,1.26,"75,099","6,649,810","DIVX",-0.0232558139534884
"2017-12-23",1.16,1.49,1.14,1.28,"43,795","5,989,340","DIVX",0.103448275862069
"2017-12-22",1.22,1.25,0.949642,1.15,"39,800","6,260,200","DIVX",-0.0573770491803279
"2017-12-21",1.31,1.45,1.2,1.21,"44,018","6,747,660","DIVX",-0.0763358778625955
"2017-12-20",1.4,1.54,1.12,1.31,"96,874","7,219,630","DIVX",-0.0642857142857142
"2017-12-19",1.56,1.9,1.13,1.44,"171,551","8,001,380","DIVX",-0.076923076923077
"2017-12-18",1.12,1.89,1.07,1.55,"133,566","5,763,220","DIVX",0.383928571428571
"2017-12-17",1.08,1.16,1.01,1.12,"32,225","5,530,990","DIVX",0.0370370370370371
"2017-12-16",1.01,1.16,0.844399,1.08,"35,269","5,215,980","DIVX",0.0693069306930694
"2017-12-15",0.914736,1.05,0.850592,1.01,"36,473","4,704,490","DIVX",0.104143709223208
"2017-12-14",0.83445,1.04,0.767029,0.915372,"64,938","4,291,580","DIVX",0.0969764515549163
"2017-12-13",0.993733,1.09,0.732496,0.837114,"62,863","5,110,780","DIVX",-0.157606721322528
"2017-12-12",1.05,1.14,0.918547,0.988093,"40,600","5,390,770","DIVX",-0.0589590476190477
"2017-12-11",1.31,1.39,0.93386,1.05,"25,924","6,743,680","DIVX",-0.198473282442748
"2017-12-10",1.05,1.33,0.892755,1.32,"34,449","5,415,620","DIVX",0.257142857142857
"2017-12-09",1.14,1.4,0.993421,1.05,"11,274","5,855,170","DIVX",-0.0789473684210525
"2017-12-08",1.25,1.48,0.948154,1.14,"124,054","6,418,350","DIVX",-0.0880000000000001
"2017-12-07",1.65,1.88,1.02,1.25,"103,217","8,475,780","DIVX",-0.242424242424242
"2017-12-06",1.25,1.75,1.25,1.63,"61,126","6,446,220","DIVX",0.304
"2017-12-05",1.69,1.87,1.26,1.26,"101,201","8,691,020","DIVX",-0.254437869822485
"2017-12-04",1.35,1.67,1.35,1.59,"77,353","6,953,970","DIVX",0.177777777777778
"2017-12-03",1.13,1.39,0.98591,1.35,"54,621","5,792,330","DIVX",0.194690265486726
"2017-12-02",1.31,1.33,1.11,1.13,"26,143","6,717,400","DIVX",-0.137404580152672
"2017-12-01",1.08,1.37,0.970215,1.31,"52,974","5,551,120","DIVX",0.212962962962963
"2017-11-30",1.18,1.55,0.832391,1.04,"67,737","6,073,960","DIVX",-0.11864406779661
"2017-11-29",0.94524,1.63,0.875395,1.19,"113,301","4,861,380","DIVX",0.258939528585333
"2017-11-28",0.84823,1.96,0.821854,0.993486,"230,553","-","DIVX",0.171246006389776
"2017-11-27",0.822199,0.846038,0.821619,0.846038,"56,068","-","DIVX",0.0289941972685444
