"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.020592,0.020998,0.019165,0.020998,"116","187,528","DLC",0.0197163947163947
"2018-01-09",0.021234,0.021889,0.020276,0.020565,"95","193,376","DLC",-0.0315060751624752
"2018-01-08",0.022799,0.022884,0.01994,0.021292,"53","207,623","DLC",-0.0660993903241371
"2018-01-07",0.024084,0.024084,0.022405,0.022831,"29","219,322","DLC",-0.0520262414881249
"2018-01-06",0.021909,0.024338,0.020979,0.024101,"220","199,522","DLC",0.10005020767721
"2018-01-05",0.021254,0.022328,0.020272,0.021892,"54","193,551","DLC",0.0300178789874847
"2018-01-04",0.01947,0.021249,0.01839,0.021249,"172","177,306","DLC",0.0913713405238829
"2018-01-03",0.01899,0.019791,0.01878,0.019364,"41","172,934","DLC",0.0196945760926803
"2018-01-02",0.017282,0.019456,0.016685,0.019057,"32","157,380","DLC",0.102708019905104
"2018-01-01",0.017896,0.019307,0.016527,0.017283,"42","162,975","DLC",-0.0342534644613321
"2017-12-31",0.017419,0.018451,0.016209,0.017827,"35","158,628","DLC",0.023422699351283
"2017-12-30",0.018555,0.018561,0.015582,0.017609,"31","168,971","DLC",-0.0509835623821072
"2017-12-29",0.018289,0.019046,0.018082,0.018601,"117","166,553","DLC",0.0170594346328394
"2017-12-28",0.021257,0.021347,0.018668,0.019226,"2","193,580","DLC",-0.0955449969421838
"2017-12-27",0.021538,0.02252,0.018991,0.021302,"12","196,143","DLC",-0.0109573776580927
"2017-12-26",0.017969,0.02195,0.017896,0.021523,"142","163,641","DLC",0.197785074294619
"2017-12-25",0.018172,0.019716,0.017388,0.017988,"9","165,488","DLC",-0.0101254677525864
"2017-12-24",0.019719,0.019719,0.016916,0.017985,"56","179,572","DLC",-0.0879354936862924
"2017-12-23",0.017789,0.021138,0.017665,0.019503,"47","161,996","DLC",0.0963516780032605
"2017-12-22",0.020898,0.021104,0.014765,0.017622,"90","190,315","DLC",-0.156761412575366
"2017-12-21",0.021758,0.02295,0.020145,0.020826,"119","198,143","DLC",-0.0428348193767809
"2017-12-20",0.022728,0.023008,0.020692,0.021701,"52","206,979","DLC",-0.045186554030271
"2017-12-19",0.024491,0.024579,0.021996,0.022751,"49","223,032","DLC",-0.0710465068800783
"2017-12-18",0.023463,0.024697,0.023463,0.02447,"239","213,674","DLC",0.0429186378553466
"2017-12-17",0.02493,0.025559,0.024152,0.024503,"11","227,032","DLC",-0.017127958283193
"2017-12-16",0.022588,0.025124,0.022303,0.024927,"130","205,702","DLC",0.103550557818311
"2017-12-15",0.021232,0.023135,0.021228,0.022556,"69","193,355","DLC",0.0623587038432554
"2017-12-14",0.020961,0.021842,0.020724,0.0212,"46","190,882","DLC",0.0114021277610801
"2017-12-13",0.021316,0.022247,0.020398,0.021028,"183","194,118","DLC",-0.0135109776693564
"2017-12-12",0.021046,0.021748,0.020553,0.021379,"7","191,658","DLC",0.015822484082486
"2017-12-11",0.019059,0.02188,0.018975,0.020979,"121","173,562","DLC",0.100739807964741
"2017-12-10",0.018797,0.019716,0.016548,0.019197,"42","171,178","DLC",0.0212799914880033
"2017-12-09",0.02033,0.020631,0.01693,0.018721,"31","185,138","DLC",-0.079144121987211
"2017-12-08",0.021694,0.022018,0.017602,0.02035,"219","197,563","DLC",-0.0619526136258874
"2017-12-07",0.017582,0.021643,0.017357,0.021643,"90","160,114","DLC",0.23097486065294
"2017-12-06",0.014977,0.017637,0.014977,0.017612,"45","136,391","DLC",0.175936435868331
"2017-12-05",0.01457,0.015119,0.014367,0.01501,"44","132,688","DLC",0.0301990391214826
"2017-12-04",0.014052,0.01495,0.01361,0.014542,"30","127,969","DLC",0.0348704810703102
"2017-12-03",0.013665,0.014796,0.013235,0.014006,"39","124,440","DLC",0.0249542627149652
"2017-12-02",0.013605,0.013994,0.01341,0.013652,"63","123,901","DLC",0.00345461227489882
"2017-12-01",0.012791,0.013697,0.01211,0.013617,"22","116,485","DLC",0.0645766554608709
"2017-11-30",0.012286,0.013364,0.011248,0.012855,"23","111,884","DLC",0.0463128764447338
"2017-11-29",0.01241,0.014299,0.011366,0.0121,"78","113,014","DLC",-0.0249798549556809
"2017-11-28",0.012292,0.012574,0.012173,0.012422,"18","111,938","DLC",0.0105759843800846
"2017-11-27",0.011647,0.012529,0.011647,0.01226,"73","106,067","DLC",0.0526315789473685
"2017-11-26",0.01137,0.011895,0.01114,0.011645,"38","103,545","DLC",0.0241864555848726
"2017-11-25",0.010591,0.011374,0.010531,0.011374,"26","96,448","DLC",0.0739306958738552
"2017-11-24",0.010046,0.010693,0.009855,0.010612,"29","91,489","DLC",0.0563408321720088
"2017-11-23",0.010446,0.010497,0.01006,0.01006,"24","95,129","DLC",-0.0369519433275896
"2017-11-22",0.010143,0.010501,0.0101,0.010449,"35","92,366","DLC",0.0301685891748004
"2017-11-21",0.009148,0.010463,0.008654,0.010118,"24","83,308","DLC",0.106034105815479
"2017-11-20",0.010054,0.010077,0.008899,0.009146,"13","91,561","DLC",-0.0903123135070619
"2017-11-19",0.009578,0.010139,0.008638,0.010059,"19","87,223","DLC",0.0502192524535394
"2017-11-18",0.009197,0.00967,0.008958,0.009596,"39","83,756","DLC",0.0433837120800261
"2017-11-17",0.009884,0.010117,0.009534,0.009863,"10","90,013","DLC",-0.00212464589235129
"2017-11-16",0.009202,0.010083,0.008996,0.009901,"12","83,799","DLC",0.0759617474462073
"2017-11-15",0.008331,0.009228,0.008331,0.009154,"13","75,865","DLC",0.0987876605449527
"2017-11-14",0.008229,0.008468,0.008131,0.008325,"21","74,938","DLC",0.0116660590594241
"2017-11-13",0.007339,0.008475,0.007281,0.008211,"27","66,830","DLC",0.11881727755825
"2017-11-12",0.00916,0.009228,0.007077,0.007328,"20","83,419","DLC",-0.2
"2017-11-11",0.00881,0.010483,0.0088,0.009167,"22","80,233","DLC",0.040522133938706
"2017-11-10",0.010693,0.011002,0.008645,0.008842,"24","97,381","DLC",-0.173103899747498
"2017-11-09",0.014935,0.014935,0.010626,0.010662,"50","136,007","DLC",-0.286106461332441
"2017-11-08",0.014303,0.015686,0.013856,0.01495,"4","130,257","DLC",0.045235265328952
"2017-11-07",0.013988,0.0145,0.013988,0.014349,"86","127,381","DLC",0.0258078352873892
"2017-11-06",0.014861,0.015751,0.013959,0.01401,"94","135,332","DLC",-0.0572639795437722
"2017-11-05",0.014901,0.015299,0.014664,0.014828,"187","135,700","DLC",-0.0048990000671096
