"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.007156,0.007481,0.006217,0.007349,"12,501","3,015","DMB",0.0269703745108999
"2018-01-09",0.006476,0.007689,0.004784,0.007147,"21,117","2,728","DMB",0.10361334156887
"2018-01-08",0.003908,0.006502,0.003732,0.006493,"18,365","1,647","DMB",0.661463664278403
"2018-01-07",0.003268,0.003964,0.001748,0.003914,"6,150","1,377","DMB",0.197674418604651
"2018-01-06",0.002548,0.003271,0.001859,0.003271,"5,178","1,073","DMB",0.283751962323391
"2018-01-05",0.001974,0.002878,0.001592,0.002546,"9,577","831","DMB",0.289766970618034
"2018-01-04",0.001977,0.00228,0.001724,0.001973,"4,963","833","DMB",-0.00202326757713713
"2018-01-03",0.001632,0.00197,0.001386,0.001967,"2,755","688","DMB",0.205269607843137
"2018-01-02",0.00108,0.001646,0.001043,0.00134,"2,088","455","DMB",0.240740740740741
"2018-01-01",0.001258,0.00134,0.001043,0.00108,"553","530","DMB",-0.141494435612083
"2017-12-31",0.001271,0.001419,0.000886,0.001253,"540","536","DMB",-0.014162077104642
"2017-12-30",0.001015,0.001595,0.000852,0.001285,"734","427","DMB",0.266009852216749
"2017-12-29",0.001591,0.001656,0.000989,0.001017,"858","670","DMB",-0.360779384035198
"2017-12-28",0.001552,0.001709,0.000967,0.001575,"310","654","DMB",0.014819587628866
"2017-12-27",0.001109,0.001961,0.000944,0.001555,"1,345","467","DMB",0.402164111812444
"2017-12-26",0.001532,0.001775,0.000901,0.001108,"294","646","DMB",-0.276762402088773
"2017-12-25",0.001127,0.001587,0.000929,0.001534,"1,144","475","DMB",0.361135758651287
"2017-12-24",0.001022,0.001728,0.000973,0.001115,"24","431","DMB",0.0909980430528378
"2017-12-23",0.000827,0.001861,0.000822,0.001011,"1,050","349","DMB",0.222490931076179
"2017-12-22",0.001257,0.00129,0.000687,0.00082,"848","530","DMB",-0.347653142402546
"2017-12-21",0.000989,0.001391,0.000934,0.001253,"332","417","DMB",0.266936299292214
"2017-12-20",0.001409,0.001417,0.000946,0.000986,"50","594","DMB",-0.300212916962385
"2017-12-19",0.001339,0.001443,0.001066,0.001411,"721","564","DMB",0.0537714712471994
"2017-12-18",0.001339,0.001526,0.001109,0.001338,"164","564","DMB",-0.000746825989544373
"2017-12-17",0.000974,0.001572,0.000954,0.001335,"644","410","DMB",0.370636550308008
"2017-12-16",0.001412,0.00143,0.000736,0.000973,"254","595","DMB",-0.310906515580737
"2017-12-15",0.001153,0.001442,0.000858,0.00141,"1,316","486","DMB",0.222896790980052
"2017-12-14",0.000497,0.001163,0.000494,0.001151,"150","210","DMB",1.3158953722334
"2017-12-13",0.000747,0.001341,0.000495,0.000499,"326","315","DMB",-0.331994645247657
"2017-12-12",0.001177,0.001194,0.000511,0.000746,"423","496","DMB",-0.366185216652506
"2017-12-11",0.001093,0.001318,0.001089,0.001173,"248","461","DMB",0.0731930466605672
"2017-12-10",0.00078,0.001122,0.000718,0.001102,"209","329","DMB",0.412820512820513
"2017-12-09",0.00116,0.001177,0.00077,0.000777,"65","489","DMB",-0.330172413793103
"2017-12-08",0.001562,0.001585,0.001003,0.001161,"491","658","DMB",-0.256722151088348
"2017-12-07",0.001511,0.001853,0.001085,0.001558,"1,188","637","DMB",0.0311052283256121
"2017-12-06",0.001037,0.001378,0.000902,0.001376,"518","437","DMB",0.326904532304725
"2017-12-05",0.001166,0.001186,0.000929,0.001039,"177","491","DMB",-0.108919382504288
"2017-12-04",0.001237,0.001256,0.000871,0.001163,"136","521","DMB",-0.0598221503637834
"2017-12-03",0.000875,0.001257,0.000869,0.001233,"319","368","DMB",0.409142857142857
"2017-12-02",0.001088,0.001343,0.00086,0.000874,"490","459","DMB",-0.196691176470588
"2017-12-01",0.001045,0.001096,0.000837,0.001089,"28","440","DMB",0.0421052631578947
"2017-11-30",0.000885,0.001247,0.000885,0.001051,"130","373","DMB",0.187570621468927
"2017-11-29",0.000895,0.001258,0.000853,0.000871,"268","377","DMB",-0.0268156424581005
"2017-11-28",0.001031,0.001031,0.000807,0.000896,"1,754","435","DMB",-0.13094083414161
"2017-11-27",0.000839,0.001349,0.000839,0.001029,"611","353","DMB",0.226460071513707
"2017-11-26",0.000962,0.001332,0.000836,0.000838,"546","405","DMB",-0.128898128898129
"2017-11-25",0.001149,0.001151,0.000932,0.000962,"1,258","484","DMB",-0.162750217580505
"2017-11-24",0.000746,0.001178,0.000494,0.001152,"885","314","DMB",0.544235924932976
"2017-11-23",0.001293,0.001299,0.000741,0.000747,"1,746","545","DMB",-0.422273781902552
"2017-11-22",0.00129,0.001304,0.001236,0.001294,"125","543","DMB",0.00310077519379853
"2017-11-21",0.001236,0.001479,0.001176,0.001287,"441","521","DMB",0.0412621359223301
"2017-11-20",0.001207,0.001569,0.001193,0.001236,"198","508","DMB",0.024026512013256
"2017-11-19",0.001557,0.001558,0.001175,0.001207,"1,336","656","DMB",-0.224791265253693
"2017-11-18",0.001307,0.001572,0.001192,0.00156,"356","551","DMB",0.193573068094874
"2017-11-17",0.001255,0.001563,0.001163,0.001312,"219","529","DMB",0.0454183266932271
"2017-11-16",0.001393,0.001501,0.001231,0.001257,"515","587","DMB",-0.0976310122038764
"2017-11-15",0.001257,0.001728,0.001257,0.001385,"963","530","DMB",0.101829753381066
"2017-11-14",0.001304,0.001943,0.001107,0.001256,"3,424","549","DMB",-0.0368098159509203
"2017-11-13",0.001174,0.001585,0.001165,0.001301,"813","495","DMB",0.108177172061329
"2017-11-12",0.001335,0.001421,0.00096,0.001172,"315","562","DMB",-0.122097378277154
"2017-11-11",0.001632,0.00169,0.001239,0.001336,"559","688","DMB",-0.181372549019608
"2017-11-10",0.002123,0.002184,0.001021,0.001638,"2,243","894","DMB",-0.228450306170513
"2017-11-09",0.002799,0.002799,0.00157,0.002117,"906","1,179","DMB",-0.243658449446231
"2017-11-08",0.001447,0.003417,0.001439,0.002802,"6,198","610","DMB",0.936420179682101
"2017-11-07",0.001321,0.001904,0.001231,0.001455,"492","557","DMB",0.101438304314913
"2017-11-06",0.001082,0.002259,0.001049,0.001393,"2,885","456","DMB",0.287430683918669
"2017-11-05",0.000811,0.002224,0.00074,0.00108,"3,480","342","DMB",0.331689272503083
"2017-11-04",0.000501,0.002174,5e-04,0.000813,"1,887","211","DMB",0.622754491017964
"2017-11-03",0.00061,0.000718,0.000436,0.000502,"521","257","DMB",-0.177049180327869
"2017-11-02",0.00073,0.000913,0.000591,0.000611,"332","307","DMB",-0.163013698630137
"2017-11-01",0.00095,0.001186,0.000707,0.000729,"826","400","DMB",-0.232631578947368
"2017-10-31",0.000945,0.000967,0.000718,0.000952,"760","398","DMB",0.00740740740740747
