"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",29.32,30.76,25.62,27.11,"401,302","76,109,200","DMD",-0.0753751705320601
"2018-01-09",27.44,31.39,26.06,28.34,"727,429","71,182,400","DMD",0.0327988338192419
"2018-01-08",30.72,31.37,25.25,27.51,"448,099","79,655,800","DMD",-0.1044921875
"2018-01-07",27.59,31.56,25.29,30.5,"610,004","71,487,300","DMD",0.105472997462849
"2018-01-06",27.39,28.65,24.69,27.61,"393,906","70,936,900","DMD",0.00803212851405618
"2018-01-05",29.24,31.57,26.03,27.37,"834,607","75,680,200","DMD",-0.0639534883720929
"2018-01-04",32.19,33,27.19,29.25,"1,044,050","83,279,800","DMD",-0.0913327120223671
"2018-01-03",31.68,35.98,30.14,32.02,"2,033,860","81,913,400","DMD",0.0107323232323233
"2018-01-02",18.55,42.4,18.12,31.47,"9,996,360","47,924,300","DMD",0.696495956873315
"2018-01-01",19.71,20.79,18.2,18.55,"216,038","50,899,300","DMD",-0.0588533739218671
"2017-12-31",17.77,19.86,17.28,19.64,"155,058","45,859,500","DMD",0.105233539673607
"2017-12-30",19.98,20.46,16.79,17.95,"311,859","51,534,600","DMD",-0.101601601601602
"2017-12-29",17.33,22.58,17,20,"2,294,180","44,671,900","DMD",0.154068090017311
"2017-12-28",18.05,18.11,16.29,17.13,"124,577","46,509,200","DMD",-0.0509695290858727
"2017-12-27",18.83,20.01,17.07,18.46,"193,157","48,495,200","DMD",-0.0196494954859266
"2017-12-26",17.43,19.11,17.27,18.34,"313,288","44,865,800","DMD",0.0522088353413655
"2017-12-25",17.23,17.7,16.13,17.33,"268,689","44,321,300","DMD",0.00580383052814845
"2017-12-24",16.67,16.91,14.49,16.91,"240,723","42,840,700","DMD",0.0143971205758847
"2017-12-23",16.11,18.21,15.68,16.53,"114,053","41,386,200","DMD",0.0260707635009312
"2017-12-22",18.34,18.51,13.16,15.99,"213,069","47,097,100","DMD",-0.128135223555071
"2017-12-21",18.28,20.29,17.22,18.28,"240,657","46,915,400","DMD",0
"2017-12-20",19.06,19.43,17,18.24,"194,468","48,880,600","DMD",-0.0430220356768101
"2017-12-19",18.93,20.62,17.93,18.88,"387,197","48,514,700","DMD",-0.00264131008980458
"2017-12-18",17.37,19.05,16.82,18.91,"229,893","44,493,400","DMD",0.0886586067933218
"2017-12-17",17.03,18.12,16.47,17.32,"162,653","43,590,200","DMD",0.0170287727539635
"2017-12-16",15.88,17.63,15.83,17.02,"132,272","40,624,700","DMD",0.0717884130982367
"2017-12-15",16.22,16.49,15.43,15.85,"111,334","41,485,500","DMD",-0.0228113440197287
"2017-12-14",15.09,16.55,14.96,16.05,"143,662","38,573,200","DMD",0.0636182902584494
"2017-12-13",16.41,17.17,15.1,15.33,"185,315","41,927,400","DMD",-0.0658135283363803
"2017-12-12",15.83,17.62,15.45,16.4,"124,168","40,410,600","DMD",0.0360075805432722
"2017-12-11",15.56,17.32,15.38,15.78,"76,440","39,713,100","DMD",0.0141388174807197
"2017-12-10",16.33,16.33,13.96,15.67,"69,960","41,631,000","DMD",-0.0404164115125535
"2017-12-09",17.36,17.7,14.2,16.27,"145,530","44,249,000","DMD",-0.0627880184331797
"2017-12-08",16.4,18.22,11.9,17.22,"413,588","41,775,300","DMD",0.05
"2017-12-07",15.81,17.42,14.92,16.36,"256,494","40,258,000","DMD",0.0347881087919038
"2017-12-06",13.15,16.04,13.09,15.84,"474,083","33,452,200","DMD",0.204562737642586
"2017-12-05",12.33,14.07,12.1,13.17,"266,643","31,359,300","DMD",0.0681265206812652
"2017-12-04",11.5,12.36,11.46,12.31,"97,094","29,216,900","DMD",0.0704347826086957
"2017-12-03",11.36,12.39,10.72,11.46,"87,817","28,856,000","DMD",0.00880281690140858
"2017-12-02",11.55,12.04,11.32,11.35,"45,432","29,316,200","DMD",-0.0173160173160174
"2017-12-01",10.97,11.68,10.2,11.4,"52,921","27,830,300","DMD",0.0391978122151322
"2017-11-30",10.1,11.41,9.4,11.03,"71,132","25,608,200","DMD",0.092079207920792
