"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.185623,0.188719,0.159946,0.179865,"449,874","21,689,200","DOPE",-0.0310198628402731
"2018-01-09",0.19872,0.207063,0.180894,0.186066,"919,774","23,219,500","DOPE",-0.063677536231884
"2018-01-08",0.214458,0.224192,0.164201,0.199263,"1,387,630","25,058,400","DOPE",-0.070853034160535
"2018-01-07",0.178336,0.216323,0.171343,0.212069,"2,287,340","20,837,700","DOPE",0.189154180872062
"2018-01-06",0.154673,0.192325,0.15436,0.175264,"1,120,590","18,072,800","DOPE",0.133126014236486
"2018-01-05",0.184972,0.188898,0.152506,0.153068,"2,280,410","21,613,200","DOPE",-0.172480159159224
"2018-01-04",0.196041,0.200241,0.178942,0.187944,"1,761,690","22,906,500","DOPE",-0.0413025846634122
"2018-01-03",0.202933,0.216076,0.183572,0.194678,"2,048,060","23,711,800","DOPE",-0.0406784505230791
"2018-01-02",0.18568,0.220892,0.181925,0.201045,"3,117,610","21,695,800","DOPE",0.0827498922878069
"2018-01-01",0.234103,0.246359,0.185162,0.185162,"4,445,090","27,353,800","DOPE",-0.209057551590539
"2017-12-31",0.173104,0.362167,0.171814,0.233064,"24,869,300","20,226,400","DOPE",0.346381366115168
"2017-12-30",0.14484,0.201247,0.122925,0.171319,"3,326,360","16,923,900","DOPE",0.182815520574427
"2017-12-29",0.138336,0.184513,0.131717,0.140531,"3,203,750","16,163,900","DOPE",0.015867164006477
"2017-12-28",0.141231,0.141434,0.108656,0.136242,"673,995","16,502,100","DOPE",-0.0353251056779319
"2017-12-27",0.109293,0.141181,0.106724,0.139811,"1,053,920","12,770,300","DOPE",0.279231057798761
"2017-12-26",0.120914,0.127547,0.096323,0.109213,"767,127","14,128,200","DOPE",-0.0967712589112922
"2017-12-25",0.118516,0.128594,0.112246,0.119538,"1,204,690","13,848,000","DOPE",0.00862330824530029
"2017-12-24",0.118043,0.125033,0.104524,0.117435,"1,183,240","13,792,800","DOPE",-0.00515066543547688
"2017-12-23",0.13295,0.148088,0.115632,0.116755,"2,258,150","15,534,500","DOPE",-0.121812711545694
"2017-12-22",0.108454,0.182964,0.08647,0.127096,"6,957,230","12,672,300","DOPE",0.171888542607926
"2017-12-21",0.090718,0.114501,0.089235,0.108079,"1,710,060","10,599,900","DOPE",0.191373266606407
"2017-12-20",0.100983,0.101996,0.078689,0.088539,"1,516,250","11,799,400","DOPE",-0.123228662250082
"2017-12-19",0.102715,0.121624,0.092616,0.101602,"1,925,860","12,001,800","DOPE",-0.0108358078177482
"2017-12-18",0.079517,0.104341,0.074642,0.1017,"1,210,280","8,833,240","DOPE",0.27897179219538
"2017-12-17",0.087854,0.087933,0.078391,0.080194,"760,401","9,759,330","DOPE",-0.0871901108657546
"2017-12-16",0.069731,0.095239,0.068322,0.087842,"1,695,600","7,746,070","DOPE",0.259726663894107
"2017-12-15",0.07722,0.079234,0.063159,0.071202,"744,996","8,578,070","DOPE",-0.0779331779331779
"2017-12-14",0.073677,0.084673,0.070052,0.07663,"799,422","8,184,430","DOPE",0.0400803507200347
"2017-12-13",0.069824,0.082244,0.066494,0.073914,"784,515","7,756,420","DOPE",0.0585758478460128
"2017-12-12",0.066408,0.073912,0.062892,0.070955,"703,969","7,377,000","DOPE",0.0684706661847972
"2017-12-11",0.053979,0.073955,0.053743,0.066381,"762,856","5,996,310","DOPE",0.229756016228533
"2017-12-10",0.065678,0.065678,0.048246,0.054566,"665,419","7,295,880","DOPE",-0.16918907396693
"2017-12-09",0.062793,0.079464,0.054748,0.064532,"2,604,630","6,975,400","DOPE",0.0276941697322951
"2017-12-08",0.053985,0.0706,0.043489,0.064998,"1,511,160","5,996,920","DOPE",0.204001111419839
"2017-12-07",0.054054,0.054227,0.043337,0.054026,"581,470","6,004,650","DOPE",-0.000518000518000523
"2017-12-06",0.046573,0.058608,0.043891,0.051861,"760,631","5,173,610","DOPE",0.113542181092049
"2017-12-05",0.051636,0.052398,0.043,0.046561,"1,108,080","5,735,990","DOPE",-0.0982841428460764
"2017-12-04",0.069011,0.07842,0.049868,0.051534,"3,681,340","7,666,070","DOPE",-0.253249481966643
"2017-12-03",0.032825,0.088504,0.032825,0.064884,"10,802,500","3,646,340","DOPE",0.976664127951257
"2017-12-02",0.027323,0.035337,0.027108,0.032793,"508,143","3,035,170","DOPE",0.200197635691542
"2017-12-01",0.024199,0.033252,0.023197,0.027888,"350,959","2,688,120","DOPE",0.152444315880822
"2017-11-30",0.024588,0.026819,0.022053,0.024319,"29,859","2,731,330","DOPE",-0.0109402960793883
"2017-11-29",0.026907,0.030076,0.022747,0.024216,"44,101","2,988,960","DOPE",-0.100011149514996
"2017-11-28",0.027991,0.028101,0.026293,0.026933,"76,506","3,109,390","DOPE",-0.037797863599014
"2017-11-27",0.025059,0.029261,0.024119,0.027919,"300,621","2,783,750","DOPE",0.114130651662077
"2017-11-26",0.023453,0.025813,0.023453,0.025055,"45,568","2,605,270","DOPE",0.068306826418795
"2017-11-25",0.022167,0.024146,0.021746,0.023461,"37,741","2,462,480","DOPE",0.0583750620291424
"2017-11-24",0.02206,0.023517,0.021487,0.022212,"49,304","2,450,560","DOPE",0.00689029918404349
