"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.89,2.99,2.4,2.68,"120,196","23,421,200","DRP",-0.0726643598615917
"2018-01-09",2.55,3.08,2.51,2.89,"205,055","20,668,300","DRP",0.133333333333333
"2018-01-08",1.84,2.59,1.84,2.56,"267,748","14,901,800","DRP",0.391304347826087
"2018-01-07",1.45,1.96,1.36,1.84,"229,786","11,697,800","DRP",0.268965517241379
"2018-01-06",1.24,1.45,1.22,1.45,"76,682","10,032,300","DRP",0.169354838709677
"2018-01-05",1.11,1.29,0.976071,1.24,"99,080","8,974,350","DRP",0.117117117117117
"2018-01-04",0.935256,1.15,0.878289,1.11,"34,440","7,569,960","DRP",0.186840822191999
"2018-01-03",1.07,1.14,0.898819,0.94287,"27,512","8,681,800","DRP",-0.11881308411215
"2018-01-02",0.740953,1.52,0.723138,1.07,"48,571","5,997,270","DRP",0.444086197100221
"2018-01-01",0.801325,0.834694,0.709001,0.740937,"31,243","6,485,920","DRP",-0.0753601846941004
"2017-12-31",0.637019,0.837902,0.628486,0.805094,"36,981","5,156,040","DRP",0.263846133317844
"2017-12-30",0.743759,0.776039,0.658906,0.658906,"39,844","6,019,990","DRP",-0.114086686682111
"2017-12-29",0.739959,0.886941,0.680772,0.744586,"41,816","5,989,230","DRP",0.00625304915542609
"2017-12-28",0.790796,0.887258,0.693548,0.733398,"18,192","6,400,700","DRP",-0.0725825623801841
"2017-12-27",0.855496,1.29,0.800088,0.800088,"67,594","6,924,390","DRP",-0.0647671058660707
"2017-12-26",0.855779,1.07,0.82932,0.852414,"61,468","6,926,670","DRP",-0.00393208994378216
"2017-12-25",0.878129,0.972107,0.720414,0.85603,"25,133","7,107,580","DRP",-0.0251660063612523
"2017-12-24",0.868297,0.892927,0.665687,0.85027,"22,740","7,028,000","DRP",-0.0207613293608063
"2017-12-23",0.806784,1.02,0.770076,0.858631,"45,214","6,530,110","DRP",0.0642637930350628
"2017-12-22",1.03,1.04,0.74651,0.80724,"65,683","8,342,290","DRP",-0.216271844660194
"2017-12-21",1.01,1.28,0.996752,1.03,"55,211","8,197,770","DRP",0.0198019801980198
"2017-12-20",0.936909,1.07,0.784536,1.01,"67,182","7,583,340","DRP",0.0780129126734827
"2017-12-19",1.13,1.18,0.820801,0.937802,"78,090","9,132,280","DRP",-0.170086725663717
"2017-12-18",1.23,1.66,0.993159,1.13,"205,680","9,989,040","DRP",-0.0813008130081301
"2017-12-17",0.577182,1.44,0.514069,1.26,"185,949","4,671,710","DRP",1.18302026050708
"2017-12-16",0.598923,0.642558,0.502235,0.575495,"25,735","4,847,690","DRP",-0.0391168814689034
"2017-12-15",0.573831,0.598007,0.509367,0.598007,"25,201","4,644,590","DRP",0.0421308712844025
"2017-12-14",0.515542,0.584223,0.497861,0.542079,"35,345","4,172,800","DRP",0.0514739827210975
"2017-12-13",0.616456,0.658602,0.480652,0.516354,"20,569","4,989,600","DRP",-0.162383041125401
"2017-12-12",0.567439,0.636614,0.524108,0.615947,"35,149","4,592,850","DRP",0.0854858407687875
"2017-12-11",0.599549,0.687848,0.472328,0.56839,"35,421","4,852,760","DRP",-0.0519707313330521
"2017-12-10",0.633899,0.688698,0.492657,0.602887,"15,473","5,130,780","DRP",-0.0489226201650421
"2017-12-09",0.805354,0.84557,0.462114,0.631489,"17,623","6,518,530","DRP",-0.215886430066778
"2017-12-08",0.710879,0.871683,0.602336,0.806574,"27,942","5,753,850","DRP",0.134615032938095
"2017-12-07",0.762967,0.849479,0.467443,0.692302,"31,632","6,175,450","DRP",-0.0926186846875422
"2017-12-06",0.777864,0.830014,0.708386,0.764421,"26,351","6,296,040","DRP",-0.0172819413162198
"2017-12-05",0.80307,0.936828,0.695344,0.779587,"20,629","6,500,050","DRP",-0.0292415356071076
"2017-12-04",0.830963,0.849301,0.749162,0.801942,"28,608","6,725,820","DRP",-0.0349245393597548
"2017-12-03",0.818736,0.868812,0.750973,0.838644,"38,653","6,626,860","DRP",0.024315530280823
"2017-12-02",0.861645,0.932537,0.767372,0.884082,"47,505","6,974,160","DRP",0.0260397263374128
"2017-12-01",0.891295,0.948699,0.781694,0.86025,"24,414","7,214,150","DRP",-0.0348313409140632
"2017-11-30",0.901857,0.978569,0.782735,0.894192,"54,257","7,299,640","DRP",-0.00849913012816892
"2017-11-29",0.871634,1.17,0.831554,0.88875,"94,451","7,055,000","DRP",0.019636682368976
"2017-11-28",0.812032,1.07,0.754705,0.871469,"114,505","6,572,590","DRP",0.0731953913146281
"2017-11-27",0.716109,0.958004,0.716109,0.81167,"44,106","5,796,190","DRP",0.133444768882949
"2017-11-26",0.741041,0.764093,0.659471,0.715992,"24,730","5,997,990","DRP",-0.0338024481776312
"2017-11-25",0.753773,0.839304,0.662291,0.743019,"51,097","6,101,040","DRP",-0.0142668946751874
"2017-11-24",0.713052,0.950701,0.567833,0.754155,"83,978","5,771,440","DRP",0.0576437623062554
"2017-11-23",0.763347,0.772426,0.62341,0.715587,"44,427","6,178,530","DRP",-0.0625665654021042
"2017-11-22",0.793518,0.822834,0.745952,0.772287,"81,754","6,422,740","DRP",-0.0267555367364067
"2017-11-21",0.945738,0.959313,0.757506,0.79226,"50,488","7,654,810","DRP",-0.162283846054616
"2017-11-20",0.875668,0.983683,0.797043,0.946978,"119,850","7,087,660","DRP",0.0814349730719862
"2017-11-19",0.761717,0.909559,0.736543,0.875679,"64,515","6,165,340","DRP",0.149611995006019
