"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.042503,0.045724,0.041094,0.043952,"2,038","244,904","E4ROW",0.0340917111733289
"2018-01-09",0.037494,0.042862,0.037494,0.042485,"1,970","216,043","E4ROW",0.133114631674401
"2018-01-08",0.036833,0.040456,0.029095,0.037601,"1,177","212,233","E4ROW",0.0208508674286646
"2018-01-07",0.033207,0.036502,0.033126,0.036502,"1,116","191,341","E4ROW",0.099226066793146
"2018-01-06",0.032333,0.033364,0.031932,0.033221,"4,395","186,304","E4ROW",0.0274642006618625
"2018-01-04",0.113269,0.113269,0.108147,0.10982,"8,194","652,657","E4ROW",-0.0304496375883957
"2018-01-03",0.103385,0.114072,0.101748,0.113089,"8,437","595,704","E4ROW",0.0938627460463316
"2018-01-02",0.089219,0.104392,0.060695,0.102907,"7,678","514,079","E4ROW",0.15342023560004
"2018-01-01",0.087769,0.090284,0.087769,0.089011,"45","505,724","E4ROW",0.0141507821668244
"2017-12-31",0.023048,0.089489,0.022865,0.088776,"24","132,803","E4ROW",2.85178757375911
"2017-12-30",0.088745,0.088745,0.023164,0.023251,"55","511,348","E4ROW",-0.738002140965688
"2017-12-29",0.089824,0.089824,0.087511,0.088775,"20","517,563","E4ROW",-0.0116783933024581
"2017-12-26",0.087167,0.090823,0.087124,0.089287,"1,940","502,255","E4ROW",0.0243211307031332
"2017-12-25",0.081133,0.089803,0.0811,0.087135,"1,893","467,489","E4ROW",0.0739772965377837
"2017-12-24",0.021923,0.080735,0.018876,0.080735,"1,754","126,320","E4ROW",2.68266204442823
"2017-12-23",0.020468,0.02328,0.020343,0.021667,"6","117,937","E4ROW",0.058579245651749
"2017-12-22",0.019679,0.02196,0.019284,0.020301,"5","113,388","E4ROW",0.0316072971187561
"2017-12-21",0.07194,0.075681,0.071401,0.074532,"2,679","414,521","E4ROW",0.0360300250208507
"2017-12-20",0.081498,0.081513,0.064978,0.071864,"2,583","469,589","E4ROW",-0.118211489852512
"2017-12-19",0.078772,0.085697,0.070184,0.073427,"2,779","453,885","E4ROW",-0.0678540598182094
"2017-12-18",0.071824,0.079863,0.068451,0.078958,"71","413,849","E4ROW",0.0993261305413233
"2017-12-17",0.027787,0.114235,0.027741,0.071918,"1,922","160,108","E4ROW",1.58818872134451
"2017-12-16",0.03423,0.035788,0.027493,0.027709,"415","197,235","E4ROW",-0.190505404615834
"2017-12-15",0.03471,0.03477,0.030772,0.034166,"394","200,000","E4ROW",-0.0156727167963122
"2017-12-14",0.070043,0.073847,0.033011,0.034678,"1,093","403,586","E4ROW",-0.504904130319946
"2017-12-13",0.052857,0.075533,0.04765,0.070079,"2,038","304,561","E4ROW",0.325822502222979
"2017-12-12",0.03574,0.063713,0.015598,0.052821,"854","205,932","E4ROW",0.477923894795747
"2017-12-11",0.030435,0.03597,0.0304,0.03597,"173","175,367","E4ROW",0.181862986692952
"2017-12-10",0.033002,0.033002,0.029201,0.030401,"175","190,158","E4ROW",-0.0788134052481667
"2017-12-09",0.03144,0.035399,0.03144,0.032896,"17","138,274","E4ROW",0.0463104325699745
"2017-12-08",0.021133,0.031588,0.012364,0.031441,"124","92,945","E4ROW",0.487767945866654
"2017-12-06",0.022284,0.022367,0.021957,0.022109,"221","98,004","E4ROW",-0.00785316819242513
"2017-12-05",0.022853,0.022914,0.022121,0.022323,"223","100,507","E4ROW",-0.0231917034962587
"2017-12-04",0.022689,0.023111,0.021937,0.022841,"228","99,788","E4ROW",0.00669928159019787
"2017-12-03",0.027928,0.028481,0.015457,0.022648,"395","122,825","E4ROW",-0.189057576625609
"2017-12-02",0.02771,0.028734,0.027459,0.027918,"4","121,871","E4ROW",0.00750631540959942
"2017-12-01",0.026565,0.03908,0.014486,0.027711,"303","116,835","E4ROW",0.0431394692264258
"2017-11-30",0.068402,0.072966,0.0119,0.026631,"519","300,833","E4ROW",-0.610669278676062
"2017-11-29",0.09325,0.096093,0.066085,0.067537,"1","410,115","E4ROW",-0.275742627345844
"2017-11-28",0.095007,0.095611,0.092041,0.093175,"961","417,840","E4ROW",-0.0192827896891808
"2017-11-27",0.014711,0.095523,0.014011,0.095137,"2,954","62,935","E4ROW",5.4670654612195
"2017-11-26",0.093006,0.093006,0.09029,0.090669,"91","397,879","E4ROW",-0.0251274111347656
"2017-11-25",0.093998,0.096202,0.091438,0.093003,"93","402,122","E4ROW",-0.0105853316028
"2017-11-24",0.130456,0.13266,0.080059,0.094013,"94","558,090","E4ROW",-0.27935089225486
"2017-11-23",0.011414,0.135664,0.01127,0.131112,"41","48,829","E4ROW",10.4869458559664
"2017-11-22",0.109613,0.114446,0.011388,0.011388,"8","468,924","E4ROW",-0.896107213560435
"2017-11-21",0.139686,0.141366,0.139686,0.141287,"1","597,577","E4ROW",0.0114614206148074
"2017-11-20",0.134742,0.141537,0.134694,0.139906,"1","576,425","E4ROW",0.038325095367443
"2017-11-19",0.034655,0.140332,0.034392,0.134887,"1","148,252","E4ROW",2.89228105612466
"2017-11-18",0.033153,0.034913,0.032699,0.034744,"1,425","140,171","E4ROW",0.0479896238651101
"2017-11-17",0.165057,0.166117,0.033116,0.033203,"465","697,863","E4ROW",-0.798839188886263
"2017-11-16",0.033104,0.167224,0.032502,0.165172,"504","138,637","E4ROW",3.98948767520541
"2017-11-15",0.033112,0.033157,0.032791,0.033129,"191","138,675","E4ROW",0.000513409035998918
"2017-11-14",0.047272,0.050586,0.047272,0.049182,"389","197,974","E4ROW",0.0404044677610424
"2017-11-13",0.045869,0.047815,0.045869,0.047274,"373","192,101","E4ROW",0.0306307091935729
"2017-11-12",0.077876,0.078562,0.038233,0.045797,"362","326,143","E4ROW",-0.411924084441933
"2017-11-11",0.071364,0.079275,0.071279,0.077867,"0","298,873","E4ROW",0.0911243764362985
"2017-11-10",0.076798,0.077802,0.069834,0.071569,"214","321,628","E4ROW",-0.0680877106174641
"2017-11-09",0.078259,0.07851,0.076206,0.076761,"229","327,750","E4ROW",-0.0191415683819113
"2017-11-05",0.132743,0.132855,0.132015,0.132059,"0","555,926","E4ROW",-0.00515281408435842
"2017-11-04",0.137287,0.137287,0.130419,0.13257,"0","574,960","E4ROW",-0.0343586792631495
