"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.003851,0.00386,0.002749,0.003528,"1,319,830","44,798,600","EAC",-0.0838743183588678
"2018-01-09",0.003842,0.004382,0.003729,0.003846,"1,227,650","44,680,300","EAC",0.00104112441436754
"2018-01-08",0.005051,0.005173,0.002773,0.00396,"2,689,460","58,736,700","EAC",-0.215996832310434
"2018-01-07",0.003534,0.005437,0.003265,0.004933,"3,355,590","41,071,200","EAC",0.39586870401811
"2018-01-06",0.001062,0.004046,0.001034,0.00354,"4,878,830","12,338,600","EAC",2.33333333333333
"2018-01-05",0.001076,0.00124,0.000939,0.001035,"335,352","12,495,700","EAC",-0.0381040892193309
"2018-01-04",0.000973,0.001076,0.000799,0.001076,"456,630","11,301,900","EAC",0.105858170606372
"2018-01-03",0.000999,0.001151,0.000819,0.000968,"175,122","11,603,000","EAC",-0.0310310310310311
"2018-01-02",0.000904,0.001131,8e-04,0.001003,"247,412","10,495,700","EAC",0.109513274336283
"2018-01-01",0.000816,0.001077,0.000762,0.000779,"167,237","9,474,660","EAC",-0.045343137254902
"2017-12-31",0.000978,0.001051,0.000746,0.000813,"70,291","11,342,400","EAC",-0.168711656441718
"2017-12-30",0.000817,0.001036,0.000708,0.000988,"120,376","9,472,160","EAC",0.209302325581395
"2017-12-29",0.001022,0.001091,0.000781,0.000818,"81,629","11,849,000","EAC",-0.199608610567515
"2017-12-28",0.000991,0.001108,0.00085,0.001012,"106,626","11,494,400","EAC",0.0211907164480325
"2017-12-27",0.001168,0.001192,0.000922,0.000993,"122,735","13,540,600","EAC",-0.149828767123288
"2017-12-26",0.001148,0.001416,0.001014,0.001167,"131,832","13,296,000","EAC",0.0165505226480837
"2017-12-25",0.000752,0.001187,0.000748,0.001149,"253,191","8,712,520","EAC",0.527925531914894
"2017-12-24",0.000923,0.001019,0.000669,0.000744,"26,787","10,694,900","EAC",-0.193932827735645
"2017-12-23",0.000916,0.001133,0.000786,0.000913,"73,654","10,606,000","EAC",-0.00327510917030576
"2017-12-22",0.001017,0.001156,0.000661,0.000907,"171,664","11,771,400","EAC",-0.108161258603736
"2017-12-21",0.001078,0.001445,0.001006,0.001013,"277,303","12,474,200","EAC",-0.0602968460111317
"2017-12-20",0.00116,0.00129,0.000887,0.001075,"147,328","13,420,800","EAC",-0.0732758620689655
"2017-12-19",0.001148,0.001384,0.000978,0.001161,"203,224","13,276,400","EAC",0.0113240418118467
