"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.204028,0.374127,0.19991,0.348701,"19,274","427,116","EAGLE",0.709084047287627
"2018-01-09",0.182389,0.53887,0.175338,0.203836,"6,030","381,818","EAGLE",0.11758932830379
"2018-01-08",0.174475,0.22347,0.157559,0.182901,"6,220","365,251","EAGLE",0.0482934517839233
"2018-01-07",0.177553,0.225313,0.152703,0.173125,"10,893","371,694","EAGLE",-0.0249390322889503
"2018-01-06",0.156225,0.203818,0.150027,0.177641,"7,610","327,044","EAGLE",0.137084333493359
"2018-01-05",0.186206,0.189725,0.128575,0.155575,"4,276","389,808","EAGLE",-0.164500606854774
"2018-01-04",0.199522,0.204102,0.113593,0.186761,"5,761","417,684","EAGLE",-0.063957859283688
"2018-01-03",0.193488,0.200709,0.145783,0.199193,"3,664","405,052","EAGLE",0.0294850326635244
"2018-01-02",0.143737,0.326535,0.139839,0.192807,"11,354","300,903","EAGLE",0.341387395033986
"2018-01-01",0.089193,0.221908,0.088481,0.143453,"12,435","186,718","EAGLE",0.60834370410234
"2017-12-31",0.126447,0.129315,0.085369,0.08926,"6,273","264,706","EAGLE",-0.294091595688312
"2017-12-30",0.148952,0.148952,0.094693,0.1276,"6,993","311,819","EAGLE",-0.143348192706375
"2017-12-29",0.126282,0.162863,0.108196,0.149056,"13,149","264,362","EAGLE",0.180342408260876
"2017-12-28",0.153183,0.165777,0.124126,0.125157,"10,670","320,677","EAGLE",-0.182957638902489
"2017-12-27",0.18156,0.200529,0.114713,0.153426,"11,881","380,081","EAGLE",-0.154957038995373
"2017-12-26",0.20119,0.207705,0.145988,0.181232,"10,879","421,175","EAGLE",-0.0991997614195537
"2017-12-25",0.204286,0.261892,0.122447,0.20116,"8,267","427,657","EAGLE",-0.0153020765005923
"2017-12-24",0.132766,0.482492,0.116149,0.202486,"4,762","277,936","EAGLE",0.525134447072293
"2017-12-23",0.086052,0.178906,0.08507,0.131222,"11,092","180,143","EAGLE",0.524915167573095
"2017-12-22",0.074762,0.160561,0.069193,0.085284,"7,700","156,509","EAGLE",0.140739948101977
"2017-12-21",0.135229,0.138835,0.074166,0.074488,"1,089","283,090","EAGLE",-0.449171405541711
"2017-12-20",0.178673,0.178673,0.072235,0.134896,"6,669","374,038","EAGLE",-0.245011837266963
"2017-12-19",0.101218,0.442529,0.101218,0.178861,"15,627","211,892","EAGLE",0.76708688177992
"2017-12-18",0.119375,0.384588,0.076522,0.101179,"10,653","249,903","EAGLE",-0.15242722513089
"2017-12-17",0.068016,0.124059,0.064882,0.119493,"30,084","142,386","EAGLE",0.756836626676076
"2017-12-16",0.102059,0.130991,0.067627,0.067868,"678","213,653","EAGLE",-0.33501210084363
"2017-12-15",0.071123,0.112622,0.071114,0.101887,"32,925","148,890","EAGLE",0.432546433643125
"2017-12-14",0.090873,0.108866,0.060593,0.071019,"2,658","190,237","EAGLE",-0.21848073685253
"2017-12-13",0.076913,0.106867,0.072103,0.091019,"29,112","161,012","EAGLE",0.183402025665362
"2017-12-12",0.071248,0.079502,0.069199,0.076858,"25,469","149,152","EAGLE",0.0787390523242756
"2017-12-11",0.051454,0.091852,0.051359,0.07169,"11,350","107,715","EAGLE",0.393283321024605
"2017-12-10",0.054727,0.059548,0.045804,0.051534,"27,538","114,567","EAGLE",-0.0583441445721489
"2017-12-09",0.047429,0.05721,0.039219,0.054539,"35,550","99,289","EAGLE",0.149908283961289
"2017-12-08",0.026848,0.049934,0.024565,0.04743,"3,042","56,205","EAGLE",0.766612038140644
"2017-12-07",0.03376,0.043652,0.025805,0.026808,"1,556","70,675","EAGLE",-0.205924170616114
"2017-12-06",0.164013,0.177965,0.033195,0.033878,"890","343,348","EAGLE",-0.793443202672959
"2017-12-05",0.107228,0.21096,0.03644,0.1643,"3,582","224,474","EAGLE",0.53224903943
"2017-12-04",0.039243,0.107173,0.039004,0.107173,"43,003","82,152","EAGLE",1.73100935198634
"2017-12-03",0.093998,0.095337,0.038691,0.040066,"3,917","196,778","EAGLE",-0.573756888444435
"2017-12-02",0.040118,0.094388,0.030982,0.093955,"21,264","83,984","EAGLE",1.34196619971085
"2017-12-01",0.039291,0.049992,0.032484,0.040126,"3,565","82,252","EAGLE",0.0212516861367744
"2017-11-30",0.081708,0.131051,0.038767,0.039392,"8,195","171,049","EAGLE",-0.517892984775053
"2017-11-29",0.100595,0.122513,0.039676,0.080675,"18,469","210,588","EAGLE",-0.198021770465729
"2017-11-28",0.033476,0.275445,0.033476,0.100515,"49,369","70,078","EAGLE",2.00259887680726
"2017-11-27",0.069003,0.069559,0.03352,0.03352,"27,300","144,452","EAGLE",-0.51422401924554
"2017-11-26",0.067436,0.069081,0.035895,0.06902,"36,801","141,171","EAGLE",0.0234889376594104
"2017-11-25",0.038697,0.184771,0.038697,0.067441,"28,051","81,010","EAGLE",0.742796599219578
"2017-11-24",0.02444,0.041195,0.02397,0.038704,"26,193","51,164","EAGLE",0.583633387888707
"2017-11-23",0.028776,0.053061,0.021233,0.024563,"84,307","60,240","EAGLE",-0.146406727828746
"2017-11-22",0.022723,0.055076,0.018284,0.02871,"31,154","-","EAGLE",0.26347753377635
"2017-11-21",0.037494,0.049568,0.021173,0.022689,"17,327","-","EAGLE",-0.394863178108497
"2017-11-20",0.077705,0.077744,0.037548,0.037548,"4,162","-","EAGLE",-0.516787851489608
"2017-11-19",0.034663,0.078179,0.034544,0.077583,"69,055","-","EAGLE",1.2382078873727
"2017-11-18",0.047615,0.072559,0.013219,0.035674,"18,905","-","EAGLE",-0.250782316496902
"2017-11-17",0.078121,0.197379,0.045492,0.051983,"30,112","-","EAGLE",-0.334583530676771
"2017-11-16",0.043502,0.154371,0.043269,0.092999,"54,589","-","EAGLE",1.13780975587329
