"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.005731,0.006166,0.005355,0.005501,"722","-","EBIT",-0.0401326121095795
"2018-01-09",0.005113,0.005815,0.005113,0.005729,"1,087","-","EBIT",0.120477214942304
"2018-01-08",0.005448,0.005984,0.004752,0.005127,"188","-","EBIT",-0.058920704845815
"2018-01-07",0.004859,0.006508,0.004847,0.005399,"561","-","EBIT",0.111133978184812
"2018-01-06",0.004918,0.005133,0.004785,0.004861,"243","-","EBIT",-0.0115900772671817
"2018-01-05",0.00558,0.005861,0.00475,0.004894,"12","-","EBIT",-0.122939068100358
"2018-01-04",0.005568,0.005873,0.005316,0.005603,"501","-","EBIT",0.00628591954022994
"2018-01-03",0.003705,0.005993,0.003569,0.005559,"499","-","EBIT",0.500404858299595
"2018-01-02",0.003251,0.003786,0.003251,0.003688,"157","-","EBIT",0.134420178406644
"2018-01-01",0.003187,0.004255,0.003115,0.003244,"250","-","EBIT",0.0178851584562284
"2017-12-31",0.003471,0.004525,0.002965,0.003191,"45","-","EBIT",-0.0806683952751369
"2017-12-30",0.004215,0.005086,0.003489,0.003502,"1,153","-","EBIT",-0.169157769869514
"2017-12-29",0.004381,0.005517,0.0035,0.004217,"638","-","EBIT",-0.0374343757133075
"2017-12-28",0.004368,0.004375,0.001379,0.004354,"407","-","EBIT",-0.00320512820512823
"2017-12-27",0.001599,0.004465,0.001574,0.004376,"531","-","EBIT",1.73671044402752
"2017-12-26",0.004431,0.004692,0.001572,0.001596,"20","-","EBIT",-0.639810426540284
"2017-12-25",0.004057,0.004828,0.002584,0.004429,"630","-","EBIT",0.091693369484841
"2017-12-24",0.004243,0.00489,0.003201,0.004037,"291","-","EBIT",-0.0485505538534057
"2017-12-23",0.004028,0.005185,0.003609,0.004194,"665","-","EBIT",0.0412115193644487
"2017-12-22",0.005602,0.005628,0.003441,0.003995,"125","-","EBIT",-0.286861835058907
"2017-12-21",0.00559,0.005951,0.005417,0.005581,"11","-","EBIT",-0.00161001788908771
"2017-12-20",0.002771,0.005584,0.002455,0.005584,"732","-","EBIT",1.01515698303861
"2017-12-19",0.001974,0.004218,0.001637,0.002774,"61","-","EBIT",0.405268490374873
"2017-12-18",0.005326,0.005342,0.001967,0.00198,"618","-","EBIT",-0.628238828389035
"2017-12-17",0.005002,0.005404,0.001422,0.005333,"937","-","EBIT",0.0661735305877648
"2017-12-16",0.002115,0.006964,0.002115,0.004988,"1,190","-","EBIT",1.35839243498818
"2017-12-15",0.002083,0.002278,0.00131,0.002111,"1,467","-","EBIT",0.013442150744119
"2017-12-14",0.002419,0.002419,0.001981,0.002081,"447","-","EBIT",-0.139727159983464
"2017-12-13",0.002002,0.002981,0.001351,0.00242,"473","-","EBIT",0.208791208791209
"2017-12-12",0.001558,0.004681,0.001518,0.002001,"483","-","EBIT",0.284338896020539
"2017-12-11",0.003328,0.0046,0.001419,0.001568,"348","-","EBIT",-0.528846153846154
"2017-12-10",0.00414,0.004444,0.003312,0.003324,"274","-","EBIT",-0.197101449275362
"2017-12-09",0.002791,0.003362,0.002791,0.003124,"1,169","-","EBIT",0.11931207452526
"2017-12-08",0.002113,0.002795,0.002061,0.002791,"666","-","EBIT",0.320870799810696
"2017-12-07",0.003345,0.003445,0.002062,0.00211,"42","-","EBIT",-0.369207772795217
"2017-12-06",0.003772,0.003772,0.003289,0.003357,"44","-","EBIT",-0.110021208907741
"2017-12-05",0.001866,0.00384,0.001449,0.003779,"75","-","EBIT",1.02518756698821
"2017-12-04",0.002428,0.004137,0.001808,0.001865,"118","-","EBIT",-0.231878088962109
"2017-12-03",0.000916,0.003473,0.000675,0.002424,"249","-","EBIT",1.64628820960699
"2017-12-02",0.001378,0.002636,0.00064,0.000915,"108","-","EBIT",-0.335994194484761
"2017-12-01",0.001527,0.001555,0.000579,0.001378,"131","-","EBIT",-0.0975769482645709
"2017-11-30",0.00168,0.001803,0.000599,0.001531,"16","-","EBIT",-0.0886904761904762
"2017-11-29",0.00117,0.001913,0.000479,0.001659,"16","-","EBIT",0.417948717948718
"2017-11-28",0.001642,0.002854,0.001153,0.001169,"68","-","EBIT",-0.288063337393423
"2017-11-27",0.000847,0.001651,0.000751,0.001644,"1,071","-","EBIT",0.940968122786305
"2017-11-26",0.000791,0.000851,0.000616,0.000847,"274","-","EBIT",0.0707964601769911
"2017-11-25",0.000712,0.001394,7e-04,0.000791,"108","-","EBIT",0.110955056179775
"2017-11-24",0.001549,0.001587,0.00061,0.000712,"253","-","EBIT",-0.540348612007747
"2017-11-23",0.000871,0.001609,0.000498,0.001557,"147","-","EBIT",0.78760045924225
"2017-11-22",0.000902,0.000953,0.000475,0.000869,"53","-","EBIT",-0.0365853658536586
"2017-11-21",0.00086,0.000999,0.000705,0.000901,"81","-","EBIT",0.0476744186046512
"2017-11-20",0.00039,0.000992,0.00039,0.000862,"154","-","EBIT",1.21025641025641
"2017-11-19",0.000347,0.001012,0.000345,0.000391,"173","-","EBIT",0.126801152737752
"2017-11-18",0.000945,0.000945,0.000116,0.000347,"60","-","EBIT",-0.632804232804233
"2017-11-17",0.000825,0.000964,0.000656,0.000946,"101","-","EBIT",0.146666666666667
"2017-11-16",0.000761,0.001282,0.00076,0.000826,"274","-","EBIT",0.085413929040736
"2017-11-15",0.001619,0.001719,0.000754,0.000762,"128","-","EBIT",-0.529339098208771
"2017-11-14",0.001166,0.001715,0.000794,0.001619,"898","-","EBIT",0.388507718696398
"2017-11-13",0.000673,0.001187,0.000673,0.001166,"782","-","EBIT",0.732540861812779
"2017-11-12",0.000666,0.001258,0.000652,0.000672,"59","-","EBIT",0.0090090090090089
"2017-11-11",0.000834,0.001271,0.000632,0.000666,"299","-","EBIT",-0.201438848920863
"2017-11-10",0.00096,0.001297,0.000836,0.000837,"187","-","EBIT",-0.128125
"2017-11-09",0.001333,0.001344,0.000953,0.00096,"2,031","-","EBIT",-0.279819954988747
"2017-11-08",0.000917,0.001492,0.000843,0.00134,"1,931","-","EBIT",0.461286804798255
"2017-11-07",0.001727,0.002186,0.000912,0.000918,"1,441","-","EBIT",-0.468442385639838
"2017-11-06",0.002459,0.002459,0.001676,0.001725,"2,759","-","EBIT",-0.298495323302155
"2017-11-05",0.002624,0.002701,0.001819,0.002457,"1,129","-","EBIT",-0.0636432926829268
"2017-11-04",0.003253,0.003342,0.001528,0.002621,"4,501","-","EBIT",-0.194282201045189
"2017-11-03",0.002862,0.005222,0.002492,0.003253,"18,815","-","EBIT",0.136617749825297
