"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",7.25,11.95,6.91,9.62,"3,748","35,871,200","ECN",0.326896551724138
"2018-01-09",13.99,14.17,6.39,7.25,"1,457","69,149,000","ECN",-0.481772694781987
"2018-01-08",7.61,23.37,6.95,14.02,"9,534","37,558,300","ECN",0.842312746386334
"2018-01-07",9.29,9.55,4.4,7.62,"2,753","45,784,400","ECN",-0.179763186221744
"2018-01-06",6.71,9.32,2.47,9.3,"2,803","33,053,100","ECN",0.385991058122206
"2018-01-05",7.02,16.71,6.7,6.71,"180","34,545,200","ECN",-0.0441595441595441
"2018-01-04",9.74,10.96,6,7.01,"1,210","47,862,200","ECN",-0.280287474332649
"2018-01-03",10.73,17.98,8.53,9.71,"3,930","52,649,200","ECN",-0.0950605778191985
"2018-01-02",2.15,10.78,2.15,10.75,"569","10,525,000","ECN",4
"2018-01-01",2.08,4.23,2.01,2.15,"18","10,187,700","ECN",0.0336538461538461
"2017-12-31",4.26,4.51,2.07,2.07,"263","20,831,600","ECN",-0.514084507042254
"2017-12-30",5.56,10.42,2.87,4.31,"522","27,159,200","ECN",-0.224820143884892
"2017-12-29",8.11,8.13,3.78,5.58,"162","39,521,900","ECN",-0.311960542540074
"2017-12-28",4.65,8.05,3.71,8.05,"334","22,619,400","ECN",0.731182795698925
"2017-12-27",2.88,14.36,2.21,4.66,"1,582","13,987,900","ECN",0.618055555555556
"2017-12-26",2.3,2.89,2.22,2.88,"7","11,152,600","ECN",0.252173913043478
"2017-12-25",2.87,2.88,1.93,2.3,"613","13,907,100","ECN",-0.198606271777004
"2017-12-24",2.9,3.06,2.55,2.84,"146","14,034,700","ECN",-0.0206896551724138
"2017-12-23",5.15,5.43,2.86,2.87,"171","24,887,200","ECN",-0.442718446601942
"2017-12-22",4.94,5.71,3.12,5.09,"449","23,854,200","ECN",0.0303643724696355
"2017-12-21",3.17,5.37,3.13,4.93,"433","15,258,400","ECN",0.555205047318612
"2017-12-20",4.53,4.53,2.95,3.16,"299","21,798,100","ECN",-0.30242825607064
"2017-12-19",4.54,6.28,3.72,4.54,"1,302","21,810,200","ECN",0
"2017-12-18",11.99,11.99,3.09,4.55,"1,152","57,481,300","ECN",-0.620517097581318
"2017-12-17",5.35,14.53,2.2,11.98,"195","25,601,300","ECN",1.2392523364486
"2017-12-16",3.55,5.31,2.83,5.3,"652","16,935,400","ECN",0.492957746478873
"2017-12-15",2.29,4.22,1.98,3.54,"233","10,928,700","ECN",0.545851528384279
"2017-12-14",2.14,7.78,2.12,2.29,"4,355","10,163,300","ECN",0.0700934579439252
"2017-12-13",2.51,2.96,2.03,2.14,"1,449","11,908,700","ECN",-0.147410358565737
"2017-12-12",2.78,2.8,2.38,2.5,"772","13,192,300","ECN",-0.100719424460432
"2017-12-11",1.42,2.86,1.41,2.78,"505","6,700,980","ECN",0.957746478873239
"2017-12-10",3.71,3.83,1.36,1.43,"350","17,535,300","ECN",-0.61455525606469
"2017-12-09",1.3,3.7,1.26,3.7,"106","6,133,720","ECN",1.84615384615385
"2017-12-08",2,2.03,1.22,1.3,"23","9,395,560","ECN",-0.35
"2017-12-07",2.64,3.07,1.91,1.99,"2","12,401,700","ECN",-0.246212121212121
"2017-12-06",3.11,3.16,2.24,2.65,"181","14,535,000","ECN",-0.147909967845659
"2017-12-05",1.29,3.14,1.27,3.11,"3,119","6,011,520","ECN",1.41085271317829
"2017-12-04",2.34,14.76,1.27,1.29,"134","10,905,200","ECN",-0.448717948717949
"2017-12-03",2.27,2.46,1.06,2.34,"50","10,508,400","ECN",0.0308370044052863
"2017-12-02",3.67,3.75,2.23,2.26,"115","16,952,100","ECN",-0.384196185286104
"2017-12-01",2.09,3.67,1.97,3.67,"1,112","9,620,980","ECN",0.755980861244019
"2017-11-30",2.81,3.03,0.810343,2.1,"172","12,877,600","ECN",-0.252669039145907
"2017-11-29",1.74,3.27,1.74,2.76,"3,571","7,953,470","ECN",0.586206896551724
"2017-11-28",4.82,4.83,1.03,1.74,"475","21,951,900","ECN",-0.639004149377593
"2017-11-27",2.38,4.81,2.23,4.8,"2,388","10,814,800","ECN",1.01680672268908
"2017-11-26",2.14,2.41,2.03,2.38,"50","9,746,670","ECN",0.11214953271028
"2017-11-25",2.47,2.49,2.12,2.14,"40","11,210,500","ECN",-0.133603238866397
"2017-11-24",2.92,3.73,2.44,2.47,"19","13,219,000","ECN",-0.154109589041096
"2017-11-23",3.05,3.05,2.59,2.92,"5","13,752,700","ECN",-0.0426229508196721
"2017-11-22",2.14,3.39,2.13,3.05,"4","9,648,310","ECN",0.425233644859813
"2017-11-21",2.48,2.48,2.1,2.13,"248","11,179,800","ECN",-0.141129032258065
"2017-11-20",2.89,2.98,2.38,2.48,"273","13,051,300","ECN",-0.141868512110727
"2017-11-19",2.74,3.25,1.94,2.89,"7,811","12,338,000","ECN",0.0547445255474452
"2017-11-18",2.7,2.96,2.08,2.74,"155","12,164,200","ECN",0.0148148148148148
"2017-11-17",3.8,3.8,1.95,2.71,"9,702","17,104,200","ECN",-0.286842105263158
"2017-11-16",3.35,3.87,1.85,3.81,"7,504","15,071,100","ECN",0.137313432835821
"2017-11-15",3.44,3.51,1.5,3.35,"6,881","15,453,300","ECN",-0.0261627906976744
"2017-11-14",1.57,3.55,1.57,3.43,"7,640","7,053,610","ECN",1.18471337579618
"2017-11-13",3.27,3.46,1.23,1.57,"128","14,703,500","ECN",-0.519877675840979
