"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.127461,0.173214,0.095421,0.099795,"13,146","56,649,500","ECOB",-0.217054628474592
"2018-01-09",0.099458,0.186572,0.09719,0.127294,"33,130","44,203,500","ECOB",0.279876932976734
"2018-01-08",0.081019,0.099729,0.070077,0.099729,"6,680","36,008,600","ECOB",0.230933484738148
"2018-01-07",0.061741,0.097173,0.055349,0.081133,"33,275","27,440,600","ECOB",0.314086263584976
"2018-01-06",0.05583,0.061482,0.02577,0.053237,"5,282","24,813,500","ECOB",-0.0464445638545584
"2018-01-05",0.046257,0.065851,0.044671,0.055818,"4,891","20,558,500","ECOB",0.206693041053246
"2018-01-04",0.044612,0.04753,0.035055,0.046224,"2,989","19,827,600","ECOB",0.0361337756657402
"2018-01-03",0.035373,0.058296,0.034699,0.044383,"2,101","15,721,300","ECOB",0.254714047437311
"2018-01-02",0.033014,0.040269,0.029908,0.03547,"1,407","14,673,000","ECOB",0.0743926818925304
"2018-01-01",0.037246,0.051043,0.025594,0.033022,"601","16,553,900","ECOB",-0.113408151210868
"2017-12-31",0.025053,0.036226,0.024171,0.028839,"625","11,134,500","ECOB",0.151119626392049
"2017-12-30",0.03524,0.036507,0.025326,0.025326,"373","15,662,300","ECOB",-0.281328036322361
"2017-12-29",0.031272,0.037995,0.025731,0.035329,"891","13,898,600","ECOB",0.129732668201586
"2017-12-28",0.052752,0.05297,0.028949,0.030975,"966","23,445,200","ECOB",-0.41281847133758
"2017-12-27",0.036561,0.052772,0.02908,0.052772,"475","16,249,400","ECOB",0.443395968381609
"2017-12-26",0.028147,0.036529,0.022213,0.036529,"361","12,509,800","ECOB",0.29779372579671
"2017-12-25",0.025911,0.038929,0.024658,0.028171,"959","11,516,200","ECOB",0.08722164331751
"2017-12-24",0.02755,0.032134,0.01802,0.025675,"5,986","12,244,400","ECOB",-0.0680580762250454
"2017-12-23",0.0193,0.034856,0.018994,0.027441,"1,590","8,577,810","ECOB",0.421813471502591
"2017-12-22",0.014761,0.022233,0.012539,0.019131,"1,516","6,560,400","ECOB",0.296050403089222
"2017-12-21",0.018431,0.025469,0.014582,0.014711,"2,265","8,191,550","ECOB",-0.201833866854756
"2017-12-20",0.017728,0.018444,0.015239,0.018385,"370","7,878,900","ECOB",0.0370600180505414
"2017-12-19",0.02063,0.040454,0.017229,0.017744,"2,467","9,168,760","ECOB",-0.139893359185652
"2017-12-18",0.019376,0.023844,0.018253,0.020569,"587","8,611,750","ECOB",0.0615710156895128
"2017-12-17",0.01672,0.019913,0.01638,0.019322,"108","7,430,960","ECOB",0.155622009569378
"2017-12-16",0.016641,0.017636,0.014985,0.016704,"557","7,395,930","ECOB",0.00378583017847488
"2017-12-15",0.017524,0.019039,0.016578,0.01662,"33","7,788,610","ECOB",-0.0515863958000458
"2017-12-14",0.014446,0.017528,0.014346,0.017498,"383","6,420,220","ECOB",0.211269555586321
"2017-12-13",0.017913,0.018842,0.013631,0.014492,"1,077","7,961,180","ECOB",-0.190978618880143
"2017-12-12",0.014661,0.019005,0.014496,0.017898,"167","6,516,040","ECOB",0.220789850624105
"2017-12-11",0.015098,0.015984,0.01337,0.014607,"158","6,710,410","ECOB",-0.032520863690555
"2017-12-10",0.012895,0.01565,0.011274,0.015307,"78","5,731,270","ECOB",0.187049243892982
"2017-12-09",0.013493,0.01729,0.009808,0.012853,"230","5,997,000","ECOB",-0.0474320017787001
"2017-12-08",0.01069,0.033199,0.009882,0.0135,"448","4,750,940","ECOB",0.262862488306829
"2017-12-07",0.012093,0.013557,0.009177,0.010665,"1,931","5,374,660","ECOB",-0.118084842470851
"2017-12-06",0.012442,0.013925,0.010995,0.012114,"722","5,529,620","ECOB",-0.0263623211702299
"2017-12-05",0.012466,0.012559,0.011846,0.012469,"407","5,540,480","ECOB",0.00024065458045881
"2017-12-04",0.011354,0.012442,0.010143,0.012442,"300","5,046,310","ECOB",0.0958252598203277
"2017-12-03",0.010719,0.011998,0.010694,0.011317,"159","4,764,160","ECOB",0.0557887862673758
"2017-12-02",0.009941,0.012444,0.009752,0.010709,"148","4,418,270","ECOB",0.0772558092747208
"2017-12-01",0.010041,0.012056,0.009659,0.00995,"1,242","4,462,470","ECOB",-0.00906284234637975
"2017-11-30",0.00999,0.012097,0.009538,0.010091,"787","4,439,860","ECOB",0.01011011011011
"2017-11-29",0.01083,0.01256,0.009192,0.009839,"570","4,813,490","ECOB",-0.0915050784856878
"2017-11-28",0.010206,0.011092,0.010156,0.01078,"152","4,535,810","ECOB",0.056241426611797
"2017-11-27",0.01022,0.01201,0.009962,0.010179,"152","4,542,280","ECOB",-0.0040117416829745
"2017-11-26",0.012916,0.013129,0.009524,0.010217,"178","5,740,620","ECOB",-0.208965624032208
"2017-11-25",0.011111,0.012919,0.009539,0.012919,"122","4,938,000","ECOB",0.162721627216272
"2017-11-24",0.011239,0.013128,0.010875,0.011133,"114","4,994,940","ECOB",-0.0094314440786547
"2017-11-23",0.014506,0.017005,0.010458,0.011285,"392","6,447,160","ECOB",-0.222046049910382
"2017-11-22",0.018003,0.018291,0.00959,0.014572,"2,173","8,001,390","ECOB",-0.190579347886463
"2017-11-21",0.010763,0.023075,0.009102,0.017959,"1,099","4,783,520","ECOB",0.6685868252346
"2017-11-20",0.011704,0.023601,0.008876,0.010761,"2,035","5,201,990","ECOB",-0.0805707450444293
"2017-11-19",0.010712,0.012211,0.008706,0.011711,"167","4,761,090","ECOB",0.0932598954443615
"2017-11-18",0.011001,0.012618,0.010232,0.010729,"125","4,889,310","ECOB",-0.0247250249977274
"2017-11-17",0.014495,0.014629,0.010894,0.011043,"38","6,442,040","ECOB",-0.23815108658158
"2017-11-16",0.012641,0.014852,0.012087,0.014518,"42","5,618,440","ECOB",0.148485088205047
"2017-11-15",0.012863,0.016953,0.009792,0.012576,"818","5,716,850","ECOB",-0.0223120578403171
"2017-11-14",0.013653,0.014359,0.012507,0.012854,"93","6,068,080","ECOB",-0.058521936570717
"2017-11-13",0.009924,0.015146,0.008985,0.013633,"48","4,410,730","ECOB",0.373740427247078
"2017-11-12",0.012955,0.013084,0.00958,0.009911,"74","5,757,730","ECOB",-0.234967194133539
"2017-11-11",0.016563,0.019546,0.011062,0.012939,"660","7,361,150","ECOB",-0.218800941858359
"2017-11-10",0.016498,0.020848,0.013531,0.01663,"11","7,332,330","ECOB",0.00800096981452298
"2017-11-09",0.015743,0.01648,0.014248,0.016462,"75","6,996,870","ECOB",0.0456710919138665
"2017-11-08",0.014606,0.018316,0.01427,0.015759,"613","6,491,540","ECOB",0.0789401615774339
"2017-11-07",0.020727,0.021446,0.013212,0.014652,"35","9,212,070","ECOB",-0.293095961788971
"2017-11-06",0.020818,0.026802,0.012514,0.02076,"1,913","9,252,410","ECOB",-0.00278605053319238
"2017-11-05",0.020675,0.020952,0.012778,0.020772,"260","9,189,060","ECOB",0.00469165659008464
"2017-11-04",0.016319,0.02156,0.015073,0.020715,"206","7,253,070","ECOB",0.269379251179607
"2017-11-03",0.018668,0.020451,0.012651,0.016362,"255","8,296,870","ECOB",-0.123526890936362
"2017-11-02",0.015497,0.021071,0.015136,0.018692,"5,930","6,887,650","ECOB",0.206168935923082
"2017-11-01",0.016751,0.01713,0.014491,0.015477,"221","7,444,820","ECOB",-0.0760551608859172
"2017-10-31",0.016083,0.018848,0.015929,0.016763,"66","7,148,160","ECOB",0.0422806690294099
"2017-10-30",0.016008,0.018399,0.015842,0.016138,"6","7,114,660","ECOB",0.00812093953023477
"2017-10-29",0.015785,0.018544,0.014923,0.016116,"24","7,015,690","ECOB",0.0209692746278111
"2017-10-28",0.016894,0.017207,0.013729,0.015809,"799","7,508,260","ECOB",-0.0642239848466911
"2017-10-27",0.014799,0.018698,0.014474,0.016848,"549","6,577,310","ECOB",0.138455301033854
"2017-10-26",0.01783,0.018625,0.014584,0.014796,"569","7,924,450","ECOB",-0.17016264722378
"2017-10-25",0.014479,0.018331,0.014008,0.017832,"1,353","6,434,940","ECOB",0.231576766351267
"2017-10-24",0.015782,0.017214,0.01438,0.014473,"454","7,014,210","ECOB",-0.0829425928272716
"2017-10-23",0.016826,0.018014,0.015625,0.015818,"236","7,478,030","ECOB",-0.0599072863425652
"2017-10-22",0.016332,0.017914,0.01571,0.016853,"290","7,258,750","ECOB",0.0319005633112908
"2017-10-21",0.016669,0.017361,0.016059,0.016327,"161","7,408,500","ECOB",-0.0205171276021356
"2017-10-20",0.014049,0.016994,0.014049,0.016704,"119","6,244,040","ECOB",0.188981422165279
"2017-10-19",0.015035,0.015333,0.012526,0.014045,"98","6,682,330","ECOB",-0.0658463584968407
"2017-10-18",0.015113,0.015113,0.013931,0.015027,"209","6,716,780","ECOB",-0.00569046516244288
"2017-10-17",0.019279,0.019334,0.014834,0.015112,"398","8,568,210","ECOB",-0.216141916074485
"2017-10-16",0.018983,0.019376,0.014979,0.019276,"21","8,436,830","ECOB",0.0154348627719539
"2017-10-15",0.017255,0.020162,0.017242,0.01898,"45","7,668,950","ECOB",0.0999710228919154
"2017-10-14",0.018455,0.019199,0.017426,0.0175,"43","8,202,380","ECOB",-0.0517474939040909
"2017-10-13",0.019754,0.021029,0.016533,0.017126,"3,175","8,779,630","ECOB",-0.133036347068948
"2017-10-12",0.018699,0.020087,0.018544,0.019693,"337","8,310,630","ECOB",0.0531579228835766
"2017-10-11",0.018031,0.019022,0.016679,0.018683,"64","8,013,650","ECOB",0.0361599467583608
"2017-10-10",0.017685,0.018173,0.016867,0.018034,"13","7,860,050","ECOB",0.0197342380548489
"2017-10-09",0.017461,0.018517,0.016408,0.017681,"1,386","7,760,280","ECOB",0.0125995074737986
"2017-10-08",0.017065,0.017602,0.015171,0.017459,"2,127","7,584,470","ECOB",0.0230881922062701
"2017-10-07",0.01788,0.017929,0.014814,0.01711,"1,468","7,946,570","ECOB",-0.0430648769574944
"2017-10-06",0.017176,0.020708,0.017049,0.017874,"2,322","7,633,720","ECOB",0.0406380996739637
"2017-10-05",0.017148,0.017388,0.016386,0.017176,"651","7,621,150","ECOB",0.00163284348028926
"2017-10-04",0.018707,0.018825,0.016821,0.017132,"106","8,314,220","ECOB",-0.0841930828032287
"2017-10-03",0.020119,0.020925,0.017146,0.018664,"1,557","8,941,680","ECOB",-0.0723196977981014
"2017-10-02",0.017951,0.020781,0.017937,0.020118,"7,256","7,978,250","ECOB",0.120717508773884
"2017-10-01",0.019307,0.019525,0.017813,0.017959,"94","8,581,050","ECOB",-0.0698192365463304
"2017-09-30",0.019849,0.020731,0.019137,0.019297,"56","8,821,640","ECOB",-0.0278099652375433
"2017-09-29",0.020781,0.021506,0.017204,0.019846,"199","9,236,140","ECOB",-0.0449930224724509
"2017-09-28",0.029153,0.029201,0.020695,0.020797,"5,254","12,957,000","ECOB",-0.2866257332007
"2017-09-27",0.023787,0.029271,0.02273,0.029152,"23,307","10,571,900","ECOB",0.225543364022365
"2017-09-26",0.021292,0.03968,0.021174,0.023853,"8,824","9,463,340","ECOB",0.120279917339846
"2017-09-25",0.019424,0.026899,0.019417,0.021295,"26,938","8,632,820","ECOB",0.0963241350906096
"2017-09-24",0.017389,0.023121,0.016266,0.019444,"51,530","7,728,200","ECOB",0.118178158606015
"2017-09-23",0.015716,0.020899,0.014779,0.01739,"40,792","6,984,720","ECOB",0.106515652837872
"2017-09-22",0.016143,0.0189,0.015045,0.015764,"402","7,174,840","ECOB",-0.0234776683392183
"2017-09-21",0.021622,0.022141,0.015994,0.016162,"8,343","9,609,840","ECOB",-0.252520580889834
"2017-09-20",0.024442,0.024524,0.020404,0.021729,"1,360","10,863,200","ECOB",-0.110997463382702
"2017-09-19",0.023827,0.027057,0.02245,0.024475,"4,133","10,589,700","ECOB",0.0271960381080287
"2017-09-18",0.021723,0.027204,0.021723,0.023769,"3,088","9,654,560","ECOB",0.0941858859273581
"2017-09-17",0.022613,0.024029,0.021497,0.021766,"4,565","10,050,400","ECOB",-0.037456330429399
"2017-09-16",0.02612,0.027328,0.02136,0.022629,"9,580","11,608,700","ECOB",-0.133652373660031
"2017-09-15",0.021473,0.026922,0.019804,0.02623,"11,029","9,543,700","ECOB",0.221534019466307
"2017-09-14",0.028943,0.029882,0.022702,0.022702,"2,807","12,863,500","ECOB",-0.21563072245448
"2017-09-13",0.029178,0.029482,0.026457,0.028941,"11,222","12,968,000","ECOB",-0.00812255809171285
"2017-09-12",0.029467,0.03099,0.028718,0.029169,"3,101","13,096,600","ECOB",-0.0101130077714053
"2017-09-11",0.029824,0.030482,0.028852,0.029477,"3,218","13,255,100","ECOB",-0.0116349248927039
"2017-09-10",0.031177,0.031177,0.028415,0.029733,"282","13,856,600","ECOB",-0.0463161946306572
"2017-09-09",0.030302,0.031778,0.029443,0.031144,"5,397","13,467,400","ECOB",0.0277869447561218
"2017-09-08",0.032437,0.033662,0.029013,0.030243,"986","14,416,300","ECOB",-0.0676388075346056
"2017-09-07",0.033247,0.033252,0.031622,0.03243,"3,628","14,776,400","ECOB",-0.024573645742473
"2017-09-06",0.032238,0.034019,0.03174,0.033311,"8,938","14,327,800","ECOB",0.0332837024629319
"2017-09-05",0.031485,0.032808,0.029793,0.032201,"8,082","13,993,400","ECOB",0.0227409877719549
"2017-09-04",0.033303,0.033327,0.0299,0.031598,"217","14,801,300","ECOB",-0.0511965888958952
"2017-09-03",0.035356,0.03578,0.03196,0.033292,"5,532","15,713,900","ECOB",-0.0583776445299241
"2017-09-02",0.035531,0.036428,0.03279,0.035334,"425","15,791,600","ECOB",-0.00554445413863957
"2017-09-01",0.036051,0.03831,0.034457,0.035487,"21,402","16,022,600","ECOB",-0.0156445036198719
