"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.071968,0.090581,0.069874,0.090581,"11,334","806,690","EL",0.258628835037794
"2018-01-09",0.063562,0.077294,0.061932,0.0723,"3,541","712,458","EL",0.137472074509927
"2018-01-08",0.074062,0.076317,0.062785,0.06512,"2,524","830,154","EL",-0.120736680078853
"2018-01-07",0.072696,0.078391,0.064813,0.074641,"4,617","814,843","EL",0.0267552547595466
"2018-01-06",0.064024,0.073229,0.06014,0.073024,"2,565","717,648","EL",0.140572285392978
"2018-01-05",0.071602,0.074205,0.061243,0.064568,"4,235","802,582","EL",-0.0982374794000167
"2018-01-04",0.084523,0.085458,0.069638,0.072567,"5,346","947,418","EL",-0.141452622363144
"2018-01-03",0.079996,0.086675,0.055338,0.082558,"8,689","896,670","EL",0.0320266013300666
"2018-01-02",0.0694,0.083321,0.069337,0.079945,"4,160","777,907","EL",0.151945244956772
"2018-01-01",0.069366,0.074028,0.066416,0.069249,"3,969","777,521","EL",-0.00168670530230938
"2017-12-31",0.065304,0.072543,0.06293,0.069782,"2,987","731,984","EL",0.0685716035771162
"2017-12-30",0.072251,0.073452,0.065579,0.065579,"2,712","809,857","EL",-0.0923447426333199
"2017-12-29",0.064774,0.075273,0.064774,0.071677,"2,569","726,045","EL",0.106570537561367
"2017-12-28",0.065373,0.067116,0.056917,0.064532,"2,651","732,760","EL",-0.0128646383063343
"2017-12-27",0.062074,0.06897,0.062074,0.067863,"2,933","695,789","EL",0.0932596578277541
"2017-12-26",0.057604,0.063444,0.053908,0.062163,"3,341","645,684","EL",0.0791438094576766
"2017-12-25",0.056778,0.059447,0.052781,0.057694,"1,987","636,424","EL",0.0161330092641516
"2017-12-24",0.05407,0.059347,0.049279,0.057906,"4,161","606,072","EL",0.0709450712039948
"2017-12-23",0.053991,0.06066,0.046969,0.053917,"2,726","605,186","EL",-0.00137059880350424
"2017-12-22",0.065961,0.066372,0.042298,0.053829,"4,001","739,357","EL",-0.18392686587529
"2017-12-21",0.061679,0.082349,0.059531,0.065806,"10,595","691,356","EL",0.0669109421358972
"2017-12-20",0.043261,0.063237,0.042114,0.0614,"5,873","484,906","EL",0.419292203139086
"2017-12-19",0.030389,0.043294,0.025624,0.042191,"3,066","340,629","EL",0.388364210734147
"2017-12-18",0.032599,0.034166,0.029909,0.030505,"2,184","365,401","EL",-0.0642350992361729
"2017-12-17",0.034214,0.037271,0.031649,0.033317,"1,861","383,498","EL",-0.0262173379318408
"2017-12-16",0.035687,0.035849,0.031472,0.034151,"3,843","400,019","EL",-0.0430408832347915
"2017-12-15",0.031209,0.036422,0.028256,0.035676,"2,199","349,818","EL",0.143131788907046
"2017-12-14",0.031391,0.0355,0.029988,0.031228,"1,083","351,861","EL",-0.00519257111911068
"2017-12-13",0.038826,0.039069,0.026289,0.030672,"2,273","435,196","EL",-0.210013908205841
"2017-12-12",0.038723,0.041432,0.037669,0.038809,"1,376","434,041","EL",0.00222090230612305
"2017-12-11",0.038629,0.042245,0.037277,0.038682,"1,335","432,991","EL",0.00137202619793431
"2017-12-10",0.038821,0.045669,0.036108,0.038652,"532","435,147","EL",-0.00435331392802871
"2017-12-09",0.037742,0.042293,0.035206,0.038754,"1,532","423,054","EL",0.0268136293784113
"2017-12-08",0.044069,0.050178,0.035763,0.035763,"2,398","493,972","EL",-0.188477160815993
"2017-12-07",0.037233,0.048783,0.035791,0.044028,"2,404","417,342","EL",0.182499395697365
"2017-12-06",0.040445,0.043861,0.036507,0.039052,"2,332","453,342","EL",-0.0344418345901842
"2017-12-05",0.038208,0.04284,0.036446,0.041023,"2,118","428,278","EL",0.0736756700167504
"2017-12-04",0.045798,0.048568,0.036292,0.038759,"1,700","513,344","EL",-0.153696667976767
"2017-12-03",0.046727,0.059752,0.032765,0.045849,"4,905","523,761","EL",-0.0187899929377019
"2017-12-02",0.033811,0.046761,0.032368,0.046659,"3,171","378,985","EL",0.379994676288782
"2017-12-01",0.02809,0.036481,0.027571,0.033884,"5,287","314,856","EL",0.2062655749377
