"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.38,2.47,1.82,2.19,"1,805,580","72,945,700","ELIX",-0.0798319327731092
"2018-01-09",2.44,2.49,2.07,2.3,"2,029,700","74,403,600","ELIX",-0.0573770491803279
"2018-01-08",2.11,2.46,1.66,2.46,"2,680,790","64,027,000","ELIX",0.165876777251185
"2018-01-07",1.77,2.22,1.47,2.22,"2,283,480","53,524,000","ELIX",0.254237288135593
"2018-01-06",1.7,1.79,1.49,1.72,"2,183,210","51,308,000","ELIX",0.011764705882353
"2018-01-05",1.06,1.9,1.03,1.59,"4,362,650","31,796,100","ELIX",0.5
"2018-01-04",0.95571,1.08,0.851591,1.03,"1,160,040","28,743,300","ELIX",0.0777327850498583
"2018-01-03",1.31,1.33,0.776657,0.973605,"2,005,040","39,366,700","ELIX",-0.256790076335878
"2018-01-02",0.951577,1.32,0.945673,1.31,"1,870,530","27,973,300","ELIX",0.376662109319582
"2018-01-01",0.949874,0.976539,0.733337,0.941943,"890,256","27,832,400","ELIX",-0.00834952846377522
"2017-12-31",0.806679,0.972283,0.771077,0.952647,"594,980","23,396,700","ELIX",0.180949299535503
"2017-12-30",0.741595,0.901254,0.628646,0.856474,"774,820","21,269,700","ELIX",0.154908002346294
"2017-12-29",0.483102,0.745377,0.449192,0.743257,"912,305","13,637,400","ELIX",0.538509465909891
"2017-12-28",0.548573,0.54926,0.438903,0.457882,"346,508","15,421,700","ELIX",-0.165321661838989
"2017-12-27",0.528607,0.591065,0.478465,0.550751,"645,719","14,785,500","ELIX",0.0418912348871656
"2017-12-26",0.454079,0.578343,0.444306,0.534669,"578,008","12,600,900","ELIX",0.177480130109518
"2017-12-25",0.375213,0.477653,0.343509,0.449004,"463,378","10,339,100","ELIX",0.196664294680621
"2017-12-24",0.365735,0.408573,0.294545,0.371529,"331,991","9,893,830","ELIX",0.0158420714451721
"2017-12-23",0.233531,0.418137,0.233531,0.361639,"467,383","6,264,340","ELIX",0.548569568922327
"2017-12-22",0.271294,0.27985,0.186653,0.231587,"232,873","7,236,830","ELIX",-0.146361511865356
"2017-12-21",0.273054,0.316985,0.249289,0.269233,"223,139","7,256,430","ELIX",-0.0139935690376263
"2017-12-20",0.284817,0.288545,0.240441,0.272269,"204,899","7,544,910","ELIX",-0.0440563589954251
"2017-12-19",0.267556,0.309237,0.261647,0.294499,"296,348","7,076,360","ELIX",0.100700414118913
"2017-12-18",0.275026,0.288499,0.232631,0.271741,"252,465","7,271,990","ELIX",-0.0119443252637932
"2017-12-17",0.221776,0.284737,0.208677,0.282844,"227,913","5,860,870","ELIX",0.275358920712791
"2017-12-16",0.221181,0.243955,0.184711,0.221823,"147,130","5,835,730","ELIX",0.00290260013292283
"2017-12-15",0.214869,0.244257,0.209174,0.220874,"213,341","5,654,080","ELIX",0.0279472608891929
"2017-12-14",0.240428,0.256767,0.178718,0.214515,"148,265","6,300,330","ELIX",-0.107778628113198
"2017-12-13",0.250193,0.276189,0.208948,0.238472,"142,586","6,549,200","ELIX",-0.0468478334725592
"2017-12-12",0.23858,0.27761,0.223529,0.250289,"178,241","6,234,510","ELIX",0.049077877441529
"2017-12-11",0.187328,0.260385,0.186572,0.237949,"127,251","4,887,890","ELIX",0.270226554492655
"2017-12-10",0.194615,0.248751,0.177343,0.188879,"96,761","5,078,040","ELIX",-0.0294735760347353
"2017-12-09",0.234452,0.263319,0.185785,0.19385,"87,508","6,110,280","ELIX",-0.173178305154147
"2017-12-08",0.213925,0.244307,0.181361,0.234663,"48,464","5,517,270","ELIX",0.0969405165361693
"2017-12-07",0.222693,0.257149,0.185991,0.213439,"138,475","5,743,280","ELIX",-0.0415549658049423
"2017-12-06",0.22701,0.261777,0.183513,0.223121,"177,184","5,849,850","ELIX",-0.0171314039029117
"2017-12-05",0.237022,0.277269,0.216399,0.233794,"222,560","6,079,760","ELIX",-0.0136189889546118
"2017-12-04",0.211849,0.237071,0.206364,0.236581,"155,096","5,406,260","ELIX",0.116743529589472
"2017-12-03",0.159694,0.246706,0.150469,0.205722,"392,486","3,994,010","ELIX",0.288226232669981
"2017-12-02",0.142158,0.159557,0.118729,0.159557,"137,899","3,528,920","ELIX",0.12239198638135
"2017-12-01",0.101412,0.152473,0.093641,0.142268,"194,396","2,505,880","ELIX",0.402871455054629
"2017-11-30",0.095001,0.11134,0.083092,0.109982,"37,498","2,340,870","ELIX",0.15769307691498
"2017-11-29",0.09008,0.134268,0.082886,0.09359,"119,156","2,210,600","ELIX",0.0389653641207817
"2017-11-28",0.072848,0.090778,0.072848,0.090125,"38,751","1,784,920","ELIX",0.237165056007028
"2017-11-27",0.062738,0.081195,0.062738,0.081075,"28,381","1,536,190","ELIX",0.292279001562052
"2017-11-26",0.058461,0.068375,0.057891,0.062735,"15,697","1,427,170","ELIX",0.0731085681052325
"2017-11-25",0.056502,0.063077,0.050159,0.058476,"22,211","1,378,510","ELIX",0.0349368163958799
"2017-11-24",0.05838,0.062999,0.050891,0.056586,"21,862","1,418,580","ELIX",-0.0307297019527236
"2017-11-23",0.058088,0.070019,0.058088,0.058522,"37,452","1,406,660","ELIX",0.0074714226690538
"2017-11-22",0.057551,0.062198,0.052272,0.058097,"97,837","1,391,280","ELIX",0.00948723740682186
"2017-11-21",0.052867,0.061507,0.050934,0.05742,"29,068","1,272,940","ELIX",0.0861217772901811
"2017-11-20",0.059132,0.059774,0.052865,0.052865,"41,635","1,423,790","ELIX",-0.105983223973483
"2017-11-19",0.060583,0.068309,0.05875,0.059167,"14,455","1,451,810","ELIX",-0.0233728933859334
"2017-11-18",0.064022,0.069824,0.056126,0.060712,"26,722","1,527,320","ELIX",-0.051700977788885
"2017-11-17",0.055903,0.067286,0.050471,0.064231,"44,667","1,331,940","ELIX",0.148972327066526
"2017-11-16",0.066262,0.06771,0.055931,0.055993,"22,847","1,571,250","ELIX",-0.154975702514262
"2017-11-15",0.057628,0.073577,0.056751,0.065955,"24,312","1,362,560","ELIX",0.144495731241757
"2017-11-14",0.048523,0.058486,0.048523,0.05759,"19,332","1,146,630","ELIX",0.186859839663665
"2017-11-13",0.058013,0.065924,0.047658,0.048451,"19,016","1,364,510","ELIX",-0.164825125402927
"2017-11-12",0.063341,0.068345,0.0519,0.057926,"23,283","1,485,480","ELIX",-0.085489651252743
"2017-11-11",0.072064,0.075145,0.061866,0.063374,"16,703","1,686,090","ELIX",-0.120587255772647
"2017-11-10",0.075393,0.086505,0.068086,0.072339,"40,557","1,759,760","ELIX",-0.0405077394453066
"2017-11-09",0.07801,0.106292,0.072406,0.078605,"64,382","1,800,210","ELIX",0.00762722727855401
"2017-11-08",0.062501,0.07812,0.061747,0.078104,"40,037","1,437,190","ELIX",0.249644005695909
"2017-11-07",0.063248,0.06759,0.057037,0.062661,"20,677","1,449,360","ELIX",-0.00928092587907925
"2017-11-06",0.07197,0.078051,0.055799,0.063324,"32,710","1,642,740","ELIX",-0.120133388912047
"2017-11-05",0.051846,0.082057,0.049936,0.071819,"53,058","1,180,670","ELIX",0.385237048181152
"2017-11-04",0.05162,0.061908,0.045157,0.051945,"26,891","1,168,490","ELIX",0.0062960092987214
"2017-11-03",0.041556,0.063009,0.028558,0.051751,"63,403","934,886","ELIX",0.245331600731543
"2017-11-02",0.05808,0.068062,0.040944,0.041603,"111,346","1,303,270","ELIX",-0.283694903581267
"2017-11-01",0.057133,0.071299,0.055158,0.058012,"50,313","1,279,690","ELIX",0.0153851539390544
"2017-10-31",0.053668,0.07033,0.053651,0.05718,"27,389","1,198,430","ELIX",0.0654393679660133
"2017-10-30",0.061596,0.068961,0.052761,0.05383,"33,768","1,372,210","ELIX",-0.126079615559452
"2017-10-29",0.075794,0.081951,0.060226,0.06193,"20,814","1,686,460","ELIX",-0.1829168535768
"2017-10-28",0.071914,0.078789,0.064352,0.075864,"26,068","1,595,640","ELIX",0.0549267180243067
"2017-10-27",0.067465,0.075936,0.066421,0.071833,"60,520","1,492,140","ELIX",0.0647446824279256
"2017-10-26",0.065456,0.080081,0.06506,0.067451,"108,187","1,444,000","ELIX",0.0304784893669029
"2017-10-25",0.076855,0.078368,0.062407,0.065476,"41,232","1,692,980","ELIX",-0.148058031357752
"2017-10-24",0.069332,0.084701,0.065848,0.076896,"43,493","1,515,000","ELIX",0.109098251889459
"2017-10-23",0.065809,0.075867,0.064643,0.069169,"20,936","1,434,460","ELIX",0.0510568463280097
"2017-10-22",0.070145,0.078355,0.065887,0.065911,"27,564","1,523,760","ELIX",-0.060360681445577
"2017-10-21",0.068253,0.083662,0.066147,0.070128,"51,216","1,464,180","ELIX",0.0274713199419806
"2017-10-20",0.081057,0.090621,0.067429,0.068394,"38,713","1,733,370","ELIX",-0.15622339834931
"2017-10-19",0.065154,0.088917,0.06455,0.081036,"61,540","1,391,330","ELIX",0.243760935629432
"2017-10-18",0.072954,0.072957,0.056189,0.065665,"27,017","1,554,950","ELIX",-0.0999122734874031
"2017-10-17",0.083341,0.083553,0.059014,0.072961,"40,972","1,772,970","ELIX",-0.124548541534179
"2017-10-16",0.084739,0.088739,0.059503,0.08328,"54,618","1,798,170","ELIX",-0.0172175739624021
"2017-10-15",0.089635,0.09557,0.074968,0.078111,"42,092","1,892,450","ELIX",-0.128565850393262
"2017-10-14",0.081418,0.09465,0.0736,0.089464,"72,388","1,705,660","ELIX",0.0988233560146405
"2017-10-13",0.086462,0.101346,0.072635,0.081391,"71,815","1,803,960","ELIX",-0.0586500427933658
"2017-10-12",0.096949,0.097225,0.075315,0.086217,"81,503","1,912,080","ELIX",-0.110697376971397
"2017-10-11",0.110012,0.114137,0.090432,0.093649,"114,774","2,150,400","ELIX",-0.148738319456059
"2017-10-10",0.076882,0.113351,0.060228,0.11024,"135,852","1,478,350","ELIX",0.433885694961109
"2017-10-09",0.095595,0.108818,0.075123,0.076829,"126,458","1,456,800","ELIX",-0.196307338249909
"2017-10-08",0.103184,0.137933,0.079127,0.092499,"278,089","1,572,450","ELIX",-0.103552876414948
"2017-10-07",0.140518,0.140518,0.097556,0.10344,"180,758","2,141,410","ELIX",-0.26386655090451
"2017-10-06",0.175846,0.178195,0.099397,0.150141,"466,952","2,679,770","ELIX",-0.146179043026284
"2017-10-05",0.183375,0.221945,0.168513,0.17584,"601,865","746,389","ELIX",-0.0410906612133607
"2017-10-04",0.262006,0.262006,0.132189,0.187034,"1,266,780","1,074,030","ELIX",-0.286146118791173
"2017-10-03",0.312671,0.399148,0.243596,0.243596,"2,756,990","1,148,630","ELIX",-0.220919113061333
"2017-10-02",0.119521,0.36375,0.110152,0.315191,"1,230,050","393,444","ELIX",1.63711816333531
"2017-10-01",0.056951,0.156958,0.055664,0.11992,"393,885","143,161","ELIX",1.10566978630753
"2017-09-30",0.056784,0.059556,0.051917,0.056921,"56,871","142,740","ELIX",0.00241265145111296
"2017-09-29",0.047739,0.06077,0.046441,0.056776,"73,059","120,004","ELIX",0.189300152914808
"2017-09-28",0.049948,0.058506,0.039335,0.050499,"77,516","-","ELIX",0.011031472731641
"2017-09-27",0.046696,0.053889,0.037254,0.049946,"55,837","-","ELIX",0.069599109131403
"2017-09-26",0.052189,0.058754,0.044453,0.046859,"91,640","-","ELIX",-0.102128801088352
"2017-09-25",0.032898,0.057141,0.032898,0.052195,"82,118","-","ELIX",0.58657061219527
"2017-09-24",0.045872,0.052817,0.03104,0.032585,"58,783","-","ELIX",-0.289653819323335
"2017-09-23",0.02103,0.074476,0.017959,0.045876,"230,357","-","ELIX",1.18145506419401
