"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000927,0.000998,0.000897,0.000959,"135","-","ELTC2",0.034519956850054
"2018-01-09",0.000817,0.000935,0.000817,0.000927,"130","-","ELTC2",0.134638922888617
"2018-01-08",0.000782,0.000864,0.000698,0.000819,"108","-","ELTC2",0.047314578005115
"2018-01-07",0.000753,0.000775,0.000748,0.000775,"158","-","ELTC2",0.0292164674634794
"2018-01-06",0.000358,0.000369,0.000355,0.000369,"35","-","ELTC2",0.0307262569832404
"2018-01-05",0.00035,0.000376,0.000329,0.000357,"34","-","ELTC2",0.02
"2018-01-04",0.000331,0.000355,0.000316,0.000351,"21","-","ELTC2",0.0604229607250755
"2018-01-03",0.000302,0.000522,0.000302,0.000331,"69","-","ELTC2",0.0960264900662252
"2018-01-02",0.00019,0.000307,0.00019,0.000301,"6","-","ELTC2",0.584210526315789
"2018-01-01",0.000411,0.000447,0.000181,0.000189,"32","-","ELTC2",-0.54014598540146
"2017-12-31",0.000309,0.000412,0.000173,0.000411,"71","-","ELTC2",0.330097087378641
"2017-12-30",0.000166,0.00039,0.000155,0.000312,"89","-","ELTC2",0.879518072289157
"2017-12-29",0.000164,0.000336,0.000163,0.000328,"3","-","ELTC2",1
"2017-12-28",0.000164,0.000165,0.000153,0.000163,"14","-","ELTC2",-0.00609756097560974
"2017-12-27",0.000167,0.00017,0.000157,0.000165,"102","-","ELTC2",-0.0119760479041916
"2017-12-26",0.000118,0.000212,0.00011,0.000166,"288","-","ELTC2",0.406779661016949
"2017-12-25",0.000433,0.000469,0.000118,0.000118,"124","-","ELTC2",-0.727482678983834
"2017-12-24",0.000178,0.000443,0.000168,0.000431,"12","-","ELTC2",1.42134831460674
"2017-12-23",0.000231,0.000412,0.000174,0.000176,"59","-","ELTC2",-0.238095238095238
"2017-12-22",0.000238,0.000248,0.000147,0.000229,"10","-","ELTC2",-0.0378151260504202
"2017-12-21",0.000241,0.000253,0.00023,0.000237,"2","-","ELTC2",-0.016597510373444
"2017-12-20",0.000245,0.000249,0.000217,0.00024,"3","-","ELTC2",-0.0204081632653061
"2017-12-19",0.00026,0.000277,0.000235,0.000246,"28","-","ELTC2",-0.0538461538461537
"2017-12-18",0.000359,0.000374,0.000235,0.000261,"111","-","ELTC2",-0.272980501392758
"2017-12-17",0.000245,0.000366,0.000245,0.00036,"41","-","ELTC2",0.469387755102041
"2017-12-16",0.00024,0.000487,0.000238,0.000245,"145","-","ELTC2",0.0208333333333333
"2017-12-15",0.000413,0.000413,0.000235,0.00024,"107","-","ELTC2",-0.418886198547215
"2017-12-14",0.000351,0.000415,0.000221,0.000413,"70","-","ELTC2",0.176638176638177
"2017-12-13",0.00033,0.000353,0.000218,0.000351,"46","-","ELTC2",0.0636363636363637
"2017-12-12",0.000116,0.000332,0.000113,0.00033,"4","-","ELTC2",1.8448275862069
"2017-12-11",0.000175,0.000186,0.000103,0.000116,"81","-","ELTC2",-0.337142857142857
"2017-12-10",0.000189,0.000189,0.000172,0.000175,"44","-","ELTC2",-0.0740740740740742
"2017-12-09",0.00018,0.000203,0.00018,0.000188,"3","-","ELTC2",0.0444444444444443
"2017-12-08",0.000127,0.000181,0.000124,0.00018,"3","-","ELTC2",0.417322834645669
"2017-12-07",0.000169,0.000174,0.000126,0.000127,"2","-","ELTC2",-0.248520710059172
"2017-12-06",0.000181,0.000182,0.000166,0.00017,"19","-","ELTC2",-0.0607734806629834
"2017-12-05",0.000163,0.000185,0.000158,0.000182,"20","-","ELTC2",0.116564417177914
"2017-12-04",0.000182,0.000182,5.7e-05,0.000163,"3","-","ELTC2",-0.104395604395604
"2017-12-03",0.00018,0.000189,0.000174,0.00018,"39","-","ELTC2",0
"2017-12-02",8.1e-05,0.000182,5.7e-05,0.00018,"11","-","ELTC2",1.22222222222222
"2017-12-01",0.000181,0.00019,8e-05,8.1e-05,"4","-","ELTC2",-0.552486187845304
"2017-11-30",0.000109,0.000183,0.000108,0.000182,"20","-","ELTC2",0.669724770642202
"2017-11-29",0.000119,0.000299,0.000105,0.000108,"139","-","ELTC2",-0.092436974789916
"2017-11-28",0.000304,0.000306,0.000116,0.000119,"19","-","ELTC2",-0.608552631578947
"2017-11-27",0.000169,0.000306,7.9e-05,0.000304,"39","-","ELTC2",0.798816568047337
"2017-11-26",0.000198,0.000198,5.5e-05,0.000169,"107","-","ELTC2",-0.146464646464646
"2017-11-25",0.000313,0.00032,5.8e-05,0.000198,"59","-","ELTC2",-0.36741214057508
"2017-11-24",0.000128,0.000318,4.7e-05,0.000313,"59","-","ELTC2",1.4453125
"2017-11-23",4.4e-05,0.000132,4.4e-05,0.000129,"75","-","ELTC2",1.93181818181818
"2017-11-22",4.7e-05,8.7e-05,4.2e-05,4.4e-05,"6","-","ELTC2",-0.0638297872340425
"2017-11-21",4.8e-05,4.8e-05,4.6e-05,4.7e-05,"12","-","ELTC2",-0.0208333333333334
"2017-11-20",4.2e-05,4.8e-05,4.2e-05,4.8e-05,"5","-","ELTC2",0.142857142857143
"2017-11-19",4e-05,4.2e-05,4e-05,4.2e-05,"43","-","ELTC2",0.0499999999999999
"2017-11-18",8.4e-05,0.000116,3.8e-05,4e-05,"6","-","ELTC2",-0.523809523809524
"2017-11-17",4e-05,0.000101,4e-05,8.4e-05,"8","-","ELTC2",1.1
"2017-11-16",3.7e-05,4e-05,3.7e-05,4e-05,"34","-","ELTC2",0.0810810810810812
"2017-11-15",0.000134,0.000148,3.6e-05,3.7e-05,"40","-","ELTC2",-0.723880597014925
"2017-11-14",6.5e-05,0.000135,6.5e-05,0.000134,"2","-","ELTC2",1.06153846153846
"2017-11-13",6.3e-05,6.6e-05,6.3e-05,6.5e-05,"1","-","ELTC2",0.0317460317460317
"2017-11-12",7.9e-05,0.000124,6.2e-05,6.3e-05,"24","-","ELTC2",-0.20253164556962
"2017-11-11",8.3e-05,9.6e-05,7.9e-05,7.9e-05,"24","-","ELTC2",-0.0481927710843374
"2017-11-10",8e-05,0.000113,7.9e-05,8.4e-05,"7","-","ELTC2",0.0499999999999999
"2017-11-09",5.5e-05,0.000197,5.4e-05,8e-05,"312","-","ELTC2",0.454545454545455
"2017-11-08",5e-05,9.7e-05,4.6e-05,5.6e-05,"5","-","ELTC2",0.12
"2017-11-07",5.1e-05,5.2e-05,4.9e-05,5e-05,"32","-","ELTC2",-0.0196078431372548
"2017-11-06",4.4e-05,5.5e-05,4.4e-05,5e-05,"7","-","ELTC2",0.136363636363636
"2017-11-05",8.8e-05,0.000125,3e-05,4.4e-05,"21","-","ELTC2",-0.5
"2017-11-04",8.9e-05,8.9e-05,8.6e-05,8.7e-05,"45","-","ELTC2",-0.0224719101123595
"2017-11-03",8.3e-05,0.000134,8.3e-05,8.9e-05,"3","-","ELTC2",0.072289156626506
"2017-11-02",0.000136,0.000146,8.3e-05,8.3e-05,"13","-","ELTC2",-0.389705882352941
"2017-11-01",8.8e-05,0.000149,8.6e-05,0.000136,"35","-","ELTC2",0.545454545454546
"2017-10-31",8e-05,9.8e-05,8e-05,8.8e-05,"11","-","ELTC2",0.0999999999999999
"2017-10-30",0.000106,0.000109,7.9e-05,8e-05,"141","-","ELTC2",-0.245283018867924
"2017-10-29",0.000141,0.000185,9.8e-05,0.000107,"38","-","ELTC2",-0.24113475177305
"2017-10-28",8e-05,0.000142,5.9e-05,0.000142,"36","-","ELTC2",0.775
"2017-10-27",0.000122,0.000209,5.9e-05,8.2e-05,"322","-","ELTC2",-0.327868852459016
"2017-10-26",0.000123,0.000166,0.000122,0.000123,"179","-","ELTC2",0
"2017-10-25",0.000122,0.000125,0.00012,0.000124,"23","-","ELTC2",0.0163934426229509
"2017-10-24",0.000157,0.000199,0.000122,0.000122,"225","-","ELTC2",-0.222929936305732
"2017-10-23",9.2e-05,0.000291,9.2e-05,0.000157,"11","-","ELTC2",0.706521739130435
"2017-10-22",0.000181,0.000323,8.8e-05,9.2e-05,"59","-","ELTC2",-0.49171270718232
"2017-10-21",0.000261,5e-04,0.000181,0.000181,"115","-","ELTC2",-0.306513409961686
"2017-10-20",0.000547,0.000548,0.000181,0.000261,"214","-","ELTC2",-0.522851919561243
"2017-10-19",0.00047,0.001192,0.000312,0.000548,"1,137","-","ELTC2",0.165957446808511
"2017-10-18",0.000161,0.000472,0.000108,0.000472,"427","-","ELTC2",1.93167701863354
"2017-10-17",4.7e-05,0.000274,4.6e-05,0.000161,"253","-","ELTC2",2.42553191489362
"2017-10-16",6.4e-05,0.000754,4.5e-05,4.7e-05,"86","-","ELTC2",-0.265625
"2017-10-15",6.8e-05,0.000602,4.1e-05,6.4e-05,"185","-","ELTC2",-0.0588235294117647
"2017-10-14",0.000168,0.00033,6.7e-05,6.8e-05,"377","-","ELTC2",-0.595238095238095
"2017-10-13",0.000379,0.001087,0.000168,0.000168,"995","-","ELTC2",-0.556728232189974
"2017-10-12",0.001786,0.001787,0.000337,0.000379,"6,445","-","ELTC2",-0.787793952967525
"2017-10-11",0.00646,0.020544,0.000586,0.001806,"157,469","-","ELTC2",-0.720433436532508
"2017-10-10",0.001664,0.007177,0.000825,0.006418,"55,286","-","ELTC2",2.85697115384615
