"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-07",6.1e-05,6.1e-05,6.1e-05,6.1e-05,"74,780","-","EMB",0
"2018-01-06",5.3e-05,6.6e-05,5.3e-05,6.2e-05,"110,651","-","EMB",0.169811320754717
"2018-01-05",2.4e-05,5.2e-05,1.8e-05,5.2e-05,"2,086,290","-","EMB",1.16666666666667
"2018-01-04",2.6e-05,2.6e-05,2e-05,2.4e-05,"739,004","-","EMB",-0.0769230769230768
"2018-01-03",2.1e-05,2.8e-05,1.9e-05,2.6e-05,"962,983","-","EMB",0.238095238095238
"2018-01-02",2.7e-05,4.7e-05,1.6e-05,2.3e-05,"1,640,510","-","EMB",-0.148148148148148
"2018-01-01",1.9e-05,4e-05,1.7e-05,2.7e-05,"2,182,190","-","EMB",0.421052631578947
"2017-12-31",1.7e-05,8.8e-05,1.6e-05,2.8e-05,"1,297,020","-","EMB",0.647058823529412
"2017-12-30",4e-05,4.9e-05,1.3e-05,2.6e-05,"2,484,820","-","EMB",-0.35
"2017-12-29",4.1e-05,5.5e-05,2.9e-05,3.1e-05,"858,718","-","EMB",-0.24390243902439
"2017-12-28",0.000546,0.001091,0.000421,0.000561,"771,766","50,321,000","EMB",0.0274725274725273
"2017-12-27",4.1e-05,0.000356,2.3e-05,0.000356,"1,264,230","3,813,810","EMB",7.68292682926829
"2017-12-26",9e-06,3.8e-05,7e-06,3.8e-05,"838,285","813,620","EMB",3.22222222222222
"2017-12-25",6e-06,9e-06,5e-06,9e-06,"131,858","578,289","EMB",0.5
"2017-12-24",4e-06,8e-06,4e-06,6e-06,"40,823","405,553","EMB",0.5
"2017-12-23",5e-06,6e-06,3e-06,4e-06,"14,426","457,664","EMB",-0.2
"2017-12-22",7e-06,7e-06,3e-06,5e-06,"28,554","619,132","EMB",-0.285714285714286
"2017-12-21",6e-06,7e-06,3e-06,7e-06,"18,506","551,988","EMB",0.166666666666667
"2017-12-20",1e-05,1e-05,6e-06,6e-06,"32,083","900,301","EMB",-0.4
"2017-12-19",5e-06,1e-05,4e-06,1e-05,"14,232","495,333","EMB",1
"2017-12-18",6e-06,8e-06,3e-06,5e-06,"6,532","540,708","EMB",-0.166666666666667
"2017-12-17",8e-06,1.3e-05,4e-06,6e-06,"27,934","711,598","EMB",-0.25
"2017-12-16",6e-06,8e-06,3e-06,8e-06,"18,788","571,268","EMB",0.333333333333333
"2017-12-15",3e-06,6e-06,3e-06,6e-06,"30,582","257,469","EMB",1
"2017-12-14",6e-06,6e-06,3e-06,3e-06,"37,858","545,827","EMB",-0.5
"2017-12-13",4e-06,7e-06,3e-06,6e-06,"28,835","347,395","EMB",0.5
"2017-12-12",8e-06,9e-06,4e-06,4e-06,"27,520","765,574","EMB",-0.5
"2017-12-11",4e-06,9e-06,4e-06,8e-06,"33,800","414,117","EMB",1
"2017-12-10",1.4e-05,1.4e-05,3e-06,5e-06,"38,320","1,279,820","EMB",-0.642857142857143
"2017-12-09",1.8e-05,2.3e-05,5e-06,1.4e-05,"15,589","1,639,340","EMB",-0.222222222222222
"2017-12-08",2e-06,1.8e-05,1e-06,1.8e-05,"1,692","175,715","EMB",8
"2017-12-07",2e-06,3e-06,1e-06,2e-06,"8,134","183,313","EMB",0
"2017-12-06",2e-06,3e-06,1e-06,2e-06,"6,225","205,756","EMB",0
"2017-12-05",4e-06,4e-06,2e-06,2e-06,"16,174","397,592","EMB",-0.5
"2017-12-04",3e-06,5e-06,3e-06,4e-06,"2,221","297,652","EMB",0.333333333333333
"2017-12-03",5e-06,6e-06,3e-06,4e-06,"4,066","432,692","EMB",-0.2
"2017-12-02",2e-06,5e-06,2e-06,5e-06,"1,791","197,146","EMB",1.5
"2017-12-01",4e-06,6e-06,2e-06,2e-06,"1,939","375,563","EMB",-0.5
"2017-11-30",2e-06,4e-06,2e-06,4e-06,"6,836","206,610","EMB",1
"2017-11-29",2e-06,3e-06,2e-06,2e-06,"2,027","191,760","EMB",0
"2017-11-28",3e-06,3e-06,2e-06,2e-06,"7,713","264,108","EMB",-0.333333333333333
"2017-11-27",3e-06,3e-06,2e-06,3e-06,"1,523","241,571","EMB",0
"2017-11-26",4e-06,4e-06,2e-06,3e-06,"2,753","341,861","EMB",-0.25
"2017-11-25",4e-06,4e-06,2e-06,4e-06,"2,947","322,757","EMB",0
"2017-11-24",1e-06,5e-06,8.9e-07,4e-06,"16,229","135,354","EMB",3
"2017-11-23",2e-06,2e-06,9e-07,1e-06,"3,908","202,339","EMB",-0.5
"2017-11-22",2e-06,3e-06,2e-06,2e-06,"5,492","192,702","EMB",0
"2017-11-21",6e-06,7e-06,2e-06,2e-06,"7,113","521,158","EMB",-0.666666666666667
"2017-11-20",3e-06,8e-06,2e-06,6e-06,"7,591","253,695","EMB",1
"2017-11-19",2e-06,3e-06,1e-06,3e-06,"5,419","195,082","EMB",0.5
"2017-11-18",2e-06,3e-06,1e-06,2e-06,"11,555","141,644","EMB",0
"2017-11-17",5e-06,5e-06,1e-06,2e-06,"962","422,240","EMB",-0.6
"2017-11-16",3e-06,5e-06,3e-06,5e-06,"1,538","320,671","EMB",0.666666666666667
"2017-11-15",7e-06,8e-06,3e-06,3e-06,"2,012","641,519","EMB",-0.571428571428571
"2017-11-14",9e-06,1.5e-05,7e-06,7e-06,"988","820,550","EMB",-0.222222222222222
"2017-11-13",9e-06,1e-05,3e-06,9e-06,"695","825,496","EMB",0
"2017-11-12",9e-06,1.7e-05,7e-06,9e-06,"383","792,614","EMB",0
"2017-11-11",3e-06,9e-06,2e-06,9e-06,"210","232,856","EMB",2
