"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.05097,0.061257,0.045064,0.055794,"10,334","974,391","EMD",0.0946439081812831
"2018-01-09",0.048342,0.057512,0.046423,0.050903,"6,488","924,163","EMD",0.0529767076248396
"2018-01-08",0.056835,0.059743,0.044178,0.048474,"10,884","1,086,510","EMD",-0.147110055423595
"2018-01-07",0.048339,0.059571,0.041531,0.056914,"11,586","924,106","EMD",0.177392995303999
"2018-01-06",0.034482,0.061903,0.029439,0.048375,"12,788","659,193","EMD",0.402905863929007
"2018-01-05",0.029908,0.035207,0.027142,0.034461,"4,451","571,753","EMD",0.152233516116089
"2018-01-04",0.0257,0.029896,0.023244,0.029896,"2,482","491,311","EMD",0.163268482490272
"2018-01-03",0.024265,0.025762,0.022315,0.025583,"1,074","463,882","EMD",0.0543169173706987
"2018-01-02",0.022086,0.024939,0.021741,0.024317,"1,222","422,226","EMD",0.101014217151136
"2018-01-01",0.023446,0.023446,0.021001,0.022089,"320","448,210","EMD",-0.0578776763627058
"2017-12-31",0.021581,0.024023,0.016979,0.023376,"2,008","412,572","EMD",0.0831750150595432
"2017-12-30",0.020963,0.021955,0.016245,0.021816,"2,653","400,751","EMD",0.0406907408290798
"2017-12-29",0.017188,0.022051,0.016359,0.021014,"3,970","328,588","EMD",0.222597160809868
"2017-12-28",0.019979,0.020855,0.014035,0.017371,"451","381,940","EMD",-0.130537063917113
"2017-12-27",0.021479,0.022825,0.018187,0.022339,"2,766","410,620","EMD",0.0400391079659202
"2017-12-26",0.02201,0.022555,0.019537,0.021463,"1,055","420,762","EMD",-0.0248523398455247
"2017-12-25",0.019595,0.022259,0.01909,0.021983,"150","374,602","EMD",0.121867823424343
"2017-12-24",0.019722,0.019922,0.015588,0.019402,"280","377,032","EMD",-0.016225534935605
"2017-12-23",0.016609,0.02098,0.016357,0.019508,"1,437","317,516","EMD",0.174543921970016
"2017-12-22",0.017437,0.017864,0.010656,0.016462,"566","333,346","EMD",-0.0559155818087974
"2017-12-21",0.015994,0.021077,0.012186,0.017385,"2,615","305,760","EMD",0.0869701137926722
"2017-12-20",0.015924,0.016381,0.014114,0.015974,"201","304,418","EMD",0.00313991459432291
"2017-12-19",0.014824,0.018461,0.01451,0.015901,"777","283,388","EMD",0.0726524554776038
"2017-12-18",0.019269,0.019394,0.014082,0.014811,"744","368,360","EMD",-0.231356064144481
"2017-12-17",0.017169,0.022568,0.015169,0.01931,"314","328,215","EMD",0.124701496883919
"2017-12-16",0.013362,0.017483,0.013322,0.017085,"107","255,437","EMD",0.278625954198473
"2017-12-15",0.013799,0.014436,0.013128,0.013346,"614","263,803","EMD",-0.0328284658308573
"2017-12-14",0.012749,0.016838,0.0127,0.013761,"1,750","243,726","EMD",0.0793787748058672
"2017-12-13",0.00851,0.015583,0.007754,0.012788,"600","162,686","EMD",0.502702702702703
"2017-12-12",0.009076,0.016304,0.008323,0.0085,"1,626","173,504","EMD",-0.0634640810929925
"2017-12-11",0.005308,0.009496,0.00488,0.009048,"310","101,479","EMD",0.704596834966089
"2017-12-10",0.006418,0.009789,0.00535,0.00535,"175","122,697","EMD",-0.166406980367716
"2017-12-09",0.005004,0.009792,0.004997,0.0064,"177","95,654","EMD",0.278976818545164
"2017-12-08",0.010532,0.010882,0.004569,0.005011,"1,171","201,338","EMD",-0.524211925560197
"2017-12-07",0.005633,0.010528,0.005633,0.010528,"778","107,690","EMD",0.868986330552104
"2017-12-06",0.008487,0.009784,0.00557,0.005643,"1,378","162,243","EMD",-0.335100742311771
"2017-12-05",0.010896,0.011,0.008513,0.008513,"412","208,301","EMD",-0.218704111600587
"2017-12-04",0.010283,0.010872,0.009043,0.010872,"8","196,589","EMD",0.057279004181659
"2017-12-03",0.008948,0.01127,0.008287,0.010243,"680","171,068","EMD",0.144725078229772
"2017-12-02",0.008709,0.009245,0.008692,0.008934,"243","166,490","EMD",0.0258353427488804
"2017-12-01",0.008404,0.011647,0.006031,0.008717,"720","160,664","EMD",0.0372441694431224
"2017-11-30",0.010982,0.012387,0.008107,0.008436,"101","209,946","EMD",-0.231833910034602
"2017-11-29",0.010019,0.011552,0.009145,0.010816,"317","191,541","EMD",0.0795488571713743
"2017-11-28",0.010106,0.010871,0.009004,0.010028,"140","193,198","EMD",-0.00771818721551553
"2017-11-27",0.009761,0.010367,0.008597,0.010079,"169","186,609","EMD",0.0325786292388074
"2017-11-26",0.009185,0.010121,0.009174,0.009759,"332","175,583","EMD",0.0624931954273271
"2017-11-25",0.008553,0.009188,0.008511,0.009188,"573","163,515","EMD",0.0742429556880627
"2017-11-24",0.007972,0.008729,0.006998,0.008573,"22","152,410","EMD",0.0753888610135475
"2017-11-23",0.008265,0.008728,0.006747,0.008021,"137","158,008","EMD",-0.0295220810647307
"2017-11-22",0.007355,0.00837,0.006518,0.008286,"121","140,611","EMD",0.126580557443916
"2017-11-21",0.008234,0.008541,0.006871,0.007339,"99","157,405","EMD",-0.108695652173913
"2017-11-20",0.007079,0.008277,0.006737,0.008232,"104","135,339","EMD",0.162876112445261
"2017-11-19",0.007309,0.007309,0.0066,0.007086,"10","139,723","EMD",-0.0305103297304693
"2017-11-18",0.00681,0.007579,0.00607,0.007246,"13","130,184","EMD",0.0640234948604992
"2017-11-17",0.006856,0.007372,0.00618,0.006826,"33","131,062","EMD",-0.00437572928821478
"2017-11-16",0.007185,0.008414,0.006878,0.006878,"454","137,362","EMD",-0.0427279053583855
"2017-11-15",0.005524,0.007411,0.005524,0.007145,"393","105,609","EMD",0.293446777697321
"2017-11-14",0.005503,0.006327,0.005382,0.005516,"89","105,195","EMD",0.0023623478102853
"2017-11-13",0.004907,0.006218,0.004808,0.005492,"155","93,816","EMD",0.119217444467088
"2017-11-12",0.003913,0.005387,0.003838,0.004899,"182","74,805","EMD",0.251980577561973
"2017-11-11",0.005049,0.006085,0.003876,0.003915,"145","96,519","EMD",-0.224598930481283
"2017-11-10",0.007119,0.00734,0.005032,0.005073,"111","136,092","EMD",-0.2873999157185
"2017-11-09",0.005779,0.007411,0.004741,0.007094,"166","110,477","EMD",0.227548018688354
"2017-11-08",0.006476,0.007099,0.005389,0.005797,"211","123,795","EMD",-0.104848672019765
"2017-11-07",0.006367,0.006639,0.006367,0.006495,"20","121,712","EMD",0.0201036594942673
"2017-11-06",0.006691,0.006779,0.005551,0.006379,"35","127,913","EMD",-0.0466298012255268
