"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-09",0.386306,0.424411,0.386306,0.409334,"196","2,536,740","EMV",0.0596107748779465
"2018-01-08",0.383414,0.421123,0.329744,0.387408,"186","2,517,750","EMV",0.0104169383486258
"2018-01-07",0.366702,0.426766,0.327595,0.379965,"548","2,408,010","EMV",0.0361683328697417
"2018-01-06",0.251837,0.391979,0.249809,0.366849,"138","1,653,730","EMV",0.456692225526829
"2018-01-05",0.245953,0.264454,0.24325,0.250622,"1,255","1,615,090","EMV",0.0189833016877209
"2018-01-04",0.249192,0.258832,0.237923,0.246972,"2,187","1,636,360","EMV",-0.00890879321968602
"2018-01-03",0.342893,0.352044,0.226934,0.248795,"287","2,251,670","EMV",-0.274423799844266
"2018-01-02",0.368992,0.429743,0.216083,0.341308,"534","2,423,040","EMV",-0.075026016824213
"2018-01-01",0.237184,0.373398,0.231815,0.368133,"15","1,557,510","EMV",0.552098792498651
"2017-12-31",0.315872,0.328485,0.236228,0.237485,"348","2,074,220","EMV",-0.248160647350826
"2017-12-30",0.448624,0.448624,0.301597,0.318652,"51","2,945,960","EMV",-0.28971254324334
"2017-12-29",0.457454,0.475873,0.334354,0.448779,"455","3,003,950","EMV",-0.0189636553620693
"2017-12-28",0.314675,0.459815,0.275058,0.454712,"1,055","2,066,360","EMV",0.445021053467864
"2017-12-27",0.491433,0.499921,0.297471,0.311497,"1,288","3,227,070","EMV",-0.366145537641957
"2017-12-26",0.499764,0.52054,0.30299,0.490314,"1,096","3,281,780","EMV",-0.0189089250126059
"2017-12-25",0.473276,0.523954,0.281766,0.49958,"559","3,107,850","EMV",0.0555785630372131
"2017-12-24",0.578121,0.578121,0.248187,0.470954,"846","3,796,330","EMV",-0.185371228514446
"2017-12-23",0.282591,0.598522,0.190308,0.571364,"2,828","1,855,680","EMV",1.02187613901363
"2017-12-22",1.56,1.57,0.185244,0.280281,"2,893","10,260,000","EMV",-0.820332692307692
"2017-12-21",0.206245,2.9,0.204698,1.56,"10,820","1,354,340","EMV",6.56381972896313
"2017-12-20",2.47,2.47,0.198991,0.206025,"35","16,245,300","EMV",-0.916589068825911
"2017-12-19",2.05,2.59,2,2.48,"2,857","13,490,000","EMV",0.209756097560976
"2017-12-18",1.26,2.33,1.26,2.06,"3,265","8,292,610","EMV",0.634920634920635
"2017-12-17",0.312602,1.32,0.309841,1.26,"4,813","2,052,760","EMV",3.03068438461686
"2017-12-16",1.51,1.85,0.266261,0.311731,"2,222","9,884,060","EMV",-0.793555629139073
"2017-12-15",0.34016,1.53,0.298487,1.5,"2,378","2,233,720","EMV",3.40968955785513
"2017-12-14",1.86,2.45,0.177217,0.339842,"229","12,191,700","EMV",-0.817289247311828
"2017-12-13",2.13,2.2,1.62,1.86,"4,892","13,975,900","EMV",-0.126760563380282
"2017-12-12",1.65,2.14,1.6,2.13,"7,357","10,815,300","EMV",0.290909090909091
"2017-12-11",1.19,1.66,1.19,1.66,"5,728","7,801,850","EMV",0.394957983193277
"2017-12-10",0.194261,1.58,0.176511,1.19,"1,852","1,275,650","EMV",5.12577923515271
"2017-12-09",0.361987,0.407415,0.188309,0.193639,"62","2,377,040","EMV",-0.465066425037363
"2017-12-08",0.337995,0.39293,0.329969,0.361996,"66","2,219,500","EMV",0.07100992618234
"2017-12-07",0.359933,0.370617,0.326761,0.337505,"264","2,363,560","EMV",-0.0623115968805306
"2017-12-06",1.59,1.6,0.340673,0.361188,"242","10,452,100","EMV",-0.772837735849057
"2017-12-05",0.37311,1.62,0.364272,1.59,"6,834","2,450,090","EMV",3.26147784835571
"2017-12-04",1.6,1.61,0.368683,0.372919,"100","10,499,800","EMV",-0.766925625
"2017-12-03",1.35,1.61,1.34,1.61,"2,785","8,859,940","EMV",0.192592592592593
"2017-12-02",0.369427,1.62,0.364827,1.35,"1,146","2,425,900","EMV",2.65430788762056
"2017-12-01",0.327157,0.37328,0.318066,0.369437,"1,844","2,148,330","EMV",0.129234587675031
