"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.372867,0.373156,0.284303,0.356217,"15,779,700","281,959,000","ENJ",-0.0446539919059611
"2018-01-09",0.385881,0.425842,0.361515,0.373701,"16,265,800","291,800,000","ENJ",-0.0315641350571808
"2018-01-08",0.426283,0.470335,0.343183,0.387942,"21,015,600","322,352,000","ENJ",-0.0899425968194838
"2018-01-07",0.448303,0.493384,0.394194,0.426106,"22,822,200","339,004,000","ENJ",-0.049513387151101
"2018-01-06",0.366606,0.445617,0.366606,0.445617,"21,625,400","277,225,000","ENJ",0.215520204251976
"2018-01-05",0.334275,0.462326,0.328469,0.365383,"38,933,100","252,776,000","ENJ",0.0930611023857603
"2018-01-04",0.224816,0.381342,0.216386,0.342795,"37,660,700","170,004,000","ENJ",0.52478026474984
"2018-01-03",0.195024,0.236883,0.168335,0.222537,"17,264,200","147,476,000","ENJ",0.1410749446222
"2018-01-02",0.177841,0.201011,0.141934,0.195753,"10,417,500","134,482,000","ENJ",0.100719181740993
"2018-01-01",0.17069,0.200053,0.167556,0.177758,"6,048,970","129,074,000","ENJ",0.041408401195149
"2017-12-31",0.158484,0.190021,0.150585,0.172698,"9,140,720","119,844,000","ENJ",0.0896872870447488
"2017-12-30",0.166819,0.174259,0.139559,0.158732,"8,452,040","126,147,000","ENJ",-0.0484776913900694
"2017-12-29",0.150399,0.179001,0.149685,0.16687,"6,058,230","113,731,000","ENJ",0.109515355820185
"2017-12-28",0.15737,0.172696,0.139198,0.148874,"5,498,480","119,002,000","ENJ",-0.0539874181864396
"2017-12-27",0.148692,0.181673,0.135946,0.158417,"6,916,430","112,440,000","ENJ",0.0654036531891427
"2017-12-26",0.149096,0.152491,0.11917,0.148425,"6,647,080","112,745,000","ENJ",-0.00450045608198748
"2017-12-25",0.142863,0.171697,0.139965,0.149576,"5,069,220","108,032,000","ENJ",0.0469890734479886
"2017-12-24",0.158028,0.174687,0.126956,0.141318,"9,071,520","119,499,000","ENJ",-0.105740754802946
"2017-12-23",0.094884,0.18753,0.094884,0.161044,"22,088,900","71,750,700","ENJ",0.697272459002572
"2017-12-22",0.104515,0.106428,0.067149,0.093701,"4,648,840","79,033,300","ENJ",-0.103468401664833
"2017-12-21",0.106941,0.124518,0.100026,0.103662,"5,738,940","80,867,900","ENJ",-0.0306617667685919
"2017-12-20",0.127667,0.127667,0.100961,0.106038,"6,236,560","96,541,100","ENJ",-0.169417312226339
"2017-12-19",0.1195,0.139745,0.110082,0.127791,"6,421,380","90,364,700","ENJ",0.0693807531380753
"2017-12-18",0.110631,0.13012,0.107397,0.119624,"8,339,420","83,658,300","ENJ",0.0812882465131835
