"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.481947,0.673555,0.436072,0.656929,"30,516","1,986,090","ENT",0.363073117998452
"2018-01-09",1.29,1.32,0.436911,0.481316,"34,075","5,305,080","ENT",-0.626886821705426
"2018-01-08",1.45,1.45,0.74731,1.29,"65,573","5,960,840","ENT",-0.110344827586207
"2018-01-07",0.40879,1.45,0.361727,1.45,"199,447","1,684,100","ENT",2.54705349935175
"2018-01-06",0.4246,0.446332,0.262869,0.409091,"27,706","1,749,010","ENT",-0.0365261422515308
"2018-01-05",0.538931,0.563255,0.346956,0.424262,"11,377","2,219,690","ENT",-0.212771208188061
"2018-01-04",0.467501,0.538824,0.450577,0.538824,"14,516","1,925,240","ENT",0.152562240508576
"2018-01-03",0.410055,0.534053,0.400317,0.464955,"12,117","1,688,490","ENT",0.133884478911366
"2018-01-02",0.314879,0.475597,0.314879,0.411516,"24,952","1,296,410","ENT",0.306902016330082
"2018-01-01",0.301717,0.381328,0.27396,0.314903,"6,640","1,242,000","ENT",0.043703205321543
"2017-12-31",0.307292,0.425587,0.271438,0.300554,"13,026","1,264,740","ENT",-0.021927027062208
"2017-12-30",0.284677,0.411905,0.255849,0.310648,"10,414","1,171,450","ENT",0.0912297094601951
"2017-12-29",0.160011,0.285541,0.137642,0.285541,"12,151","658,328","ENT",0.784508565036154
"2017-12-28",0.171117,0.22261,0.157413,0.158371,"3,258","703,912","ENT",-0.0744870468743607
"2017-12-27",0.225202,0.261557,0.135951,0.171011,"4,406","926,240","ENT",-0.240632854059911
"2017-12-26",0.247669,0.315248,0.192228,0.225039,"11,184","1,018,470","ENT",-0.0913719520812052
"2017-12-25",0.141154,0.424416,0.141154,0.247922,"27,163","580,367","ENT",0.756393726001389
"2017-12-24",0.145647,0.404205,0.110494,0.139703,"28,168","598,739","ENT",-0.0408110019430541
"2017-12-23",0.108286,0.162063,0.094692,0.144049,"3,338","445,037","ENT",0.330264300094195
"2017-12-22",0.108369,0.141581,0.054723,0.107273,"4,445","445,252","ENT",-0.0101135933707979
"2017-12-21",0.087577,0.136865,0.070993,0.107995,"2,386","359,720","ENT",0.233143405231967
"2017-12-20",0.112654,0.112758,0.085922,0.087348,"1,282","462,607","ENT",-0.22463472224688
"2017-12-19",0.121689,0.122125,0.09555,0.112765,"1,040","499,598","ENT",-0.073334483807082
"2017-12-18",0.114485,0.121586,0.10935,0.121586,"2,152","469,905","ENT",0.0620255928724287
"2017-12-17",0.121003,0.122353,0.113615,0.11414,"704","496,560","ENT",-0.0567176020429245
"2017-12-16",0.146773,0.147478,0.108116,0.120987,"2,110","602,186","ENT",-0.175686263822365
"2017-12-15",0.069834,0.146948,0.06982,0.146568,"5,896","286,450","ENT",1.09880573932468
"2017-12-14",0.073526,0.083065,0.05699,0.069729,"1,022","301,526","ENT",-0.0516415961700622
"2017-12-13",0.057572,0.073763,0.053796,0.073763,"545","236,059","ENT",0.281230459251025
"2017-12-12",0.06819,0.069593,0.037867,0.064101,"2,089","279,556","ENT",-0.0599648042234931
"2017-12-11",0.066324,0.083704,0.066034,0.078878,"1,471","271,869","ENT",0.18928291417888
"2017-12-10",0.072048,0.077861,0.057726,0.066807,"303","295,283","ENT",-0.0727431712191871
"2017-12-09",0.097583,0.104478,0.060912,0.071757,"1,532","399,874","ENT",-0.264656753737844
"2017-12-08",0.111769,0.113436,0.088716,0.097681,"579","457,917","ENT",-0.126045683507949
"2017-12-07",0.108511,0.129449,0.101491,0.111506,"1,228","444,487","ENT",0.0276008883891955
"2017-12-06",0.093596,0.113062,0.093181,0.108698,"979","383,323","ENT",0.16135304927561
"2017-12-05",0.098655,0.11511,0.090991,0.093804,"880","403,978","ENT",-0.0491713547209975
"2017-12-04",0.097579,0.109009,0.090813,0.098461,"374","399,519","ENT",0.00903883007614351
"2017-12-03",0.108155,0.116003,0.090212,0.097256,"819","442,750","ENT",-0.100772040127595
"2017-12-02",0.086531,0.119667,0.086361,0.108052,"1,316","354,165","ENT",0.248708555315436
"2017-12-01",0.083942,0.098735,0.068827,0.086604,"2,120","343,504","ENT",0.031712372828858
"2017-11-30",0.098287,0.120812,0.073954,0.08436,"1,277","402,130","ENT",-0.141697274308912
"2017-11-29",0.128666,0.146418,0.091021,0.0968,"2,210","526,335","ENT",-0.247664495670962
"2017-11-28",0.140599,0.159461,0.09705,0.128612,"7,446","575,057","ENT",-0.0852566518965284
"2017-11-27",0.079107,0.241425,0.059206,0.140306,"12,763","323,491","ENT",0.773623067490867
