"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.984704,1.12,0.948357,1.12,"190,300","9,863,850","EQT",0.137397634212921
"2018-01-09",0.900867,1.06,0.848221,0.983412,"83,516","9,018,970","EQT",0.0916283979766158
"2018-01-08",0.893887,1.03,0.774378,0.903329,"63,380","8,943,900","EQT",0.0105628563789383
"2018-01-07",0.777709,0.953513,0.676305,0.880079,"78,083","7,777,130","EQT",0.131630211300113
"2018-01-06",0.883205,0.922599,0.6914,0.77828,"64,802","8,827,880","EQT",-0.118800278531032
"2018-01-05",0.817145,0.946425,0.76366,0.882504,"90,459","8,162,180","EQT",0.0799845804600162
"2018-01-04",0.813978,0.964817,0.725896,0.816849,"51,513","8,126,900","EQT",0.00352712235465832
"2018-01-03",0.91924,1.01,0.694605,0.809794,"83,012","9,173,950","EQT",-0.119061398546625
"2018-01-02",0.532673,1.1,0.494057,0.930241,"205,491","5,313,190","EQT",0.746364092041459
"2018-01-01",0.598569,0.661002,0.437154,0.532765,"102,274","5,967,620","EQT",-0.109935529571361
"2017-12-31",0.497938,0.600564,0.481931,0.595312,"56,491","4,962,430","EQT",0.195554466620342
"2017-12-30",0.544447,0.624443,0.475116,0.503335,"28,224","5,423,690","EQT",-0.0755114822930424
"2017-12-29",0.501517,0.670161,0.477688,0.545729,"59,242","4,992,790","EQT",0.0881565330786395
"2017-12-28",0.431923,0.486237,0.394849,0.468338,"47,695","4,297,770","EQT",0.0843090087816578
"2017-12-27",0.393817,0.458135,0.383025,0.432824,"25,862","3,916,960","EQT",0.0990485428511212
"2017-12-26",0.373168,0.455424,0.363924,0.393528,"26,902","3,709,980","EQT",0.0545598765167431
"2017-12-25",0.357076,0.417431,0.310275,0.372973,"21,975","3,548,250","EQT",0.0445199341316694
"2017-12-24",0.322234,0.419256,0.284711,0.391901,"60,491","3,200,450","EQT",0.21620002855068
"2017-12-23",0.265073,0.342795,0.261878,0.318661,"9,376","2,631,500","EQT",0.202163177690674
"2017-12-22",0.304257,0.513589,0.190582,0.26361,"19,055","3,019,070","EQT",-0.133594296926611
"2017-12-21",0.342283,0.62212,0.301046,0.303214,"32,022","3,394,620","EQT",-0.114142390945504
"2017-12-20",0.415653,0.428222,0.291604,0.341391,"70,057","4,120,540","EQT",-0.178663452447113
"2017-12-19",0.513001,0.893963,0.360107,0.41654,"49,368","5,082,660","EQT",-0.188032771865942
"2017-12-18",0.324054,0.567676,0.301106,0.512268,"108,932","3,208,940","EQT",0.580810605639801
"2017-12-17",0.209065,0.318549,0.20559,0.30485,"20,531","2,069,230","EQT",0.458158945782412
"2017-12-16",0.180523,0.217102,0.178216,0.208996,"12,118","1,785,790","EQT",0.157725054425198
"2017-12-15",0.164259,0.207983,0.164243,0.18027,"15,945","1,624,060","EQT",0.0974741110076162
"2017-12-14",0.153043,0.18813,0.152388,0.164015,"15,311","1,512,250","EQT",0.0716922694928875
"2017-12-13",0.184422,0.197187,0.152452,0.153536,"4,261","1,821,480","EQT",-0.167474596306297
"2017-12-12",0.196516,0.216485,0.178064,0.184261,"11,369","1,940,110","EQT",-0.0623613344460501
"2017-12-11",0.196693,0.239162,0.182122,0.19589,"5,661","1,940,990","EQT",-0.00408250420706379
"2017-12-10",0.206965,0.244694,0.182446,0.198121,"6,902","2,041,360","EQT",-0.0427318628753655
"2017-12-09",0.20991,0.244807,0.188345,0.206129,"1,776","2,069,290","EQT",-0.0180124815397075
"2017-12-08",0.2784,0.282733,0.196568,0.210121,"5,514","2,742,990","EQT",-0.245255028735632
"2017-12-07",0.260902,0.304981,0.23446,0.277747,"19,094","2,568,850","EQT",0.0645644724839212
"2017-12-06",0.22714,0.299424,0.22714,0.261351,"9,175","2,235,180","EQT",0.150616359954213
"2017-12-05",0.231887,0.275936,0.202969,0.227092,"29,443","2,280,350","EQT",-0.0206781751456529
"2017-12-04",0.210627,0.227377,0.178212,0.227377,"22,293","2,069,870","EQT",0.0795244674234547
"2017-12-03",0.232173,0.24369,0.191923,0.209932,"10,575","2,280,130","EQT",-0.0957949460100872
"2017-12-02",0.214466,0.291158,0.181564,0.231951,"38,087","2,104,840","EQT",0.0815280743800882
"2017-12-01",0.207548,0.242851,0.201597,0.214648,"13,940","2,035,710","EQT",0.0342089540732746
"2017-11-30",0.227148,0.243935,0.187244,0.208582,"4,200","2,226,320","EQT",-0.0817352563086622
"2017-11-29",0.288114,0.300447,0.196593,0.223717,"10,257","2,821,980","EQT",-0.223512220857022
