"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.009016,0.010629,0.006809,0.006995,"1,823","621,099","EREAL",-0.224157054125998
"2018-01-09",0.008484,0.010004,0.008484,0.009012,"1,599","584,476","EREAL",0.0622347949080621
"2018-01-08",0.008929,0.010586,0.007371,0.008508,"3,596","614,708","EREAL",-0.0471497368126329
"2018-01-07",0.006038,0.010684,0.006023,0.008849,"4,117","413,219","EREAL",0.465551507121563
"2018-01-06",0.005327,0.006519,0.004804,0.00604,"1,629","364,612","EREAL",0.133846442650648
"2018-01-05",0.004257,0.005302,0.004221,0.005302,"3,204","291,348","EREAL",0.245478036175711
"2018-01-04",0.00228,0.004467,0.002251,0.004275,"1,119","156,016","EREAL",0.875
"2018-01-03",0.001896,0.002957,0.001866,0.002276,"475","129,783","EREAL",0.20042194092827
"2018-01-02",0.001285,0.002032,0.001285,0.002015,"318","87,972","EREAL",0.568093385214008
"2018-01-01",0.002224,0.002629,0.00115,0.001282,"927","152,187","EREAL",-0.423561151079137
"2017-12-31",0.000939,0.00223,0.000927,0.002226,"595","64,239","EREAL",1.37060702875399
"2017-12-30",0.000992,0.001231,0.000896,0.000947,"511","67,875","EREAL",-0.0453629032258065
"2017-12-29",0.000952,0.001304,0.000942,0.000992,"325","65,125","EREAL",0.0420168067226891
"2017-12-28",0.000976,0.00122,0.000896,0.000946,"86","66,790","EREAL",-0.0307377049180328
"2017-12-27",0.00128,0.001303,0.00095,0.000977,"141","87,593","EREAL",-0.23671875
"2017-12-26",0.001162,0.001362,0.000899,0.001277,"61","79,545","EREAL",0.0989672977624784
"2017-12-25",0.000785,0.001307,0.000785,0.001307,"428","53,724","EREAL",0.664968152866242
"2017-12-24",0.001231,0.001231,0.000703,0.000781,"108","84,219","EREAL",-0.365556458164094
"2017-12-23",0.000677,0.001295,0.000673,0.001216,"510","46,309","EREAL",0.79615952732644
"2017-12-22",0.001266,0.001272,0.000498,0.000671,"157","86,612","EREAL",-0.46998420221169
