"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.421528,0.502339,0.386132,0.482958,"225,295","632,292","ETHD",0.145731718889374
"2018-01-09",0.438563,0.444677,0.33699,0.413459,"203,403","657,844","ETHD",-0.0572414909602496
"2018-01-08",0.416481,0.453001,0.375159,0.431988,"144,648","624,721","ETHD",0.0372333911991183
"2018-01-07",0.319982,0.450337,0.309058,0.408763,"163,200","479,973","ETHD",0.277456231913045
"2018-01-06",0.378782,0.395068,0.301558,0.320244,"137,131","568,174","ETHD",-0.154542718502991
"2018-01-05",0.407698,0.456218,0.36665,0.377083,"121,305","611,547","ETHD",-0.0750923477672199
"2018-01-04",0.476911,0.502644,0.358211,0.406415,"191,277","715,366","ETHD",-0.147817936680009
"2018-01-03",0.403575,0.493895,0.403575,0.475826,"143,492","605,362","ETHD",0.179027442235024
"2018-01-02",0.448562,0.478415,0.402798,0.404904,"166,810","672,843","ETHD",-0.0973287973568872
"2018-01-01",0.383278,0.448426,0.353398,0.448426,"115,786","574,917","ETHD",0.169975839990816
"2017-12-31",0.316289,0.392642,0.294801,0.38201,"84,043","474,433","ETHD",0.207787814309066
"2017-12-30",0.451669,0.46847,0.319555,0.319555,"82,270","677,504","ETHD",-0.292501809953749
"2017-12-29",0.499999,0.552292,0.365056,0.452616,"376,482","749,999","ETHD",-0.0947661895323791
"2017-12-28",0.393752,1.12,0.393752,0.49321,"601,776","590,628","ETHD",0.252590463032569
"2017-12-27",0.269448,0.39513,0.253384,0.39513,"269,222","404,171","ETHD",0.466442504676227
"2017-12-26",0.157566,0.400936,0.157407,0.269208,"190,503","236,348","ETHD",0.70854118274247
"2017-12-25",0.157444,0.174416,0.142528,0.157644,"26,996","236,166","ETHD",0.00127029292954959
"2017-12-24",0.160393,0.161912,0.136903,0.155956,"26,680","240,590","ETHD",-0.027663302014427
"2017-12-23",0.15707,0.181646,0.143531,0.158582,"47,003","235,605","ETHD",0.00962628127586435
"2017-12-22",0.191066,0.19268,0.123929,0.155659,"32,044","286,599","ETHD",-0.185312928516848
"2017-12-21",0.18342,0.219922,0.171221,0.190491,"38,903","275,131","ETHD",0.0385508668629375
"2017-12-20",0.231306,0.233035,0.182616,0.182991,"73,073","346,959","ETHD",-0.208879147103837
"2017-12-19",0.261529,0.263763,0.206786,0.231516,"51,636","392,294","ETHD",-0.114759739837647
"2017-12-18",0.253597,0.304943,0.163125,0.261686,"134,346","380,396","ETHD",0.0318970650283716
"2017-12-17",0.22675,0.236804,0.175263,0.194859,"62,700","340,124","ETHD",-0.14064388092613
"2017-12-16",0.231324,0.254036,0.213958,0.226536,"47,815","346,986","ETHD",-0.0206982414276081
"2017-12-15",0.239909,0.254563,0.215375,0.231596,"42,862","359,863","ETHD",-0.0346506383670476
"2017-12-14",0.221523,0.228688,0.201462,0.221855,"37,447","332,284","ETHD",0.0014987157089783
"2017-12-13",0.212134,0.227466,0.189528,0.222037,"40,323","318,201","ETHD",0.0466827571252134
"2017-12-12",0.217436,0.22357,0.18477,0.212042,"35,383","326,154","ETHD",-0.0248072996191982
"2017-12-11",0.197316,0.235667,0.191315,0.216854,"40,890","295,975","ETHD",0.0990188327353078
"2017-12-10",0.208906,0.220956,0.174784,0.198707,"27,955","313,359","ETHD",-0.0488210008329106
"2017-12-09",0.217634,0.260545,0.175408,0.208099,"42,542","326,451","ETHD",-0.0438120881847505
"2017-12-08",0.270501,0.280899,0.199408,0.218114,"31,942","405,751","ETHD",-0.193666566851879
"2017-12-07",0.23966,0.298652,0.228642,0.269622,"67,468","359,489","ETHD",0.125018776600183
"2017-12-06",0.265862,0.277461,0.231151,0.239974,"56,216","398,794","ETHD",-0.0973738255185021
"2017-12-05",0.216053,0.274881,0.2067,0.264196,"64,499","324,080","ETHD",0.222829583481831
"2017-12-04",0.201197,0.274369,0.198988,0.207869,"66,124","301,795","ETHD",0.0331615282534034
"2017-12-03",0.179435,0.217716,0.175973,0.198469,"52,152","269,152","ETHD",0.106077409646947
"2017-12-02",0.168567,0.194747,0.164568,0.17927,"40,003","252,851","ETHD",0.0634940409451436
"2017-12-01",0.174372,0.191401,0.141192,0.168631,"94,724","261,558","ETHD",-0.0329238639231069
"2017-11-30",0.145617,0.2222,0.145617,0.174845,"68,776","218,425","ETHD",0.200718322723308
"2017-11-29",0.143718,0.166441,0.131227,0.144713,"48,220","215,577","ETHD",0.00692328031283483
"2017-11-28",0.197231,0.197231,0.138819,0.143793,"64,306","295,846","ETHD",-0.270941180646044
"2017-11-27",0.202965,0.219882,0.164838,0.196845,"81,561","304,447","ETHD",-0.0301529820412387
"2017-11-26",0.234533,0.234533,0.167573,0.202907,"38,844","351,800","ETHD",-0.134846695347776
"2017-11-25",0.176478,0.252927,0.165528,0.236651,"97,028","264,717","ETHD",0.340966012760797
"2017-11-24",0.219412,0.242244,0.159883,0.176803,"59,535","329,119","ETHD",-0.194196306491897
"2017-11-23",0.254326,0.264742,0.219899,0.219899,"95,295","381,489","ETHD",-0.135365633085095
"2017-11-22",0.262813,0.269251,0.230131,0.254191,"82,700","394,219","ETHD",-0.0328065963251438
"2017-11-21",0.230573,0.279746,0.22753,0.250476,"112,990","345,860","ETHD",0.0863197338803762
"2017-11-20",0.239523,0.26015,0.223214,0.230572,"89,060","359,285","ETHD",-0.0373701064198428
"2017-11-19",0.227496,0.266645,0.202741,0.253885,"82,858","341,244","ETHD",0.115997643914618
"2017-11-18",0.217239,0.233427,0.20415,0.211857,"42,155","325,858","ETHD",-0.0247745570546725
"2017-11-17",0.245733,0.254091,0.218313,0.218313,"66,756","368,600","ETHD",-0.111584524667017
"2017-11-16",0.253982,0.279924,0.231539,0.245895,"126,630","380,973","ETHD",-0.0318408391145829
"2017-11-15",0.213506,0.253364,0.17976,0.252957,"102,170","320,259","ETHD",0.184777008608657
"2017-11-14",0.214459,0.234182,0.172887,0.213368,"88,653","321,688","ETHD",-0.00508721946852316
"2017-11-13",0.171379,0.219599,0.171379,0.214071,"91,817","257,069","ETHD",0.249108700599257
"2017-11-12",0.218412,0.225235,0.160489,0.171022,"64,942","327,619","ETHD",-0.21697525776972
"2017-11-11",0.201109,0.2812,0.200891,0.218831,"167,511","301,664","ETHD",0.0881213670198747
"2017-11-10",0.248204,0.256717,0.192783,0.201807,"94,714","372,307","ETHD",-0.186930911669433
"2017-11-09",0.231337,0.247643,0.212772,0.247643,"48,079","347,006","ETHD",0.0704859144883871
"2017-11-08",0.221621,0.28444,0.203758,0.241058,"133,133","332,432","ETHD",0.0877037825837803
"2017-11-07",0.282117,0.321477,0.21517,0.22219,"137,004","423,176","ETHD",-0.212418960927558
"2017-11-06",0.235855,0.460365,0.233956,0.28254,"425,008","353,782","ETHD",0.197939411926819
"2017-11-05",0.25063,0.263918,0.216426,0.236265,"52,391","375,945","ETHD",-0.0573155647767626
"2017-11-04",0.247721,0.286134,0.200358,0.251086,"49,626","371,581","ETHD",0.0135838301960673
"2017-11-03",0.292634,0.305582,0.212085,0.248218,"75,909","438,951","ETHD",-0.151780039229891
"2017-11-02",0.313243,0.344716,0.271636,0.292891,"55,392","469,865","ETHD",-0.0649719227564542
"2017-11-01",0.351363,0.474951,0.305375,0.31296,"118,206","527,044","ETHD",-0.109297222530545
"2017-10-31",0.263522,0.355892,0.262474,0.348733,"106,900","395,284","ETHD",0.323354406842693
"2017-10-30",0.359478,0.360005,0.261488,0.264314,"92,178","539,216","ETHD",-0.264728300480141
"2017-10-29",0.384435,0.410138,0.332721,0.367699,"99,236","576,652","ETHD",-0.0435340174541861
"2017-10-28",0.403917,0.443293,0.381881,0.385348,"87,474","605,876","ETHD",-0.0459723160946432
"2017-10-27",0.482867,0.522156,0.398594,0.412802,"47,742","724,301","ETHD",-0.145102067443002
"2017-10-26",0.491058,0.548544,0.453268,0.482768,"89,215","736,586","ETHD",-0.0168819161891264
"2017-10-25",0.606664,0.606664,0.421,0.491148,"145,954","909,995","ETHD",-0.190411825986048
"2017-10-24",0.494556,0.699088,0.478824,0.606366,"164,781","741,834","ETHD",0.226081576201684
"2017-10-23",0.557089,0.574249,0.432135,0.519145,"94,850","835,634","ETHD",-0.0681111994672305
"2017-10-22",0.667562,0.705448,0.553451,0.557925,"134,369","1,001,340","ETHD",-0.164234932485672
"2017-10-21",0.888039,0.913404,0.555975,0.678652,"358,827","1,332,060","ETHD",-0.235785815713049
