"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.156445,0.162516,0.141909,0.157239,"7,537,860","781,833,000","ETN",0.00507526606794713
"2018-01-09",0.166186,0.170449,0.15439,0.156108,"8,322,550","830,517,000","ETN",-0.0606428941066035
"2018-01-08",0.181651,0.182137,0.1477,0.166142,"12,863,700","907,802,000","ETN",-0.085378005075667
"2018-01-07",0.194011,0.198772,0.154278,0.181429,"23,277,600","969,574,000","ETN",-0.0648519929282359
"2018-01-06",0.123267,0.229125,0.121963,0.195253,"48,002,900","616,027,000","ETN",0.58398435915533
"2018-01-05",0.086922,0.120872,0.084904,0.120872,"20,376,500","434,394,000","ETN",0.390580060283933
"2018-01-04",0.087316,0.088462,0.080982,0.087494,"8,636,070","436,363,000","ETN",0.002038572541115
"2018-01-03",0.086118,0.090285,0.082718,0.086639,"6,079,280","430,378,000","ETN",0.0060498385935576
"2018-01-02",0.082527,0.088624,0.078102,0.086708,"6,373,440","412,430,000","ETN",0.050662207519963
"2018-01-01",0.087732,0.087732,0.079594,0.08235,"4,130,520","438,442,000","ETN",-0.0613459171112023
"2017-12-31",0.075704,0.090551,0.074814,0.087468,"5,541,340","378,331,000","ETN",0.155394695128395
"2017-12-30",0.082661,0.083519,0.07146,0.076036,"5,304,660","413,097,000","ETN",-0.0801466229539927
"2017-12-29",0.084641,0.088898,0.080921,0.083339,"5,321,260","422,993,000","ETN",-0.0153826159898867
"2017-12-28",0.085387,0.085899,0.077029,0.084015,"5,903,680","426,724,000","ETN",-0.0160680197219717
"2017-12-27",0.085953,0.089525,0.081999,0.085231,"5,522,580","429,551,000","ETN",-0.00839993950182077
"2017-12-26",0.0863,0.095388,0.079778,0.08543,"7,502,660","431,284,000","ETN",-0.0100811123986095
"2017-12-25",0.095205,0.096139,0.084693,0.084737,"5,116,270","475,786,000","ETN",-0.109952208392416
"2017-12-24",0.099654,0.100004,0.08477,0.094808,"6,685,430","498,021,000","ETN",-0.0486282537580027
