"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",4.43,4.53,3.78,4.28,"10,473,500","163,575,000","ETP",-0.0338600451467267
"2018-01-09",4.58,4.6,4.16,4.44,"13,037,000","169,067,000","ETP",-0.0305676855895196
"2018-01-08",4.99,5.01,3.69,4.53,"18,407,400","184,245,000","ETP",-0.0921843687374749
"2018-01-07",4.87,5.32,4.84,5.01,"12,164,500","179,895,000","ETP",0.028747433264887
"2018-01-06",4.48,5.4,4.47,4.87,"16,309,000","165,571,000","ETP",0.0870535714285714
"2018-01-05",5.32,6.23,4.26,4.5,"39,771,100","196,535,000","ETP",-0.154135338345865
"2018-01-04",3.1,5.8,2.98,5.49,"50,356,000","114,253,000","ETP",0.770967741935484
"2018-01-03",3.13,3.21,2.91,3.07,"6,401,080","115,299,000","ETP",-0.0191693290734824
"2018-01-02",2.92,3.21,2.74,3.15,"8,664,920","107,761,000","ETP",0.0787671232876712
"2018-01-01",2.86,2.96,2.68,2.94,"4,962,270","105,337,000","ETP",0.027972027972028
"2017-12-31",2.53,2.93,2.46,2.78,"4,763,950","93,237,700","ETP",0.0988142292490119
"2017-12-30",2.98,2.99,2.4,2.54,"5,876,420","109,892,000","ETP",-0.147651006711409
"2017-12-29",2.85,3.08,2.76,3,"6,073,790","104,847,000","ETP",0.0526315789473684
"2017-12-28",3.24,3.27,2.59,2.85,"10,154,100","119,366,000","ETP",-0.12037037037037
"2017-12-27",3.27,3.74,3.02,3.25,"8,253,680","120,370,000","ETP",-0.00611620795107034
"2017-12-26",2.96,3.53,2.83,3.26,"11,184,800","108,823,000","ETP",0.101351351351351
"2017-12-25",2.65,3.33,2.54,2.91,"10,604,900","97,537,300","ETP",0.0981132075471699
"2017-12-24",2.92,2.92,2.26,2.61,"8,882,020","107,536,000","ETP",-0.106164383561644
"2017-12-23",2.39,3.17,2.34,2.97,"9,219,710","87,962,500","ETP",0.242677824267782
"2017-12-22",3.54,3.62,1.76,2.34,"20,209,800","130,158,000","ETP",-0.338983050847458
"2017-12-21",4.1,4.27,3.07,3.51,"20,529,500","150,481,000","ETP",-0.14390243902439
"2017-12-20",4.6,4.61,3.81,4.08,"12,596,900","168,882,000","ETP",-0.113043478260869
"2017-12-19",4.35,4.86,4.1,4.59,"23,927,600","159,664,000","ETP",0.0551724137931035
"2017-12-18",3.97,4.58,3.67,4.35,"20,367,500","145,496,000","ETP",0.0957178841309822
"2017-12-17",3.85,4.34,3.63,4.01,"14,498,300","141,254,000","ETP",0.0415584415584415
"2017-12-16",3.32,3.9,3.32,3.9,"12,790,700","121,696,000","ETP",0.174698795180723
"2017-12-15",3.47,3.6,3.06,3.35,"9,112,770","127,028,000","ETP",-0.0345821325648415
"2017-12-14",3.06,3.7,2.94,3.43,"15,710,100","112,224,000","ETP",0.120915032679739
"2017-12-13",2.67,3.5,2.44,3.08,"16,470,300","97,631,100","ETP",0.153558052434457
"2017-12-12",2.39,2.71,2.38,2.66,"5,658,160","87,397,100","ETP",0.112970711297071
"2017-12-11",2.24,2.64,2.21,2.4,"4,506,230","81,935,000","ETP",0.0714285714285713
"2017-12-10",2.4,2.4,2.07,2.24,"3,476,820","87,784,300","ETP",-0.0666666666666665
"2017-12-09",2.38,2.72,2.27,2.39,"4,319,770","87,137,700","ETP",0.004201680672269
"2017-12-08",2.26,2.56,2.01,2.4,"5,845,680","82,590,700","ETP",0.0619469026548673
"2017-12-07",2.67,2.68,1.97,2.24,"6,655,500","97,499,200","ETP",-0.161048689138577
"2017-12-06",2.63,2.8,2.48,2.68,"5,435,240","96,033,900","ETP",0.0190114068441066
"2017-12-05",2.9,2.91,2.6,2.6,"5,046,440","105,919,000","ETP",-0.103448275862069
"2017-12-04",2.84,2.94,2.75,2.89,"3,740,870","103,951,000","ETP",0.017605633802817
"2017-12-03",2.87,2.94,2.75,2.84,"4,425,560","104,712,000","ETP",-0.010452961672474
"2017-12-02",2.98,3.18,2.74,2.86,"3,784,840","108,806,000","ETP",-0.040268456375839
"2017-12-01",2.65,3.07,2.55,2.98,"4,779,630","96,654,300","ETP",0.124528301886792
"2017-11-30",2.7,3.04,2.41,2.67,"8,471,120","98,543,700","ETP",-0.0111111111111112
"2017-11-29",3.68,3.87,1.85,2.72,"23,209,200","134,337,000","ETP",-0.260869565217391
"2017-11-28",3.72,3.82,3.66,3.67,"4,647,200","135,631,000","ETP",-0.0134408602150538
"2017-11-27",3.81,3.85,3.61,3.7,"5,450,530","139,050,000","ETP",-0.0288713910761155
"2017-11-26",3.81,3.87,3.56,3.79,"5,206,180","139,080,000","ETP",-0.005249343832021
"2017-11-25",3.63,3.89,3.63,3.81,"4,918,670","132,494,000","ETP",0.0495867768595042
"2017-11-24",3.57,3.75,3.45,3.64,"5,283,490","130,261,000","ETP",0.019607843137255
"2017-11-23",3.69,4.04,3.67,3.67,"10,238,800","134,345,000","ETP",-0.00542005420054201
"2017-11-22",3.49,3.82,3.44,3.72,"8,419,730","127,303,000","ETP",0.0659025787965616
"2017-11-21",3.2,3.83,3.06,3.51,"14,924,500","116,496,000","ETP",0.0968749999999999
"2017-11-20",3.26,3.26,3.15,3.18,"2,946,460","118,687,000","ETP",-0.0245398773006134
"2017-11-19",3.16,3.44,3.16,3.24,"4,007,200","115,179,000","ETP",0.0253164556962026
"2017-11-18",3.07,3.39,3.04,3.18,"5,448,000","111,566,000","ETP",0.0358306188925082
"2017-11-17",3.07,3.14,3.02,3.06,"3,572,980","111,688,000","ETP",-0.00325732899022794
"2017-11-16",3.44,3.44,3.03,3.09,"5,505,090","125,043,000","ETP",-0.101744186046512
"2017-11-15",2.98,3.54,2.95,3.43,"9,248,600","108,320,000","ETP",0.151006711409396
"2017-11-14",3.09,3.1,2.93,3,"4,109,160","112,283,000","ETP",-0.029126213592233
"2017-11-13",2.92,3.21,2.86,3.07,"5,454,290","106,300,000","ETP",0.0513698630136986
"2017-11-12",3.09,3.3,2.81,2.9,"6,434,420","112,255,000","ETP",-0.0614886731391586
"2017-11-11",3.23,3.37,3.01,3.1,"6,129,080","117,318,000","ETP",-0.0402476780185758
"2017-11-10",3.8,3.95,3.09,3.24,"8,478,760","137,829,000","ETP",-0.147368421052631
"2017-11-09",3.68,4.1,3.42,3.82,"10,315,700","133,509,000","ETP",0.0380434782608695
"2017-11-08",3.06,3.88,3.02,3.66,"13,813,700","111,105,000","ETP",0.196078431372549
"2017-11-07",3.14,3.23,3.02,3.03,"3,992,530","113,823,000","ETP",-0.0350318471337581
"2017-11-06",2.97,3.36,2.97,3.14,"6,503,660","67,218,500","ETP",0.0572390572390572
"2017-11-05",3.13,3.15,2.92,2.97,"3,581,590","70,708,500","ETP",-0.0511182108626197
"2017-11-04",3.4,3.51,3,3.14,"4,272,460","76,841,200","ETP",-0.0764705882352941
"2017-11-03",3.14,3.7,3.07,3.39,"7,956,660","71,017,600","ETP",0.0796178343949045
"2017-11-02",3.44,3.57,2.81,3.14,"11,793,700","77,799,000","ETP",-0.0872093023255813
"2017-11-01",4.16,4.16,3.35,3.42,"7,996,150","94,096,600","ETP",-0.177884615384615
"2017-10-31",4.05,4.59,3.97,4.19,"11,161,600","91,451,300","ETP",0.034567901234568
"2017-10-30",3.94,4.05,3.72,4.05,"6,044,250","88,949,000","ETP",0.0279187817258883
"2017-10-29",4.09,4.31,3.84,3.95,"7,076,280","92,463,100","ETP",-0.0342298288508557
"2017-10-28",4,4.19,3.62,4.09,"9,024,850","90,327,900","ETP",0.0225
"2017-10-27",4.32,4.49,3.84,4.01,"12,200,400","97,554,100","ETP",-0.0717592592592594
"2017-10-26",4.6,4.9,4.28,4.34,"7,223,160","103,996,000","ETP",-0.0565217391304347
"2017-10-25",4.97,5,4.51,4.61,"6,291,960","112,256,000","ETP",-0.0724346076458751
"2017-10-24",4.7,5.48,4.66,5.01,"13,787,000","106,199,000","ETP",0.0659574468085106
"2017-10-23",5.02,5.06,4.25,4.66,"11,923,400","113,531,000","ETP",-0.0717131474103585
"2017-10-22",4.99,5.58,4.83,5.06,"10,573,500","112,861,000","ETP",0.0140280561122243
"2017-10-21",5.08,5.28,4.26,4.98,"16,509,700","114,829,000","ETP",-0.0196850393700787
"2017-10-20",5.66,6.15,4.72,4.95,"19,777,400","127,942,000","ETP",-0.125441696113074
"2017-10-19",5.24,6.24,5.06,5.7,"26,578,200","118,509,000","ETP",0.0877862595419847
"2017-10-18",4.58,5.21,4.45,5.18,"13,819,800","103,447,000","ETP",0.131004366812227
