"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.285426,0.547409,0.275771,0.547409,"4,523","-","EVC",0.917866627427074
"2018-01-09",0.313447,0.371237,0.268548,0.285137,"4,574","-","EVC",-0.0903182994254212
"2018-01-08",0.300946,0.322002,0.254571,0.31431,"3,642","-","EVC",0.0444066377356735
"2018-01-07",0.300569,0.380066,0.224755,0.301368,"8,941","-","EVC",0.00265829144056789
"2018-01-06",0.247134,0.429657,0.244648,0.300789,"1,583","-","EVC",0.217108936852072
"2018-01-05",0.309128,0.425722,0.24618,0.246775,"408","-","EVC",-0.201706089386921
"2018-01-04",0.40762,0.470048,0.305513,0.309185,"883","-","EVC",-0.241487169422501
"2018-01-03",0.367008,0.622015,0.281382,0.405732,"6,807","-","EVC",0.105512686371959
"2018-01-02",0.217794,0.407955,0.217794,0.368323,"30,738","-","EVC",0.691153107982773
"2018-01-01",0.226928,0.238014,0.213586,0.217804,"3,871","-","EVC",-0.0402065853486568
"2017-12-31",0.131283,0.236913,0.130788,0.226047,"5,953","-","EVC",0.721829939900825
"2017-12-30",0.219914,0.274744,0.119608,0.13253,"3,389","-","EVC",-0.397355329810744
"2017-12-29",0.255387,0.258343,0.193992,0.220338,"6,150","-","EVC",-0.137238778794535
"2017-12-28",0.152194,0.280977,0.13226,0.252794,"12,724","-","EVC",0.660998462488666
"2017-12-27",0.172992,0.23954,0.123817,0.151517,"3,424","-","EVC",-0.124138688494266
"2017-12-26",0.138789,0.232663,0.109449,0.17108,"1,438","-","EVC",0.232662530892218
"2017-12-25",0.110283,0.138849,0.108132,0.138849,"594","-","EVC",0.259024509670575
"2017-12-24",0.107968,0.136776,0.07226,0.109703,"405","-","EVC",0.0160695761707173
"2017-12-23",0.128994,0.131316,0.060921,0.10677,"1,476","-","EVC",-0.172287083120145
"2017-12-22",0.158317,0.234168,0.119356,0.127862,"943","-","EVC",-0.192367212617723
"2017-12-21",0.159868,0.16818,0.153074,0.15772,"85","-","EVC",-0.0134360847699353
"2017-12-20",0.171145,0.232361,0.109566,0.159697,"2,971","-","EVC",-0.0668906482806976
"2017-12-19",0.102645,0.176067,0.100233,0.171329,"3,148","-","EVC",0.669141214866774
"2017-12-18",0.090498,0.103822,0.086699,0.102956,"649","-","EVC",0.137660500784548
"2017-12-17",0.10391,0.108065,0.084502,0.090617,"736","-","EVC",-0.127928014628043
"2017-12-16",0.167728,0.175362,0.068664,0.103584,"566","-","EVC",-0.382428694076123
"2017-12-15",0.169921,0.170373,0.048386,0.167414,"781","-","EVC",-0.0147539150546429
"2017-12-14",0.032253,0.182669,0.031948,0.170045,"686","-","EVC",4.27222273897002
"2017-12-13",0.105715,0.155386,0.031711,0.032269,"804","-","EVC",-0.694754765170506
"2017-12-12",0.084849,0.16948,0.084296,0.105643,"712","-","EVC",0.245070654928167
"2017-12-11",0.129185,0.142277,0.055095,0.085397,"578","-","EVC",-0.338955761117777
"2017-12-10",0.147198,0.147198,0.128915,0.12904,"209","-","EVC",-0.123357654315955
"2017-12-09",0.090508,0.157888,0.087091,0.146728,"872","-","EVC",0.621160560392451
"2017-12-08",0.063382,0.092465,0.061821,0.09051,"105","-","EVC",0.428007951784418
"2017-12-07",0.063518,0.077702,0.061863,0.06329,"167","-","EVC",-0.00358953367549365
"2017-12-06",0.068215,0.068472,0.062453,0.063739,"190","-","EVC",-0.0656160668474675
"2017-12-05",0.109601,0.109895,0.06818,0.068335,"160","-","EVC",-0.376511163219314
"2017-12-04",0.092609,0.110162,0.089538,0.109545,"345","-","EVC",0.18287639430293
"2017-12-03",0.094343,0.133735,0.086236,0.110465,"310","-","EVC",0.170887082242456
"2017-12-02",0.138552,0.141292,0.094206,0.094311,"965","-","EVC",-0.319309717651135
"2017-12-01",0.089438,0.139997,0.086953,0.138556,"1,439","-","EVC",0.549184910217134
"2017-11-30",0.168215,0.181539,0.089661,0.089661,"8,245","-","EVC",-0.466985702820795
"2017-11-29",0.155522,0.173182,0.14475,0.166089,"1,884","-","EVC",0.0679453710729028
