"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",5.22,5.34,4.61,4.95,"7,062,690","86,162,600","EVX",-0.0517241379310344
"2018-01-09",5.4,5.8,5.19,5.24,"10,479,800","89,097,600","EVX",-0.0296296296296297
"2018-01-08",5.98,6.42,4.38,5.42,"12,978,100","98,664,500","EVX",-0.0936454849498329
"2018-01-07",5.46,7.36,4.89,6.06,"27,633,100","90,112,400","EVX",0.10989010989011
"2018-01-06",3.25,6.09,3.25,5.55,"28,722,900","53,674,900","EVX",0.707692307692308
"2018-01-05",3.81,4.13,3.1,3.23,"8,898,010","62,797,800","EVX",-0.152230971128609
"2018-01-04",3.38,4.48,3.09,3.8,"22,252,300","55,810,900","EVX",0.124260355029586
"2018-01-03",2.06,3.23,2.03,3.21,"11,317,900","34,060,100","EVX",0.558252427184466
"2018-01-02",2.08,2.18,1.96,2.05,"3,676,560","34,366,900","EVX",-0.014423076923077
"2018-01-01",1.99,2.09,1.8,2.06,"2,497,130","32,851,800","EVX",0.035175879396985
"2017-12-31",1.72,2.07,1.72,1.98,"3,172,530","28,398,800","EVX",0.151162790697674
"2017-12-30",2,2.05,1.63,1.75,"2,630,110","32,942,400","EVX",-0.125
"2017-12-29",1.82,2.21,1.74,2.01,"3,605,820","30,044,500","EVX",0.104395604395604
"2017-12-28",1.92,2.04,1.69,1.82,"2,310,100","31,735,400","EVX",-0.0520833333333333
"2017-12-27",1.91,2.07,1.8,1.92,"1,951,190","31,528,900","EVX",0.00523560209424084
"2017-12-26",1.88,2.15,1.84,1.89,"2,918,600","31,078,300","EVX",0.00531914893617022
"2017-12-25",2.15,2.17,1.88,1.89,"3,172,130","35,523,900","EVX",-0.12093023255814
"2017-12-24",2.15,2.55,1.83,2.15,"9,056,070","35,417,000","EVX",0
"2017-12-23",1.45,2.91,1.45,2.15,"8,382,950","23,900,100","EVX",0.482758620689655
"2017-12-22",1.75,1.78,1.17,1.43,"1,827,950","28,954,500","EVX",-0.182857142857143
"2017-12-21",1.55,1.92,1.55,1.75,"3,210,950","25,566,000","EVX",0.129032258064516
"2017-12-20",1.67,1.7,1.49,1.55,"2,474,980","27,629,100","EVX",-0.0718562874251496
"2017-12-19",1.79,1.99,1.63,1.67,"4,855,270","29,562,700","EVX",-0.0670391061452515
"2017-12-18",1.61,1.79,1.54,1.78,"4,876,570","26,487,700","EVX",0.105590062111801
"2017-12-17",1.45,1.73,1.42,1.61,"5,045,800","23,892,700","EVX",0.110344827586207
"2017-12-16",1.49,1.55,1.35,1.44,"3,255,260","24,580,100","EVX",-0.0335570469798658
"2017-12-15",1.29,1.79,1.22,1.47,"6,952,120","21,324,800","EVX",0.13953488372093
"2017-12-14",1.2,1.33,1.16,1.29,"3,003,890","19,726,200","EVX",0.0750000000000001
"2017-12-13",1.2,1.23,1.14,1.2,"1,580,240","19,767,800","EVX",0
"2017-12-12",1.27,1.28,1.16,1.2,"2,103,080","20,975,200","EVX",-0.0551181102362205
"2017-12-11",1.15,1.33,1.06,1.28,"3,121,760","18,930,800","EVX",0.11304347826087
"2017-12-10",1.18,1.2,0.99729,1.14,"2,216,230","19,410,200","EVX",-0.0338983050847458
"2017-12-09",1.23,1.25,1.07,1.18,"3,087,640","20,373,100","EVX",-0.0406504065040651
"2017-12-08",1.16,1.31,1.07,1.24,"2,549,170","19,087,900","EVX",0.0689655172413794
"2017-12-07",1.19,1.21,1.1,1.15,"2,841,610","19,612,100","EVX",-0.0336134453781513
"2017-12-06",1.34,1.37,1.14,1.18,"3,251,570","22,069,300","EVX",-0.119402985074627
"2017-12-05",1.35,1.37,1.23,1.33,"3,907,990","22,296,600","EVX",-0.0148148148148148
"2017-12-04",1.32,1.39,1.25,1.35,"2,569,170","21,792,400","EVX",0.0227272727272727
"2017-12-03",1.45,1.45,1.13,1.34,"2,701,580","23,846,800","EVX",-0.0758620689655172
"2017-12-02",1.49,1.49,1.36,1.44,"2,365,240","24,585,700","EVX",-0.0335570469798658
"2017-12-01",1.29,1.52,1.28,1.49,"3,192,080","21,285,200","EVX",0.155038759689922
"2017-11-30",1.32,1.41,1.2,1.3,"2,100,190","21,796,500","EVX",-0.0151515151515152
"2017-11-29",1.46,1.58,1.23,1.31,"3,044,710","24,063,000","EVX",-0.102739726027397
"2017-11-28",1.43,1.51,1.36,1.46,"3,165,550","23,589,600","EVX",0.020979020979021
"2017-11-27",1.41,1.46,1.35,1.43,"2,369,240","23,269,100","EVX",0.0141843971631206
"2017-11-26",1.41,1.5,1.37,1.4,"816,582","23,344,200","EVX",-0.00709219858156029
"2017-11-25",1.41,1.48,1.34,1.42,"1,014,100","23,227,200","EVX",0.00709219858156029
"2017-11-24",1.5,1.51,1.28,1.42,"1,401,050","24,807,900","EVX",-0.0533333333333334
"2017-11-23",1.54,1.6,1.48,1.5,"1,131,280","25,441,300","EVX",-0.025974025974026
"2017-11-22",1.67,1.77,1.48,1.54,"1,467,520","27,500,000","EVX",-0.0778443113772454
"2017-11-21",1.61,1.7,1.58,1.66,"1,032,960","26,573,000","EVX",0.0310559006211179
"2017-11-20",1.69,1.77,1.62,1.62,"860,407","27,930,000","EVX",-0.0414201183431952
"2017-11-19",1.6,1.86,1.58,1.68,"1,522,790","26,404,200","EVX",0.0499999999999999
"2017-11-18",1.54,1.61,1.48,1.6,"674,727","25,446,700","EVX",0.038961038961039
"2017-11-17",1.58,1.61,1.49,1.52,"778,004","26,028,600","EVX",-0.0379746835443038
"2017-11-16",1.67,1.7,1.51,1.59,"1,389,110","27,487,000","EVX",-0.0479041916167664
"2017-11-15",1.8,1.86,1.56,1.68,"1,833,970","29,732,800","EVX",-0.0666666666666667
"2017-11-14",1.72,1.86,1.71,1.8,"1,052,590","28,310,300","EVX",0.0465116279069768
"2017-11-13",1.65,1.81,1.63,1.73,"1,193,230","27,162,300","EVX",0.0484848484848485
"2017-11-12",1.85,1.85,1.49,1.64,"1,657,090","30,483,900","EVX",-0.113513513513514
"2017-11-11",1.83,2.01,1.77,1.83,"1,935,410","30,215,600","EVX",0
"2017-11-10",2.13,2.21,1.76,1.83,"3,320,020","35,134,900","EVX",-0.140845070422535
"2017-11-09",1.97,2.34,1.83,2.14,"4,275,920","32,584,900","EVX",0.0862944162436549
"2017-11-08",1.65,1.98,1.59,1.96,"2,190,180","27,184,800","EVX",0.187878787878788
"2017-11-07",1.5,1.73,1.5,1.65,"1,877,880","24,804,000","EVX",0.0999999999999999
"2017-11-06",1.49,1.54,1.44,1.49,"480,467","24,582,700","EVX",0
"2017-11-05",1.51,1.58,1.46,1.49,"533,787","24,865,800","EVX",-0.0132450331125828
"2017-11-04",1.56,1.58,1.49,1.51,"651,165","25,771,300","EVX",-0.0320512820512821
"2017-11-03",1.41,1.67,1.39,1.58,"1,873,790","23,253,800","EVX",0.120567375886525
"2017-11-02",1.2,1.44,1.15,1.41,"1,346,680","19,854,100","EVX",0.175
"2017-11-01",1.59,1.63,1.2,1.22,"1,407,930","26,229,000","EVX",-0.232704402515723
"2017-10-31",1.8,1.86,1.55,1.58,"1,990,250","29,673,500","EVX",-0.122222222222222
"2017-10-30",2.07,2.3,1.71,1.81,"3,295,580","34,196,100","EVX",-0.125603864734299
"2017-10-29",2.47,2.9,1.99,2.09,"8,553,500","40,805,900","EVX",-0.153846153846154
"2017-10-28",1.54,2.48,1.44,2.48,"8,928,710","25,441,200","EVX",0.61038961038961
"2017-10-27",1.58,1.7,1.36,1.55,"2,297,240","25,988,600","EVX",-0.0189873417721519
"2017-10-26",1.02,1.59,1.01,1.59,"1,455,490","16,908,500","EVX",0.558823529411765
"2017-10-25",1.02,1.16,0.966563,1.02,"120,804","16,769,300","EVX",0
"2017-10-24",1.02,1.09,0.971393,1.02,"178,089","16,768,200","EVX",0
"2017-10-23",1.17,1.17,0.909639,1.02,"498,553","19,307,400","EVX",-0.128205128205128
"2017-10-22",1.08,1.19,1.08,1.15,"141,250","17,745,900","EVX",0.0648148148148147
"2017-10-21",1.16,1.16,1.05,1.08,"208,338","19,071,800","EVX",-0.0689655172413792
"2017-10-20",1.18,2.52,1.06,1.16,"205,607","19,514,200","EVX",-0.0169491525423729
"2017-10-19",1.26,1.28,1.08,1.18,"196,761","20,767,100","EVX",-0.0634920634920635
"2017-10-18",1.2,1.27,1.18,1.26,"277,605","19,771,800","EVX",0.05
"2017-10-17",1.25,1.31,1.18,1.2,"304,280","20,581,000","EVX",-0.04
"2017-10-16",1.31,1.4,1.22,1.25,"334,990","21,611,600","EVX",-0.0458015267175573
"2017-10-15",1.46,1.5,1.3,1.32,"517,953","24,114,600","EVX",-0.095890410958904
"2017-10-14",1.41,1.58,1.39,1.46,"706,458","23,303,400","EVX",0.0354609929078014
"2017-10-13",1.14,1.44,1.03,1.42,"761,668","18,766,200","EVX",0.245614035087719
"2017-10-12",1.48,1.56,1.1,1.11,"784,158","24,453,100","EVX",-0.25
"2017-10-11",1.9,1.91,1.49,1.53,"1,926,640","31,381,400","EVX",-0.194736842105263
"2017-10-10",1.62,1.96,1.62,1.91,"1,389,230","26,737,500","EVX",0.179012345679012
