"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.39432,0.52342,0.369122,0.449951,"7,388","2,440,910","FCN",0.141080848042199
"2018-01-09",0.481916,0.5382,0.375904,0.393804,"10,419","2,983,140","FCN",-0.182836842935283
"2018-01-08",0.553689,0.624117,0.467648,0.483232,"9,771","3,427,430","FCN",-0.127250135003585
"2018-01-07",0.567684,0.582696,0.508475,0.554464,"6,952","3,514,060","FCN",-0.0232876036668287
"2018-01-06",0.543487,0.568656,0.523609,0.568101,"3,800","3,364,280","FCN",0.0452890317523693
"2018-01-05",0.455435,0.569928,0.418727,0.543055,"13,068","2,819,220","FCN",0.192387497667066
"2018-01-04",0.441112,0.469685,0.391949,0.455344,"7,654","2,730,560","FCN",0.032263914833421
"2018-01-03",0.341222,0.497222,0.327319,0.438709,"15,072","2,112,230","FCN",0.285699632497318
"2018-01-02",0.324034,0.383574,0.314318,0.342438,"4,685","2,005,830","FCN",0.056796509008314
"2018-01-01",0.363514,0.386594,0.311478,0.351064,"2,890","2,250,220","FCN",-0.0342490247968442
"2017-12-31",0.356005,0.394815,0.330716,0.362113,"1,469","2,203,740","FCN",0.017157062400809
"2017-12-30",0.420378,0.447727,0.331018,0.334186,"5,711","2,602,210","FCN",-0.205034516554149
"2017-12-29",0.448493,0.48402,0.424726,0.450502,"2,042","2,776,250","FCN",0.0044794456100765
"2017-12-28",0.465478,0.46745,0.399685,0.443898,"1,942","2,881,390","FCN",-0.0463609450930011
"2017-12-27",0.490947,0.496771,0.441642,0.466456,"712","3,039,050","FCN",-0.0498852218263887
"2017-12-26",0.417889,0.500325,0.416179,0.474766,"655","2,586,810","FCN",0.136105520844052
"2017-12-25",0.436694,0.453587,0.397994,0.418317,"522","2,703,220","FCN",-0.0420820986777928
"2017-12-24",0.467405,0.467405,0.377002,0.432206,"1,728","2,893,320","FCN",-0.0753072816936063
"2017-12-23",0.42748,0.501052,0.421471,0.462301,"3,180","2,646,180","FCN",0.0814564424066623
"2017-12-22",0.502817,0.502817,0.354823,0.42348,"2,862","3,112,530","FCN",-0.157785039089768
"2017-12-21",0.51098,0.581396,0.45196,0.50108,"4,641","3,163,060","FCN",-0.0193745352068574
"2017-12-20",0.486617,0.512696,0.454507,0.493206,"2,701","3,012,250","FCN",0.0135404229609733
"2017-12-19",0.478338,0.627176,0.47132,0.569005,"36,260","2,961,000","FCN",0.189545885963482
"2017-12-18",0.478298,0.631402,0.4213,0.497051,"32,692","2,960,750","FCN",0.0392077742328005
"2017-12-17",0.506394,0.506394,0.406391,0.476853,"15,564","3,134,670","FCN",-0.0583359992416971
"2017-12-16",0.388231,0.51033,0.365904,0.506328,"7,516","2,403,220","FCN",0.304192606978835
"2017-12-15",0.364928,0.433791,0.364166,0.387686,"9,387","2,258,970","FCN",0.0623629866713434
"2017-12-14",0.36026,0.398257,0.344726,0.380943,"5,353","2,230,080","FCN",0.0574113140509631
"2017-12-13",0.397348,0.429591,0.344519,0.361421,"9,985","2,459,660","FCN",-0.0904169644744657
"2017-12-12",0.387243,0.423103,0.364736,0.414278,"3,501","2,397,100","FCN",0.0698140444113902
"2017-12-11",0.365927,0.416197,0.325671,0.386004,"9,404","2,265,160","FCN",0.0548661345022368
"2017-12-10",0.330825,0.375556,0.284721,0.368589,"1,843","2,047,870","FCN",0.114150986170936
"2017-12-09",0.374068,0.381484,0.314382,0.32949,"3,448","2,315,550","FCN",-0.119170845942449
"2017-12-08",0.364463,0.403904,0.29572,0.374445,"3,399","2,256,090","FCN",0.027388239684138
"2017-12-07",0.329661,0.387485,0.325444,0.363608,"7,746","2,040,660","FCN",0.102975480872775
"2017-12-06",0.362724,0.390364,0.303002,0.343988,"12,136","2,245,330","FCN",-0.0516535988795888
"2017-12-05",0.314719,0.457645,0.280767,0.328349,"13,606","1,948,170","FCN",0.0433084751794457
"2017-12-04",0.326011,0.353145,0.261119,0.314102,"20,325","2,018,070","FCN",-0.0365294422580833
"2017-12-03",0.360746,0.385726,0.281199,0.324934,"15,133","2,233,080","FCN",-0.0992720640007097
"2017-12-02",0.391837,0.406298,0.323322,0.360402,"14,598","2,425,540","FCN",-0.080224685264536
"2017-12-01",0.359751,0.475971,0.292409,0.39217,"23,374","2,226,920","FCN",0.0901151073937252
"2017-11-30",0.353833,0.379617,0.293569,0.361542,"3,967","2,190,290","FCN",0.021787114260117
"2017-11-29",0.357406,0.431718,0.330305,0.34848,"10,049","2,212,410","FCN",-0.0249743988629178
"2017-11-28",0.419481,0.428378,0.345608,0.357762,"13,482","2,596,660","FCN",-0.147131812883063
"2017-11-27",0.447249,0.454194,0.357667,0.418397,"7,657","2,768,550","FCN",-0.0645099262379569
"2017-11-26",0.437314,0.494073,0.297433,0.437848,"17,490","2,707,050","FCN",0.00122109056650378
"2017-11-25",0.303769,0.479703,0.261466,0.437461,"38,182","1,880,380","FCN",0.440110742044119
"2017-11-24",0.225037,0.322391,0.19303,0.304384,"13,533","1,393,020","FCN",0.352595350986727
"2017-11-23",0.156278,0.243069,0.153942,0.233393,"12,826","967,392","FCN",0.493447574194704
"2017-11-22",0.154168,0.165645,0.153516,0.164556,"1,180","954,326","FCN",0.0673810388666909
"2017-11-21",0.164829,0.173467,0.14502,0.153794,"1,676","1,020,320","FCN",-0.0669481705282445
"2017-11-20",0.160868,0.173906,0.139855,0.164798,"2,923","995,800","FCN",0.02442996742671
"2017-11-19",0.163525,0.171616,0.139585,0.160943,"3,064","1,012,250","FCN",-0.0157896346124446
"2017-11-18",0.153735,0.164135,0.130143,0.163829,"3,566","951,645","FCN",0.0656584382216151
"2017-11-17",0.156894,0.164707,0.123079,0.154326,"4,168","971,199","FCN",-0.0163677387280585
"2017-11-16",0.102243,0.158744,0.101398,0.157151,"5,592","632,900","FCN",0.53703432019796
"2017-11-15",0.105786,0.145469,0.101245,0.10171,"2,245","654,832","FCN",-0.0385306184183163
"2017-11-14",0.097963,0.118853,0.097414,0.105713,"1,368","606,408","FCN",0.079111501281096
"2017-11-13",0.105675,0.118054,0.086549,0.097756,"1,593","654,145","FCN",-0.0749373077832979
"2017-11-12",0.089057,0.124647,0.074279,0.105521,"4,093","551,277","FCN",0.184870363924228
"2017-11-11",0.092048,0.097633,0.076761,0.089122,"805","569,794","FCN",-0.0317877629063097
"2017-11-10",0.099804,0.110018,0.078152,0.092377,"1,618","617,804","FCN",-0.0744158550759489
"2017-11-09",0.097076,0.11464,0.086281,0.099508,"2,928","600,920","FCN",0.0250525361572377
"2017-11-08",0.09251,0.112699,0.088166,0.097176,"1,588","572,652","FCN",0.0504377905091342
"2017-11-07",0.090467,0.100503,0.084826,0.092801,"413","560,005","FCN",0.0257994627875357
"2017-11-06",0.103507,0.110724,0.084522,0.090612,"923","640,727","FCN",-0.124580946216198
"2017-11-05",0.095898,0.105793,0.080341,0.103278,"758","593,628","FCN",0.0769567665644747
"2017-11-04",0.107504,0.107725,0.085658,0.09608,"1,569","665,468","FCN",-0.106265813365084
"2017-11-03",0.112373,0.130604,0.087795,0.107784,"2,385","695,606","FCN",-0.0408372117857492
"2017-11-02",0.100929,0.127696,0.096106,0.11252,"957","624,770","FCN",0.114843107531037
"2017-11-01",0.090215,0.113247,0.089119,0.107538,"1,407","558,447","FCN",0.192019065565593
"2017-10-31",0.091917,0.108271,0.085892,0.090281,"1,777","568,982","FCN",-0.0177986661879739
"2017-10-30",0.098511,0.104823,0.085036,0.09223,"1,688","609,799","FCN",-0.0637593771253971
"2017-10-29",0.080191,0.105914,0.080032,0.099086,"1,394","496,396","FCN",0.235624945442755
"2017-10-28",0.097978,0.117164,0.080301,0.080301,"2,371","606,503","FCN",-0.180418053032313
"2017-10-27",0.082415,0.109191,0.07538,0.097712,"1,751","510,165","FCN",0.185609415761694
"2017-10-26",0.074547,0.089258,0.074078,0.082396,"191","461,459","FCN",0.105289280588085
"2017-10-25",0.088293,0.099093,0.071373,0.074556,"2,072","546,548","FCN",-0.155584247901872
"2017-10-24",0.087984,0.097594,0.072673,0.093773,"987","544,634","FCN",0.0657960538279686
"2017-10-23",0.089689,0.095658,0.069932,0.088178,"1,852","555,193","FCN",-0.0168471049961534
"2017-10-22",0.096219,0.105736,0.089552,0.089834,"273","595,614","FCN",-0.0663590351178042
"2017-10-21",0.090077,0.117375,0.084588,0.102202,"1,442","557,594","FCN",0.134607058405586
"2017-10-20",0.096978,0.108574,0.073344,0.096285,"4,021","600,309","FCN",-0.00714595062797747
"2017-10-19",0.100571,0.108393,0.095966,0.09695,"210","622,550","FCN",-0.0360044147915403
"2017-10-18",0.112015,0.115731,0.090948,0.100518,"249","693,391","FCN",-0.102638039548275
"2017-10-17",0.086686,0.123199,0.078986,0.112007,"3,164","536,600","FCN",0.29210022379623
"2017-10-16",0.09107,0.112133,0.073029,0.086672,"2,068","563,742","FCN",-0.0482925222356429
"2017-10-15",0.105323,0.127697,0.091038,0.091058,"4,028","651,966","FCN",-0.135440502074571
"2017-10-14",0.096146,0.130182,0.095443,0.105135,"1,248","595,164","FCN",0.0934932290474904
"2017-10-13",0.108814,0.120574,0.093893,0.09612,"2,041","673,578","FCN",-0.116657783005863
"2017-10-12",0.106177,0.117978,0.102332,0.10848,"640","657,256","FCN",0.0216901965585767
"2017-10-11",0.104781,0.111667,0.100438,0.106087,"232","648,611","FCN",0.0124640917723633
"2017-10-10",0.095723,0.122665,0.092505,0.104798,"1,370","592,545","FCN",0.0948048013539066
"2017-10-09",0.105864,0.124672,0.086253,0.09573,"2,301","655,318","FCN",-0.0957265926093857
"2017-10-08",0.124421,0.125589,0.105211,0.105837,"1,507","770,188","FCN",-0.149363853368804
"2017-10-07",0.118094,0.125044,0.108607,0.120299,"1,593","731,020","FCN",0.0186715667180382
"2017-10-06",0.121063,0.13238,0.108166,0.118056,"1,035","749,400","FCN",-0.0248383073275898
"2017-10-05",0.1182,0.133619,0.107913,0.121063,"1,093","731,676","FCN",0.0242216582064298
"2017-10-04",0.120951,0.130039,0.109104,0.118093,"886","748,711","FCN",-0.0236294036427975
"2017-10-03",0.127682,0.127682,0.111037,0.120672,"447","790,377","FCN",-0.0549020222114314
"2017-10-02",0.118641,0.129021,0.110322,0.127678,"1,168","734,408","FCN",0.0761709695636417
"2017-10-01",0.130345,0.130936,0.111537,0.118693,"880","806,858","FCN",-0.0893935325482372
"2017-09-30",0.120988,0.130422,0.111494,0.130274,"1,041","748,939","FCN",0.0767514133633088
"2017-09-29",0.130002,0.130439,0.112482,0.120973,"533","804,736","FCN",-0.0694527776495747
"2017-09-28",0.122017,0.140911,0.112298,0.125906,"2,447","755,309","FCN",0.0318726079152904
"2017-09-27",0.108881,0.134438,0.101582,0.122013,"2,000","673,992","FCN",0.120608737979996
"2017-09-26",0.086534,0.109185,0.086528,0.109185,"1,457","535,659","FCN",0.261758383987797
"2017-09-25",0.084464,0.09094,0.082816,0.086542,"80","522,850","FCN",0.0246021973858685
"2017-09-24",0.087136,0.094361,0.077035,0.08455,"1,917","539,386","FCN",-0.0296777451340434
