"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",69,70.48,59.82,66.61,"25,423,000","603,396,000","FCT",-0.0346376811594203
"2018-01-09",75.78,79.47,66.23,68.58,"31,292,400","662,696,000","FCT",-0.0950118764845606
"2018-01-08",71.61,78.58,63.78,76.07,"43,430,600","626,257,000","FCT",0.062281804217288
"2018-01-07",63.65,87.16,63.26,71.38,"52,211,000","556,637,000","FCT",0.121445404556166
"2018-01-06",63.04,68.23,58.72,63.85,"28,218,000","551,284,000","FCT",0.0128489847715736
"2018-01-05",66.55,69.71,58.5,62.74,"36,607,800","582,013,000","FCT",-0.0572501878287002
"2018-01-04",66.77,72.04,63.86,66.63,"36,659,400","583,930,000","FCT",-0.00209675003744197
"2018-01-03",61.84,71.65,58.53,66.37,"47,762,500","540,791,000","FCT",0.0732535575679172
"2018-01-02",64.86,70.29,56.39,60.36,"67,878,600","567,190,000","FCT",-0.0693802035152636
"2018-01-01",58.31,78.08,52.01,64.81,"104,632,000","509,929,000","FCT",0.111473160692849
"2017-12-31",41.41,57.71,40.72,57.71,"32,330,900","362,128,000","FCT",0.393624728326491
"2017-12-30",47.02,47.34,38.04,42.19,"19,579,400","411,153,000","FCT",-0.102722245852829
"2017-12-29",41.99,49.05,41.36,47.1,"20,666,300","367,167,000","FCT",0.121695641819481
"2017-12-28",44.31,44.94,37.96,41.56,"15,198,000","387,534,000","FCT",-0.0620627397878583
"2017-12-27",48.1,48.1,42.41,44.39,"22,010,600","420,603,000","FCT",-0.0771309771309771
"2017-12-26",47.91,48.02,40.56,47.85,"35,829,800","418,940,000","FCT",-0.00125234815278637
"2017-12-25",35.61,47.84,34.15,47.46,"36,559,000","311,425,000","FCT",0.332771693344566
"2017-12-24",37.1,37.29,29.72,35.56,"13,755,700","324,430,000","FCT",-0.0415094339622641
"2017-12-23",32.41,41.37,31.85,36.85,"17,790,400","283,391,000","FCT",0.136994754705338
"2017-12-22",41.79,43.1,23.47,32,"22,498,500","365,478,000","FCT",-0.234266570949988
"2017-12-21",43.95,46.9,38.5,41.69,"29,188,800","384,374,000","FCT",-0.0514220705346986
"2017-12-20",41.68,46.08,35.48,43.75,"22,740,800","364,453,000","FCT",0.0496641074856046
"2017-12-19",42.35,46.44,38.42,41.38,"21,900,300","370,347,000","FCT",-0.0229043683589138
"2017-12-18",38.43,44.69,36.76,42.27,"20,930,600","336,081,000","FCT",0.0999219359875098
"2017-12-17",31.71,44.93,31.16,38.59,"28,270,400","277,291,000","FCT",0.216966256701356
"2017-12-16",31.71,32.1,29.75,30.95,"12,512,500","277,307,000","FCT",-0.0239672027751498
"2017-12-15",32.42,32.88,26.16,31.67,"19,675,900","283,513,000","FCT",-0.0231338679827267
"2017-12-14",25.89,35.82,25.73,32.29,"34,603,300","226,380,000","FCT",0.247199691000386
"2017-12-13",27.03,29.23,24.87,26.36,"12,217,400","236,393,000","FCT",-0.0247872733999261
"2017-12-12",23.67,27.96,22.97,27.24,"11,137,400","206,965,000","FCT",0.150823827629911
"2017-12-11",19.24,25.26,19.24,23.63,"9,127,790","168,222,000","FCT",0.228170478170478
"2017-12-10",21.6,21.6,18.82,19.65,"6,611,590","188,866,000","FCT",-0.0902777777777779
"2017-12-09",20.21,22.34,20.01,22.06,"9,043,360","176,714,000","FCT",0.0915388421573477
"2017-12-08",19.34,22.37,18.11,20.37,"11,227,700","169,133,000","FCT",0.0532574974146846
"2017-12-07",23.02,25.46,19.29,19.48,"13,384,500","201,335,000","FCT",-0.15377932232841
"2017-12-06",25.5,25.96,21.45,22.61,"10,704,200","222,978,000","FCT",-0.113333333333333
"2017-12-05",23.83,25.59,23.73,25.51,"7,338,800","208,365,000","FCT",0.0704993705413346
"2017-12-04",23.05,24.46,22.74,23.88,"6,554,430","201,603,000","FCT",0.0360086767895878
"2017-12-03",22.26,24.6,21.36,23.11,"5,475,510","194,654,000","FCT",0.0381850853548966
"2017-12-02",23.17,23.35,21.68,22.43,"3,068,200","202,640,000","FCT",-0.0319378506689686
"2017-12-01",23.19,23.25,20.96,23.23,"4,852,030","202,810,000","FCT",0.00172488141440272
"2017-11-30",20.25,23.6,18.57,23.39,"6,917,800","177,046,000","FCT",0.155061728395062
"2017-11-29",23.56,25.36,19.01,19.58,"9,147,160","206,015,000","FCT",-0.16893039049236
"2017-11-28",22.94,25.13,22.79,23.66,"6,776,520","200,637,000","FCT",0.031386224934612
"2017-11-27",22.76,23.52,21.9,22.88,"4,196,830","199,001,000","FCT",0.00527240773286456
"2017-11-26",23.43,23.47,21.77,22.91,"4,562,490","204,909,000","FCT",-0.0221937686726419
"2017-11-25",22.13,23.64,22.13,23.34,"4,208,370","193,521,000","FCT",0.0546769091730683
"2017-11-24",21.93,22.45,21,22.12,"4,548,280","191,788,000","FCT",0.00866393068855455
"2017-11-23",22.74,24.1,21.84,21.84,"6,263,550","198,873,000","FCT",-0.0395778364116094
"2017-11-22",19.93,23.15,19.75,22.92,"7,285,730","174,334,000","FCT",0.150025087807326
"2017-11-21",19.5,20.95,18.22,19.79,"3,982,040","170,572,000","FCT",0.0148717948717948
"2017-11-20",18.81,19.78,18.43,19.39,"3,939,130","164,502,000","FCT",0.0308346624136099
"2017-11-19",18.56,19.92,18.53,18.88,"3,214,330","162,287,000","FCT",0.0172413793103448
"2017-11-18",18.47,19.37,17.91,18.55,"3,659,840","161,516,000","FCT",0.00433134813210622
"2017-11-17",18.78,19.21,17.35,18.38,"6,094,750","164,263,000","FCT",-0.0212992545260917
"2017-11-16",19.34,21.6,18.66,19.05,"10,068,500","169,157,000","FCT",-0.014994829369183
"2017-11-15",17.91,21.46,17.1,19.37,"7,185,410","156,634,000","FCT",0.0815187046342826
"2017-11-14",16.88,18.2,16.86,17.86,"2,772,270","147,603,000","FCT",0.0580568720379147
"2017-11-13",16.24,18.3,16.18,16.81,"4,780,390","142,029,000","FCT",0.0350985221674877
"2017-11-12",20.3,21.08,15.7,16.18,"6,862,910","177,486,000","FCT",-0.202955665024631
"2017-11-11",17.5,19.98,17.19,19.98,"5,825,590","153,055,000","FCT",0.141714285714286
"2017-11-10",21.45,22.56,16.53,17.54,"9,689,210","187,610,000","FCT",-0.182284382284382
"2017-11-09",17,22.93,16.86,21.28,"9,168,790","148,644,000","FCT",0.251764705882353
"2017-11-08",16.52,17.85,15.24,16.99,"5,323,950","144,464,000","FCT",0.0284503631961258
