"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.006463,0.006939,0.005538,0.006189,"123,547","8,126,640","FJC",-0.0423951725205013
"2018-01-09",0.006225,0.006889,0.005159,0.006455,"172,686","7,818,060","FJC",0.0369477911646587
"2018-01-08",0.007715,0.009102,0.005917,0.00631,"215,944","9,679,710","FJC",-0.182112767336358
"2018-01-07",0.004721,0.008888,0.004203,0.007612,"346,285","5,915,690","FJC",0.612370260538021
"2018-01-06",0.003145,0.005122,0.003076,0.004865,"164,050","3,936,640","FJC",0.546899841017488
"2018-01-05",0.002576,0.00344,0.002249,0.003255,"71,854","3,220,440","FJC",0.263586956521739
"2018-01-04",0.0025,0.002628,0.002059,0.002575,"33,662","3,122,410","FJC",0.03
"2018-01-03",0.002619,0.002733,0.001992,0.002491,"35,031","3,267,530","FJC",-0.048873615883925
"2018-01-02",0.002091,0.002628,0.002038,0.002628,"75,728","2,605,620","FJC",0.256814921090387
"2018-01-01",0.001609,0.002106,0.001321,0.002092,"41,580","2,002,990","FJC",0.300186451211933
"2017-12-31",0.0014,0.001663,0.001364,0.001625,"9,920","1,739,930","FJC",0.160714285714286
"2017-12-30",0.001859,0.00211,0.001212,0.001335,"17,495","2,308,820","FJC",-0.281871974179666
"2017-12-29",0.001464,0.001913,0.001458,0.001865,"12,906","1,816,520","FJC",0.273907103825136
"2017-12-28",0.001492,0.001702,0.001317,0.001598,"10,033","1,849,200","FJC",0.0710455764075067
"2017-12-27",0.001953,0.001953,0.001439,0.001495,"24,195","2,416,900","FJC",-0.234511008704557
"2017-12-26",0.00204,0.002268,0.001559,0.001951,"32,605","2,522,000","FJC",-0.0436274509803922
"2017-12-25",0.001716,0.002499,0.001521,0.00205,"75,029","2,118,740","FJC",0.194638694638695
"2017-12-24",0.000941,0.002091,0.000913,0.001639,"32,038","1,160,360","FJC",0.741764080765144
"2017-12-23",0.000857,0.001217,0.000857,0.000931,"5,741","1,055,650","FJC",0.0863477246207701
"2017-12-22",0.000966,0.001037,0.000713,0.000848,"5,219","1,189,100","FJC",-0.122153209109731
"2017-12-21",0.001035,0.001171,0.000923,0.000963,"10,030","1,272,180","FJC",-0.0695652173913043
"2017-12-20",0.001118,0.001118,0.000712,0.001032,"6,520","1,373,220","FJC",-0.076923076923077
"2017-12-19",0.001265,0.001348,0.001089,0.001233,"2,384","1,551,940","FJC",-0.0252964426877471
"2017-12-18",0.001152,0.001339,0.00114,0.001261,"5,273","1,411,730","FJC",0.0946180555555555
"2017-12-17",0.001336,0.001409,0.001127,0.001177,"6,721","1,635,270","FJC",-0.119011976047904
"2017-12-16",0.001185,0.001387,0.000988,0.001221,"6,454","1,448,680","FJC",0.030379746835443
"2017-12-15",0.001062,0.001644,0.000997,0.001184,"9,078","1,295,900","FJC",0.114877589453861
"2017-12-14",0.000892,0.001068,0.000842,0.001059,"7,802","1,088,010","FJC",0.187219730941704
"2017-12-13",0.001162,0.00125,0.000891,0.000891,"1,252","1,415,140","FJC",-0.233218588640275
"2017-12-12",0.001133,0.001262,0.00089,0.001161,"8,489","1,378,920","FJC",0.0247131509267432
"2017-12-11",0.000916,0.001282,0.000912,0.001127,"4,993","1,113,490","FJC",0.230349344978166
"2017-12-10",0.001107,0.001155,0.00083,0.000923,"4,569","1,344,270","FJC",-0.166214995483288
"2017-12-09",0.001133,0.001203,0.000826,0.001099,"8,717","1,374,020","FJC",-0.0300088261253309
"2017-12-08",0.001595,0.001642,0.000833,0.001165,"21,188","1,932,110","FJC",-0.269592476489028
"2017-12-07",0.001116,0.007836,0.001043,0.001603,"46,073","1,349,950","FJC",0.436379928315412
