"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.188105,0.20198,0.123143,0.141285,"892,274","169,295,000","FLASH",-0.248903537917652
"2018-01-09",0.221982,0.229439,0.15282,0.173565,"1,516,960","199,784,000","FLASH",-0.218112279374003
"2018-01-08",0.195419,0.246797,0.166572,0.22274,"3,034,600","175,878,000","FLASH",0.139807285883154
"2018-01-07",0.115253,0.239232,0.087981,0.194226,"3,196,890","103,728,000","FLASH",0.685214267741404
"2018-01-06",0.091647,0.11792,0.06875,0.11792,"1,467,760","82,482,100","FLASH",0.286676050498107
"2018-01-05",0.060678,0.098728,0.058808,0.088076,"1,644,640","54,610,200","FLASH",0.451531032664228
"2018-01-04",0.036644,0.061047,0.036334,0.059965,"1,096,230","32,979,400","FLASH",0.63642069643052
"2018-01-03",0.035457,0.037787,0.025743,0.036321,"155,771","31,911,200","FLASH",0.0243675437854301
"2018-01-02",0.031424,0.038084,0.027037,0.035562,"166,951","28,281,600","FLASH",0.131682790224033
"2018-01-01",0.027059,0.033533,0.021168,0.031977,"90,857","24,352,700","FLASH",0.181750988580509
"2017-12-31",0.044403,0.044541,0.021401,0.026978,"190,250","39,962,600","FLASH",-0.392428439519852
"2017-12-30",0.037007,0.044065,0.022468,0.044065,"602,584","33,306,100","FLASH",0.190720674466993
"2017-12-29",0.014167,0.03482,0.012069,0.03482,"814,566","12,750,600","FLASH",1.45782452177596
"2017-12-28",0.007138,0.014029,0.005792,0.014029,"254,254","-","FLASH",0.965396469599327
"2017-12-27",0.005211,0.007469,0.004443,0.007461,"33,997","-","FLASH",0.431778929188255
"2017-12-26",0.004737,0.005485,0.004718,0.005206,"1,218","-","FLASH",0.0990078108507494
"2017-12-25",0.006938,0.006951,0.003219,0.004742,"31,185","-","FLASH",-0.316517728452003
"2017-12-24",0.005689,0.00788,0.003953,0.006883,"7,977","-","FLASH",0.209878713306381
"2017-12-23",0.004698,0.00584,0.004261,0.005617,"3,269","-","FLASH",0.19561515538527
"2017-12-22",0.005137,0.005225,0.003949,0.004653,"3,609","-","FLASH",-0.0942184154175589
"2017-12-21",0.007859,0.008576,0.005056,0.005119,"2,528","-","FLASH",-0.348644865759002
"2017-12-20",0.006869,0.008242,0.004666,0.007841,"3,970","-","FLASH",0.141505313728345
"2017-12-19",0.006358,0.007293,0.00588,0.006871,"2,579","-","FLASH",0.0806857502359233
"2017-12-18",0.006179,0.006523,0.004426,0.006354,"2,106","-","FLASH",0.0283217349085614
"2017-12-17",0.008034,0.008923,0.005453,0.00616,"13,672","-","FLASH",-0.233258650734379
"2017-12-16",0.004412,0.008762,0.004077,0.007961,"652","-","FLASH",0.804397098821396
"2017-12-15",0.00481,0.005603,0.003538,0.004406,"7,479","-","FLASH",-0.083991683991684
"2017-12-14",0.007955,0.008201,0.004787,0.004803,"507","-","FLASH",-0.396228786926461
"2017-12-13",0.006402,0.007981,0.005707,0.007981,"210","-","FLASH",0.246641674476726
"2017-12-12",0.005391,0.006396,0.00503,0.006396,"1,105","-","FLASH",0.186421814134669
"2017-12-11",0.006251,0.007118,0.003458,0.005374,"6,673","-","FLASH",-0.140297552391617
"2017-12-10",0.006165,0.006467,0.004501,0.006297,"578","-","FLASH",0.0214111922141118
"2017-12-09",0.00634,0.006566,0.005463,0.006141,"1,558","-","FLASH",-0.0313880126182966
"2017-12-08",0.005384,0.006691,0.002199,0.006347,"26,983","-","FLASH",0.178863298662704
"2017-12-07",0.004808,0.00657,0.004388,0.005372,"2,402","-","FLASH",0.117304492512479
"2017-12-06",0.005031,0.005647,0.004121,0.004816,"1,262","-","FLASH",-0.0427350427350427
"2017-12-05",0.005129,0.005221,0.00375,0.005043,"645","-","FLASH",-0.0167674010528368
"2017-12-04",0.004454,0.005119,0.003572,0.005119,"2,654","-","FLASH",0.149303996407724
