"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.020446,0.020575,0.01454,0.016048,"58,150","6,588,070","FLT",-0.215103198669666
"2018-01-09",0.023343,0.024483,0.017968,0.02042,"93,536","7,521,390","FLT",-0.125219551899927
"2018-01-08",0.022799,0.026299,0.019228,0.023407,"84,373","7,346,150","FLT",0.0266678363086101
"2018-01-07",0.017375,0.028244,0.016764,0.022994,"260,990","5,598,340","FLT",0.323395683453237
"2018-01-06",0.020761,0.026449,0.013154,0.017387,"116,557","6,689,380","FLT",-0.162516256442368
"2018-01-05",0.024466,0.027888,0.016957,0.020746,"193,489","7,883,230","FLT",-0.152047739720428
"2018-01-04",0.014271,0.025508,0.013242,0.025508,"381,478","4,598,280","FLT",0.787401023053745
"2018-01-03",0.009527,0.014705,0.008792,0.014195,"113,071","3,069,650","FLT",0.48997585808754
"2018-01-02",0.008064,0.011121,0.007502,0.009557,"60,900","2,598,440","FLT",0.185143849206349
"2018-01-01",0.008402,0.008429,0.005971,0.007939,"49,685","2,707,390","FLT",-0.0551059271601999
"2017-12-31",0.004973,0.008832,0.004526,0.008372,"37,366","1,602,440","FLT",0.683490850593203
"2017-12-30",0.005133,0.006596,0.00477,0.005027,"17,249","1,654,030","FLT",-0.0206506916033509
"2017-12-29",0.004082,0.006686,0.003858,0.005146,"24,380","1,315,300","FLT",0.260656540911318
"2017-12-28",0.003869,0.004438,0.002594,0.004042,"4,803","1,246,640","FLT",0.0447143964848797
"2017-12-27",0.003,0.003882,0.002752,0.003877,"2,973","966,617","FLT",0.292333333333333
"2017-12-26",0.002756,0.003178,0.002593,0.002996,"1,978","887,886","FLT",0.0870827285921625
"2017-12-25",0.003126,0.00314,0.002351,0.002757,"723","1,007,230","FLT",-0.118042226487524
"2017-12-24",0.002426,0.003096,0.002004,0.003096,"2,536","781,588","FLT",0.276174773289365
"2017-12-23",0.002221,0.002772,0.001968,0.002404,"879","715,525","FLT",0.0823953174245835
"2017-12-22",0.002043,0.002851,0.001749,0.0022,"5,539","658,335","FLT",0.0768477728830152
"2017-12-21",0.001981,0.002607,0.001832,0.002036,"3,581","638,246","FLT",0.02776375567895
"2017-12-20",0.00229,0.00229,0.001894,0.001976,"179","737,837","FLT",-0.137117903930131
"2017-12-19",0.00147,0.002368,0.00129,0.002292,"8,705","473,542","FLT",0.559183673469388
"2017-12-18",0.00249,0.002712,0.001438,0.001465,"51","802,340","FLT",-0.411646586345382
"2017-12-17",0.001789,0.002621,0.001758,0.002484,"611","576,292","FLT",0.38848518725545
"2017-12-16",0.001418,0.002263,0.001401,0.001763,"294","456,892","FLT",0.243300423131171
"2017-12-15",0.001991,0.00217,0.001395,0.001416,"924","641,381","FLT",-0.288799598191863
"2017-12-14",0.002442,0.00248,0.00185,0.001988,"1,720","786,774","FLT",-0.185913185913186
"2017-12-13",0.001965,0.002503,0.001587,0.002449,"1,005","633,233","FLT",0.246310432569974
"2017-12-12",0.002032,0.002375,0.001576,0.001961,"500","654,722","FLT",-0.0349409448818897
"2017-12-11",0.001393,0.00231,0.00139,0.002024,"629","449,006","FLT",0.452979181622398
"2017-12-10",0.001359,0.001635,0.001192,0.001409,"27","437,812","FLT",0.0367917586460634
"2017-12-09",0.001479,0.001891,0.001339,0.001353,"881","476,646","FLT",-0.0851926977687627
"2017-12-08",0.001573,0.001995,0.001418,0.00148,"605","506,879","FLT",-0.0591226954863318
"2017-12-07",0.002219,0.004612,0.001517,0.00157,"6,428","715,002","FLT",-0.292474087426769
"2017-12-06",0.001398,0.002636,0.001398,0.002475,"16,331","450,575","FLT",0.770386266094421
"2017-12-05",0.001166,0.00141,0.001153,0.001401,"794","375,594","FLT",0.201543739279588
"2017-12-04",0.001125,0.001168,0.000893,0.001163,"3,154","362,337","FLT",0.0337777777777778
"2017-12-03",0.001092,0.001268,0.001059,0.001121,"185","351,946","FLT",0.0265567765567765
"2017-12-02",0.00098,0.001103,0.000861,0.001091,"181","315,650","FLT",0.113265306122449
"2017-12-01",0.000899,0.00098,0.000791,0.00098,"275","289,799","FLT",0.0901001112347053
"2017-11-30",0.000983,0.001069,0.00081,0.000904,"739","316,680","FLT",-0.0803662258392675
"2017-11-29",0.000908,0.001217,0.000901,0.000968,"286","292,665","FLT",0.0660792951541851
"2017-11-28",0.000783,0.000995,0.000783,0.000908,"798","252,236","FLT",0.159642401021711
"2017-11-27",0.000832,0.000964,0.000769,0.000781,"111","268,199","FLT",-0.0612980769230769
"2017-11-26",0.000612,0.000836,0.000599,0.000832,"140","197,314","FLT",0.359477124183006
"2017-11-25",0.000693,0.000734,0.000607,0.000613,"6","223,211","FLT",-0.115440115440115
"2017-11-24",0.000745,0.000767,0.000642,0.000694,"19","240,025","FLT",-0.0684563758389262
"2017-11-23",0.000716,0.000999,0.00044,0.00076,"679","230,794","FLT",0.0614525139664806
"2017-11-22",0.000885,0.000897,0.000629,0.000726,"111","285,192","FLT",-0.179661016949153
"2017-11-21",0.000742,0.000954,0.000702,0.000885,"2","238,994","FLT",0.192722371967655
"2017-11-20",0.000493,0.000746,0.000486,0.000742,"38","158,705","FLT",0.505070993914808
"2017-11-19",0.000721,0.000856,0.000475,0.000493,"146","232,456","FLT",-0.31622746185853
"2017-11-18",0.000692,0.000724,0.000671,0.000722,"2","222,910","FLT",0.0433526011560693
"2017-11-17",0.000707,0.000791,0.000682,0.000694,"12","227,668","FLT",-0.0183875530410184
"2017-11-16",0.000548,0.000791,0.000507,0.000708,"32","176,559","FLT",0.291970802919708
"2017-11-15",0.000528,0.000652,0.000528,0.000543,"55","170,193","FLT",0.0284090909090908
"2017-11-14",0.000639,0.000656,0.000397,0.000528,"698","205,974","FLT",-0.173708920187793
"2017-11-13",0.000528,0.000673,0.000524,0.000638,"40","170,240","FLT",0.208333333333333
"2017-11-12",0.000572,0.000572,0.000458,0.000528,"28","184,368","FLT",-0.0769230769230769
"2017-11-11",0.000573,0.000647,0.000531,0.000573,"31","184,611","FLT",0
"2017-11-10",0.00064,0.000657,0.000575,0.000575,"40","206,188","FLT",-0.1015625
"2017-11-09",0.000654,0.000654,0.000505,0.000638,"22","210,847","FLT",-0.0244648318042813
"2017-11-08",0.000685,0.001007,0.000545,0.000655,"30","220,785","FLT",-0.0437956204379562
"2017-11-07",0.000641,0.000688,0.000496,0.000688,"63","206,551","FLT",0.0733229329173168
"2017-11-06",0.000526,0.000671,0.000508,0.000643,"20","169,363","FLT",0.222433460076046
"2017-11-05",0.000385,0.000831,0.000303,0.000794,"0","123,936","FLT",1.06233766233766
"2017-11-04",0.000506,0.000591,0.000316,0.000374,"1","162,928","FLT",-0.260869565217391
"2017-11-03",0.000504,0.000658,0.000498,0.000506,"8","162,482","FLT",0.00396825396825406
