"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.09226,0.110458,0.069972,0.107569,"1,109","1,188,190","FNC",0.165933232169955
"2018-01-09",0.0981,0.113123,0.074982,0.092157,"2,074","1,263,390","FNC",-0.0605810397553517
"2018-01-08",0.096995,0.107013,0.087259,0.098306,"959","1,249,160","FNC",0.0135161606268365
"2018-01-07",0.10911,0.109236,0.07739,0.097098,"1,196","1,405,190","FNC",-0.110090734121529
"2018-01-06",0.101747,0.110571,0.090627,0.098193,"1,523","1,310,370","FNC",-0.034929776799316
"2018-01-05",0.07573,0.102192,0.067852,0.101701,"6,277","975,305","FNC",0.342942030899247
"2018-01-04",0.080338,0.086014,0.068041,0.075719,"679","1,034,640","FNC",-0.0574945853767832
"2018-01-03",0.073886,0.081029,0.073346,0.080137,"344","951,553","FNC",0.0846033077985005
"2018-01-02",0.060802,0.075014,0.048252,0.074056,"461","783,045","FNC",0.217986250452288
"2018-01-01",0.073051,0.074738,0.059244,0.060805,"500","940,803","FNC",-0.167636308880098
"2017-12-31",0.072429,0.085462,0.056838,0.072867,"245","932,788","FNC",0.00604730149525753
"2017-12-30",0.077319,0.090131,0.065495,0.072766,"391","995,769","FNC",-0.0588859141996146
"2017-12-29",0.061612,0.085301,0.060763,0.077491,"335","793,480","FNC",0.257725767707589
"2017-12-28",0.072862,0.094275,0.058834,0.060988,"744","938,371","FNC",-0.162965606214488
"2017-12-27",0.081004,0.109678,0.069675,0.07297,"1,047","1,043,220","FNC",-0.0991802873932153
"2017-12-26",0.09784,0.116384,0.078176,0.080951,"4,857","1,260,050","FNC",-0.172618560915781
"2017-12-25",0.040185,0.118808,0.027979,0.097592,"7,749","517,527","FNC",1.42856787358467
"2017-12-24",0.035338,0.073746,0.034694,0.039965,"940","455,111","FNC",0.130935536815892
"2017-12-23",0.022873,0.038013,0.022769,0.035136,"225","294,567","FNC",0.53613430682464
"2017-12-22",0.027599,0.070303,0.020456,0.022733,"927","355,432","FNC",-0.176310735896228
"2017-12-21",0.03832,0.03973,0.026924,0.027512,"586","493,513","FNC",-0.282045929018789
"2017-12-20",0.034555,0.052093,0.027869,0.038235,"838","445,020","FNC",0.106496889017508
"2017-12-19",0.031107,0.036087,0.025602,0.034563,"297","400,616","FNC",0.111100395409394
"2017-12-18",0.029335,0.031298,0.02534,0.031093,"87","377,799","FNC",0.0599284131583432
"2017-12-17",0.027106,0.029925,0.026795,0.029288,"56","349,095","FNC",0.0804987825573674
"2017-12-16",0.024943,0.02817,0.024803,0.027103,"163","321,233","FNC",0.0865974421681433
"2017-12-15",0.021465,0.025646,0.021238,0.024909,"200","276,436","FNC",0.160447239692523
"2017-12-14",0.020883,0.026206,0.020298,0.021439,"160","268,942","FNC",0.0266245271273285
"2017-12-13",0.032184,0.033534,0.020272,0.020931,"268","414,488","FNC",-0.349645786726324
"2017-12-12",0.021595,0.038591,0.021595,0.032168,"230","278,116","FNC",0.489604075017365
"2017-12-11",0.031679,0.033863,0.02153,0.02153,"521","407,982","FNC",-0.320369961173017
"2017-12-10",0.043511,0.045349,0.031773,0.031773,"25","560,358","FNC",-0.269770862540507
"2017-12-09",0.040115,0.043816,0.02395,0.043341,"367","516,631","FNC",0.0804187959616104
"2017-12-08",0.044967,0.04873,0.025884,0.040149,"956","579,118","FNC",-0.107145239842551
"2017-12-07",0.037311,0.045634,0.021926,0.044882,"790","480,519","FNC",0.202916030125164
"2017-12-06",0.032609,0.04033,0.027789,0.037373,"217","419,960","FNC",0.14609463645006
"2017-12-05",0.034664,0.037755,0.017228,0.03264,"456","446,421","FNC",-0.0583891068543734
"2017-12-04",0.037692,0.037965,0.031644,0.034598,"58","485,423","FNC",-0.0820863843786482
"2017-12-03",0.034461,0.037649,0.030219,0.037634,"83","443,811","FNC",0.0920750993877137
"2017-12-02",0.032218,0.04374,0.027127,0.034442,"268","414,921","FNC",0.0690297349307842
"2017-12-01",0.02958,0.032433,0.028003,0.032245,"3","380,945","FNC",0.0900946585530766
"2017-11-30",0.032466,0.041883,0.028055,0.029727,"28","418,124","FNC",-0.0843651820365922
"2017-11-29",0.035729,0.040938,0.029959,0.032029,"85","460,142","FNC",-0.103557334378236
"2017-11-28",0.034618,0.041077,0.032968,0.035757,"84","445,834","FNC",0.0329019585186895
"2017-11-27",0.033397,0.036233,0.033306,0.034542,"12","430,103","FNC",0.0342845165733449
"2017-11-26",0.031755,0.034919,0.031213,0.033391,"33","408,963","FNC",0.0515194457565737
"2017-11-25",0.032663,0.033228,0.029525,0.031765,"19","420,657","FNC",-0.0274928818540855
"2017-11-24",0.032086,0.033586,0.031504,0.03272,"67","413,218","FNC",0.0197593966215794
