"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.012837,0.013091,0.011893,0.012899,"524","383,007","FRC",0.00482978889148565
"2018-01-09",0.013554,0.013886,0.012956,0.013403,"36","404,354","FRC",-0.0111406226944076
"2018-01-08",0.016122,0.016182,0.013153,0.013591,"63","480,850","FRC",-0.156990447835256
"2018-01-07",0.014622,0.016558,0.014091,0.016145,"295","435,977","FRC",0.104158117904527
"2018-01-06",0.014436,0.014672,0.013908,0.014633,"279","430,391","FRC",0.0136464394569133
"2018-01-05",0.015029,0.016431,0.013867,0.014425,"247","447,946","FRC",-0.0401889679952093
"2018-01-04",0.014146,0.015026,0.010775,0.015026,"552","421,439","FRC",0.062208398133748
"2018-01-03",0.013798,0.014096,0.013759,0.014069,"2,903","411,061","FRC",0.0196405276126975
"2018-01-02",0.013636,0.015352,0.013166,0.014971,"31","406,146","FRC",0.0979026107362863
"2018-01-01",0.02237,0.02237,0.012872,0.013638,"340","665,870","FRC",-0.390344210996871
"2017-12-31",0.012842,0.022787,0.012714,0.022284,"4,394","382,173","FRC",0.735243731505996
"2017-12-30",0.015945,0.016751,0.012295,0.012982,"165","474,483","FRC",-0.185826277830041
"2017-12-29",0.017361,0.018151,0.015851,0.015986,"20","516,535","FRC",-0.0792005068832441
"2017-12-28",0.015671,0.021845,0.013961,0.017183,"459","466,029","FRC",0.0964839512475272
"2017-12-27",0.016629,0.018813,0.014869,0.015704,"24","494,451","FRC",-0.0556257141138975
"2017-12-26",0.014626,0.016946,0.013307,0.016617,"253","434,778","FRC",0.136127444277314
"2017-12-25",0.013383,0.015222,0.012603,0.014641,"38","397,653","FRC",0.0939998505566763
"2017-12-24",0.015337,0.015337,0.011938,0.013245,"24","455,647","FRC",-0.136402164699746
"2017-12-23",0.012273,0.022811,0.0121,0.015169,"1,821","364,537","FRC",0.235965126700888
"2017-12-22",0.013985,0.014122,0.010187,0.012158,"1,872","415,158","FRC",-0.130639971397926
"2017-12-21",0.01467,0.015474,0.013481,0.013936,"14","435,391","FRC",-0.0500340831629175
"2017-12-20",0.015717,0.015873,0.01403,0.014632,"25","466,390","FRC",-0.0690335305719921
"2017-12-19",0.01722,0.017282,0.015983,0.016165,"16","510,736","FRC",-0.0612659698025552
"2017-12-18",0.010523,0.017206,0.010051,0.017206,"1,602","312,000","FRC",0.635085051791314
"2017-12-17",0.010712,0.010982,0.010378,0.010491,"76","317,530","FRC",-0.020631067961165
"2017-12-16",0.013588,0.013888,0.010565,0.010711,"1,715","402,624","FRC",-0.21173093906388
"2017-12-15",0.010948,0.013917,0.010946,0.013569,"41","324,297","FRC",0.239404457435148
"2017-12-14",0.010808,0.011262,0.010686,0.010931,"52","320,034","FRC",0.011380458919319
"2017-12-13",0.012929,0.013333,0.010766,0.010843,"5,080","382,724","FRC",-0.161342717920953
"2017-12-12",0.011112,0.011721,0.010852,0.011714,"492","328,843","FRC",0.0541756659467243
"2017-12-11",0.010978,0.012181,0.01093,0.011077,"471","324,707","FRC",0.0090180360721443
"2017-12-10",0.010075,0.013388,0.00887,0.011058,"408","297,928","FRC",0.0975682382133995
"2017-12-09",0.010897,0.011058,0.009075,0.010035,"11","322,180","FRC",-0.079104340644214
"2017-12-08",0.012669,0.012858,0.01001,0.010908,"228","374,554","FRC",-0.139000710395454
"2017-12-07",0.009478,0.01264,0.009357,0.01264,"1,040","280,046","FRC",0.333614686642752
"2017-12-06",0.007723,0.009507,0.007723,0.009494,"7","228,134","FRC",0.229315033018257
"2017-12-05",0.00781,0.010679,0.007606,0.00774,"381","230,686","FRC",-0.00896286811779766
"2017-12-04",0.009106,0.009387,0.007295,0.007794,"46","268,938","FRC",-0.144080825829124
"2017-12-03",0.008855,0.009588,0.008576,0.009076,"423","261,409","FRC",0.0249576510446076
"2017-12-02",0.008816,0.009068,0.00869,0.008846,"144","260,172","FRC",0.00340290381125233
"2017-12-01",0.009593,0.010296,0.008682,0.008824,"381","283,056","FRC",-0.0801626185760451
"2017-11-30",0.009337,0.010264,0.007561,0.009641,"861","275,463","FRC",0.0325586376780551
"2017-11-29",0.007942,0.009247,0.007002,0.009196,"358","234,273","FRC",0.157894736842105
"2017-11-28",0.00878,0.00878,0.007876,0.00795,"164","258,816","FRC",-0.0945330296127562
"2017-11-27",0.006788,0.008772,0.006734,0.008757,"982","200,074","FRC",0.290070713022982
"2017-11-26",0.006297,0.006851,0.00629,0.006696,"7","185,579","FRC",0.0633635064316341
"2017-11-25",0.005747,0.006299,0.005715,0.006299,"12","169,322","FRC",0.0960501131024882
"2017-11-24",0.005867,0.005961,0.005282,0.005759,"50","172,788","FRC",-0.0184080449974433
"2017-11-23",0.005429,0.006028,0.005392,0.005875,"77","159,812","FRC",0.0821514090992817
"2017-11-22",0.005842,0.005942,0.005349,0.00543,"27","171,941","FRC",-0.0705237932214995
"2017-11-21",0.006099,0.006113,0.005266,0.005828,"132","179,435","FRC",-0.044433513690769
"2017-11-20",0.005228,0.006131,0.005166,0.006098,"6,783","153,769","FRC",0.166411629686305
"2017-11-19",0.005762,0.006084,0.005199,0.005231,"227","169,458","FRC",-0.0921555015619576
"2017-11-18",0.005919,0.006009,0.004976,0.005773,"249","174,037","FRC",-0.0246663287717519
"2017-11-17",0.007845,0.008008,0.005675,0.005942,"1,513","230,614","FRC",-0.24257488846399
"2017-11-16",0.007303,0.007968,0.006346,0.007858,"375","214,605","FRC",0.075996165959195
"2017-11-15",0.006612,0.007324,0.006469,0.007265,"535","194,256","FRC",0.0987598306110103
"2017-11-14",0.006661,0.006855,0.006427,0.006607,"1","195,638","FRC",-0.00810689085722868
"2017-11-13",0.006047,0.006928,0.005632,0.006647,"1","177,532","FRC",0.0992227550851662
"2017-11-12",0.006043,0.006405,0.00526,0.006038,"38","177,360","FRC",-0.000827403607479695
"2017-11-11",0.006312,0.006538,0.005982,0.006048,"25","185,184","FRC",-0.0418250950570341
"2017-11-10",0.007485,0.007701,0.006194,0.006334,"38","219,564","FRC",-0.15377421509686
"2017-11-09",0.007467,0.007686,0.007084,0.007463,"107","218,937","FRC",-0.000535690370965537
"2017-11-08",0.007116,0.007843,0.007074,0.007475,"4","208,591","FRC",0.0504496908375492
"2017-11-07",0.006959,0.007286,0.006959,0.007139,"130","203,921","FRC",0.025865785313982
"2017-11-06",0.007393,0.007425,0.006945,0.00697,"27","216,582","FRC",-0.0572162856756392
"2017-11-05",0.007819,0.008027,0.007295,0.007377,"245","228,958","FRC",-0.0565289678987082
"2017-11-04",0.007239,0.008003,0.007125,0.007834,"84","211,893","FRC",0.0821936731592763
"2017-11-03",0.007374,0.007466,0.006973,0.007257,"16","215,776","FRC",-0.01586655817738
"2017-11-02",0.006729,0.007897,0.006729,0.007384,"105","196,840","FRC",0.097339872194977
"2017-11-01",0.006766,0.006919,0.006486,0.006721,"92","197,895","FRC",-0.0066509015666568
"2017-10-31",0.006802,0.006919,0.006632,0.006771,"75","198,837","FRC",-0.00455748309320785
"2017-10-30",0.006588,0.006825,0.006337,0.006825,"190","192,540","FRC",0.0359744990892532
"2017-10-29",0.005728,0.006841,0.005719,0.006626,"227","167,374","FRC",0.15677374301676
"2017-10-28",0.00657,0.006692,0.005673,0.005736,"1,353","191,894","FRC",-0.126940639269406
"2017-10-27",0.00677,0.007005,0.006545,0.006552,"318","197,684","FRC",-0.0322008862629247
"2017-10-26",0.006595,0.006882,0.006551,0.006768,"96","192,521","FRC",0.026231993934799
"2017-10-25",0.005518,0.006607,0.005496,0.006595,"514","161,019","FRC",0.195179412830736
"2017-10-24",0.005924,0.005924,0.005493,0.005516,"0","172,812","FRC",-0.0688723835246454
"2017-10-23",0.006099,0.006917,0.005721,0.005937,"1,068","177,875","FRC",-0.0265617314313823
"2017-10-22",0.006795,0.006855,0.005967,0.006109,"141","198,081","FRC",-0.100956585724798
"2017-10-21",0.007086,0.007184,0.005961,0.006793,"1,364","206,504","FRC",-0.041349139147615
"2017-10-20",0.005648,0.007117,0.00562,0.007101,"3,073","164,514","FRC",0.257259206798867
"2017-10-19",0.005587,0.005741,0.005536,0.005646,"155","162,709","FRC",0.0105602291032755
"2017-10-18",0.005041,0.005611,0.004621,0.005584,"63","146,757","FRC",0.107716722872446
"2017-10-17",0.005201,0.005216,0.004982,0.00504,"20","151,351","FRC",-0.0309555854643337
"2017-10-16",0.005066,0.005228,0.004954,0.0052,"10","147,373","FRC",0.0264508487958941
"2017-10-15",0.005208,0.005224,0.004692,0.005065,"45","151,458","FRC",-0.027457757296467
"2017-10-14",0.004864,0.005206,0.004811,0.005198,"38","141,396","FRC",0.0686677631578948
"2017-10-13",0.004679,0.005054,0.004649,0.004863,"10","135,996","FRC",0.0393246420175251
"2017-10-12",0.004537,0.004969,0.004188,0.004665,"241","131,841","FRC",0.0282124752038791
"2017-10-11",0.004763,0.004783,0.004125,0.004533,"32","138,371","FRC",-0.0482888935544825
"2017-10-10",0.004116,0.004928,0.004116,0.004764,"75","119,517","FRC",0.157434402332362
"2017-10-09",0.003958,0.004535,0.00392,0.004116,"20","114,914","FRC",0.0399191510864073
"2017-10-08",0.00511,0.005134,0.003934,0.003957,"52","148,306","FRC",-0.225636007827789
"2017-10-07",0.00503,0.005136,0.004975,0.005124,"13","145,905","FRC",0.0186878727634196
"2017-10-06",0.004929,0.005075,0.004919,0.005028,"13","142,949","FRC",0.0200852099817407
"2017-10-05",0.004221,0.004978,0.004134,0.004929,"133","122,388","FRC",0.16773276474769
"2017-10-04",0.00432,0.004347,0.004196,0.004218,"13","125,181","FRC",-0.023611111111111
"2017-10-03",0.004403,0.004921,0.004035,0.00431,"34","127,559","FRC",-0.0211219622984329
"2017-10-02",0.005053,0.005135,0.004368,0.004403,"7","146,345","FRC",-0.128636453591926
"2017-10-01",0.004997,0.005055,0.004904,0.005055,"9","144,656","FRC",0.0116069641785071
"2017-09-30",0.003963,0.005012,0.00396,0.004994,"16","114,702","FRC",0.260156447136008
"2017-09-29",0.003984,0.004873,0.003846,0.003963,"45","115,263","FRC",-0.00527108433734923
"2017-09-28",0.004797,0.004857,0.003947,0.003987,"16","138,741","FRC",-0.168855534709193
"2017-09-27",0.004433,0.004816,0.003964,0.004796,"23","128,161","FRC",0.0818858560794044
"2017-09-26",0.003815,0.004469,0.003715,0.004445,"10","110,275","FRC",0.165137614678899
"2017-09-25",0.003672,0.003851,0.003651,0.003816,"13","106,108","FRC",0.0392156862745098
"2017-09-24",0.004546,0.004546,0.003653,0.003676,"0","131,303","FRC",-0.191377034755829
"2017-09-23",0.004112,0.004547,0.003728,0.004547,"107","118,760","FRC",0.105787937743191
"2017-09-22",0.004128,0.004287,0.004031,0.004124,"27","119,184","FRC",-0.000968992248061934
"2017-09-21",0.003685,0.004452,0.003622,0.004133,"40","106,376","FRC",0.12157394843962
"2017-09-20",0.004461,0.004533,0.003695,0.003704,"199","128,753","FRC",-0.169692893969962
"2017-09-19",0.004678,0.004702,0.003883,0.004467,"15","134,933","FRC",-0.0451047456177854
"2017-09-18",0.003695,0.004707,0.003695,0.004666,"52","106,563","FRC",0.262787550744249
"2017-09-17",0.003714,0.004262,0.003489,0.003703,"104","107,082","FRC",-0.00296176628971452
"2017-09-16",0.003709,0.003881,0.003556,0.003717,"67","106,907","FRC",0.00215691561067667
"2017-09-15",0.003245,0.00397,0.003163,0.003719,"36","93,465","FRC",0.146070878274268
"2017-09-14",0.003696,0.003733,0.00322,0.00322,"756","106,463","FRC",-0.128787878787879
"2017-09-13",0.004152,0.004168,0.003929,0.003987,"1","119,593","FRC",-0.0397398843930636
"2017-09-12",0.004214,0.004378,0.004103,0.004168,"1","121,321","FRC",-0.0109159943046986
"2017-09-11",0.003188,0.00429,0.003138,0.00421,"30","91,751","FRC",0.320577164366374
"2017-09-10",0.003248,0.004206,0.003075,0.003193,"88","93,471","FRC",-0.0169334975369458
"2017-09-09",0.003333,0.003394,0.003211,0.003257,"5","95,874","FRC",-0.0228022802280228
"2017-09-08",0.003568,0.003617,0.003191,0.003327,"0","102,593","FRC",-0.0675448430493273
"2017-09-07",0.004985,0.004986,0.003465,0.003567,"0","143,317","FRC",-0.284453360080241
"2017-09-06",0.004818,0.005256,0.004816,0.004995,"18","138,483","FRC",0.0367372353673724
"2017-09-05",0.004694,0.004903,0.003358,0.004812,"222","134,859","FRC",0.0251384746484874
"2017-09-04",0.003926,0.004988,0.003865,0.004669,"46","112,768","FRC",0.189251146204789
"2017-09-03",0.005072,0.0052,0.003923,0.003925,"0","145,621","FRC",-0.226143533123028
"2017-09-02",0.003988,0.005136,0.003643,0.005069,"273","114,453","FRC",0.271063189568706
"2017-09-01",0.006823,0.006878,0.003912,0.003983,"194","195,719","FRC",-0.416239190971713
