"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",13.79,13.99,12.3,13.99,"199,820","25,783,800","FRST",0.0145032632342278
"2018-01-09",13.15,14.06,13.02,13.75,"207,260","24,582,900","FRST",0.0456273764258555
"2018-01-08",14.88,14.9,12.7,13.27,"247,008","27,816,900","FRST",-0.108198924731183
"2018-01-07",14.39,15.08,13.62,14.89,"303,370","26,912,200","FRST",0.0347463516330785
"2018-01-06",15.64,15.64,13.57,14.27,"334,400","29,242,100","FRST",-0.0875959079283888
"2018-01-05",14.05,15.84,13.5,15.64,"480,417","26,278,100","FRST",0.113167259786477
"2018-01-04",14.16,14.34,12.51,14.05,"371,139","26,477,300","FRST",-0.00776836158192086
"2018-01-03",14.71,15.53,13.13,14.09,"352,782","27,514,100","FRST",-0.0421481985044188
"2018-01-02",14.67,15.09,12.21,14.6,"559,645","27,432,800","FRST",-0.00477164280845264
"2018-01-01",15.27,15.27,13.3,14.67,"202,877","28,549,500","FRST",-0.0392927308447937
"2017-12-31",13.96,15.86,13.77,15.21,"399,716","26,096,000","FRST",0.089541547277937
"2017-12-30",15.89,15.94,13.42,14.1,"327,751","29,718,700","FRST",-0.112649465072373
"2017-12-29",15.61,16.45,14.99,15.86,"423,746","29,183,700","FRST",0.0160153747597694
"2017-12-28",16.12,16.17,14.46,15,"685,506","30,152,500","FRST",-0.0694789081885857
"2017-12-27",15.05,16.41,14.73,16.16,"639,572","28,150,300","FRST",0.0737541528239202
"2017-12-26",13.22,16.02,13.22,15.39,"695,561","24,726,600","FRST",0.164145234493192
"2017-12-25",13.44,13.78,12.77,13.24,"276,814","25,138,800","FRST",-0.0148809523809523
"2017-12-24",13.93,13.94,11.96,13.33,"302,785","26,054,600","FRST",-0.0430725053840631
"2017-12-23",13.13,14.87,12.71,13.79,"713,696","24,545,200","FRST",0.0502665651180501
"2017-12-22",14.98,15.09,10.92,13.01,"664,767","28,020,700","FRST",-0.13150867823765
"2017-12-21",14.83,15.69,14.04,14.94,"854,708","27,737,700","FRST",0.00741739716790286
"2017-12-20",15.95,16.05,14.29,14.82,"395,203","29,825,200","FRST",-0.070846394984326
"2017-12-19",17.27,17.33,15.4,15.97,"591,290","32,286,800","FRST",-0.0752750434279096
"2017-12-18",17.29,17.46,16.55,17.25,"902,053","32,337,600","FRST",-0.00231347599768647
"2017-12-17",18.02,18.22,17,17.22,"709,743","33,690,300","FRST",-0.044395116537181
"2017-12-16",17.47,18.31,16.98,18.03,"925,843","32,670,400","FRST",0.0320549513451633
"2017-12-15",16.67,18.08,16.61,17.53,"839,356","31,164,600","FRST",0.0515896820635872
"2017-12-14",16.52,17.17,16.22,16.72,"978,947","-","FRST",0.0121065375302663
