"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-08",0.002443,0.002452,0.0023,0.002324,"73","-","FUTC",-0.0487106017191976
"2018-01-07",0.002924,0.002924,0.002383,0.002446,"163","-","FUTC",-0.163474692202462
"2018-01-06",0.002814,0.002934,0.002782,0.002927,"29","-","FUTC",0.0401563610518834
"2018-01-05",0.002429,0.002725,0.002389,0.002708,"3","-","FUTC",0.114862083161795
"2018-01-04",0.002565,0.002573,0.002405,0.002429,"14","-","FUTC",-0.0530214424951266
"2018-01-02",0.003645,0.004104,0.00352,0.004034,"167","-","FUTC",0.106721536351166
"2018-01-01",0.003688,0.003704,0.003646,0.003646,"151","-","FUTC",-0.0113882863340564
"2017-12-31",0.003433,0.003636,0.003399,0.003604,"53","-","FUTC",0.0498106612292456
"2017-12-30",0.003914,0.003915,0.002875,0.00347,"84","-","FUTC",-0.113438937148697
"2017-12-29",0.002066,0.003964,0.002034,0.003924,"48","-","FUTC",0.899322362052275
"2017-12-28",0.003569,0.003584,0.003134,0.003251,"31","-","FUTC",-0.0891005884001121
"2017-12-27",0.002059,0.00358,0.002021,0.003576,"35","-","FUTC",0.736765420106848
"2017-12-26",0.001999,0.002098,0.001998,0.002057,"10","-","FUTC",0.0290145072536268
"2017-12-25",0.001831,0.001885,0.001725,0.001793,"36","-","FUTC",-0.0207536865101037
"2017-12-24",0.001899,0.001899,0.001634,0.001812,"37","-","FUTC",-0.0458135860979463
"2017-12-23",0.001793,0.002036,0.001767,0.001878,"38","-","FUTC",0.0474065811489123
"2017-12-22",0.002043,0.002063,0.001488,0.001776,"36","-","FUTC",-0.130690161527166
"2017-12-21",0.002143,0.00226,0.001969,0.002036,"41","-","FUTC",-0.0499300046663555
"2017-12-20",0.00229,0.002319,0.002049,0.002137,"43","-","FUTC",-0.0668122270742358
"2017-12-19",0.002487,0.002496,0.002217,0.002293,"46","-","FUTC",-0.0780056292722156
"2017-12-18",0.003061,0.004717,0.002403,0.002485,"179","-","FUTC",-0.188173799411957
