"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.25,2.4,1.38,1.82,"406,405","39,639,300","FYP",-0.191111111111111
"2018-01-09",1.21,2.48,1.15,2.22,"928,868","21,364,000","FYP",0.834710743801653
"2018-01-08",0.800803,1.3,0.720137,1.23,"246,009","14,125,100","FYP",0.535958281874568
"2018-01-07",0.655063,0.826017,0.590189,0.801726,"87,942","11,554,400","FYP",0.223891442502477
"2018-01-06",0.612453,0.656934,0.487133,0.655542,"65,222","10,802,900","FYP",0.0703547864080998
"2018-01-05",0.547579,0.655188,0.500616,0.611778,"45,399","9,658,580","FYP",0.117241530445835
"2018-01-04",0.425623,0.546796,0.425165,0.532581,"36,235","7,507,430","FYP",0.251297509768034
"2018-01-03",0.38158,0.55097,0.318705,0.423319,"37,192","6,730,570","FYP",0.109384663766445
"2018-01-02",0.442426,0.451726,0.200953,0.382616,"108,281","7,803,800","FYP",-0.135186449259311
"2018-01-01",0.45024,0.519891,0.3822,0.482036,"4,186","7,941,630","FYP",0.0706201137171287
"2017-12-31",0.42097,0.555806,0.2733,0.448564,"38,611","7,425,350","FYP",0.0655486139154809
"2017-12-30",0.494245,0.590428,0.326746,0.425127,"38,736","8,717,830","FYP",-0.139845623122136
"2017-12-29",0.42985,0.630597,0.422202,0.531188,"53,790","7,581,980","FYP",0.2357520065139
"2017-12-28",0.544387,0.545283,0.314695,0.425916,"21,818","9,602,270","FYP",-0.217622757339907
"2017-12-27",0.510758,0.822854,0.415534,0.545527,"124,883","9,009,100","FYP",0.068073334142588
"2017-12-26",0.273341,0.730046,0.258965,0.51031,"77,113","4,821,380","FYP",0.866935439615718
"2017-12-25",0.225051,1.26,0.198327,0.25987,"145,608","3,969,600","FYP",0.154716042141559
"2017-12-24",0.211981,0.302756,0.158207,0.222741,"10,094","3,739,070","FYP",0.0507592661606464
"2017-12-23",0.187654,0.22475,0.170561,0.209648,"19,595","3,309,970","FYP",0.117205068903407
"2017-12-22",0.219982,0.22215,0.137351,0.185914,"1,304","3,880,200","FYP",-0.154867216408615
"2017-12-21",0.161397,0.237643,0.141496,0.219223,"9,415","2,846,830","FYP",0.358284230809742
"2017-12-20",0.122246,0.165616,0.108297,0.160985,"9,010","2,156,260","FYP",0.316893804296255
"2017-12-19",0.154823,0.216761,0.116973,0.122378,"6,520","2,730,870","FYP",-0.209561886799765
"2017-12-18",0.148725,0.169132,0.143176,0.154912,"7,323","2,623,300","FYP",0.0416002689527652
"2017-12-17",0.180484,0.182852,0.147529,0.148553,"8,783","3,183,490","FYP",-0.176918729638084
"2017-12-16",0.163432,0.203879,0.160969,0.18001,"2,128","2,882,720","FYP",0.101436683146507
"2017-12-15",0.149325,0.19605,0.138166,0.163188,"9,182","2,633,900","FYP",0.0928377699648417
"2017-12-14",0.144012,0.208791,0.129197,0.149102,"7,846","2,540,180","FYP",0.0353442768658168
"2017-12-13",0.152157,0.159809,0.130039,0.144142,"3,403","2,683,850","FYP",-0.0526758545449765
