"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.083391,0.090516,0.07709,0.084891,"5,670","1,023,310","GAP",0.0179875526135912
"2018-01-09",0.081022,0.093394,0.07224,0.083136,"8,887","993,683","GAP",0.0260916788032881
"2018-01-08",0.091033,0.091865,0.074348,0.081243,"5,833","1,115,840","GAP",-0.107543418320829
"2018-01-07",0.073971,0.098433,0.066148,0.09116,"11,033","906,170","GAP",0.232374849603223
"2018-01-06",0.062694,0.083272,0.06218,0.074025,"5,220","767,620","GAP",0.180734998564456
"2018-01-05",0.098631,0.10332,0.062239,0.062701,"11,889","1,206,870","GAP",-0.364287090265738
"2018-01-04",0.125267,0.125446,0.083608,0.098596,"32,760","1,531,850","GAP",-0.212913217367702
"2018-01-03",0.137943,0.153347,0.113007,0.124627,"30,285","1,686,020","GAP",-0.0965326257947124
"2018-01-02",0.182847,0.257344,0.134064,0.13895,"88,334","2,233,700","GAP",-0.240075035412121
"2018-01-01",0.038172,0.440748,0.032239,0.182072,"351,289","466,077","GAP",3.76977889552552
"2017-12-31",0.026318,0.038884,0.025462,0.038027,"2,691","321,189","GAP",0.444904628011247
"2017-12-30",0.03603,0.03603,0.024586,0.026591,"1,294","439,498","GAP",-0.261976131001943
"2017-12-29",0.025218,0.041404,0.022632,0.036101,"1,554","307,449","GAP",0.431556824490443
"2017-12-28",0.026715,0.031334,0.022091,0.024962,"557","325,551","GAP",-0.0656185663484933
"2017-12-27",0.027072,0.028104,0.024623,0.02676,"13","329,744","GAP",-0.0115248226950355
"2017-12-26",0.021977,0.036972,0.021977,0.027052,"142","267,549","GAP",0.230923237930564
"2017-12-25",0.022226,0.045437,0.019359,0.021972,"497","270,447","GAP",-0.0114280572302709
"2017-12-24",0.024645,0.042996,0.017078,0.022014,"744","299,734","GAP",-0.106755934266586
"2017-12-23",0.019723,0.026021,0.019489,0.024478,"238","239,745","GAP",0.241089083810779
"2017-12-22",0.020035,0.022372,0.01476,0.01953,"30","243,431","GAP",-0.0252058896930373
"2017-12-21",0.025503,0.038037,0.019521,0.01997,"152","309,708","GAP",-0.216954868054739
"2017-12-20",0.025335,0.026244,0.02211,0.025486,"77","307,516","GAP",0.00596013420169733
"2017-12-19",0.03111,0.03451,0.02437,0.025299,"106","377,433","GAP",-0.18678881388621
"2017-12-18",0.027958,0.031131,0.025278,0.031116,"87","339,018","GAP",0.112955147006224
"2017-12-17",0.029561,0.029822,0.025287,0.027986,"174","358,279","GAP",-0.0532796590101823
