"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",62.57,62.94,52.18,55.97,"27,713,000","571,761,000","GAS",-0.105481860316446
"2018-01-09",48.61,65.73,48.45,62.17,"33,255,600","444,187,000","GAS",0.278954947541658
"2018-01-08",51.88,54.68,42.54,48.83,"25,586,600","474,055,000","GAS",-0.0587895142636855
"2018-01-07",52.21,55.2,50.2,51.45,"41,395,400","477,049,000","GAS",-0.0145565983528059
"2018-01-06",46.95,57.33,44.86,51.84,"51,855,800","429,000,000","GAS",0.104153354632588
"2018-01-05",43.15,47.22,32.02,47,"33,032,600","394,249,000","GAS",0.0892236384704519
"2018-01-04",40.05,46.02,34.73,43.16,"31,722,100","365,995,000","GAS",0.0776529338327091
"2018-01-03",32.75,40.78,31.48,39.19,"26,195,800","299,250,000","GAS",0.196641221374046
"2018-01-02",31.39,37.99,31.35,32.71,"28,793,100","286,853,000","GAS",0.0420516087926091
"2018-01-01",30.15,34.47,29.39,31.44,"9,620,240","275,535,000","GAS",0.0427860696517414
"2017-12-31",26.36,30.66,26.26,30.34,"10,157,000","240,825,000","GAS",0.150986342943854
"2017-12-30",28.3,28.69,23.26,26.64,"8,097,570","258,623,000","GAS",-0.0586572438162544
"2017-12-29",26.73,28.8,26.03,28.25,"5,581,800","244,293,000","GAS",0.0568649457538346
"2017-12-28",29.68,31.2,23.5,26.85,"8,444,320","271,238,000","GAS",-0.0953504043126684
"2017-12-27",28.34,32.82,27.48,29.85,"4,130,380","259,001,000","GAS",0.0532815808045166
"2017-12-26",30.38,30.88,26.31,28.38,"2,953,240","277,644,000","GAS",-0.0658327847267939
"2017-12-25",28.31,30.4,27.41,30.24,"3,397,720","258,666,000","GAS",0.0681737901801484
"2017-12-24",28.1,28.1,23.44,27.82,"1,860,750","256,731,000","GAS",-0.00996441281138794
"2017-12-23",26.88,30.66,26.26,27.81,"3,482,600","245,656,000","GAS",0.0345982142857143
"2017-12-22",32.46,32.79,19.19,26.72,"5,866,820","296,587,000","GAS",-0.176833025261861
"2017-12-21",33.75,36.79,29.78,32.36,"7,443,410","290,159,000","GAS",-0.0411851851851852
"2017-12-20",35.53,36.87,30.95,33.58,"6,874,270","305,429,000","GAS",-0.0548831972980581
"2017-12-19",39.8,43.7,33.27,35.55,"8,670,640","342,170,000","GAS",-0.10678391959799
