"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.00264,0.00264,0.00263,0.00263,"0","29,995","GBC",-0.0037878787878788
"2018-01-09",0.00264,0.00264,0.00264,0.00264,"0","29,995","GBC",0
"2018-01-08",0.00264,0.00264,0.00264,0.00264,"0","29,995","GBC",0
"2018-01-07",0.001326,0.00264,0.001326,0.00264,"0","15,066","GBC",0.990950226244344
"2018-01-06",0.00189,0.00266,0.001326,0.001326,"3","21,474","GBC",-0.298412698412698
"2018-01-05",0.001816,0.00189,0.001816,0.00189,"13","20,631","GBC",0.0407488986784141
"2018-01-04",0.00239,0.00239,0.001326,0.001816,"15","27,155","GBC",-0.240167364016736
"2018-01-03",0.00267,0.00267,0.00239,0.00239,"10","30,336","GBC",-0.104868913857678
"2018-01-02",0.00199,0.00267,0.00199,0.00267,"0","22,610","GBC",0.341708542713568
"2018-01-01",0.00289,0.00289,0.00199,0.00199,"14","32,836","GBC",-0.311418685121107
"2017-12-31",0.00294,0.00294,0.00289,0.00289,"9","33,404","GBC",-0.0170068027210883
"2017-12-30",0.00296,0.00296,0.00294,0.00294,"52","33,631","GBC",-0.00675675675675677
"2017-12-29",0.003794,0.003794,0.00296,0.00296,"9","43,107","GBC",-0.219820769636268
"2017-12-28",0.003336,0.003794,0.003336,0.003794,"0","37,905","GBC",0.137290167865707
"2017-12-27",0.00194,0.003336,0.00119,0.003336,"236","22,042","GBC",0.719587628865979
"2017-12-26",0.001205,0.00194,0.00119,0.00194,"0","13,688","GBC",0.609958506224067
"2017-12-25",0.001181,0.001205,0.001181,0.001205,"4","13,422","GBC",0.0203217612193056
"2017-12-24",0.001272,0.00196,0.001181,0.001181,"41","14,452","GBC",-0.0715408805031446
"2017-12-23",0.001986,0.001986,0.001272,0.001272,"0","22,565","GBC",-0.359516616314199
"2017-12-22",0.001211,0.001986,0.001211,0.001986,"0","13,760","GBC",0.639966969446738
"2017-12-21",0.001986,0.001986,0.001211,0.001211,"1","22,565","GBC",-0.390231621349446
"2017-12-20",0.001121,0.001986,0.001121,0.001986,"0","12,731","GBC",0.771632471008028
"2017-12-19",0.001997,0.001997,0.001121,0.001121,"1","22,690","GBC",-0.438657986980471
"2017-12-18",0.001997,0.001997,0.001997,0.001997,"40","22,690","GBC",0
"2017-12-17",0.001103,0.001997,0.001103,0.001997,"40","12,527","GBC",0.810516772438803
"2017-12-16",0.0028,0.0028,0.000985,0.001103,"65","31,813","GBC",-0.606071428571429
"2017-12-15",0.001509,0.0028,0.00108,0.0028,"141","17,141","GBC",0.855533465871438
"2017-12-14",0.00207,0.00207,0.00134,0.001509,"42","23,519","GBC",-0.271014492753623
"2017-12-13",0.00273,0.003185,0.00207,0.00207,"65","31,017","GBC",-0.241758241758242
"2017-12-12",0.004198,0.004198,0.001513,0.00273,"153","47,694","GBC",-0.349690328727966
"2017-12-11",0.001539,0.0047,0.001539,0.004198,"523","17,486","GBC",1.7277452891488
"2017-12-10",0.001539,0.001539,0.001539,0.001539,"0","17,486","GBC",0
"2017-12-09",0.001136,0.001549,0.001132,0.001539,"0","12,906","GBC",0.35475352112676
