"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.001022,0.001288,0.000841,0.0012,"1,396","-","GBRC",0.174168297455969
"2018-01-09",0.001054,0.001079,0.000863,0.001021,"1,625","-","GBRC",-0.0313092979127135
"2018-01-08",0.000977,0.00107,0.000712,0.001057,"676","-","GBRC",0.0818833162743091
"2018-01-07",0.000516,0.001166,0.000513,0.000978,"101,532","-","GBRC",0.895348837209302
"2018-01-06",0.000501,0.000518,0.000491,0.000516,"2","-","GBRC",0.0299401197604789
"2018-01-05",0.000455,0.000511,0.000448,0.000508,"253","-","GBRC",0.116483516483516
"2018-01-04",0.000608,0.000618,0.000431,0.000455,"274","-","GBRC",-0.251644736842105
"2018-01-03",0.000445,0.000618,0.000294,0.000605,"958","-","GBRC",0.359550561797753
"2018-01-02",0.000405,0.000449,0.000267,0.000447,"418","-","GBRC",0.103703703703704
"2018-01-01",0.00028,0.000412,0.000258,0.000405,"19","-","GBRC",0.446428571428571
"2017-12-31",0.000381,0.00057,0.000279,0.000279,"898","-","GBRC",-0.267716535433071
"2017-12-30",0.00029,0.000399,0.000266,0.000386,"584","-","GBRC",0.331034482758621
"2017-12-29",0.000299,0.000303,0.000283,0.000291,"116","-","GBRC",-0.0267558528428093
"2017-12-28",0.00031,0.000312,0.000276,0.000285,"256","-","GBRC",-0.0806451612903226
"2017-12-27",0.00032,0.000331,0.000294,0.000311,"289","-","GBRC",-0.028125
"2017-12-26",0.000279,0.000323,0.000277,0.000321,"19","-","GBRC",0.150537634408602
"2017-12-25",0.000282,0.00029,0.000265,0.000279,"31","-","GBRC",-0.0106382978723405
"2017-12-24",0.000292,0.000292,0.000251,0.000279,"373","-","GBRC",-0.0445205479452054
"2017-12-23",0.000276,0.000313,0.000272,0.000289,"386","-","GBRC",0.0471014492753623
"2017-12-22",0.000314,0.000317,0.000229,0.000273,"365","-","GBRC",-0.130573248407643
"2017-12-21",0.00033,0.000348,0.000303,0.000313,"419","-","GBRC",-0.0515151515151515
"2017-12-20",0.000352,0.000357,0.000315,0.000329,"440","-","GBRC",-0.0653409090909091
"2017-12-19",0.000574,0.000763,0.000341,0.000353,"471","-","GBRC",-0.385017421602787
"2017-12-18",0.000383,0.000579,0.000365,0.000574,"1,897","-","GBRC",0.498694516971279
"2017-12-17",0.000195,0.000384,0.000189,0.000381,"244","-","GBRC",0.953846153846154
"2017-12-16",0.000353,0.000383,0.000191,0.000195,"116,698","-","GBRC",-0.447592067988669
"2017-12-15",0.000166,0.000361,0.000166,0.000352,"5","-","GBRC",1.12048192771084
"2017-12-14",0.000164,0.000171,0.000162,0.000166,"13","-","GBRC",0.0121951219512195
"2017-12-13",0.000173,0.000175,0.000159,0.000164,"286","-","GBRC",-0.0520231213872832
"2017-12-12",0.000168,0.000178,0.000164,0.000173,"12","-","GBRC",0.0297619047619048
"2017-12-11",0.000152,0.000175,0.000152,0.000168,"11","-","GBRC",0.105263157894737
"2017-12-10",0.00015,0.000156,0.000146,0.000154,"10","-","GBRC",0.0266666666666668
"2017-12-09",0.000325,0.00033,0.000271,0.000288,"3","-","GBRC",-0.113846153846154
