"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",10.5,10.62,8.91,9.68,"1,016,870","35,476,800","GEO",-0.0780952380952381
"2018-01-09",13.1,13.51,10.14,10.38,"2,100,530","44,238,700","GEO",-0.207633587786259
"2018-01-08",9.96,14.29,9.73,13.12,"3,310,170","33,605,800","GEO",0.317269076305221
"2018-01-07",12.64,12.92,9.69,9.69,"3,003,880","42,628,900","GEO",-0.233386075949367
"2018-01-06",13.75,15.54,11.86,12.45,"2,993,590","46,347,800","GEO",-0.0945454545454546
"2018-01-05",16.62,22.19,11.4,13.97,"13,123,500","56,024,900","GEO",-0.159446450060168
"2018-01-04",9.15,36.26,8.99,16.78,"34,258,400","30,810,000","GEO",0.833879781420765
"2018-01-03",5.14,10.13,4.56,9.19,"13,282,600","17,302,800","GEO",0.787937743190661
"2018-01-02",3.03,5.89,2.94,5.12,"3,642,460","10,190,900","GEO",0.68976897689769
"2018-01-01",2.54,3.08,2.41,3.01,"333,384","8,549,450","GEO",0.18503937007874
"2017-12-31",2.35,2.75,2.32,2.53,"302,968","7,912,700","GEO",0.0765957446808509
"2017-12-30",2.55,2.63,1.99,2.43,"410,703","8,585,370","GEO",-0.0470588235294116
"2017-12-29",2.49,2.77,2.47,2.51,"214,231","8,380,630","GEO",0.00803212851405605
"2017-12-28",2.44,2.58,2.14,2.47,"208,491","8,208,770","GEO",0.0122950819672132
"2017-12-27",2.21,2.53,2.14,2.48,"215,683","7,407,960","GEO",0.122171945701357
"2017-12-26",2.42,2.73,2.09,2.17,"313,840","8,129,490","GEO",-0.103305785123967
"2017-12-25",2.24,2.5,2.08,2.42,"394,184","7,528,370","GEO",0.0803571428571427
"2017-12-24",1.89,2.55,1.7,2.22,"720,293","6,350,460","GEO",0.174603174603175
"2017-12-23",1.6,2.01,1.6,1.87,"80,330","5,356,710","GEO",0.16875
"2017-12-22",1.94,2,1.26,1.56,"94,269","6,487,280","GEO",-0.195876288659794
"2017-12-21",1.82,2.06,1.81,1.98,"283,071","6,103,910","GEO",0.0879120879120879
"2017-12-20",1.89,1.92,1.67,1.78,"146,770","6,316,360","GEO",-0.0582010582010581
