"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.011245,0.011699,0.01051,0.011699,"74","732,876","GLC",0.0403734993330369
"2018-01-09",0.012048,0.012296,0.008436,0.011231,"484","785,173","GLC",-0.0678120849933599
"2018-01-08",0.010422,0.013764,0.01007,0.012081,"1,647","679,236","GLC",0.159182498560737
"2018-01-07",0.010322,0.01057,0.009534,0.010437,"144","672,664","GLC",0.0111412516954079
"2018-01-06",0.01104,0.0124,0.010166,0.010329,"123","719,461","GLC",-0.0644021739130435
"2018-01-05",0.009716,0.012775,0.009408,0.011031,"97","633,198","GLC",0.135343762865377
"2018-01-04",0.0108,0.01221,0.009195,0.009714,"234","703,824","GLC",-0.100555555555556
"2018-01-03",0.01261,0.013143,0.009756,0.010741,"123","821,832","GLC",-0.148215701823949
"2018-01-02",0.008776,0.012716,0.008768,0.012655,"284","571,935","GLC",0.442000911577028
"2018-01-01",0.011045,0.011951,0.008445,0.008777,"203","719,829","GLC",-0.205341783612494
"2017-12-31",0.007756,0.011177,0.007679,0.011003,"426","505,455","GLC",0.418643630737494
"2017-12-30",0.008697,0.0087,0.007304,0.007816,"7","566,823","GLC",-0.101299298608716
"2017-12-29",0.010299,0.010416,0.008646,0.008719,"1,109","671,204","GLC",-0.153412952713856
"2017-12-28",0.006672,0.0067,0.005926,0.006032,"32","434,811","GLC",-0.0959232613908873
"2017-12-27",0.006335,0.006694,0.005889,0.006686,"35","412,845","GLC",0.0554064719810576
"2017-12-26",0.005433,0.006392,0.00541,0.00633,"3","354,046","GLC",0.16510215350635
"2017-12-25",0.005353,0.005524,0.005099,0.005438,"11","348,862","GLC",0.0158789463852046
"2017-12-24",0.005697,0.005697,0.004775,0.005298,"1","371,247","GLC",-0.0700368615060558
"2017-12-23",0.005516,0.006263,0.005438,0.005634,"9","359,475","GLC",0.0213923132704859
"2017-12-22",0.003928,0.005949,0.003191,0.005464,"9","256,008","GLC",0.391038696537678
"2017-12-21",0.004615,0.00511,0.003817,0.003915,"262","300,784","GLC",-0.151679306608884
"2017-12-20",0.007047,0.009987,0.004525,0.004603,"1,097","459,292","GLC",-0.346814247197389
"2017-12-19",0.006697,0.007291,0.006216,0.007054,"5","436,433","GLC",0.0533074510975064
"2017-12-18",0.007653,0.007653,0.006535,0.006691,"10","498,738","GLC",-0.125702338952045
"2017-12-17",0.006427,0.007987,0.006299,0.00763,"2","418,874","GLC",0.187179088221565
"2017-12-16",0.006353,0.007395,0.005882,0.006426,"2,195","414,023","GLC",0.0114906343459783
"2017-12-15",0.005972,0.006507,0.00597,0.006344,"2","389,172","GLC",0.0622906898861353
"2017-12-14",0.005731,0.005988,0.005667,0.005963,"8","373,522","GLC",0.040481591345315
"2017-12-13",0.005528,0.006083,0.005269,0.00575,"10","360,286","GLC",0.0401591895803184
"2017-12-12",0.005893,0.005976,0.005325,0.005524,"211","384,042","GLC",-0.0626166638384523
"2017-12-11",0.006709,0.007379,0.005727,0.005874,"2","437,211","GLC",-0.124459681025488
"2017-12-10",0.006195,0.00694,0.005907,0.006757,"620","403,734","GLC",0.0907183212267958
"2017-12-09",0.007319,0.007427,0.006095,0.006511,"16","476,969","GLC",-0.110397595299904
"2017-12-08",0.008157,0.008279,0.006478,0.007326,"71","531,602","GLC",-0.101875689591762
"2017-12-07",0.006181,0.008388,0.006181,0.008138,"72","402,831","GLC",0.316615434395729
"2017-12-06",0.005382,0.0062,0.005382,0.006192,"44","350,774","GLC",0.150501672240803
"2017-12-05",0.006395,0.006554,0.005391,0.005394,"5","416,789","GLC",-0.15652853792025
"2017-12-03",0.006012,0.0065,0.005973,0.006444,"7","391,836","GLC",0.0718562874251497
"2017-12-02",0.004571,0.006076,0.004506,0.006007,"6","297,925","GLC",0.314154451979873
"2017-12-01",0.004897,0.005856,0.004053,0.004575,"45","319,117","GLC",-0.0657545435981213
"2017-11-30",0.004128,0.005647,0.003779,0.004921,"43","269,029","GLC",0.192102713178295
"2017-11-29",0.003971,0.004804,0.003819,0.004066,"4","258,806","GLC",0.0239234449760767
"2017-11-28",0.003317,0.005788,0.003285,0.003975,"438","216,161","GLC",0.19837202291227
"2017-11-27",0.002982,0.003314,0.002824,0.003308,"547","194,318","GLC",0.109322602280349
"2017-11-26",0.002711,0.002981,0.002708,0.002981,"6","176,701","GLC",0.0995942456658061
"2017-11-25",0.002545,0.002712,0.002466,0.002712,"263","165,866","GLC",0.0656188605108055
"2017-11-24",0.002652,0.002668,0.002539,0.00255,"37","172,848","GLC",-0.0384615384615383
"2017-11-23",0.002714,0.002728,0.002656,0.002656,"6","176,894","GLC",-0.0213706705969049
"2017-11-22",0.002759,0.002818,0.002674,0.002715,"1","179,793","GLC",-0.0159478071765133
"2017-11-21",0.003214,0.003221,0.002713,0.002752,"21","209,470","GLC",-0.143746110765401
"2017-11-20",0.003539,0.003547,0.002695,0.003214,"286","230,646","GLC",-0.0918338513704437
"2017-11-19",0.003193,0.003569,0.003174,0.003541,"26","208,067","GLC",0.108988412151582
"2017-11-18",0.003536,0.003821,0.002434,0.003199,"272","230,438","GLC",-0.0953054298642534
