"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.452637,0.458667,0.400089,0.450391,"277,048","56,361,900","GOLOS",-0.00496203359424887
"2018-01-09",0.428388,0.491931,0.423626,0.451985,"334,311","53,342,400","GOLOS",0.0550832422943687
"2018-01-08",0.479579,0.493758,0.392721,0.431866,"245,993","59,716,700","GOLOS",-0.0994893437786057
"2018-01-07",0.430812,0.501217,0.428645,0.48248,"977,325","53,644,300","GOLOS",0.119931663927653
"2018-01-06",0.439148,0.47356,0.389512,0.431135,"434,143","54,682,200","GOLOS",-0.0182466958747393
"2018-01-05",0.371777,0.449825,0.357712,0.437302,"244,879","46,293,200","GOLOS",0.176248127237564
"2018-01-04",0.348172,0.394936,0.333488,0.366689,"304,682","43,354,100","GOLOS",0.053183484025137
"2018-01-03",0.337289,0.352504,0.323488,0.350793,"121,390","41,998,800","GOLOS",0.0400368823175378
"2018-01-02",0.328828,0.356316,0.315564,0.338527,"249,780","40,945,300","GOLOS",0.0294956633863297
"2018-01-01",0.325677,0.337597,0.298856,0.332728,"190,859","40,553,000","GOLOS",0.0216502854054785
"2017-12-31",0.286581,0.334352,0.282347,0.328924,"123,296","35,684,800","GOLOS",0.147752293417917
"2017-12-30",0.320455,0.326309,0.260586,0.289678,"221,158","39,902,700","GOLOS",-0.0960415658984881
"2017-12-29",0.365016,0.385788,0.312819,0.321024,"303,351","45,451,400","GOLOS",-0.120520744296141
"2017-12-28",0.319774,0.360426,0.274835,0.360426,"411,519","39,817,900","GOLOS",0.127127283644074
"2017-12-27",0.295417,0.336506,0.279941,0.320467,"239,052","36,785,000","GOLOS",0.0847953909219849
"2017-12-26",0.302476,0.362081,0.257619,0.292396,"755,566","37,663,900","GOLOS",-0.0333249580131978
"2017-12-25",0.266213,0.305741,0.247,0.302785,"243,619","33,148,500","GOLOS",0.137378715539812
"2017-12-24",0.240935,0.262215,0.223105,0.262179,"221,375","30,001,000","GOLOS",0.0881731587357585
"2017-12-23",0.214837,0.274701,0.205981,0.240366,"166,949","26,751,200","GOLOS",0.118829624319833
"2017-12-22",0.231422,0.240099,0.165994,0.212945,"209,903","28,816,400","GOLOS",-0.0798411559834415
"2017-12-21",0.227354,0.319395,0.220838,0.230768,"946,012","28,309,900","GOLOS",0.0150162301960819
"2017-12-20",0.232619,0.238271,0.202751,0.226626,"97,860","28,965,500","GOLOS",-0.0257631577816085
"2017-12-19",0.248145,0.269881,0.225801,0.232853,"283,426","30,898,800","GOLOS",-0.061625259424933
"2017-12-18",0.242532,0.287167,0.226324,0.247845,"481,738","30,199,800","GOLOS",0.0219063876107071
"2017-12-17",0.217068,0.24446,0.213316,0.241943,"175,903","27,029,000","GOLOS",0.11459542631802
"2017-12-16",0.194166,0.225275,0.193429,0.22065,"161,657","24,177,400","GOLOS",0.136398751583696
"2017-12-15",0.19633,0.207694,0.191701,0.193866,"109,024","24,446,800","GOLOS",-0.0125502979677074
"2017-12-14",0.198284,0.20624,0.192489,0.196103,"112,472","24,690,100","GOLOS",-0.0109993746343628
"2017-12-13",0.200628,0.212155,0.191113,0.198878,"127,634","24,982,000","GOLOS",-0.00872261100145544
"2017-12-12",0.217203,0.2293,0.19912,0.200249,"421,610","27,045,900","GOLOS",-0.0780560121176963
"2017-12-11",0.190818,0.396154,0.190818,0.218183,"3,161,280","23,760,500","GOLOS",0.143408902724062
"2017-12-10",0.180434,0.194118,0.159985,0.192123,"58,955","22,467,500","GOLOS",0.0647826906237182
"2017-12-09",0.190127,0.202107,0.16787,0.179707,"68,138","23,674,400","GOLOS",-0.0548054721317855
"2017-12-08",0.194695,0.196208,0.150038,0.190337,"47,273","24,243,200","GOLOS",-0.0223837283956958
"2017-12-07",0.17411,0.202624,0.167309,0.194017,"104,836","21,680,000","GOLOS",0.114335764746425
"2017-12-06",0.159844,0.182374,0.156529,0.17309,"110,216","19,903,600","GOLOS",0.0828682965891743
"2017-12-05",0.154122,0.166064,0.150062,0.160158,"36,727","19,191,000","GOLOS",0.0391637793436368
"2017-12-04",0.14326,0.158979,0.133772,0.153137,"94,752","17,838,500","GOLOS",0.0689445762948485
"2017-12-03",0.130619,0.156465,0.112942,0.142805,"198,550","16,264,500","GOLOS",0.0932942374386573
"2017-12-02",0.131928,0.136922,0.124315,0.130458,"28,359","16,427,600","GOLOS",-0.0111424413316354
"2017-12-01",0.116644,0.140546,0.112713,0.13205,"42,256","14,524,300","GOLOS",0.132077089263057
"2017-11-30",0.117124,0.130654,0.106771,0.117167,"20,584","14,584,200","GOLOS",0.000367132270072637
"2017-11-29",0.143125,0.14432,0.111658,0.115322,"87,410","17,821,700","GOLOS",-0.194256768558952
"2017-11-28",0.135937,0.142795,0.12808,0.142648,"86,632","16,926,700","GOLOS",0.0493684574471998
"2017-11-27",0.122034,0.139542,0.118766,0.135763,"95,356","15,195,500","GOLOS",0.112501434026583
"2017-11-26",0.117539,0.123666,0.109523,0.121707,"39,246","14,635,900","GOLOS",0.0354605705340354
"2017-11-25",0.110925,0.118687,0.107343,0.117591,"70,321","13,812,300","GOLOS",0.0600946585530765
"2017-11-24",0.11266,0.116886,0.109245,0.111125,"23,089","14,028,300","GOLOS",-0.0136250665719865
"2017-11-23",0.114948,0.122556,0.112435,0.113295,"52,776","14,313,100","GOLOS",-0.0143804154922225
"2017-11-22",0.109196,0.121472,0.106408,0.115021,"52,204","13,597,000","GOLOS",0.0533444448514597
"2017-11-21",0.106228,0.117769,0.099171,0.109062,"59,807","13,227,400","GOLOS",0.026678465188086
"2017-11-20",0.111228,0.121156,0.105459,0.106171,"48,646","13,849,900","GOLOS",-0.0454651706404861
"2017-11-19",0.115975,0.118612,0.108877,0.111303,"33,734","14,441,100","GOLOS",-0.0402845440827764
"2017-11-18",0.116049,0.117689,0.109179,0.116173,"21,885","14,450,200","GOLOS",0.00106851416212117
"2017-11-17",0.118533,0.127927,0.110487,0.116594,"73,154","14,759,600","GOLOS",-0.0163583137185425
"2017-11-16",0.115369,0.121795,0.111364,0.118675,"16,482","14,365,600","GOLOS",0.0286558780955023
"2017-11-15",0.110212,0.115314,0.108399,0.114723,"37,041","13,723,500","GOLOS",0.0409302072369615
"2017-11-14",0.106249,0.110212,0.10384,0.110139,"31,854","13,230,000","GOLOS",0.0366121092904404
"2017-11-13",0.091474,0.108378,0.091303,0.105883,"30,028","11,390,200","GOLOS",0.157520169665697
"2017-11-12",0.109988,0.109988,0.088133,0.093514,"87,463","13,695,600","GOLOS",-0.149779975997382
"2017-11-11",0.108314,0.159584,0.105908,0.108165,"703,378","13,487,200","GOLOS",-0.0013756301124508
"2017-11-10",0.125707,0.132652,0.107264,0.108646,"77,355","15,652,900","GOLOS",-0.135720365612098
"2017-11-09",0.123341,0.128141,0.115681,0.127017,"74,199","15,358,200","GOLOS",0.0298035527521261
"2017-11-08",0.113739,0.123961,0.113195,0.123395,"32,936","14,162,600","GOLOS",0.0848961218227696
"2017-11-07",0.110116,0.119311,0.110116,0.114916,"35,413","13,711,500","GOLOS",0.0435903955828399
"2017-11-06",0.119554,0.12134,0.109914,0.113064,"40,619","14,886,700","GOLOS",-0.0542850929287184
"2017-11-05",0.125933,0.13456,0.115381,0.119193,"77,226","15,681,000","GOLOS",-0.0535205228176887
"2017-11-04",0.114105,0.164367,0.112309,0.126105,"455,942","14,208,300","GOLOS",0.105166294202708
"2017-11-03",0.117081,0.120541,0.112953,0.114432,"31,502","14,578,800","GOLOS",-0.022625361928921
"2017-11-02",0.120145,0.13398,0.111592,0.117328,"189,556","14,960,300","GOLOS",-0.0234466686087644
"2017-11-01",0.106691,0.122183,0.102449,0.121958,"78,632","13,285,100","GOLOS",0.143095481343319
"2017-10-31",0.103131,0.107908,0.100414,0.10681,"43,748","12,841,800","GOLOS",0.0356730759907303
"2017-10-30",0.101373,0.112682,0.100116,0.103481,"70,820","12,622,800","GOLOS",0.0207944916299212
"2017-10-29",0.092823,0.109721,0.092732,0.10195,"160,408","11,558,200","GOLOS",0.0983269232840998
"2017-10-28",0.098209,0.099514,0.08971,0.094867,"25,869","12,228,900","GOLOS",-0.0340294677677198
"2017-10-27",0.101671,0.103072,0.095996,0.097881,"18,123","12,660,000","GOLOS",-0.0372770996646045
"2017-10-26",0.097693,0.106817,0.095197,0.1017,"44,885","12,164,600","GOLOS",0.0410162447667693
"2017-10-25",0.101954,0.103894,0.094102,0.097845,"26,041","12,695,300","GOLOS",-0.0403024893579458
"2017-10-24",0.093729,0.107963,0.091345,0.102447,"46,421","11,671,000","GOLOS",0.0930128348750119
"2017-10-23",0.108875,0.110719,0.097688,0.098365,"24,126","13,557,000","GOLOS",-0.096532721010333
"2017-10-22",0.111379,0.111822,0.105108,0.109028,"33,808","13,868,800","GOLOS",-0.0211081083507664
"2017-10-21",0.108551,0.11675,0.106679,0.111359,"40,854","13,516,600","GOLOS",0.0258680251678935
"2017-10-20",0.106405,0.117596,0.106405,0.108774,"35,021","13,249,400","GOLOS",0.0222639913537897
"2017-10-19",0.113374,0.121502,0.105632,0.106385,"23,330","14,117,200","GOLOS",-0.0616455271931837
"2017-10-18",0.106286,0.115685,0.101355,0.110947,"47,903","13,234,600","GOLOS",0.0438533767382346
"2017-10-17",0.111815,0.112345,0.102514,0.106279,"22,133","13,923,000","GOLOS",-0.0495103519205831
"2017-10-16",0.103096,0.126736,0.096993,0.11125,"103,558","12,837,400","GOLOS",0.0790913323504308
"2017-10-15",0.101158,0.16995,0.090394,0.103048,"557,224","12,596,000","GOLOS",0.0186836434093201
"2017-10-14",0.099929,0.102572,0.092522,0.1011,"31,038","12,443,000","GOLOS",0.011718320007205
"2017-10-13",0.131782,0.155965,0.094888,0.101641,"266,796","16,409,300","GOLOS",-0.228718641392603
"2017-10-12",0.097454,0.139163,0.092975,0.130746,"255,312","12,134,800","GOLOS",0.341617583680506
"2017-10-11",0.087654,0.09483,0.083133,0.092232,"20,632","10,914,600","GOLOS",0.0522280785816962
"2017-10-10",0.085196,0.092512,0.082991,0.088516,"16,205","10,608,500","GOLOS",0.0389689656791399
"2017-10-09",0.095777,0.095777,0.082584,0.084994,"26,516","11,926,000","GOLOS",-0.112584440940936
"2017-10-08",0.100194,0.10208,0.094949,0.095694,"14,716","12,476,000","GOLOS",-0.0449128690340739
"2017-10-07",0.101356,0.103056,0.097093,0.100131,"13,145","12,620,800","GOLOS",-0.0120861123169818
"2017-10-06",0.104156,0.106661,0.100111,0.101539,"8,287","12,969,400","GOLOS",-0.0251257728791428
"2017-10-05",0.095837,0.108837,0.094546,0.104015,"36,949","11,933,600","GOLOS",0.0853323872825734
"2017-10-04",0.100309,0.103474,0.094728,0.095747,"55,563","12,490,400","GOLOS",-0.0454794684425126
"2017-10-03",0.100658,0.112084,0.097244,0.098557,"40,022","12,533,900","GOLOS",-0.0208726579109459
"2017-10-02",0.11147,0.11882,0.100124,0.101476,"34,830","13,880,100","GOLOS",-0.0896564097963578
"2017-10-01",0.108533,0.115191,0.103297,0.111519,"18,999","13,514,400","GOLOS",0.0275123695097343
"2017-09-30",0.108455,0.115267,0.103769,0.108475,"36,264","13,504,700","GOLOS",0.000184408279931825
"2017-09-29",0.103132,0.10945,0.093807,0.108381,"42,091","12,841,900","GOLOS",0.0508959391847342
"2017-09-28",0.104437,0.106134,0.099952,0.103424,"24,683","13,004,300","GOLOS",-0.00969962752664286
"2017-09-27",0.098682,0.106512,0.097504,0.104158,"30,113","12,287,800","GOLOS",0.0554913763401633
"2017-09-26",0.095102,0.102241,0.093958,0.099113,"24,213","11,842,000","GOLOS",0.0421757691741499
"2017-09-25",0.095787,0.117307,0.092077,0.095092,"56,223","11,927,300","GOLOS",-0.00725568187749905
"2017-09-24",0.096684,0.097791,0.091428,0.096105,"11,632","12,039,000","GOLOS",-0.0059885813578256
"2017-09-23",0.093906,0.104238,0.089593,0.096228,"56,666","11,693,100","GOLOS",0.0247268545140885
"2017-09-22",0.09863,0.102942,0.090818,0.094173,"14,077","12,281,300","GOLOS",-0.0451890905404034
"2017-09-21",0.112529,0.117854,0.097887,0.098991,"21,528","14,012,000","GOLOS",-0.12030676536715
"2017-09-20",0.108689,0.125445,0.105838,0.11322,"26,352","13,533,800","GOLOS",0.041687751290379
"2017-09-19",0.109642,0.122008,0.106642,0.1088,"51,342","13,652,500","GOLOS",-0.00767953886284462
"2017-09-18",0.090982,0.116903,0.090331,0.110946,"76,309","11,329,000","GOLOS",0.219428018728979
"2017-09-17",0.090552,0.093008,0.080761,0.091165,"12,991","11,275,400","GOLOS",0.00676959095326445
"2017-09-16",0.090389,0.094159,0.082131,0.090466,"9,076","11,255,100","GOLOS",0.00085187356868654
"2017-09-15",0.081953,0.092851,0.066652,0.090722,"41,385","10,204,700","GOLOS",0.10700035386136
"2017-09-14",0.101124,0.10381,0.08108,0.081744,"9,565","12,591,800","GOLOS",-0.191645900083066
"2017-09-13",0.122798,0.123245,0.094122,0.101194,"65,322","15,290,700","GOLOS",-0.175931204091272
"2017-09-12",0.118781,0.128783,0.114501,0.120939,"30,289","14,790,500","GOLOS",0.018167888803765
"2017-09-11",0.121504,0.122204,0.106554,0.118819,"37,000","15,129,500","GOLOS",-0.0220980379246774
"2017-09-10",0.120958,0.124105,0.116006,0.120712,"6,919","15,061,600","GOLOS",-0.00203376378577685
"2017-09-09",0.125043,0.127206,0.117782,0.124552,"21,680","15,570,200","GOLOS",-0.0039266492326639
"2017-09-08",0.135341,0.137436,0.118826,0.124535,"12,681","16,852,500","GOLOS",-0.0798427675279478
"2017-09-07",0.137837,0.140921,0.132035,0.135734,"13,198","17,163,300","GOLOS",-0.0152571515630781
"2017-09-06",0.134321,0.148815,0.133023,0.138763,"24,578","16,725,500","GOLOS",0.0330700337251807
"2017-09-05",0.125705,0.138676,0.115918,0.134169,"13,778","15,652,600","GOLOS",0.0673322461318165
"2017-09-04",0.138802,0.142306,0.119722,0.124332,"24,013","17,283,500","GOLOS",-0.104249218310975
"2017-09-03",0.148197,0.154292,0.133515,0.138926,"37,613","18,453,300","GOLOS",-0.0625586212946281
"2017-09-02",0.166066,0.16969,0.144964,0.148726,"15,579","20,678,300","GOLOS",-0.104416316404321
"2017-09-01",0.157692,0.170226,0.154807,0.167754,"17,167","19,635,600","GOLOS",0.0638079293813255
"2017-08-31",0.154928,0.164139,0.150319,0.159206,"21,406","19,291,400","GOLOS",0.0276128266033253
"2017-08-30",0.15529,0.161931,0.147728,0.155405,"33,807","19,336,600","GOLOS",0.000740549938823982
"2017-08-29",0.153209,0.158597,0.147109,0.155259,"47,403","19,077,400","GOLOS",0.0133804149886756
"2017-08-28",0.164518,0.164518,0.144565,0.150915,"67,220","20,485,600","GOLOS",-0.0826839616333775
"2017-08-27",0.171283,0.173989,0.16338,0.164691,"16,515","21,328,000","GOLOS",-0.0384860143738724
"2017-08-26",0.17756,0.17835,0.164085,0.171321,"22,214","22,109,600","GOLOS",-0.0351374183374634
"2017-08-25",0.16931,0.189135,0.164395,0.177219,"59,046","21,082,300","GOLOS",0.0467131297619751
"2017-08-24",0.159721,0.174174,0.157254,0.170231,"16,879","19,888,300","GOLOS",0.0658022426606394
"2017-08-23",0.165922,0.173844,0.156841,0.159619,"42,914","20,660,500","GOLOS",-0.0379877291739491
"2017-08-22",0.159793,0.169553,0.14241,0.166265,"19,027","19,897,300","GOLOS",0.0405023999799741
"2017-08-21",0.155689,0.165814,0.143033,0.157311,"25,185","19,386,200","GOLOS",0.0104182055251175
"2017-08-20",0.184193,0.184193,0.151921,0.156114,"41,461","22,935,500","GOLOS",-0.152443361039779
"2017-08-19",0.137979,0.185853,0.132997,0.185395,"113,055","17,181,100","GOLOS",0.343646496930692
"2017-08-18",0.133021,0.145004,0.121226,0.137971,"56,344","16,563,600","GOLOS",0.0372121695070704
"2017-08-17",0.134333,0.148606,0.123969,0.134976,"44,398","16,727,000","GOLOS",0.00478661237372801
"2017-08-16",0.129275,0.144906,0.124622,0.134458,"58,213","16,097,200","GOLOS",0.0400928253722684
"2017-08-15",0.146034,0.154391,0.12278,0.129027,"76,623","18,184,000","GOLOS",-0.116459180738732
"2017-08-14",0.12462,0.205403,0.123333,0.145213,"195,253","15,517,500","GOLOS",0.165246348900658
"2017-08-13",0.143058,0.153192,0.113413,0.125054,"75,028","17,813,500","GOLOS",-0.125851053418893
"2017-08-12",0.141945,0.144239,0.128746,0.143407,"26,461","17,674,800","GOLOS",0.0102997639930961
"2017-08-11",0.136784,0.142579,0.133408,0.142264,"27,291","17,032,200","GOLOS",0.0400631652824893
"2017-08-10",0.134623,0.142431,0.130343,0.133957,"20,061","16,763,100","GOLOS",-0.00494714870415902
"2017-08-09",0.137199,0.158933,0.130473,0.134709,"52,117","17,083,900","GOLOS",-0.0181488203266787
"2017-08-08",0.131342,0.143123,0.125712,0.137776,"18,114","16,354,600","GOLOS",0.0489866150964659
"2017-08-07",0.120755,0.131845,0.11612,0.131227,"28,775","15,036,200","GOLOS",0.0867210467475468
"2017-08-06",0.119718,0.126233,0.117757,0.122576,"15,553","14,907,100","GOLOS",0.0238727676706928
"2017-08-05",0.119896,0.132262,0.118169,0.119372,"28,810","14,929,400","GOLOS",-0.00437045439380794
"2017-08-04",0.119884,0.126054,0.113727,0.119873,"15,746","14,927,900","GOLOS",-9.17553635181592e-05
"2017-08-03",0.129768,0.129868,0.103237,0.119908,"136,770","16,158,600","GOLOS",-0.0759817520498119
"2017-08-02",0.122344,0.140289,0.100426,0.124257,"129,331","15,234,200","GOLOS",0.0156362388020664
"2017-08-01",0.111343,0.142953,0.097924,0.122382,"52,088","13,864,300","GOLOS",0.0991440862919089
"2017-07-31",0.112056,0.112056,0.09318,0.110968,"19,490","13,953,000","GOLOS",-0.00970943099878637
"2017-07-30",0.120292,0.120862,0.101922,0.11175,"55,885","14,978,600","GOLOS",-0.0710105410168589
"2017-07-29",0.130022,0.130369,0.116312,0.120929,"7,607","16,190,200","GOLOS",-0.0699343188075864
"2017-07-28",0.138074,0.145018,0.126999,0.130495,"58,336","17,192,800","GOLOS",-0.0548908556281415
"2017-07-27",0.133534,0.14381,0.132577,0.137658,"35,715","16,627,500","GOLOS",0.0308835203019455
