"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.016529,0.018548,0.013488,0.018548,"6,778","7,311,650","GOOD",0.122148950329724
"2018-01-09",0.014333,0.018887,0.013542,0.016728,"6,849","6,340,090","GOOD",0.167096909230447
"2018-01-08",0.021814,0.022707,0.011112,0.014318,"8,882","9,649,570","GOOD",-0.343632529568167
"2018-01-07",0.02095,0.02245,0.017066,0.021702,"5,878","9,267,400","GOOD",0.0358949880668257
"2018-01-06",0.016513,0.021362,0.013681,0.02099,"4,216","7,304,620","GOOD",0.271119723853933
"2018-01-05",0.012539,0.0187,0.009682,0.01655,"17,114","5,534,200","GOOD",0.319881968259032
"2018-01-04",0.012834,0.01456,0.00967,0.012534,"4,840","5,664,400","GOOD",-0.0233754090696587
"2018-01-03",0.011193,0.014102,0.009855,0.012777,"4,017","4,940,170","GOOD",0.1415170195658
"2018-01-02",0.013751,0.016286,0.00986,0.011219,"9,859","6,069,060","GOOD",-0.184132063122682
"2018-01-01",0.017268,0.017268,0.010917,0.013737,"6,502","7,621,070","GOOD",-0.204482279360667
"2017-12-31",0.019086,0.019578,0.009715,0.017256,"26,639","8,423,700","GOOD",-0.0958817981766739
"2017-12-30",0.004061,0.022114,0.003728,0.016809,"21,719","1,792,370","GOOD",3.13912829352376
"2017-12-29",0.003411,0.004193,0.00259,0.004072,"5,762","1,505,460","GOOD",0.193784813837584
"2017-12-28",0.001787,0.003406,0.001782,0.003384,"1,492","788,872","GOOD",0.893676552881925
"2017-12-27",0.00312,0.00312,0.001767,0.001791,"288","1,377,030","GOOD",-0.425961538461538
"2017-12-26",0.0031,0.003222,0.001879,0.003116,"891","1,368,130","GOOD",0.00516129032258063
"2017-12-25",0.003009,0.003474,0.001666,0.003091,"2,053","1,327,810","GOOD",0.0272515785975407
"2017-12-24",0.002673,0.003152,0.002231,0.003015,"1,057","1,179,660","GOOD",0.127946127946128
"2017-12-23",0.00199,0.002827,0.00199,0.002644,"701","878,075","GOOD",0.328643216080402
"2017-12-22",0.001811,0.00229,0.001331,0.001974,"725","799,293","GOOD",0.0900055218111542
"2017-12-21",0.001796,0.002749,0.001492,0.001808,"1,728","792,471","GOOD",0.00668151447661462
"2017-12-20",0.001681,0.002007,0.00099,0.001802,"1,218","741,964","GOOD",0.0719809637120762
"2017-12-19",0.002058,0.002893,0.001335,0.00167,"400","908,138","GOOD",-0.188532555879495
"2017-12-18",0.003052,0.003373,0.001415,0.002044,"810","1,347,090","GOOD",-0.330275229357798
"2017-12-17",0.003128,0.003517,0.001353,0.003067,"1,353","1,380,560","GOOD",-0.0195012787723786
"2017-12-16",0.00091,0.003142,0.00091,0.003036,"254","401,540","GOOD",2.33626373626374
"2017-12-15",0.001066,0.00172,0.000902,0.000912,"72","470,442","GOOD",-0.144465290806754
"2017-12-14",0.00099,0.001666,0.000983,0.001055,"244","436,736","GOOD",0.0656565656565656
"2017-12-13",0.001726,0.002185,0.000373,0.00099,"846","761,936","GOOD",-0.426419466975666
"2017-12-12",0.002269,0.002298,0.000671,0.001725,"237","1,001,250","GOOD",-0.239753195240194
"2017-12-11",0.001502,0.002372,0.001497,0.002268,"497","663,095","GOOD",0.509986684420772
"2017-12-10",0.001803,0.001886,0.001458,0.001542,"0","795,768","GOOD",-0.144758735440932
"2017-12-09",0.002212,0.002244,0.000939,0.001796,"209","976,317","GOOD",-0.188065099457504
"2017-12-08",0.001215,0.002215,0.001145,0.002214,"188","536,185","GOOD",0.822222222222222
"2017-12-07",0.001511,0.001564,0.001061,0.001212,"3","666,854","GOOD",-0.197882197220384
"2017-12-06",0.001516,0.001579,0.001339,0.001514,"37","669,268","GOOD",-0.00131926121372035
"2017-12-05",0.001509,0.001973,0.00044,0.001522,"502","665,793","GOOD",0.00861497680583167
"2017-12-04",0.001683,0.001697,0.001439,0.001506,"1,337","742,671","GOOD",-0.105169340463458
"2017-12-03",0.001477,0.001793,0.001458,0.001678,"428","651,706","GOOD",0.136086662153013
"2017-12-02",0.001679,0.001708,0.001471,0.001474,"8","740,814","GOOD",-0.122096486003573
"2017-12-01",0.00129,0.001825,0.001243,0.00168,"1,141","569,404","GOOD",0.302325581395349
"2017-11-30",0.001185,0.001308,0.000874,0.001296,"130","522,896","GOOD",0.0936708860759494
"2017-11-29",0.000897,0.001381,0.000897,0.001167,"61","395,797","GOOD",0.301003344481605
"2017-11-28",0.000948,0.001333,0.000894,0.000897,"88","418,201","GOOD",-0.0537974683544303
"2017-11-27",0.00121,0.001703,0.000923,0.000947,"1,418","533,840","GOOD",-0.217355371900826
"2017-11-26",0.000798,0.001271,0.000797,0.00121,"12","352,285","GOOD",0.516290726817043
"2017-11-25",0.000764,0.000862,0.000724,0.000798,"76","337,367","GOOD",0.0445026178010471
"2017-11-24",0.000962,0.000973,0.000641,0.000767,"177","424,578","GOOD",-0.202702702702703
"2017-11-23",0.000872,0.00099,0.000606,0.000966,"1,751","385,041","GOOD",0.107798165137615
"2017-11-22",0.000629,0.000971,0.000578,9e-04,"54","277,684","GOOD",0.430842607313196
"2017-11-21",0.00033,0.001092,0.000329,0.000629,"70","145,494","GOOD",0.906060606060606
"2017-11-20",0.000538,0.00054,0.000327,0.00033,"140","237,302","GOOD",-0.386617100371747
"2017-11-19",0.000767,0.000793,0.000529,0.000549,"6","338,392","GOOD",-0.284224250325945
"2017-11-18",0.000796,0.000796,0.000747,0.000765,"6","351,510","GOOD",-0.0389447236180906
"2017-11-17",0.000777,0.000821,0.000731,0.000797,"0","342,845","GOOD",0.0257400257400257
"2017-11-16",0.000447,0.000832,0.000439,0.000782,"155","197,467","GOOD",0.749440715883669
"2017-11-15",0.000471,0.000493,0.00041,0.000445,"2","207,763","GOOD",-0.0552016985138005
"2017-11-14",0.000588,0.000605,0.000453,0.000465,"0","259,334","GOOD",-0.209183673469388
"2017-11-13",0.000356,0.000602,0.000258,0.000586,"30","157,248","GOOD",0.646067415730337
"2017-11-12",0.000415,0.000496,0.000306,0.000356,"14","183,010","GOOD",-0.142168674698795
"2017-11-11",0.000523,0.000555,0.000504,0.000512,"2","230,784","GOOD",-0.0210325047801148
"2017-11-10",0.000631,0.00064,0.000279,0.000525,"98","278,678","GOOD",-0.167987321711569
"2017-11-09",0.000812,0.000859,0.000489,0.000619,"21","358,245","GOOD",-0.237684729064039
"2017-11-08",0.000712,0.000834,0.000653,0.000828,"5","314,070","GOOD",0.162921348314607
"2017-11-07",0.000623,0.000714,0.000494,0.000714,"60","274,840","GOOD",0.146067415730337
"2017-11-06",0.000453,0.000635,0.000304,0.000624,"126","199,883","GOOD",0.377483443708609
"2017-11-05",0.000443,0.000973,0.000438,0.000452,"103","195,345","GOOD",0.0203160270880361
"2017-11-04",0.000431,0.00077,0.000421,0.000443,"1","190,167","GOOD",0.0278422273781902
"2017-11-03",0.000913,0.000964,0.000427,0.000432,"23","402,963","GOOD",-0.526834611171961
"2017-11-02",0.000466,0.000993,0.000447,0.000914,"193","205,752","GOOD",0.96137339055794
"2017-11-01",0.000322,0.000481,0.000318,0.000465,"0","142,233","GOOD",0.444099378881988
"2017-10-31",0.000368,0.000507,0.000317,0.000323,"62","162,270","GOOD",-0.122282608695652
"2017-10-30",0.000618,0.000623,0.000364,0.000369,"7","272,882","GOOD",-0.402912621359223
"2017-10-29",0.000565,0.000634,0.000564,0.000622,"65","249,510","GOOD",0.100884955752213
"2017-10-28",0.000577,0.000742,0.000519,0.000566,"13","254,496","GOOD",-0.0190641247833623
"2017-10-26",0.000442,0.000445,0.00044,0.000444,"1","195,145","GOOD",0.00452488687782804
"2017-10-25",0.000561,0.000564,0.000441,0.000443,"1","247,678","GOOD",-0.210338680926916
"2017-10-24",0.000592,0.000719,0.000557,0.00056,"36","261,471","GOOD",-0.0540540540540541
"2017-10-23",0.000664,0.000689,0.000494,0.000594,"37","293,198","GOOD",-0.105421686746988
"2017-10-22",0.000663,0.000768,0.000637,0.000669,"2","292,432","GOOD",0.00904977375565616
"2017-10-21",0.00078,0.000798,0.000408,0.000662,"98","344,280","GOOD",-0.151282051282051
"2017-10-20",0.000798,0.000801,0.000227,0.000781,"136","352,291","GOOD",-0.0213032581453634
"2017-10-19",0.00078,0.000804,0.000772,0.000798,"1","344,264","GOOD",0.0230769230769231
"2017-10-18",0.00084,0.00084,0.000359,0.00078,"14","370,782","GOOD",-0.0714285714285715
"2017-10-17",0.00081,0.00085,0.000396,0.00084,"137","357,599","GOOD",0.0370370370370371
"2017-10-16",0.001098,0.001257,0.000781,0.00081,"218","484,438","GOOD",-0.262295081967213
"2017-10-15",0.000702,0.001109,0.000655,0.001097,"39","309,894","GOOD",0.562678062678063
"2017-10-14",0.000345,0.000753,0.000341,0.000701,"136","152,220","GOOD",1.03188405797101
"2017-10-13",0.000646,0.000757,0.000337,0.000345,"66","285,194","GOOD",-0.46594427244582
"2017-10-12",0.000556,0.000695,0.000555,0.000644,"1","245,222","GOOD",0.158273381294964
"2017-10-11",0.000443,0.000555,0.000438,0.000555,"8","195,658","GOOD",0.252821670428894
"2017-10-10",0.000669,0.000692,0.000666,0.000677,"5","295,241","GOOD",0.0119581464872944
"2017-10-09",0.001002,0.001002,0.000146,0.000669,"398","442,248","GOOD",-0.332335329341317
"2017-10-08",0.000458,0.001004,0.000334,0.001002,"91","202,097","GOOD",1.18777292576419
"2017-10-07",0.001062,0.00108,0.000446,0.000459,"82","468,882","GOOD",-0.567796610169492
"2017-10-06",0.000828,0.001064,0.000583,0.001064,"194","365,399","GOOD",0.285024154589372
"2017-10-05",0.000722,0.000834,0.000426,0.000828,"43","318,646","GOOD",0.146814404432133
"2017-10-04",0.001033,0.001043,0.000504,0.000722,"168","455,804","GOOD",-0.301064859632139
"2017-10-03",0.000498,0.001332,0.000482,0.00133,"15","219,953","GOOD",1.6706827309237
"2017-10-02",0.000397,0.000499,0.000396,0.000498,"235","175,046","GOOD",0.2544080604534
"2017-10-01",0.000999,0.001004,0.000395,0.000397,"1","440,984","GOOD",-0.602602602602603
"2017-09-30",0.000587,0.001002,0.000587,0.000999,"9","259,233","GOOD",0.701873935264055
"2017-09-29",0.000419,0.001345,0.000304,0.000587,"12","185,082","GOOD",0.400954653937947
"2017-09-28",0.000681,0.000681,0.000414,0.00042,"205","300,732","GOOD",-0.383259911894273
"2017-09-27",0.001188,0.001189,0.001008,0.001093,"0","524,225","GOOD",-0.07996632996633
"2017-09-26",0.00079,0.001307,0.000789,0.00119,"122","348,511","GOOD",0.506329113924051
"2017-09-25",0.00076,0.000797,0.000752,0.000789,"4","335,627","GOOD",0.038157894736842
"2017-09-24",0.000455,0.000455,0.000437,0.000444,"2","200,690","GOOD",-0.0241758241758242
"2017-09-23",0.000518,0.000791,0.000447,0.000455,"65","228,415","GOOD",-0.121621621621622
"2017-09-22",0.000399,0.000531,0.000178,0.000523,"23","176,278","GOOD",0.31077694235589
"2017-09-21",0.001047,0.001054,0.000396,4e-04,"12","462,288","GOOD",-0.617956064947469
"2017-09-20",0.000832,0.001093,0.000828,0.001053,"186","367,351","GOOD",0.265625
"2017-09-19",0.000427,0.000864,0.000401,0.000831,"0","188,636","GOOD",0.946135831381733
"2017-09-18",0.000296,0.000905,0.000296,0.000426,"7","130,717","GOOD",0.439189189189189
"2017-09-17",0.000521,0.000521,0.000289,0.000296,"0","230,145","GOOD",-0.431861804222649
"2017-09-16",0.000541,0.00056,0.000389,0.000522,"2","238,987","GOOD",-0.0351201478743069
"2017-09-15",0.000732,0.000732,0.000395,0.000547,"9","322,857","GOOD",-0.252732240437159
"2017-09-14",0.000591,0.000949,0.000532,0.000867,"0","260,684","GOOD",0.467005076142132
"2017-09-13",0.000948,0.001216,0.000327,0.000591,"4","418,347","GOOD",-0.376582278481013
"2017-09-12",0.000799,0.001057,0.000726,0.000948,"7","352,656","GOOD",0.18648310387985
"2017-09-11",0.001345,0.001352,0.000492,0.000799,"5","593,661","GOOD",-0.405947955390335
"2017-09-10",0.000758,0.001414,0.000684,0.001341,"75","334,430","GOOD",0.769129287598945
"2017-09-09",0.001169,0.00119,0.000558,0.000758,"4","515,840","GOOD",-0.35158254918734
"2017-09-08",0.00148,0.00148,0.000791,0.001167,"158","653,129","GOOD",-0.211486486486486
"2017-09-07",0.000877,0.00151,0.000765,0.00148,"250","386,889","GOOD",0.687571265678449
"2017-09-06",0.001407,0.001468,0.000777,0.000878,"355","620,844","GOOD",-0.375977256574272
"2017-09-05",0.000398,0.001438,0.000371,0.001403,"0","175,716","GOOD",2.5251256281407
"2017-09-04",0.000462,0.000462,0.000381,0.000397,"22","203,894","GOOD",-0.140692640692641
"2017-09-03",0.000516,0.000525,0.000443,0.000462,"245","227,735","GOOD",-0.104651162790698
"2017-09-02",0.001772,0.001774,0.000507,0.000516,"11","782,110","GOOD",-0.708803611738149
"2017-09-01",0.001562,0.001771,9e-04,0.001771,"118","689,289","GOOD",0.133802816901408
"2017-08-31",0.001066,0.001564,0.000441,0.001561,"307","470,471","GOOD",0.464352720450281
"2017-08-30",0.00143,0.001451,0.001027,0.001056,"7","631,012","GOOD",-0.261538461538461
"2017-08-29",0.001588,0.001599,0.00101,0.00143,"100","701,029","GOOD",-0.0994962216624685
"2017-08-28",0.001476,0.001588,0.000927,0.001588,"28","651,489","GOOD",0.075880758807588
"2017-08-27",0.001477,0.001517,0.000971,0.001475,"379","651,687","GOOD",-0.00135409614082603
"2017-08-26",0.000306,0.001644,3e-04,0.001477,"1,355","134,893","GOOD",3.82679738562091
"2017-08-25",0.000346,0.000351,0.000302,0.000305,"312","152,839","GOOD",-0.11849710982659
"2017-08-24",0.00032,0.000419,0.000318,0.000347,"1","141,027","GOOD",0.0843749999999998
"2017-08-23",0.000327,0.000363,0.00031,0.000319,"11","144,271","GOOD",-0.0244648318042813
"2017-08-22",0.00032,0.000329,0.00029,0.000328,"2","141,265","GOOD",0.0249999999999999
"2017-08-21",0.000568,0.000572,0.000319,0.000319,"37","250,670","GOOD",-0.438380281690141
"2017-08-20",0.000829,0.000829,0.000284,0.00057,"120","365,907","GOOD",-0.312424607961399
"2017-08-19",0.001442,0.001449,0.000814,0.000833,"6","636,238","GOOD",-0.422330097087379
"2017-08-18",0.00062,0.001465,0.000591,0.001442,"4","273,496","GOOD",1.3258064516129
"2017-08-17",0.000957,0.001033,0.00062,0.000621,"283","422,238","GOOD",-0.351097178683386
"2017-08-16",0.001017,0.001133,0.001005,0.001007,"249","448,970","GOOD",-0.00983284169124858
"2017-08-15",0.000327,0.001039,0.000322,0.001037,"197","144,434","GOOD",2.17125382262997
"2017-08-14",0.001063,0.003029,0.000295,0.000327,"19","468,940","GOOD",-0.692380056444026
"2017-08-13",0.000689,0.000857,0.000674,0.000839,"9","304,244","GOOD",0.217706821480406
"2017-08-12",0.000613,0.001065,0.000425,0.00069,"120","270,628","GOOD",0.125611745513866
"2017-08-11",0.001303,0.001449,0.000351,0.000614,"39","575,203","GOOD",-0.528779739063699
"2017-08-10",0.000923,0.002319,0.000546,0.001304,"858","407,385","GOOD",0.412784398699892
"2017-08-09",0.000224,0.000931,0.000127,0.000923,"40","98,981","GOOD",3.12053571428571
"2017-08-08",0.000826,0.002339,0.000224,0.000224,"821","364,693","GOOD",-0.728813559322034
"2017-08-07",0.000493,0.001583,7.6e-05,0.000825,"462","217,645","GOOD",0.67342799188641
"2017-08-06",0.000156,0.000647,0.000154,0.000494,"2","68,706","GOOD",2.16666666666667
"2017-08-05",0.000309,0.001741,3.5e-05,0.000156,"216","136,481","GOOD",-0.495145631067961
"2017-08-04",0.000484,0.001608,0.000309,0.000309,"136","213,783","GOOD",-0.361570247933884
"2017-08-03",0.001285,0.001637,0.000461,0.000484,"828","567,027","GOOD",-0.623346303501945
