"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.86,3.11,2.52,2.6,"105,450","112,186,000","GRID",-0.0909090909090908
"2018-01-09",2.61,2.99,2.56,2.95,"80,436","102,535,000","GRID",0.130268199233717
"2018-01-08",2.68,3.12,2.11,2.62,"88,997","105,068,000","GRID",-0.0223880597014926
"2018-01-07",2.64,2.82,2.33,2.65,"196,995","103,600,000","GRID",0.00378787878787871
"2018-01-06",2.32,2.65,2.04,2.64,"326,770","91,211,200","GRID",0.137931034482759
"2018-01-05",1.49,2.4,1.48,2.31,"137,404","58,273,100","GRID",0.550335570469799
"2018-01-04",1.17,1.58,1.13,1.57,"338,300","46,052,500","GRID",0.341880341880342
"2018-01-03",1.04,1.4,0.952115,1.17,"245,732","40,902,800","GRID",0.125
"2018-01-02",0.943259,1.09,0.912352,1.04,"165,366","37,010,200","GRID",0.102560378432647
"2018-01-01",1.06,1.13,0.829325,0.941063,"268,844","41,436,700","GRID",-0.112204716981132
"2017-12-31",1.03,1.07,0.842593,1.06,"35,389","40,286,200","GRID",0.029126213592233
"2017-12-30",0.891146,1.18,0.848132,1.04,"52,463","34,965,500","GRID",0.16703660230759
"2017-12-29",0.797851,1.47,0.760782,0.891454,"27,821","31,304,900","GRID",0.117318897889456
"2017-12-28",0.909225,0.910643,0.681359,0.793069,"47,290","35,674,800","GRID",-0.127752756468421
"2017-12-27",0.964762,0.989678,0.671391,0.910735,"42,811","37,853,900","GRID",-0.0560003399802231
"2017-12-26",0.943511,0.983081,0.890207,0.974872,"23,292","37,020,100","GRID",0.0332386161899543
"2017-12-25",0.764789,0.972113,0.764789,0.943165,"9,880","30,007,600","GRID",0.233235572164349
"2017-12-24",0.811623,0.899174,0.724538,0.761036,"41,984","31,845,200","GRID",-0.0623281991762184
"2017-12-23",0.855775,0.885614,0.622183,0.802136,"20,573","33,577,600","GRID",-0.0626788583447752
"2017-12-22",0.791666,0.911012,0.63896,0.848781,"13,764","31,062,200","GRID",0.0721453239118517
"2017-12-21",0.910446,0.957279,0.765448,0.788678,"2,619","35,722,700","GRID",-0.133745439048554
"2017-12-20",0.932079,0.942886,0.822265,0.909474,"32,159","36,571,500","GRID",-0.0242522361301993
"2017-12-19",0.852747,0.963,0.762473,0.93308,"218,191","33,458,800","GRID",0.0942049634885845
"2017-12-18",0.863935,0.995109,0.755729,0.855325,"46,286","33,897,800","GRID",-0.00996602753679386
"2017-12-17",0.802782,1,0.758407,0.865072,"63,961","31,498,300","GRID",0.0775926714849112
"2017-12-16",0.874394,0.932912,0.703738,0.793254,"11,402","34,308,200","GRID",-0.0927956962193245
"2017-12-15",0.696079,0.973488,0.696079,0.867138,"29,762","27,311,700","GRID",0.245746531643678
"2017-12-14",0.806437,0.864542,0.683278,0.797728,"32,187","31,641,800","GRID",-0.010799355684325
"2017-12-13",0.977862,1.01,0.740799,0.806857,"66,967","38,367,900","GRID",-0.174876414054335
"2017-12-12",0.843352,0.98416,0.688643,0.977193,"57,652","33,090,200","GRID",0.158701230328499
"2017-12-11",0.635021,0.848795,0.587983,0.848795,"52,817","24,916,000","GRID",0.336640835499928
"2017-12-10",0.801523,0.801523,0.604166,0.638449,"26,924","31,448,900","GRID",-0.203455172215894
"2017-12-09",0.791899,0.873842,0.69201,0.798959,"30,996","31,071,300","GRID",0.00891527833726265
"2017-12-08",0.739457,0.816112,0.656926,0.791919,"13,320","29,013,700","GRID",0.0709466540988861
"2017-12-07",0.780483,0.803651,0.675582,0.738384,"45,331","30,623,400","GRID",-0.0539396758161292
"2017-12-06",0.84755,0.849504,0.728104,0.783205,"18,410","33,254,900","GRID",-0.0759188248480915
"2017-12-05",0.886136,0.888512,0.846925,0.849041,"17,959","34,768,900","GRID",-0.0418615201278359
"2017-12-04",0.887733,0.942995,0.830016,0.885682,"12,898","34,831,500","GRID",-0.00231037935955972
"2017-12-03",0.842264,0.89874,0.785061,0.85506,"20,839","33,047,500","GRID",0.0151923862351947
"2017-12-02",0.914446,0.922058,0.73437,0.84198,"18,080","35,879,700","GRID",-0.0792457947216129
"2017-12-01",0.916151,0.974464,0.783399,0.914472,"26,361","35,946,600","GRID",-0.00183266732230833
"2017-11-30",0.734063,0.964545,0.733059,0.918429,"37,927","28,802,000","GRID",0.251158279330248
"2017-11-29",1,1.09,0.723096,0.724782,"60,196","39,414,400","GRID",-0.275218
"2017-11-28",1.16,1.18,0.972038,1,"69,544","45,387,700","GRID",-0.137931034482759
"2017-11-27",1.18,1.29,0.936721,1.16,"217,508","46,330,100","GRID",-0.0169491525423729
"2017-11-26",0.830279,1.18,0.722321,1.18,"165,312","32,577,200","GRID",0.421209015282815
"2017-11-25",0.796406,0.903372,0.719929,0.830252,"48,188","31,248,200","GRID",0.0424984241705864
"2017-11-24",0.834941,0.941004,0.772302,0.796537,"162,340","32,760,200","GRID",-0.0459960643925738
"2017-11-23",0.825534,0.970909,0.727366,0.839141,"38,638","32,391,100","GRID",0.0164826645540947
"2017-11-22",0.844186,0.861817,0.585082,0.82364,"65,536","33,122,900","GRID",-0.0243382382555503
"2017-11-21",0.872667,0.894182,0.763377,0.843109,"29,978","34,240,400","GRID",-0.033870880874377
"2017-11-20",0.931719,1,0.77895,0.874043,"20,993","36,557,400","GRID",-0.0619027839938865
"2017-11-19",0.925277,0.950294,0.715693,0.932721,"69,994","36,304,600","GRID",0.00804515836879119
"2017-11-18",0.841152,1.02,0.79829,0.927673,"14,879","33,003,900","GRID",0.102860125161683
"2017-11-17",0.826298,0.897703,0.820995,0.846803,"35,710","32,421,000","GRID",0.0248155023974401
