"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.032714,0.03709,0.023063,0.029997,"1,725","1,158,200","GRIM",-0.0830531271015468
"2018-01-09",0.02259,0.032671,0.017133,0.032671,"11,845","787,273","GRIM",0.446259406817176
"2018-01-08",0.015471,0.035874,0.012268,0.022652,"4,257","529,018","GRIM",0.464158748626462
"2018-01-07",0.023395,0.024144,0.0153,0.015492,"1,379","785,800","GRIM",-0.337807223765762
"2018-01-06",0.027401,0.031161,0.012802,0.023413,"1,686","904,340","GRIM",-0.145542133498777
"2018-01-05",0.041042,0.083197,0.01273,0.027379,"4,610","1,331,610","GRIM",-0.332902879976609
"2018-01-04",0.010678,0.04096,0.010644,0.04096,"8,314","340,660","GRIM",2.83592433039895
"2018-01-03",0.00821,0.015563,0.007473,0.01062,"17,729","256,669","GRIM",0.293544457978075
"2018-01-02",0.009384,0.010297,0.008102,0.008255,"16,421","288,267","GRIM",-0.120311167945439
"2018-01-01",0.008762,0.011082,0.00678,0.009385,"9,581","263,627","GRIM",0.0711024880164344
"2017-12-31",0.007361,0.014569,0.007286,0.008728,"12,428","217,702","GRIM",0.185708463523978
"2017-12-30",0.018504,0.018889,0.001974,0.007441,"30,206","538,380","GRIM",-0.597870730652832
"2017-12-29",0.010561,0.023717,0.010414,0.018551,"26,343","301,395","GRIM",0.756557144209829
"2017-12-28",0.009948,0.010453,0.008573,0.010453,"629","279,038","GRIM",0.0507639726578207
"2017-12-27",0.008453,0.010103,0.008053,0.009969,"4,891","232,483","GRIM",0.179344611380575
"2017-12-26",0.00839,0.010303,0.00733,0.008447,"4,597","226,215","GRIM",0.00679380214541118
"2017-12-25",0.008184,0.011048,0.006676,0.008399,"9,711","216,331","GRIM",0.0262707722385142
"2017-12-24",0.008623,0.008623,0.005512,0.0081,"17,348","223,753","GRIM",-0.0606517453322511
"2017-12-23",0.011961,0.01297,0.006685,0.008529,"17,421","304,315","GRIM",-0.286932530724856
"2017-12-22",0.005618,0.016815,0.002986,0.011849,"12,514","140,210","GRIM",1.10911356354575
"2017-12-21",0.021172,0.021172,0.002406,0.005599,"50,062","516,889","GRIM",-0.735546948800302
"2017-12-20",0.026347,0.029584,0.016299,0.021117,"120,313","628,923","GRIM",-0.198504573575739
"2017-12-19",0.014811,0.119464,0.006519,0.026373,"979,489","344,019","GRIM",0.780636013773547
"2017-12-18",0.005109,0.01862,0.003011,0.014795,"80,985","116,717","GRIM",1.89587003327461
"2017-12-17",0.003684,0.005771,0.002572,0.002596,"16,490","82,739","GRIM",-0.295331161780673
"2017-12-16",0.001435,0.014949,0.001416,0.003517,"6,859","31,691","GRIM",1.45087108013937
"2017-12-15",0.001496,0.004047,0.001203,0.001433,"4,502","32,483","GRIM",-0.0421122994652406
"2017-12-14",0.000983,0.004801,0.000972,0.001493,"6,290","20,956","GRIM",0.51881993896236
"2017-12-13",0.001482,0.001817,0.000979,0.000986,"642","30,799","GRIM",-0.334682860998651
"2017-12-12",0.001146,0.002149,0.001119,0.00148,"155","23,353","GRIM",0.291448516579407
"2017-12-11",0.001525,0.002381,0.001015,0.001142,"320","30,445","GRIM",-0.251147540983607
"2017-12-10",0.002361,0.002361,0.000808,0.001536,"780","46,216","GRIM",-0.349428208386277
"2017-12-09",0.002767,0.002808,0.001372,0.002351,"294","52,961","GRIM",-0.150343332128659
"2017-12-08",0.002491,0.003181,0.001678,0.001721,"1,049","25,716","GRIM",-0.309112806101967
"2017-12-07",0.00283,0.00326,0.001978,0.0025,"3,166","29,223","GRIM",-0.11660777385159
"2017-12-06",0.002742,0.003307,0.001894,0.002829,"2,459","28,316","GRIM",0.0317286652078774
"2017-12-05",0.001761,0.002764,0.001761,0.002749,"1,669","18,180","GRIM",0.561044860874503
"2017-12-04",0.002011,0.002478,0.001215,0.001757,"1,242","20,768","GRIM",-0.126305320735952
"2017-12-03",0.002546,0.002561,0.001857,0.002005,"69","26,285","GRIM",-0.21249018067557
"2017-12-02",0.001795,0.002587,0.00138,0.002543,"1,232","18,534","GRIM",0.416713091922006
"2017-12-01",0.001637,0.003885,0.001469,0.001797,"2,314","16,900","GRIM",0.0977397678680513
"2017-11-30",0.001243,0.002109,0.001213,0.001645,"855","12,837","GRIM",0.323411102172164
"2017-11-29",0.001212,0.004676,0.001149,0.001225,"5,170","12,512","GRIM",0.0107260726072607
