"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.023788,0.023835,0.015721,0.023522,"565","1,034,010","GRT",-0.011182108626198
"2018-01-09",0.015423,0.02886,0.015368,0.02376,"823","670,259","GRT",0.540556312001556
"2018-01-08",0.015675,0.028856,0.014108,0.015464,"4,049","681,062","GRT",-0.0134609250398725
"2018-01-07",0.017426,0.033826,0.012439,0.015689,"390","756,978","GRT",-0.0996786411109835
"2018-01-06",0.010295,0.073483,0.008145,0.017439,"9,100","447,093","GRT",0.693929091792132
"2018-01-05",0.009199,0.011168,0.008905,0.01029,"1,035","399,415","GRT",0.118599847809545
"2018-01-04",0.010416,0.010431,0.008615,0.009197,"220","452,175","GRT",-0.117031490015361
"2018-01-03",0.009276,0.014193,0.009123,0.010368,"815","402,586","GRT",0.117723156532988
"2018-01-02",0.008398,0.010608,0.008092,0.0093,"1,072","364,379","GRT",0.107406525363182
"2018-01-01",0.01172,0.01172,0.008289,0.008398,"283","508,412","GRT",-0.283447098976109
"2017-12-31",0.012028,0.012515,0.007727,0.011683,"557","521,667","GRT",-0.0286830728300632
"2017-12-30",0.00844,0.012396,0.005889,0.012159,"8,393","365,969","GRT",0.44063981042654
"2017-12-29",0.007217,0.008544,0.006509,0.00846,"521","312,849","GRT",0.172232229458224
"2017-12-28",0.006045,0.007803,0.0048,0.007213,"668","262,012","GRT",0.193217535153019
"2017-12-27",0.005389,0.007729,0.004882,0.006057,"306","233,492","GRT",0.123956207088514
"2017-12-26",0.00585,0.007403,0.005118,0.005385,"82","253,436","GRT",-0.0794871794871795
"2017-12-25",0.005071,0.005927,0.004489,0.005856,"214","219,626","GRT",0.154801814237823
"2017-12-24",0.007761,0.007761,0.004076,0.005019,"57","336,043","GRT",-0.353304986470816
"2017-12-23",0.004137,0.008015,0.004108,0.007679,"135","179,102","GRT",0.856175972927242
"2017-12-22",0.005699,0.005815,0.004064,0.004098,"37","246,700","GRT",-0.280926478329531
"2017-12-21",0.004983,0.005872,0.004634,0.005696,"106","215,630","GRT",0.143086494079872
"2017-12-20",0.005814,0.005814,0.004813,0.004972,"1,819","251,559","GRT",-0.144822841417269
"2017-12-19",0.006114,0.006134,0.005627,0.00582,"266","264,455","GRT",-0.0480863591756624
"2017-12-18",0.006314,0.006324,0.005922,0.006109,"97","273,041","GRT",-0.0324675324675325
"2017-12-17",0.006425,0.006837,0.006212,0.006294,"43","277,820","GRT",-0.0203891050583658
"2017-12-16",0.010399,0.010494,0.005949,0.006424,"639","449,556","GRT",-0.382248293105106
"2017-12-15",0.00534,0.005793,0.005339,0.005613,"247","230,787","GRT",0.0511235955056179
"2017-12-14",0.008515,0.009732,0.005315,0.005332,"1,024","367,939","GRT",-0.373810921902525
"2017-12-13",0.00552,0.008625,0.005267,0.008543,"566","238,483","GRT",0.547644927536232
"2017-12-12",0.005249,0.005683,0.005166,0.005516,"16","226,690","GRT",0.0508668317774814
"2017-12-11",0.005184,0.006767,0.005151,0.005237,"347","223,846","GRT",0.0102237654320988
"2017-12-10",0.005564,0.005564,0.004697,0.005222,"27","240,203","GRT",-0.0614665708123652
"2017-12-09",0.00553,0.005612,0.004605,0.005541,"23","238,656","GRT",0.00198915009041586
"2017-12-08",0.005727,0.005813,0.004506,0.005535,"14","247,147","GRT",-0.033525405971713
"2017-12-07",0.004515,0.005714,0.004464,0.005714,"248","194,774","GRT",0.265559246954596
"2017-12-06",0.004446,0.004877,0.004304,0.004521,"39","191,783","GRT",0.0168690958164641
"2017-12-05",0.003848,0.005676,0.00382,0.004456,"131","165,944","GRT",0.158004158004158
