"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",3.65,3.79,2.88,3.27,"54,649","4,288,850","GRWI",-0.104109589041096
"2018-01-09",4.14,4.9,3.64,3.65,"67,588","4,861,670","GRWI",-0.118357487922705
"2018-01-08",3.42,5.08,2.92,4.15,"236,009","4,012,850","GRWI",0.213450292397661
"2018-01-07",3.43,3.72,3.02,3.42,"194,065","4,023,230","GRWI",-0.0029154518950438
"2018-01-06",2.77,3.44,2.55,3.43,"74,608","3,249,220","GRWI",0.23826714801444
"2018-01-05",1.75,3.41,1.74,2.77,"115,782","2,056,950","GRWI",0.582857142857143
"2018-01-04",1.86,2.11,1.65,1.76,"19,691","2,182,590","GRWI",-0.0537634408602151
"2018-01-03",1.82,2.29,1.64,1.73,"12,929","2,136,890","GRWI",-0.0494505494505495
"2018-01-02",1.37,1.99,1.23,1.81,"74,175","1,607,330","GRWI",0.321167883211679
"2018-01-01",1.83,2.12,1.37,1.37,"36,670","2,150,170","GRWI",-0.251366120218579
"2017-12-31",2.06,4.21,1.39,1.9,"285,973","2,410,860","GRWI",-0.0776699029126214
"2017-12-30",1.35,2.93,1.1,2.08,"110,086","1,583,630","GRWI",0.540740740740741
"2017-12-29",1.22,1.37,0.948946,1.35,"31,426","1,431,350","GRWI",0.10655737704918
"2017-12-28",1.44,1.45,1.01,1.21,"11,241","1,692,060","GRWI",-0.159722222222222
"2017-12-27",0.993418,1.45,0.916972,1.45,"8,913","1,164,820","GRWI",0.459607134157021
"2017-12-26",1.24,1.33,0.986506,0.992697,"2,229","1,457,680","GRWI",-0.199437903225806
"2017-12-25",1.22,1.34,1.02,1.24,"4,908","1,428,280","GRWI",0.0163934426229508
"2017-12-24",1.21,1.39,1.07,1.21,"922","1,417,400","GRWI",0
"2017-12-23",1.27,1.48,1.12,1.2,"4,275","1,491,410","GRWI",-0.0551181102362205
"2017-12-22",1.38,1.49,1.02,1.26,"33,765","1,612,210","GRWI",-0.0869565217391304
