"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.553217,0.631224,0.390277,0.599185,"3,200","25,926","GSR",0.0830921681727062
"2018-01-09",0.640195,0.654975,0.336581,0.552492,"1,968","30,002","GSR",-0.136994197080577
"2018-01-08",0.315765,0.649683,0.276932,0.635752,"7,433","14,798","GSR",1.01337070289614
"2018-01-07",0.226729,0.320237,0.225767,0.316208,"907","10,625","GSR",0.394651764882304
"2018-01-06",0.280236,0.283039,0.220181,0.226896,"462","13,133","GSR",-0.190339570933071
"2018-01-05",0.177164,0.290454,0.175444,0.280013,"2,326","8,303","GSR",0.58052990449527
"2018-01-04",0.170817,0.269275,0.169139,0.177129,"949","8,005","GSR",0.0369518256379635
"2018-01-03",0.148357,0.293157,0.148267,0.169886,"873","6,953","GSR",0.145116172475852
"2018-01-02",0.256527,0.265642,0.147431,0.148886,"1,618","12,022","GSR",-0.419608852089644
"2018-01-01",0.233069,0.265827,0.107446,0.256547,"1,891","10,923","GSR",0.100734117364386
"2017-12-31",0.211696,0.26746,0.209592,0.23217,"733","9,921","GSR",0.0967141561484392
"2017-12-30",0.281073,0.281167,0.206415,0.214007,"286","13,172","GSR",-0.238607052260445
"2017-12-29",0.238714,0.294495,0.234627,0.281782,"837","11,187","GSR",0.180416732994294
"2017-12-28",0.257564,0.366087,0.170648,0.236268,"1,201","12,071","GSR",-0.0826823624419562
"2017-12-27",0.40511,0.422089,0.25519,0.258106,"620","18,985","GSR",-0.362874281059465
"2017-12-26",0.289318,0.412412,0.249301,0.404817,"803","13,559","GSR",0.399211248522387
"2017-12-25",0.231025,0.302262,0.216376,0.289614,"237","10,827","GSR",0.253604588248025
"2017-12-24",0.292128,0.357013,0.215934,0.228651,"511","13,690","GSR",-0.217291735129806
"2017-12-23",0.268898,0.406292,0.212058,0.288938,"941","12,602","GSR",0.0745264003451121
"2017-12-22",0.305933,0.309423,0.207857,0.266382,"1,776","14,337","GSR",-0.129279940379103
"2017-12-21",0.298841,0.408371,0.275219,0.304876,"636","14,005","GSR",0.020194685468192
"2017-12-20",0.428504,0.428504,0.243426,0.298061,"396","20,081","GSR",-0.304414894610085
"2017-12-19",0.351187,0.546901,0.332948,0.428927,"2,366","16,458","GSR",0.221363547056127
"2017-12-18",0.363124,0.446756,0.323185,0.35089,"901","17,017","GSR",-0.0336909705775438
"2017-12-17",0.673345,0.673345,0.231922,0.362027,"4,597","31,556","GSR",-0.462345454410443
"2017-12-16",0.610405,0.798777,0.486903,0.673268,"12,499","28,606","GSR",0.102985722594015
"2017-12-15",0.605283,0.820618,0.537752,0.609548,"11,514","28,366","GSR",0.00704629074333818
"2017-12-14",0.621613,0.700886,0.493349,0.604375,"4,489","29,131","GSR",-0.0277310802702002
"2017-12-13",0.794696,0.805243,0.595482,0.623615,"7,729","37,243","GSR",-0.215278546765052
"2017-12-12",0.561166,0.829642,0.538095,0.794032,"10,550","26,298","GSR",0.414968119950246
"2017-12-11",0.343057,0.58359,0.341557,0.55937,"6,378","16,077","GSR",0.630545361266495
"2017-12-10",0.7215,0.7215,0.28022,0.345552,"3,757","33,812","GSR",-0.521064449064449
"2017-12-09",0.852225,0.891259,0.40646,0.711399,"9,828","39,939","GSR",-0.165245093725249
"2017-12-08",0.433017,0.873305,0.379163,0.853084,"17,066","20,293","GSR",0.970093552909008
"2017-12-07",0.219087,0.432001,0.216285,0.432001,"6,051","10,267","GSR",0.971823978602108
"2017-12-06",0.184755,0.219773,0.149106,0.219464,"6,176","8,658","GSR",0.187865010419204
"2017-12-05",0.128219,0.186268,0.126428,0.185166,"3,752","6,009","GSR",0.444138544209517
"2017-12-04",0.097803,0.137639,0.097696,0.127967,"1,992","4,583","GSR",0.308415897262865
"2017-12-03",0.096199,0.103459,0.064694,0.09748,"899","4,508","GSR",0.013316146737492
"2017-12-02",0.07619,0.097385,0.075722,0.096107,"532","3,571","GSR",0.261412258826618
"2017-12-01",0.059359,0.076701,0.040775,0.076255,"234","2,782","GSR",0.284640913762024
"2017-11-30",0.058382,0.063506,0.04055,0.059654,"24","2,736","GSR",0.0217875372546332
"2017-11-29",0.059468,0.065642,0.052333,0.057499,"25","2,787","GSR",-0.033110244164929
"2017-11-28",0.058435,0.059778,0.05787,0.059528,"29","2,738","GSR",0.0187045435098827
"2017-11-27",0.055813,0.058382,0.053194,0.058284,"36","2,616","GSR",0.0442728396610109
"2017-11-26",0.043731,0.066609,0.041662,0.055802,"587","2,049","GSR",0.276028446639684
"2017-11-25",0.039079,0.059969,0.038859,0.043746,"351","1,831","GSR",0.119424754983495
"2017-11-24",0.047258,0.125084,0.036608,0.039159,"844","2,215","GSR",-0.171378390960261
"2017-11-23",0.046143,0.081878,0.03168,0.047323,"495","2,162","GSR",0.0255726762455842
"2017-11-22",0.073027,0.07359,0.040776,0.046158,"133","3,422","GSR",-0.367932408561217
"2017-11-21",0.038735,0.083058,0.030483,0.07285,"528","1,815","GSR",0.880728023751129
"2017-11-20",0.043837,0.053166,0.038679,0.038728,"307","2,054","GSR",-0.116545384036316
"2017-11-19",0.029746,0.044208,0.0294,0.043857,"52","1,394","GSR",0.474383110334163
"2017-11-18",0.030747,0.033715,0.023992,0.029801,"130","1,441","GSR",-0.030767229323186
"2017-11-17",0.023769,0.033626,0.023769,0.030865,"28","1,114","GSR",0.2985401152762
"2017-11-16",0.028555,0.028555,0.021633,0.023808,"28","1,338","GSR",-0.166240588338295
"2017-11-15",0.032463,0.033718,0.028182,0.028406,"17","1,521","GSR",-0.124973046237255
"2017-11-14",0.034875,0.03589,0.016723,0.032441,"138","1,634","GSR",-0.0697921146953407
"2017-11-13",0.031585,0.03604,0.026795,0.034801,"156","1,480","GSR",0.101820484407155
"2017-11-12",0.02659,0.034623,0.024049,0.031539,"65","1,246","GSR",0.186122602482136
"2017-11-11",0.035504,0.036774,0.026284,0.026609,"23","1,664","GSR",-0.250535150968905
"2017-11-10",0.032793,0.036673,0.027,0.035631,"105","1,537","GSR",0.0865428597566554
"2017-11-09",0.037412,0.043061,0.032587,0.032696,"41","1,753","GSR",-0.126055810969742
"2017-11-08",0.047607,0.05034,0.035562,0.03745,"121","2,231","GSR",-0.213350977797383
"2017-11-07",0.044189,0.047757,0.037735,0.047757,"75","2,071","GSR",0.0807440765801444
"2017-11-06",0.03556,0.04858,0.030452,0.04426,"40","1,666","GSR",0.244656917885264
"2017-11-05",0.04241,0.045669,0.035089,0.035481,"134","1,988","GSR",-0.163381278000472
"2017-11-04",0.044578,0.047977,0.036184,0.042328,"71","2,089","GSR",-0.0504733276504106
