"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.021469,0.026455,0.016812,0.017398,"19,676","4,277,360","GUN",-0.189622246029158
"2018-01-09",0.030421,0.032522,0.018177,0.02144,"38,294","6,058,180","GUN",-0.29522369415864
"2018-01-08",0.010422,0.034703,0.009828,0.032467,"369,402","2,074,770","GUN",2.11523699865669
"2018-01-07",0.005161,0.011357,0.004528,0.009622,"61,936","1,027,000","GUN",0.8643673706646
"2018-01-06",0.003597,0.005169,0.003287,0.005158,"17,590","715,569","GUN",0.433972755073673
"2018-01-05",0.003679,0.004325,0.003468,0.003776,"4,778","731,672","GUN",0.0263658602881217
"2018-01-04",0.003791,0.003944,0.003458,0.003676,"1,349","753,757","GUN",-0.0303350039567397
"2018-01-03",0.003544,0.004016,0.003541,0.003774,"3,033","704,491","GUN",0.0648984198645599
"2018-01-02",0.003252,0.003801,0.003042,0.003556,"2,570","646,155","GUN",0.0934809348093481
"2018-01-01",0.00325,0.003462,0.002805,0.003252,"1,664","645,568","GUN",0.000615384615384697
"2017-12-31",0.003189,0.003714,0.002345,0.003251,"4,394","633,252","GUN",0.0194418312950768
"2017-12-30",0.002491,0.003289,0.002161,0.003238,"1,332","494,525","GUN",0.299879566439181
"2017-12-29",0.002726,0.004127,0.0022,0.002501,"3,493","541,072","GUN",-0.082538517975055
"2017-12-28",0.003804,0.003907,0.002087,0.002699,"3,155","754,615","GUN",-0.290483701366982
"2017-12-27",0.003955,0.004442,0.002426,0.003811,"4,154","784,251","GUN",-0.036409608091024
"2017-12-26",0.003642,0.004492,0.00328,0.003952,"2,077","722,033","GUN",0.0851180669961559
"2017-12-25",0.002976,0.004052,0.002965,0.003645,"2,361","589,654","GUN",0.224798387096774
"2017-12-24",0.002867,0.00342,0.002449,0.002947,"3,344","567,745","GUN",0.0279037321241715
"2017-12-23",0.002254,0.003069,0.002239,0.002831,"1,089","446,173","GUN",0.255989352262644
"2017-12-22",0.002735,0.002753,0.00182,0.002231,"295","541,296","GUN",-0.184277879341865
"2017-12-21",0.002479,0.003424,0.002445,0.002727,"1,298","490,406","GUN",0.100040338846309
"2017-12-20",0.002636,0.002636,0.002082,0.002473,"805","521,335","GUN",-0.0618361153262519
"2017-12-19",0.002868,0.002878,0.002214,0.002289,"645","567,099","GUN",-0.201882845188285
"2017-12-18",0.002652,0.002866,0.00236,0.002866,"2,177","524,235","GUN",0.0806938159879337
"2017-12-17",0.002717,0.002797,0.00243,0.002645,"794","537,039","GUN",-0.0264998159735
"2017-12-16",0.002247,0.002764,0.002229,0.002715,"499","444,005","GUN",0.208277703604806
"2017-12-15",0.00214,0.002339,0.002139,0.002244,"73","422,841","GUN",0.0485981308411215
"2017-12-14",0.001853,0.002239,0.001837,0.002137,"113","366,041","GUN",0.153264975715057
"2017-12-13",0.002532,0.002588,0.001798,0.001857,"181","500,043","GUN",-0.266587677725118
"2017-12-12",0.002338,0.002688,0.002103,0.002528,"406","461,469","GUN",0.0812660393498717
"2017-12-11",0.001976,0.002416,0.001969,0.002329,"246","389,983","GUN",0.178643724696356
"2017-12-10",0.002623,0.002623,0.001791,0.001992,"431","517,399","GUN",-0.240564239420511
"2017-12-09",0.002609,0.002685,0.001943,0.002617,"630","514,400","GUN",0.00306630893062467
"2017-12-08",0.002685,0.002713,0.002149,0.002609,"269","529,158","GUN",-0.0283054003724394
"2017-12-07",0.002467,0.002682,0.002231,0.002682,"520","485,824","GUN",0.0871503850830968
"2017-12-06",0.001982,0.002473,0.001898,0.002471,"1,122","390,157","GUN",0.246720484359233
"2017-12-05",0.002077,0.002137,0.001867,0.001986,"581","408,605","GUN",-0.0438131921039961
"2017-12-04",0.001799,0.002184,0.001716,0.001922,"388","353,925","GUN",0.0683713173985548
"2017-12-03",0.001748,0.002114,0.001696,0.001793,"169","343,725","GUN",0.0257437070938216
"2017-12-02",0.001867,0.00201,0.001742,0.001746,"149","367,030","GUN",-0.0648098553829673
"2017-12-01",0.001689,0.002013,0.0016,0.001869,"567","331,772","GUN",0.106571936056838
"2017-11-30",0.001668,0.001888,0.00153,0.001697,"191","327,570","GUN",0.0173860911270983
"2017-11-29",0.00169,0.00208,0.001546,0.001643,"547","331,821","GUN",-0.0278106508875741
"2017-11-28",0.001756,0.001847,0.001668,0.001692,"585","344,587","GUN",-0.0364464692482916
"2017-11-27",0.001583,0.001844,0.001583,0.001751,"222","310,637","GUN",0.10612760581175
"2017-11-26",0.001573,0.001663,0.001491,0.001583,"79","308,566","GUN",0.00635727908455183
"2017-11-25",0.001396,0.001638,0.001393,0.001573,"241","273,756","GUN",0.126790830945559
"2017-11-24",0.001597,0.001929,0.001396,0.001399,"132","313,132","GUN",-0.123982467125861
"2017-11-23",0.001706,0.001867,0.001393,0.001601,"334","334,317","GUN",-0.0615474794841735
"2017-11-22",0.001299,0.001749,0.001293,0.001713,"178","254,462","GUN",0.318706697459584
"2017-11-21",0.001984,0.002064,0.000991,0.001295,"2,012","388,589","GUN",-0.347278225806452
"2017-11-20",0.001368,0.002214,0.001365,0.001984,"678","267,905","GUN",0.450292397660819
"2017-11-19",0.001329,0.00199,0.001309,0.001369,"620","260,187","GUN",0.0300978179082016
"2017-11-18",0.001307,0.001466,0.001267,0.00133,"58","255,696","GUN",0.0175975516449885
"2017-11-17",0.001402,0.001434,0.00128,0.001312,"268","274,238","GUN",-0.0641940085592012
"2017-11-16",0.001241,0.001441,0.001214,0.001405,"147","242,657","GUN",0.13215149073328
"2017-11-15",0.00119,0.001316,0.001171,0.001234,"242","232,520","GUN",0.0369747899159664
"2017-11-14",0.001044,0.001252,0.001044,0.001189,"419","204,037","GUN",0.138888888888889
"2017-11-13",0.000999,0.001241,0.000935,0.001042,"67","195,160","GUN",0.0430430430430429
"2017-11-12",0.001072,0.001133,0.00094,0.000998,"120","209,187","GUN",-0.0690298507462687
"2017-11-11",0.001051,0.001437,0.00105,0.001072,"247","205,084","GUN",0.0199809705042816
"2017-11-10",0.001069,0.00115,0.001012,0.001055,"87","208,578","GUN",-0.0130963517305895
"2017-11-09",0.001158,0.001238,0.001063,0.001066,"148","225,828","GUN",-0.0794473229706389
"2017-11-08",0.001072,0.001245,0.001065,0.001163,"106","208,943","GUN",0.0848880597014925
"2017-11-07",0.000903,0.001084,0.000903,0.001075,"473","175,949","GUN",0.19047619047619
"2017-11-06",0.00081,0.000929,0.000759,0.000904,"145","157,710","GUN",0.116049382716049
"2017-11-05",0.000738,0.000905,0.00073,0.000808,"123","143,672","GUN",0.094850948509485
"2017-11-04",0.000716,0.00081,7e-04,0.000739,"136","139,450","GUN",0.032122905027933
"2017-11-03",0.000825,0.000875,0.000711,0.000718,"201","160,601","GUN",-0.12969696969697
"2017-11-02",0.000806,0.000855,0.000802,0.000826,"52","156,879","GUN",0.0248138957816378
"2017-11-01",0.000822,0.000855,0.000781,0.000806,"87","159,865","GUN",-0.0194647201946473
"2017-10-31",0.000705,0.000877,0.000702,0.000823,"63","137,149","GUN",0.167375886524823
"2017-10-30",0.000681,0.000735,0.000606,0.000708,"34","132,325","GUN",0.039647577092511
"2017-10-29",0.000573,0.000785,0.000571,0.000685,"72","111,281","GUN",0.195462478184991
"2017-10-28",0.000799,0.000809,0.000568,0.000574,"30","155,249","GUN",-0.281602002503129
"2017-10-27",0.000637,0.000799,0.000617,0.000797,"192","123,594","GUN",0.251177394034537
"2017-10-26",0.00069,0.000772,0.000628,0.000637,"46","133,938","GUN",-0.0768115942028985
"2017-10-25",0.000556,0.000786,0.000542,0.00069,"189","107,804","GUN",0.241007194244604
"2017-10-24",0.000638,0.000702,0.000554,0.000556,"42","123,648","GUN",-0.128526645768025
"2017-10-23",0.000599,0.000711,0.000587,0.000639,"52","116,125","GUN",0.0667779632721202
"2017-10-22",0.000708,0.00076,0.000586,6e-04,"274","137,251","GUN",-0.152542372881356
"2017-10-21",0.000721,0.000739,0.000705,0.000708,"119","139,604","GUN",-0.0180305131761442
"2017-10-20",0.000734,0.000845,0.000716,0.000722,"98","142,177","GUN",-0.0163487738419618
"2017-10-19",0.000682,0.000779,0.000622,0.000734,"100","131,998","GUN",0.0762463343108504
"2017-10-18",0.000616,0.000683,0.000535,0.000683,"132","119,166","GUN",0.108766233766234
"2017-10-17",0.000698,7e-04,0.00061,0.000616,"164","135,076","GUN",-0.117478510028653
"2017-10-16",0.00068,0.001246,0.000664,0.000698,"19","131,623","GUN",0.0264705882352941
"2017-10-15",0.000671,0.000687,0.000629,0.00068,"42","129,805","GUN",0.0134128166915052
"2017-10-14",0.000663,0.00069,0.000624,0.000671,"62","128,082","GUN",0.0120663650075416
"2017-10-13",0.00065,0.000702,0.000638,0.000662,"80","125,584","GUN",0.0184615384615386
"2017-10-12",0.000602,0.000677,6e-04,0.000648,"129","116,207","GUN",0.0764119601328904
"2017-10-11",0.000581,0.00062,0.000577,0.000601,"44","112,136","GUN",0.0344234079173837
"2017-10-10",0.000606,0.000664,0.000571,0.000581,"46","116,973","GUN",-0.0412541254125412
"2017-10-09",0.000588,0.000612,0.000585,0.000606,"46","113,396","GUN",0.0306122448979592
"2017-10-08",0.000613,0.000634,0.000587,0.000588,"60","118,182","GUN",-0.0407830342577489
"2017-10-07",0.000567,0.00065,0.000566,0.000614,"95","109,283","GUN",0.0828924162257495
"2017-10-06",0.000577,0.000619,0.000563,0.000567,"183","111,143","GUN",-0.0173310225303293
"2017-10-05",0.00058,0.000605,0.000569,0.000577,"33","111,738","GUN",-0.00517241379310339
"2017-10-04",0.000596,0.000597,0.000578,0.00058,"36","114,730","GUN",-0.0268456375838925
"2017-10-03",0.000613,0.000659,0.000589,0.000595,"101","118,014","GUN",-0.0293637846655791
"2017-10-02",0.00057,0.000656,0.000569,0.000613,"218","109,578","GUN",0.0754385964912282
"2017-10-01",0.000565,0.00058,0.000521,0.00057,"43","108,527","GUN",0.00884955752212392
"2017-09-30",0.000506,0.000641,0.000498,0.000564,"192","97,263","GUN",0.114624505928854
"2017-09-29",0.000545,0.000583,0.000505,0.000506,"67","104,667","GUN",-0.0715596330275229
"2017-09-28",0.000502,0.000586,0.000496,0.000546,"55","96,403","GUN",0.0876494023904384
"2017-09-27",0.000506,0.00051,0.000469,0.000502,"22","96,987","GUN",-0.00790513833992114
"2017-09-26",0.000472,0.000511,0.000432,0.000507,"71","90,450","GUN",0.0741525423728813
"2017-09-25",0.000403,0.000492,0.000402,0.000472,"78","77,140","GUN",0.1712158808933
"2017-09-24",0.000417,0.000453,0.000398,0.000403,"42","79,962","GUN",-0.0335731414868106
"2017-09-23",0.00036,0.000419,0.000358,0.000417,"63","68,893","GUN",0.158333333333333
"2017-09-22",0.000362,0.000427,0.000353,0.000361,"164","69,219","GUN",-0.00276243093922659
"2017-09-21",0.000349,4e-04,0.000343,0.000362,"58","66,812","GUN",0.0372492836676217
"2017-09-20",0.000405,0.000442,0.00035,0.000351,"15","77,412","GUN",-0.133333333333333
