"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.012386,0.017608,0.011422,0.017545,"12,215","6,951","HMC",0.41651865008881
"2018-01-09",0.019673,0.019865,0.013635,0.015244,"8,670","11,041","HMC",-0.225130890052356
"2018-01-08",0.013085,0.02028,0.011587,0.019728,"9,336","7,344","HMC",0.507680550248376
"2018-01-07",0.012241,0.01422,0.010676,0.013104,"3,971","6,870","HMC",0.0705007760803855
"2018-01-06",0.014384,0.016119,0.010733,0.01225,"14,026","8,073","HMC",-0.148359288097886
"2018-01-05",0.013111,0.019328,0.012119,0.014372,"4,171","7,359","HMC",0.0961787811761117
"2018-01-04",0.013879,0.014101,0.01036,0.013109,"1,832","7,789","HMC",-0.0554795014050003
"2018-01-03",0.013299,0.017772,0.010917,0.013803,"3,223","7,464","HMC",0.037897586284683
"2018-01-02",0.01196,0.018882,0.011484,0.013347,"3,047","6,712","HMC",0.115969899665552
"2018-01-01",0.013382,0.013382,0.009609,0.011961,"992","7,510","HMC",-0.106187415931849
"2017-12-31",0.009696,0.013621,0.008268,0.01333,"1,953","5,442","HMC",0.374793729372937
"2017-12-30",0.012559,0.012671,0.009802,0.009802,"995","7,049","HMC",-0.219523847440083
"2017-12-29",0.012571,0.013008,0.012239,0.012591,"994","7,055","HMC",0.00159096332829522
"2017-12-28",0.013199,0.013388,0.010886,0.012442,"812","7,408","HMC",-0.0573528297598303
"2017-12-27",0.012214,0.014368,0.012117,0.012673,"693","6,855","HMC",0.0375798264286885
"2017-12-26",0.012258,0.013251,0.010962,0.012205,"1,116","6,880","HMC",-0.00432370696687871
"2017-12-25",0.011886,0.012464,0.009623,0.012271,"852","6,671","HMC",0.0323910482921084
"2017-12-24",0.010375,0.012673,0.009576,0.011764,"858","5,823","HMC",0.133879518072289
"2017-12-23",0.012526,0.014151,0.010214,0.010261,"1,036","7,030","HMC",-0.180823886316462
"2017-12-22",0.010053,0.013943,0.007443,0.012409,"3,006","5,642","HMC",0.234357903113499
"2017-12-21",0.012079,0.015276,0.009653,0.010018,"6,837","6,779","HMC",-0.1706267075089
"2017-12-20",0.01315,0.013601,0.009941,0.012048,"6,835","7,380","HMC",-0.0838022813688213
"2017-12-19",0.014346,0.014602,0.011261,0.013163,"3,693","8,052","HMC",-0.0824620103164645
"2017-12-18",0.013931,0.014873,0.011543,0.014334,"3,131","7,819","HMC",0.0289282894264589
