"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.009639,0.011999,0.00866,0.011999,"6,130","1,584,090","HODL",0.244838676211225
"2018-01-09",0.011747,0.012259,0.008423,0.009626,"7,249","1,930,490","HODL",-0.180556737890525
"2018-01-08",0.011399,0.012513,0.006288,0.011779,"14,976","1,873,420","HODL",0.0333362575664532
"2018-01-07",0.011526,0.012199,0.010169,0.011415,"3,812","1,894,170","HODL",-0.00963040083289953
"2018-01-06",0.011379,0.011805,0.010724,0.011534,"1,006","1,870,100","HODL",0.0136215836189472
"2018-01-05",0.009412,0.011923,0.00896,0.01137,"1,838","1,546,850","HODL",0.20803229919252
"2018-01-04",0.0108,0.010973,0.008767,0.00941,"4,864","1,774,850","HODL",-0.128703703703704
"2018-01-03",0.00994,0.011001,0.008474,0.010741,"8,556","1,633,560","HODL",0.0805835010060364
"2018-01-02",0.007831,0.011033,0.007831,0.009975,"4,112","1,286,940","HODL",0.273783680245179
"2018-01-01",0.006292,0.010476,0.006168,0.007831,"6,152","1,033,980","HODL",0.244596312778131
"2017-12-31",0.0089,0.0091,0.005221,0.006267,"3,366","1,462,670","HODL",-0.295842696629213
"2017-12-30",0.010147,0.011054,0.00633,0.008997,"3,783","1,665,010","HODL",-0.113333990341973
"2017-12-29",0.004919,0.012035,0.004443,0.010173,"6,222","805,474","HODL",1.06810327302297
"2017-12-28",0.009465,0.009496,0.004689,0.004869,"2,363","1,546,620","HODL",-0.485578446909667
"2017-12-27",0.012986,0.017884,0.008342,0.009485,"13,116","2,117,680","HODL",-0.269598028646234
"2017-12-26",0.003482,0.015427,0.003358,0.012977,"18,599","566,695","HODL",2.72688110281447
"2017-12-25",0.002395,0.004409,0.002281,0.003486,"3,231","388,890","HODL",0.45553235908142
"2017-12-24",0.002775,0.002775,0.002034,0.00237,"734","449,729","HODL",-0.145945945945946
"2017-12-23",0.002344,0.002947,0.002311,0.002745,"1,104","379,093","HODL",0.171075085324232
"2017-12-22",0.002357,0.00252,0.001736,0.002322,"427","380,349","HODL",-0.0148493848112008
"2017-12-21",0.001483,0.002956,0.001475,0.002349,"64","238,892","HODL",0.583951449763992
"2017-12-20",0.003171,0.003171,0.001419,0.00148,"1,975","509,621","HODL",-0.533270261747083
"2017-12-19",0.002487,0.003427,0.002446,0.003174,"955","398,860","HODL",0.276236429433052
"2017-12-18",0.003252,0.003252,0.002383,0.002485,"241","520,438","HODL",-0.235854858548586
"2017-12-17",0.002532,0.003395,0.002453,0.003243,"201","404,295","HODL",0.280805687203791
"2017-12-16",0.002294,0.003025,0.002265,0.002532,"1,372","365,531","HODL",0.103748910200523
"2017-12-15",0.00282,0.00304,0.002266,0.002291,"649","448,354","HODL",-0.187588652482269
"2017-12-14",0.002456,0.00282,0.002436,0.002816,"557","389,713","HODL",0.146579804560261
"2017-12-13",0.0019,0.002688,0.00165,0.002464,"945","300,861","HODL",0.296842105263158
"2017-12-12",0.001515,0.00256,0.00148,0.001899,"1,481","239,384","HODL",0.253465346534653
"2017-12-11",0.00122,0.001575,0.001214,0.00151,"24","192,281","HODL",0.237704918032787
"2017-12-10",0.001203,0.001666,0.001106,0.001229,"121","189,232","HODL",0.0216126350789692
"2017-12-09",0.001789,0.001816,0.001084,0.001198,"236","280,805","HODL",-0.330352152040246
"2017-12-08",0.002083,0.002114,0.001659,0.001791,"220","326,185","HODL",-0.14018242918867
"2017-12-07",0.001786,0.00216,0.001611,0.002078,"624","279,066","HODL",0.163493840985442
"2017-12-06",0.001404,0.001919,0.001404,0.001789,"683","218,957","HODL",0.274216524216524
"2017-12-05",0.001748,0.001788,0.001275,0.001407,"89","272,062","HODL",-0.195080091533181
"2017-12-04",0.001574,0.001745,0.00098,0.001745,"495","244,360","HODL",0.10864040660737
"2017-12-03",0.001093,0.00157,0.000635,0.001569,"594","169,358","HODL",0.435498627630375
"2017-12-02",0.001197,0.001679,0.001079,0.001092,"197","185,081","HODL",-0.0877192982456139
"2017-12-01",0.001199,0.001598,0.001149,0.001198,"218","184,966","HODL",-0.000834028356964067
"2017-11-30",0.001671,0.001818,0.001139,0.001205,"23","257,157","HODL",-0.278874925194494
"2017-11-29",0.001688,0.001931,0.001182,0.001646,"328","259,181","HODL",-0.0248815165876778
"2017-11-28",0.001561,0.001697,0.001472,0.001689,"343","239,165","HODL",0.0819987187700191
"2017-11-27",0.001677,0.001852,0.001412,0.001557,"660","256,420","HODL",-0.0715563506261181
