"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",4.71,4.89,3.8,4.19,"2,049,300","147,557,000","HST",-0.110403397027601
"2018-01-09",5.21,5.44,4.12,4.58,"1,879,520","163,187,000","HST",-0.120921305182342
"2018-01-08",4.11,5.8,3.52,5.25,"2,979,590","128,624,000","HST",0.277372262773723
"2018-01-07",2.63,4.18,2.48,4.11,"1,923,740","82,150,900","HST",0.562737642585551
"2018-01-06",2.17,2.68,2.17,2.68,"830,794","67,736,300","HST",0.235023041474654
"2018-01-05",1.94,2.92,1.87,2.14,"1,442,860","60,561,200","HST",0.103092783505155
"2018-01-04",1.59,2.03,1.42,1.94,"944,828","49,604,000","HST",0.220125786163522
"2018-01-03",1.33,1.58,1.21,1.58,"644,407","41,621,800","HST",0.18796992481203
"2018-01-02",1.24,1.42,1.18,1.29,"580,804","38,632,200","HST",0.0403225806451613
"2018-01-01",1.11,1.31,1.01,1.24,"349,832","34,695,200","HST",0.117117117117117
"2017-12-31",1,1.18,0.968661,1.1,"319,744","31,258,800","HST",0.1
"2017-12-30",1.09,1.11,0.937933,1.01,"393,137","34,054,900","HST",-0.0733944954128441
"2017-12-29",1.21,1.27,1,1.08,"483,200","37,717,900","HST",-0.107438016528926
"2017-12-28",1.21,1.29,0.95831,1.14,"351,097","37,668,700","HST",-0.0578512396694215
"2017-12-27",1.41,1.47,1.17,1.21,"472,569","44,159,600","HST",-0.141843971631206
"2017-12-26",1.12,1.47,1.05,1.43,"624,886","34,977,000","HST",0.276785714285714
"2017-12-25",0.816129,1.47,0.805263,1.31,"766,441","25,489,200","HST",0.605138403365154
"2017-12-24",0.774349,0.82903,0.716438,0.817865,"334,848","24,184,100","HST",0.0561968828009076
"2017-12-23",0.63191,0.860768,0.6299,0.765624,"615,576","19,704,700","HST",0.211602918137076
"2017-12-22",0.802294,0.816698,0.554347,0.636572,"524,574","25,017,800","HST",-0.20656018865902
"2017-12-21",0.504192,0.910943,0.504192,0.799492,"918,230","15,722,100","HST",0.585689578573242
"2017-12-20",0.551431,0.562965,0.468969,0.504067,"356,993","17,195,200","HST",-0.0858928859639737
"2017-12-19",0.386743,0.755998,0.375096,0.54381,"685,473","12,059,700","HST",0.40612758343396
"2017-12-18",0.363368,0.391161,0.29312,0.391161,"238,518","11,330,800","HST",0.0764871975517931
"2017-12-17",0.339792,0.383058,0.301439,0.362644,"211,488","10,595,700","HST",0.0672529076611575
"2017-12-16",0.311788,0.373305,0.294026,0.340246,"194,632","9,722,440","HST",0.0912735576738039
"2017-12-15",0.318051,0.339499,0.308887,0.311504,"145,905","9,917,720","HST",-0.0205847489867976
"2017-12-14",0.31204,0.491455,0.24056,0.317605,"209,679","9,730,290","HST",0.0178342520189721
"2017-12-13",0.316012,0.332128,0.275747,0.312804,"200,735","9,854,140","HST",-0.0101515132336746
"2017-12-12",0.350328,0.370626,0.304457,0.315761,"220,169","10,924,200","HST",-0.0986703888926947
"2017-12-11",0.345451,0.380599,0.311229,0.349678,"182,193","10,772,100","HST",0.0122361782134079
"2017-12-10",0.364131,0.378569,0.31117,0.347697,"196,458","11,354,600","HST",-0.0451321090486666
"2017-12-09",0.362341,0.410827,0.327534,0.36271,"155,437","11,298,800","HST",0.00101837771601876
"2017-12-08",0.364067,0.474097,0.302039,0.362516,"229,022","11,352,600","HST",-0.00426020485240346
"2017-12-07",0.296394,0.36632,0.273545,0.366157,"163,454","9,242,400","HST",0.235372510914526
"2017-12-06",0.353601,0.390295,0.275696,0.291262,"196,238","11,026,300","HST",-0.176297578343953
"2017-12-05",0.391562,0.412835,0.33695,0.354295,"212,249","12,210,000","HST",-0.0951752212931796
"2017-12-04",0.372897,0.418356,0.363659,0.391171,"420,285","11,628,000","HST",0.0490054894515108
"2017-12-03",0.264337,0.363448,0.247213,0.338182,"166,717","8,242,780","HST",0.279359302708285
"2017-12-02",0.305753,0.345381,0.233306,0.267186,"179,590","9,534,240","HST",-0.126137764797075
"2017-12-01",0.423972,0.423972,0.268824,0.305828,"297,701","13,220,600","HST",-0.27865991150359
"2017-11-30",0.257453,0.435526,0.257453,0.426453,"266,014","8,028,120","HST",0.656430494109605
"2017-11-29",0.3389,0.37787,0.226314,0.251656,"180,594","10,567,900","HST",-0.257432871053408
"2017-11-28",0.419281,0.429506,0.329431,0.329431,"268,614","13,074,400","HST",-0.214295424786718
"2017-11-27",0.42379,0.46001,0.362046,0.419145,"309,594","13,215,000","HST",-0.0109606172868638
"2017-11-26",0.456665,0.480677,0.39529,0.421542,"465,061","14,103,100","HST",-0.0769119595326991
"2017-11-25",0.34519,0.477772,0.32129,0.455754,"554,364","10,660,400","HST",0.320298965786958
"2017-11-24",0.319781,0.392907,0.319781,0.341692,"314,288","9,875,720","HST",0.0685187675315294
"2017-11-23",0.273154,0.342167,0.254163,0.31699,"289,224","8,435,760","HST",0.16048090088375
"2017-11-22",0.149521,0.274717,0.148859,0.274717,"279,860","4,614,650","HST",0.837313822138696
"2017-11-21",0.143273,0.166713,0.124739,0.149318,"83,210","4,421,820","HST",0.042192178568188
"2017-11-20",0.168344,0.169677,0.135382,0.149287,"99,474","5,195,590","HST",-0.113202727747945
"2017-11-19",0.200163,0.212624,0.124988,0.163014,"88,422","6,177,620","HST",-0.185593741101003
"2017-11-18",0.205205,0.24733,0.191542,0.200681,"72,224","6,333,240","HST",-0.0220462464364903
"2017-11-17",0.242911,0.278914,0.206157,0.213824,"134,155","7,496,960","HST",-0.119743445130109
"2017-11-16",0.304207,0.312366,0.21408,0.244363,"199,456","9,388,740","HST",-0.19672131147541
"2017-11-15",0.348108,0.350335,0.192535,0.304445,"420,267","10,743,600","HST",-0.125429464419088
"2017-11-14",0.381092,0.424457,0.3182,0.347918,"629,681","-","HST",-0.0870498462313562
"2017-11-13",0.295069,0.407836,0.258967,0.38111,"804,423","-","HST",0.291596202922028
