"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.035197,0.036146,0.033675,0.036146,"379","52,590","HVCO",0.0269625252152172
"2018-01-09",0.03268,0.036007,0.032296,0.035151,"67","48,829","HVCO",0.0756119951040392
"2018-01-08",0.03371,0.033836,0.029625,0.032769,"186","50,368","HVCO",-0.0279145654108572
"2018-01-07",0.032049,0.034187,0.031773,0.033757,"535","47,887","HVCO",0.0532933944896877
"2018-01-05",0.030059,0.0321,0.029568,0.031813,"13","44,913","HVCO",0.058351907914435
"2018-01-04",0.029357,0.030694,0.028591,0.030053,"467","43,864","HVCO",0.0237081445651803
"2018-01-03",0.018396,0.029488,0.018385,0.029197,"168","27,487","HVCO",0.587138508371385
"2018-01-02",0.024843,0.027588,0.01826,0.018462,"19","37,119","HVCO",-0.256853037072817
"2018-01-01",0.013562,0.025166,0.013067,0.024844,"994","20,264","HVCO",0.831883203067394
"2017-12-31",0.017546,0.018585,0.01351,0.01351,"71","26,217","HVCO",-0.230023937079676
"2017-12-30",0.017975,0.018268,0.015095,0.017737,"3","26,857","HVCO",-0.0132406119610571
"2017-12-29",0.015191,0.018207,0.013435,0.01802,"69","22,698","HVCO",0.186228688038971
"2017-12-28",0.022964,0.023061,0.014307,0.015035,"40","34,312","HVCO",-0.345279568019509
"2017-12-27",0.021788,0.023038,0.021788,0.023012,"2","32,555","HVCO",0.056177712502295
"2017-12-26",0.02187,0.025017,0.02178,0.024906,"3","32,677","HVCO",0.138820301783265
"2017-12-25",0.022117,0.022484,0.016309,0.021892,"6","33,046","HVCO",-0.0101731699597596
"2017-12-24",0.020319,0.021889,0.01973,0.021889,"3","30,360","HVCO",0.0772675820660465
"2017-12-23",0.021926,0.023029,0.021773,0.022991,"2","32,761","HVCO",0.0485724710389492
"2017-12-22",0.021992,0.023797,0.018199,0.02172,"2","32,859","HVCO",-0.0123681338668607
"2017-12-21",0.026208,0.027645,0.024084,0.02478,"3","39,160","HVCO",-0.0544871794871794
"2017-12-20",0.018524,0.028358,0.018524,0.02614,"7","27,678","HVCO",0.411142301878644
"2017-12-19",0.020856,0.02093,0.018641,0.018842,"38","31,162","HVCO",-0.09656693517453
"2017-12-18",0.020567,0.020838,0.020425,0.020838,"42","30,730","HVCO",0.0131764477074926
"2017-12-17",0.021035,0.021566,0.020616,0.020835,"5","31,430","HVCO",-0.00950796291894472
"2017-12-16",0.018839,0.021198,0.018839,0.021032,"11","28,149","HVCO",0.116407452624874
"2017-12-15",0.02654,0.028919,0.026535,0.02846,"1","39,656","HVCO",0.0723436322532026
"2017-12-14",0.027019,0.027404,0.025984,0.0265,"3","40,372","HVCO",-0.0192087049853807
"2017-12-13",0.028505,0.028884,0.026294,0.027106,"9","42,592","HVCO",-0.0490791089282581
"2017-12-12",0.028286,0.029302,0.027584,0.028482,"3","42,264","HVCO",0.00692922293714211
"2017-12-11",0.025005,0.029125,0.024896,0.028195,"28","37,362","HVCO",0.127574485102979
"2017-12-10",0.022766,0.025868,0.022766,0.025187,"0","34,016","HVCO",0.106342791882632
"2017-12-09",0.026673,0.027068,0.022212,0.023952,"24","39,854","HVCO",-0.102013271847936
"2017-12-08",0.028636,0.028636,0.025036,0.0267,"28","42,788","HVCO",-0.0676072077105741
"2017-12-07",0.022929,0.028569,0.022374,0.028569,"2","34,260","HVCO",0.245976710715687
"2017-12-06",0.019189,0.021064,0.019189,0.020885,"2","28,672","HVCO",0.0883839699828026
"2017-12-05",0.019349,0.019663,0.019157,0.019232,"4","28,911","HVCO",-0.00604682412527792
"2017-12-04",0.018774,0.019311,0.018075,0.019311,"2","28,051","HVCO",0.0286033876637903
"2017-12-03",0.016835,0.019768,0.016723,0.018712,"3","25,154","HVCO",0.111493911493912
"2017-12-02",0.016762,0.01724,0.016521,0.016819,"147","25,045","HVCO",0.00340054886051793
"2017-12-01",0.015989,0.016874,0.015381,0.016776,"13","23,890","HVCO",0.0492213396710238
"2017-11-30",0.015136,0.017106,0.014398,0.016069,"2","22,616","HVCO",0.0616411205073996
