"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",13.18,15.15,11.05,15.15,"555,844","12,541,600","HWC",0.149468892261002
"2018-01-09",14.76,15.12,12.97,13.16,"278,696","14,046,700","HWC",-0.10840108401084
"2018-01-08",16.13,16.19,13.96,14.8,"318,894","15,349,800","HWC",-0.0824550526968381
"2018-01-07",17.2,17.2,15.21,16.15,"324,223","16,369,200","HWC",-0.061046511627907
"2018-01-06",16.98,17.59,10.77,17.21,"544,196","16,162,300","HWC",0.013545347467609
"2018-01-05",13.66,17.11,10.51,16.97,"676,101","12,785,000","HWC",0.242313323572474
"2018-01-04",15.94,16.2,13.38,13.66,"271,689","14,375,900","HWC",-0.143036386449184
"2018-01-03",16.09,16.36,12.48,15.85,"799,297","13,983,000","HWC",-0.0149160969546302
"2018-01-02",14.69,16.49,12.98,16.15,"486,041","12,514,600","HWC",0.0993873383253914
"2018-01-01",13.98,15,13.47,14.69,"721,582","11,591,700","HWC",0.0507868383404863
"2017-12-31",14.21,14.95,12.46,13.93,"608,863","11,399,500","HWC",-0.019704433497537
"2017-12-30",16.37,16.37,11.14,14.37,"594,316","12,748,500","HWC",-0.122174709835064
"2017-12-29",16.41,17.15,13.99,16.41,"785,024","12,420,300","HWC",0
"2017-12-28",17.64,17.72,13.9,16.24,"816,754","12,968,000","HWC",-0.0793650793650795
"2017-12-27",19.1,19.95,11.12,17.68,"766,624","-","HWC",-0.07434554973822
"2017-12-26",16.99,19.44,16.73,19.08,"953,689","-","HWC",0.123013537374926
"2017-12-25",13.08,17.8,12.32,16.99,"847,452","-","HWC",0.298929663608563
"2017-12-24",18.82,18.82,12.19,12.95,"627,872","-","HWC",-0.311902231668438
"2017-12-23",18.03,20.35,12.65,18.61,"751,984","-","HWC",0.0321686078757625
"2017-12-22",18.06,19.39,14.04,17.86,"902,561","-","HWC",-0.0110741971207087
"2017-12-21",18.32,19.4,17.41,18,"852,151","-","HWC",-0.017467248908297
"2017-12-20",21.31,21.41,17.14,18.27,"1,307,100","-","HWC",-0.142656030032848
"2017-12-19",21.5,22.91,19.6,21.33,"1,143,470","-","HWC",-0.00790697674418613
"2017-12-18",23.22,24.11,20.49,21.47,"1,301,860","-","HWC",-0.0753660637381568
"2017-12-17",24.21,24.68,21.58,23.15,"922,891","-","HWC",-0.0437835605121851
"2017-12-16",21.01,24.86,19.85,24.26,"1,224,730","-","HWC",0.154688243693479
"2017-12-15",18.22,22.54,18.22,20.98,"1,350,270","-","HWC",0.151481888035126
"2017-12-14",17.62,18.53,10.65,18.24,"1,043,310","-","HWC",0.0351872871736661
