"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000738,0.000743,0.000669,0.000699,"102","-","HYTV",-0.0528455284552847
"2018-01-09",0.001136,0.001248,0.001136,0.001171,"627","-","HYTV",0.0308098591549295
"2018-01-08",0.001114,0.001225,0.00097,0.001139,"611","-","HYTV",0.0224416517055656
"2018-01-07",0.000399,0.001104,0.000393,0.001104,"730","-","HYTV",1.76691729323308
"2018-01-06",0.000534,0.001112,0.000397,4e-04,"25","-","HYTV",-0.250936329588015
"2018-01-05",0.000541,0.000582,0.000516,0.000531,"110","-","HYTV",-0.0184842883548984
"2018-01-04",0.000543,0.000568,0.000518,0.000543,"291","-","HYTV",0
"2018-01-03",0.000492,0.000547,0.000484,0.000542,"23","-","HYTV",0.101626016260162
"2018-01-02",0.000711,0.001021,0.000458,0.00049,"144","-","HYTV",-0.310829817158931
"2018-01-01",0.00031,0.000895,0.000303,0.000709,"89","-","HYTV",1.28709677419355
"2017-12-31",0.000625,0.000858,0.000284,0.00031,"473","-","HYTV",-0.504
"2017-12-30",0.001222,0.001222,0.00025,0.00063,"385","-","HYTV",-0.484451718494272
"2017-12-29",0.000991,0.001274,0.000188,0.001222,"202","-","HYTV",0.233097880928355
"2017-12-28",0.002517,0.002813,0.000164,0.000985,"2,131","-","HYTV",-0.608661104489472
"2017-12-27",0.003019,0.004517,0.002438,0.002522,"2,472","-","HYTV",-0.164624047697913
"2017-12-26",0.002906,0.004294,0.002904,0.003012,"559","-","HYTV",0.0364762560220233
"2017-12-25",0.004387,0.00479,0.002628,0.002904,"1,436","-","HYTV",-0.338044221563711
"2017-12-24",0.004715,0.004715,0.002664,0.004365,"4,308","-","HYTV",-0.0742311770943796
"2017-12-23",0.002971,0.005307,0.002492,0.00466,"1,902","-","HYTV",0.568495456075395
"2017-12-22",0.002517,0.002947,0.001475,0.002947,"483","-","HYTV",0.170838299562972
"2017-12-21",0.002557,0.002689,0.002434,0.002508,"218","-","HYTV",-0.0191630817364099
"2017-12-20",0.002363,0.002592,0.002094,0.002554,"2,353","-","HYTV",0.0808294540837917
"2017-12-19",0.001358,0.002519,0.001314,0.002366,"2,160","-","HYTV",0.742268041237113
"2017-12-18",0.002298,0.002304,0.001182,0.001362,"2,286","-","HYTV",-0.407310704960836
"2017-12-17",0.001211,0.002315,0.001185,0.002301,"961","-","HYTV",0.900082576383154
"2017-12-16",0.00205,0.002426,0.001088,0.001333,"1,576","-","HYTV",-0.349756097560976
"2017-12-15",0.002774,0.002779,0.000931,0.000955,"3,180","-","HYTV",-0.655731795241528
"2017-12-14",0.00219,0.003007,0.002182,0.002776,"1,172","-","HYTV",0.267579908675799
"2017-12-13",0.001805,0.002746,0.00162,0.002191,"913","-","HYTV",0.213850415512465
"2017-12-12",0.002571,0.003682,0.001646,0.001804,"1,347","-","HYTV",-0.298327499027616
"2017-12-11",0.003722,0.003958,0.002453,0.002588,"2,231","-","HYTV",-0.304674905964535
"2017-12-10",0.003799,0.004032,0.003103,0.003718,"2,052","-","HYTV",-0.021321400368518
"2017-12-09",0.004926,0.004926,0.003581,0.003787,"1,823","-","HYTV",-0.231222086885911
"2017-12-08",0.005704,0.005894,0.003501,0.004926,"1,411","-","HYTV",-0.136395511921459
"2017-12-07",0.005717,0.005886,0.005223,0.005696,"2,933","-","HYTV",-0.00367325520377824
"2017-12-06",0.004093,0.005948,0.004093,0.005737,"671","-","HYTV",0.401661373075983
"2017-12-05",0.003731,0.006121,0.003417,0.0041,"5,851","-","HYTV",0.098901098901099
"2017-12-04",0.003547,0.003773,0.003461,0.003729,"4,758","-","HYTV",0.0513109670143784
"2017-12-03",0.005401,0.005981,0.003237,0.00354,"4,965","-","HYTV",-0.344565821144233
"2017-12-02",0.003892,0.007241,0.003663,0.005399,"3,695","-","HYTV",0.387204522096608
"2017-12-01",0.004799,0.007946,0.003717,0.003892,"9,320","-","HYTV",-0.188997707855803
"2017-11-30",0.007278,0.00873,0.004349,0.004811,"15,227","-","HYTV",-0.338966749106897
"2017-11-29",0.011239,0.014939,0.005267,0.007186,"24,955","-","HYTV",-0.36061927217724
"2017-11-28",0.012141,0.018794,0.009084,0.01123,"54,427","-","HYTV",-0.07503500535376
"2017-11-27",0.002428,0.01313,0.002417,0.012158,"42,006","-","HYTV",4.00741350906096
